fam	loc
fam2	10727
fam3	11885
fam4	12427
fam5	14719
fam6	17250
fam7	18204
fam10	21943
fam11	23789
fam12	24428
fam13	24865
fam14	25302
fam15	26176
fam16	26911
fam17	28769
fam18	30049
fam19	31524
fam20	32930
fam21	34426
fam22	34958
fam23	36717
fam25	38128
fam26	39681
fam32	44781
fam35	48119
fam36	49507
fam37	50017
fam40	52400
fam41	53221
fam42	53632
fam44	55567
fam45	55875
fam46	57799
fam47	58174
fam48	58948
fam49	60277
fam50	61028
fam51	61385
fam52	62526
fam53	65620
fam54	66298
fam55	66860
fam57	69478
fam58	70269
fam59	71167
fam60	72098
fam64	76431
fam65	77669
fam66	78271
fam67	79302
fam68	79861
fam70	84125
fam71	84763
fam72	85188
fam73	85812
fam74	86108
fam75	86597
fam76	89756
fam77	90783
fam78	91678
fam79	92330
fam80	93259
fam82	97168
fam83	98491
fam85	99609
fam86	100273
fam87	101936
fam88	103001
fam89	103441
fam90	104217
fam91	105375
fam92	106426
fam96	109178
fam97	109792
fam98	110975
fam114	129416
fam115	130492
fam116	131531
fam117	132643
fam118	133878
fam119	135125
fam120	135753
fam121	136552
fam122	137946
fam123	138378
fam124	138734
fam130	143608
fam131	144178
fam132	145943
fam133	146834
fam134	147882
fam135	148405
fam137	151971
fam138	152844
fam139	153942
fam140	154498
fam141	154795
fam142	156306
fam143	156850
fam144	157899
fam145	159599
fam146	161434
fam147	162198
fam148	163148
fam149	165633
fam151	167752
fam152	168643
fam153	169221
fam154	169636
fam155	170221
fam159	173303
fam160	173637
fam161	174572
fam162	175725
fam163	177251
fam166	182336
fam167	182790
fam168	183652
fam169	184622
fam170	185524
fam171	190976
fam172	192444
fam173	193657
fam175	195232
fam176	196441
fam177	197112
fam178	198659
fam179	199138
fam181	200773
fam182	201435
fam183	201980
fam184	203716
fam185	205462
fam186	206285
fam188	208335
fam189	209373
fam190	210065
fam191	210266
fam192	210671
fam194	213425
fam197	215304
fam198	216012
fam199	217635
fam200	217972
fam201	219507
fam202	220506
fam203	221292
fam204	222935
fam207	227224
fam208	229161
fam209	229693
fam210	230607
fam211	232576
fam212	233970
fam213	235034
fam214	236209
fam215	238389
fam216	243776
fam217	245350
fam218	246240
fam219	247062
fam220	248840
fam223	251353
fam224	254695
fam225	258018
fam226	259350
fam227	259977
fam228	260372
fam229	263706
fam230	265806
fam231	266573
fam232	267974
fam233	268372
fam234	268898
fam236	271084
fam237	271995
fam238	272798
fam239	273320
fam240	275315
fam241	276630
fam242	277606
fam243	278857
fam244	279089
fam245	280362
fam246	281206
fam247	281817
fam248	282359
fam249	283437
fam251	286682
fam252	287717
fam253	288113
fam255	289105
fam256	290642
fam257	291129
fam258	293144
fam259	294744
fam260	296008
fam261	296794
fam262	297854
fam263	298592
fam264	299277
fam265	300364
fam267	301757
fam268	303538
fam269	304251
fam270	304851
fam271	305758
fam272	306422
fam273	306877
fam274	308086
fam275	308652
fam280	314364
fam282	315078
fam284	317601
fam285	318080
fam289	322303
fam290	323247
fam291	326627
fam292	327760
fam294	330188
fam295	331723
fam298	334293
fam299	335063
fam300	335269
fam301	336345
fam302	337318
fam303	338763
fam304	340113
fam305	341942
fam306	342376
fam307	343452
fam308	344507
