fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.0558335909721059	0.04627249357326478	0.03969653612695351	0.0018232170955789048	0.0015	0.001866209243978732	0.04430211156794072	0.0292	0.06732259532003565	1883660	0.007073879179505349
fam966	0.00032472598269777417	0.0	0.0016163666454482625	0.00012435916958530025	0.0	0.0005595015454103622	0.04968219379726917	0.0253	0.09313585732726394	1025353	0.006131207550490344
fam393	0.00752838729721676	0.0	0.025867453358939987	0.00022878894472361805	0.0	0.0006118189707283581	0.025444537688442206	0.0195	0.02460317542548977	419620	0.003998092104768987
fam5072	0.04300613314822046	0.032773780975219824	0.044997878706006376	0.002501916502641666	0.001	0.0049984500295685635	0.0740690044545737	0.0384	0.15805376885799266	1204086	0.011237550039259013
fam158	0.06332562966048699	0.05217391304347826	0.06300322014939413	0.0027743566316430638	0.0024	0.0026909146252237243	0.054790563930764945	0.049	0.06913293774942324	170210	0.00862625416645517
fam4712	0.09876862626140527	0.07692307692307693	0.11645184139778741	0.0025622863358541388	0.0016	0.0052744236402103885	0.06739853413446596	0.0139	0.22298172894083476	1614825	0.009743971672905685
fam1720	0.027476663716043424	0.014423076923076922	0.05434393240864677	0.001617686518324607	0.0012	0.0029058517480524417	0.06105239419720768	0.0501	0.08014965486312428	1803279	0.011131851895922577
fam5537	0.019646922054129493	0.017892644135188866	0.026348848959840788	0.0008525427135678391	0.0009	0.0012123560130782162	0.049630386934673365	0.0352	0.06934952603701647	678602	0.00771456215629135
fam3994	0.04791169183587687	0.03888888888888889	0.05780010805051801	0.0018279899578013995	0.0014	0.0022308893582562894	0.04024803162224241	0.036	0.028055263736029692	2388257	0.008818364060518438
fam5170	0.011049047542930807	0.0	0.028372654019419973	0.0005877916218017741	0.0	0.0015921615407353293	0.03345582218120289	0.0279	0.04107982088776947	1094623	0.005483745831384657
fam1031	0.03708695041810776	0.029366306027820713	0.03882662611957546	0.0016129518535609906	0.0009	0.0026641788537683534	0.05475538635081782	0.0406	0.0763026748521611	1096600	0.010920642121547534
fam4952	0.03696776504585944	0.03304347826086956	0.019186046942487076	0.0028663385120237914	0.0016	0.005746816704239444	0.06676801004973594	0.0533	0.08702560954090031	1342191	0.013036486043891566
fam3345	0.028045201371154176	0.02237136465324385	0.034699746681684754	0.0011650414485165795	0.0005	0.002049635385152468	0.04378464223385689	0.033	0.0532678846458645	3074275	0.006889075346693248
fam4095	0.04898527829767844	0.05	0.042657723573808135	0.0036214824120603013	0.0031	0.004223796705154568	0.06558555778894472	0.0529	0.058120711048034096	2280340	0.009944256803141389
fam680	0.0	0.0	0.0	0.0	0.0	0.0	0.03813593969849246	0.0334	0.034768925214901	714273	0.00791859731558224
fam6141	0.04374793623032828	0.02162162162162162	0.05755583427906686	0.001332457286432161	0.0012	0.0016738960336868704	0.07274540201005025	0.039	0.16856905752908932	25119	0.00829324259752262
fam4775	0.02796073770990302	0.022004889975550123	0.035312253129858966	0.002968285873813512	0.0009	0.008755374182638583	0.09850402517638698	0.0466	0.23626196528500554	1521290	0.011860731395907275
