fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.2873134328358209	0.3283582089552239	0.10859427023026305	0.0025444444444444442	0.0022	0.0016563756358125956	0.0014888888888888888	0.0	0.0027854560545983783	1456209	0.0022694262890341323
fam393	0.20447906523855888	0.26582278481012656	0.11199779656872919	0.002333333333333333	0.0042	0.0020869967789998033	0.014127777777777779	0.0158	0.010527572557366548	67735	0.004767143381004767
fam1571	nan	nan	nan	0.0019444444444444446	0.0	0.0024374901076089227	0.0	0.0	0.0	1247600	0.0013938669852648347
fam158	0.09918677390527257	0.03753351206434316	0.08823276249088337	0.000861111111111111	0.0014	0.0008400654001583507	0.01585	0.006	0.017990715197938448	319869	0.0036398467432950197
fam1720	0.1	0.0	0.12247448713915891	0.000661111111111111	0.0	0.0008287466365870337	0.0037777777777777775	0.0068	0.0033789471659996825	1391929	0.0012902246508803886
fam1499	0.43259724002488625	0.3703703703703704	0.28962040292014296	0.0022222222222222227	0.001	0.001959465787616489	0.004480555555555555	0.004	0.003555419919287894	1163269	0.002645502645502645
fam1031	0.43667593073313665	0.4358974358974359	0.3052896251799212	0.002775	0.002	0.001832026049062743	0.005441666666666668	0.0039	0.005720692217244732	687360	0.0033261416756562388
fam680	0.060761460761460766	0.0	0.09906574034242115	0.00017777777777777779	0.0	0.0003325917677132393	0.0025555555555555557	0.0033	0.002052700720249686	283775	0.0006653359946773121
fam875	0.22297554195291155	0.17695473251028807	0.08706715302284836	0.0021055555555555554	0.0017	0.0016412976648650169	0.011069444444444443	0.0053	0.010402665775988074	510942	0.007221507221507222
fam1483	0.0	0.0	0.0	0.0	0.0	0.0	0.0033777777777777777	0.0	0.006319243586551545	1141230	0.0007054673721340388
fam1781	nan	nan	nan	0.0012222222222222222	0.0	0.00228656840302852	0.0	0.0	0.0	1452333	0.0010147133434804667
fam425	0.0791703373981855	0.07142857142857142	0.07267852581359269	0.0010388888888888887	0.0017	0.0010039582156471613	0.006577777777777779	0.0	0.009239832583593682	33280	0.001989592898683808
fam1195	0.38109756097560976	0.3414634146341463	0.1048620946458527	0.0015194444444444446	0.0014	0.0015316692862589938	0.0009111111111111112	0.0	0.0017045328095303513	847455	0.0013633265167007503
fam1928	0.75	0.75	0.0	0.0012833333333333332	0.0	0.001608743471021889	0.0017111111111111112	0.0	0.002144991294695852	962302	0.0013645224171539958
fam657	0.07402747960498068	0.0	0.08495704269200567	0.0007	0.0007	0.0007	0.008355555555555554	0.0068	0.00687218404732054	251680	0.002000258097819073
fam2317	0.10731400917876856	0.051446945337620585	0.09395434215870475	0.0008888888888888889	0.0016	0.0007950463919999252	0.015025000000000002	0.0076	0.013939479804577437	538028	0.003293807641633729
fam1988	0.39899438036083995	0.2608695652173913	0.25585420364150224	0.0008166666666666665	0.0006	0.0006938219432166216	0.0019194444444444443	0.0023	0.0019239455184658146	886262	0.001060531897536303
fam265	0.0	0.0	0.0	0.0	0.0	0.0	0.018255555555555553	0.0231	0.014817977903067695	198805	0.002979991485738612
fam1040	0.06593406593406592	0.06593406593406592	0.0	0.0009333333333333333	0.0	0.0011699952516522826	0.014155555555555557	0.0	0.01774492798339296	697234	0.0036826599326599324
fam1786	0.2711912493778519	0.30303030303030304	0.17102358366945083	0.0019861111111111112	0.002	0.0013948621552321093	0.007749999999999999	0.0066	0.007304926039628631	1457356	0.0032828282828282823
fam355	0.15032467532467533	0.1318181818181818	0.02136945801546019	0.0032055555555555552	0.0019	0.002878362231513343	0.017111111111111115	0.0	0.02144991294695852	98104	0.006033182503770739
fam1784	nan	nan	nan	0.0006916666666666667	0.0	0.0009050399009006299	0.0	0.0	0.0	1455582	0.000569004758948893
fam2090	0.0	0.0	0.0	0.0	0.0	0.0	0.00385	0.0	0.0048262304130656675	775094	0.0008101851851851852
fam2139	0.039435844538752964	0.05022831050228311	0.02892401364216397	0.0004277777777777778	0.0	0.0005362478236739629	0.008233333333333334	0.0043	0.008910885976651755	725011	0.0019928064547487124
fam519	0.20742460015303435	0.20725388601036268	0.11318981853190681	0.03325000000000001	0.036	0.02210311064081253	0.1804583333333333	0.1724	0.12319109900881639	82101	0.05959342801448066
fam1093	0.14755542309583847	0.1451068616422947	0.0367582887983509	0.004583333333333333	0.0	0.0056715909976341235	0.03286388888888889	0.0	0.04082208112160336	750459	0.010263275323516289
fam2025	0.05872115820360802	0.05818181818181818	0.054976753721751995	0.0006222222222222224	0.0	0.0007799968344348552	0.00938611111111111	0.0134	0.007739155594829946	844733	0.01583467525496511
fam321	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	127028	0.0
fam594	0.2934520157145248	0.3807106598984772	0.16073245533397945	0.004166666666666667	0.0075	0.003726779962499649	0.017638888888888885	0.01965	0.013201647156863458	173183	0.007765830346475507
fam1679	0.31519117377152134	0.24673863289594145	0.26506409020557825	0.0034694444444444447	0.0028	0.0028619942002857265	0.008961111111111109	0.0115	0.0072700404162783705	1349953	0.0045351473922902496
fam922	nan	nan	nan	0.00175	0.0014	0.001418626095911111	0.0	0.0	0.0	563641	0.0013607857058336294
fam2091	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	774918	0.0
fam1358	nan	nan	nan	0.0020833333333333333	0.0019	0.0016247221984764728	0.0	0.0	0.0	1003091	0.0016534391534391536
fam651	0.1228124734952362	0.14746543778801843	0.05809114889608622	0.0019472222222222221	0.0016	0.0011908181387206749	0.010244444444444445	0.010799999999999999	0.009892265341176758	242442	0.003784806704514734
fam870	0.27509538382051935	0.2750953838205194	0.01920841364783499	0.00685	0.0	0.008494491679252437	0.024675000000000002	0.0	0.030932142353150317	501954	0.010265700483091786
fam910	0.1279534770340265	0.07339449541284404	0.09176319915625973	0.0019111111111111115	0.0016	0.001499958847172107	0.0147	0.0187	0.008953025559366324	551103	0.004497856490266358
fam150	0.0	0.0	0.0	0.0	0.0	0.0	0.016761111111111112	0.0	0.021011164727588915	325954	0.003561253561253561
fam155	nan	nan	nan	0.00033333333333333327	0.0	0.0006236095644623237	0.0	0.0	0.0	322165	0.0002536783358701167
fam179	0.2899586765610537	0.2346514370848594	0.2579789738943474	0.0023583333333333334	0.0028	0.00255499238963859	0.009011111111111112	0.0089	0.007103707082994601	299834	0.0039426523297491035
fam885	0.26063829787234033	0.2606382978723404	5.551115123125783e-17	0.0019055555555555557	0.0	0.002388740305456744	0.007311111111111111	0.0	0.00916496280460955	523317	0.00302049622437972
fam2021	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	850488	0.0
fam1934	0.39841097594929314	0.4347826086956522	0.21191419928898841	0.0022777777777777783	0.002	0.0016933056282364635	0.004822222222222222	0.0035	0.004343584740172768	956555	0.0028490028490028487
fam119	0.023321942671330174	0.016666666666666666	0.014572775154588945	0.0008500000000000001	0.0007	0.0005220153254455275	0.016719444444444446	0.0	0.020344816695119786	356431	0.0038038038038038036
fam1001	0.30165882818250833	0.31746031746031744	0.18052939542860053	0.003402777777777778	0.0036	0.002432018607283431	0.0084	0.0	0.010403391541009862	652962	0.004391534391534392
fam2143	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	720475	0.0
fam43	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	431886	0.0
fam1364	0.09603658536585363	0.0	0.12398269858285936	0.0020999999999999994	0.0021	0.0020999999999999994	0.003644444444444445	0.0	0.006818131238121405	1011679	0.002407407407407407
fam1587	0.11426126606214469	0.0826771653543307	0.11499230084264388	0.0007972222222222223	0.0005	0.0005771029713198268	0.022030555555555557	0.0051	0.023983916131955836	1262833	0.004367344947055093
fam2024	0.07585257925683457	0.08333333333333333	0.043216765264580626	0.0015166666666666668	0.0019	0.0012262182151277607	0.014291666666666668	0.0	0.018518854881204482	845652	0.0033333333333333335
fam2161	0.16085505670083947	0.12707182320441987	0.046877765008303596	0.0027611111111111113	0.0023	0.002365642710152733	0.017127777777777776	0.0184	0.013699039121029847	697766	0.0055055055055055055
fam174	0.2837012550425819	0.2916666666666667	0.20383697085413272	0.0013499999999999996	0.0014	0.001129527924990495	0.003475	0.0048	0.0029266377181559953	305841	0.0018456995201181245
fam1446	0.5497176058752414	0.8275862068965517	0.34133816728144967	0.0012444444444444445	0.0016	0.0010904750352342485	0.004066666666666666	0.0029	0.005466768291738324	1102381	0.001855352516978226
fam1143	0.21064814814814814	0.24074074074074073	0.07961751630518443	0.0005055555555555555	0.0	0.0006337474279783198	0.0011972222222222221	0.0	0.002239851943409444	787267	0.0006487379098844068
fam933	0.6424487553990962	0.576923076923077	0.11867080067789418	0.002136111111111111	0.00185	0.0014843915284979713	0.003327777777777778	0.0026	0.0027231120994503396	574117	0.007426207933822149
fam839	0.21583347548767573	0.2476190476190476	0.07585092959596394	0.002794444444444445	0.003	0.0021288943980443675	0.011219444444444442	0.0138	0.009504876509936139	468223	0.004438322620140802
fam1534	0.19951275829698636	0.1532846715328467	0.13960889038451457	0.0013999999999999996	0.0014	0.0005715476066494082	0.010499999999999999	0.0068	0.009332172546864125	1204173	0.002875742636834786
fam1447	0.04124056919109923	0.0353356890459364	0.033407617425028506	0.0006305555555555556	0.0	0.0008259067220820076	0.012011111111111108	0.0093	0.012495016290456185	1103966	0.00265214963707426
fam1804	0.0959691539467648	0.08547773551130007	0.15340026204296822	0.000711111111111111	0.0008	0.0007248669524577818	0.007436111111111111	0.0055	0.004892065729195125	1098453	0.002216765568515108
fam1584	0.06693805373031422	0.07167235494880546	0.12219870751308605	0.0011194444444444444	0.0	0.0013710943407942524	0.013544444444444446	0.0048	0.012718522023770521	1257437	0.003353747448235637
fam2116	0.06789849716678985	0.1056910569105691	0.04862290737354589	0.0005055555555555555	0.0	0.0006337474279783199	0.0059277777777777775	0.0041	0.0059233347923047875	750021	0.00180802103879027
fam317	0.37223702172361917	0.414021164021164	0.10585127743340636	0.014980555555555553	0.0095	0.014330034881023773	0.032119444444444444	0.0	0.03983111443920614	131255	0.01721132897603486
fam645	0.0	0.0	0.0	0.0	0.0	0.0	0.014222222222222223	0.016	0.012720742271998804	236550	0.0029868578255675027
fam124	0.1940439626618488	0.0	0.24549606613452604	0.002	0.0	0.002366431913239846	0.009913888888888887	0.0081	0.006395838611410538	352514	0.0038065843621399188
fam1765	1.226402242918372	0.7662337662337662	0.8914954260558591	0.009766666666666667	0.0059	0.008342062095189654	0.006458333333333334	0.0077	0.005020091577296618	1438575	0.07007988380537399
fam732	0.0	0.0	0.0	0.0	0.0	0.0	0.008866666666666667	0.0	0.011114954890696688	346330	0.0014730639730639729
fam989	0.0	0.0	0.0	0.0	0.0	0.0	0.00595	0.0	0.007458719729283304	637619	0.0011337868480725624
fam2075	0.0	0.0	0.0	0.0	0.0	0.0	0.008372222222222225	0.0094	0.0062072364181346654	793104	0.001628001628001628
fam1715	0.04002330591061654	0.059970014992503755	0.03572804384481791	0.0015555555555555557	0.0	0.0019499920860871383	0.025119444444444444	0.0127	0.025539368514820457	1388349	0.005421539961013645
fam1082	0.21025678899466832	0.22115384615384617	0.08315506132984668	0.001955555555555556	0.0015	0.001608733878352173	0.006913888888888889	0.0	0.008625934821409786	739772	0.00286512928022362
fam2128	0.3125	0.22222222222222224	0.1659417103520628	0.0014749999999999997	0.0017	0.0012086206554948863	0.0007999999999999999	0.0	0.0014966629547095765	735860	0.0013550135501355014
fam1197	0.0	0.0	0.0	0.0	0.0	0.0	0.0046277777777777775	0.0	0.005801226456109236	849609	0.001020705745115194
fam1736	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1408838	0.0
fam1250	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	898564	0.0
fam157	0.04625796853697833	0.059490084985835696	0.028132345779657553	0.001633333333333333	0.0021	0.0013199326582148886	0.041183333333333336	0.0353	0.030571532691559822	320760	0.007289204097714736
fam1604	0.10719682204300782	0.12527472527472527	0.09347692551046578	0.0023222222222222216	0.0019	0.0023744135078315317	0.016925000000000003	0.0147	0.013444667984826634	1280412	0.005279034690799396
fam1808	0.10666666666666667	0.10666666666666667	0.0	0.0015555555555555557	0.0	0.0019499920860871383	0.01458333333333333	0.0	0.01828117580706692	1095677	0.0038126361655773417
fam1334	0.18723290598290598	0.21875	0.19174262601680717	0.0010888888888888886	0.0	0.0013649944602609969	0.005666666666666666	0.00635	0.00420343774652235	981259	0.0019157088122605363
fam646	0.1139240506329114	0.1139240506329114	0.0	0.00135	0.00135	0.0013500000000000003	0.01185	0.01185	0.01185	237268	0.003267973856209151
fam1564	0.8422632652299888	0.6666786873422287	0.38602051105766444	0.008538888888888888	0.0078	0.0058039870289395695	0.007172222222222222	0.0116	0.0069339587502823576	1239420	0.035983137609153865
fam363	0.10557376190583076	0.07046979865771812	0.042238520493985104	0.001983333333333333	0.0021	0.00163749469888879	0.01491388888888889	0.0149	0.014913922518121892	89156	0.004764473211075152
fam233	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	242321	0.0
fam1369	0.221105527638191	0.22110552763819097	2.7755575615628914e-17	0.0017111111111111112	0.0	0.002144991294695852	0.007738888888888891	0.0	0.009701210628283514	1017886	0.0027877339705296694
