fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.0981333231164617	0.07717041800643086	0.041679440955209285	0.002922222222222222	0.00295	0.0011895636714337999	0.032513888888888884	0.0313	0.012854941824877607	251927	0.013004839009864136
fam1785	0.029369803115222057	0.03253796095444685	0.03187551449385285	0.0010833333333333335	0.0015	0.0010960788698304923	0.03829444444444444	0.0426	0.013767331389207093	1970890	0.012667575551011133
fam966	0.1639791543079744	0.0	0.24014246412501927	0.0018333333333333335	0.0	0.002374634474795834	0.016927777777777778	0.0156	0.008981574073596798	1093672	0.005973715651135005
fam393	0.05047131284010936	0.0	0.07143551824704261	0.001475	0.0	0.00195609801504026	0.032386111111111116	0.0325	0.013981518610448615	471950	0.010297680858428521
fam1571	0.06237334383665888	0.05722809490251351	0.04316190584776023	0.0018777777777777777	0.0013	0.0012797810383705641	0.031058333333333337	0.0329	0.010325975202802344	1761830	0.009673080902131183
fam3872	0.0	0.0	0.0	0.0	0.0	0.0	0.02561666666666667	0.0172	0.02216678571396604	497763	0.007435465768799104
fam158	0.009321376660308422	0.0	0.016922947383077928	0.00022222222222222223	0.0	0.00041573970964154907	0.02381111111111111	0.023	0.009545149372493332	205645	0.006454062262718299
fam1037	0.1596932849255851	0.13494809688581316	0.15956771930178015	0.002122222222222222	0.0038	0.0018984073897043148	0.013922222222222221	0.0096	0.008650340748301675	1172780	0.005464480874316942
fam3479	0.05158186626577084	0.053632958801498126	0.026063251957289396	0.0021944444444444446	0.0024	0.0013360273709031821	0.042749999999999996	0.04535	0.012963420759112072	901650	0.013434089000839628
fam3276	0.062382096337569456	0.05536332179930797	0.04978452395350918	0.0016888888888888889	0.0016	0.0014578861748317088	0.030575	0.0308	0.010845746093899366	1121174	0.009706257982120051
fam1720	0.052485039347974605	0.0	0.10548116615533118	0.0006444444444444444	0.0	0.001205645157960492	0.014644444444444444	0.0132	0.008877544844670501	1907396	0.004908522980812137
fam1499	0.04441114882653186	0.042431856097298465	0.05263561652613896	0.001405555555555555	0.0023	0.0013582964094049827	0.03740555555555556	0.0378	0.013428740828793799	1680299	0.012063746438746442
fam2659	0.0	0.0	0.0	0.0	0.0	0.0	0.019436111111111112	0.0154	0.010742805157607624	1813009	0.005912015301686662
fam3994	0.0	0.0	0.0	0.0	0.0	0.0	0.02305555555555555	0.0203	0.013373511224399365	388160	0.005648148148148148
fam1031	0.07176397248483654	0.0652335268871497	0.06416287387703325	0.0020777777777777773	0.0029	0.001674831850782359	0.03190555555555555	0.030850000000000002	0.013004805616994146	1166759	0.010033253067308795
fam4095	0.0	0.0	0.0	0.0	0.0	0.0	0.009955555555555558	0.0099	0.00942822136061152	280227	0.0028490028490028487
fam680	0.04649802914424769	0.03359807337569174	0.055213308496101246	0.001097222222222222	0.001	0.0006993989924337066	0.03003611111111111	0.0317	0.011349991502145074	781580	0.008794182310164045
