fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.05522893019795176	0.04484304932735426	0.059526044502456764	0.0008951525303284097	0.001	0.0008408818185163435	0.0179704583523679	0.019	0.010393108733179515	33126	0.0049436883607737875
fam393	0.21084842970756856	0.17543859649122806	0.18390749606558404	0.0030352458596113424	0.002	0.0023351068039565953	0.016206573347690094	0.017	0.008023579621267618	424215	0.006402719924936432
fam1037	0.08304458437401806	0.0	0.09082231054324183	0.001621360816284674	0.003	0.001718362111906432	0.006721053171306978	0.0	0.009201638497111614	839026	0.0023363529443095024
fam1720	0.14339412616859348	0.0	0.20464086011122645	0.0013696157555454036	0.0	0.0016931145324586918	0.009264423125729658	0.007	0.007456304175951219	89540	0.003208091689715495
fam1499	0.03138534684706451	0.027522935779816512	0.059792768244925125	0.001140038576721994	0.0	0.0015327147932223584	0.03217089487843257	0.0083	0.03617015112002217	335800	0.008423892198593928
fam875	0.3533282137793655	0.3404907975460123	0.27135197615704176	0.00696759556614524	0.0066	0.004273403928331899	0.02333134258779654	0.0254	0.012400233763916652	897154	0.012265357514517449
fam425	0.021469442873943412	0.0	0.049502531828587444	0.00026116838487972514	0.0	0.000511244338248532	0.018635892149088028	0.0155	0.011138363789866546	458730	0.0032240262299947594
fam98	0.12585606193864565	0.0	0.1709257357064548	0.002460486656200942	0.0	0.003392816105200805	0.019766855049712193	0.0274	0.013603179219448126	114848	0.008290760131702695
fam657	0.2628085889336205	0.19889502762430938	0.26111467318219306	0.002443733820618242	0.0024	0.0016159061481309169	0.011700939038627482	0.0108	0.006683611451058372	669464	0.004719480971709857
fam1496	0.038121139206876285	0.0	0.07547866632747388	0.0007152987158012284	0.0	0.0012170019723373236	0.019277488452362823	0.0197	0.011248821506560754	337613	0.005694043142431582
fam265	0.22061821917068825	0.27218934911242604	0.1769526051195955	0.004358255926095122	0.0047	0.0035482983642648497	0.016905400741079137	0.0161	0.01635054569172213	307645	0.007046651792118256
fam1040	0.011106317859630585	0.0	0.05250609015029373	0.0004293386122531852	0.0	0.0014805207332720905	0.0028351606517435664	0.0	0.007285329386768932	836290	0.0009237670270105172
fam1786	0.07204113282425652	0.0	0.09037897365711507	0.0016470026902187707	0.0027	0.0017763917106632424	0.012655875336277347	0.0118	0.013249566186607163	32644	0.0037254736082206774
fam1784	0.008237111394884372	0.0	0.043511343295116155	0.00014028610982925704	0.0	0.0007977972161316001	0.017621314669538018	0.0188	0.01685085568165949	34510	0.0035734293489510633
fam1093	0.025192605993011846	0.0	0.08717352428027916	0.0001606415917973707	0.0	0.0004926010336987533	0.005571402466879854	0.0047	0.004289001472993492	778744	0.0015348160028395737
fam814	0.07409591806246862	0.05413105413105413	0.0935956576791078	0.0011570986244353078	0.0019	0.0011961030016717745	0.018191122278056953	0.0205	0.011123563144830219	840787	0.004739728247133113
fam643	0.4019096923630175	0.3333333333333333	0.32589857941840045	0.0032173544490127397	0.0024	0.002678515784055675	0.005287960002030354	0.0071	0.004788986888383583	645990	0.0038238329695616125
fam62	0.018086832898407033	0.0	0.0661993783809717	9.087832641132136e-05	0.0	0.0002943578246930696	0.00659750294826437	0.0061	0.004896456083934504	76901	0.0017338700816676908
fam1358	0.28474138693895606	0.18556701030927833	0.32177029735172885	0.0015641510411271106	0.0018	0.0009963202507411377	0.0075166580337718844	0.0078	0.004918992081968902	485992	0.0033355406834467247
fam651	0.2627771638117988	0.23125	0.19713737462664166	0.0032037358509720316	0.0037	0.0017715619683183318	0.013855032739454851	0.0159	0.00786666141926679	663563	0.005704025176386984
fam150	0.06018685231655715	0.04678362573099415	0.06331399949792413	0.0008354811975551644	0.0008	0.0007655496512315254	0.015911928934010153	0.017	0.00647884293039229	174696	0.004586860588944606
fam508	0.15467519092719245	0.11627906976744186	0.17285377797073267	0.001182018151053684	0.0015	0.001150488255233698	0.007206296467210171	0.0086	0.005607993370386821	543996	0.0027579494584570726
fam155	0.6382468497945073	0.3135313531353135	4.37708878046717	0.0059044403425114085	0.0063	0.005141066854069048	0.014630215864226017	0.015	0.01124085076078965	182882	0.00840352969979487
fam179	0.1392293826967958	0.10416666666666667	0.15042922738267972	0.0014192968483331438	0.001	0.0011819193520318243	0.012861923995903971	0.0127	0.006798504926107941	212814	0.004216824504479155
fam119	0.1243764386787292	0.05780346820809249	0.16390350974863185	0.001285356073295772	0.002	0.0014231986518674466	0.013544038373686614	0.0134	0.010433664839206987	140078	0.004284265823443192
fam1001	0.08462390674438901	0.06637649619151252	0.06960359309925716	0.005335337160869076	0.006	0.002765729785773025	0.0771038387932005	0.0862	0.038736181325456136	879465	0.021795710844875412
