fam	loc
fam2	1406877
fam3	1405684
fam5	1404252
fam8	1397083
fam9	1396030
fam17	1387572
fam18	1384755
fam21	1382485
fam23	1381273
fam24	1380802
fam25	1378870
fam26	1377755
fam28	1375305
fam32	1371803
fam35	1370106
fam36	1369842
fam38	1367134
fam41	1363348
fam43	1362132
fam44	1360589
fam47	1357667
fam49	1356107
fam51	1353989
fam52	1352303
fam53	1351611
fam61	1342561
fam62	1341967
fam63	1341218
fam64	1340361
fam65	1338737
fam66	1337552
fam67	1336221
fam68	1334967
fam69	1333852
fam73	1326824
fam76	1322921
fam78	1321852
fam81	1319789
fam85	1316940
fam86	1315496
fam88	1311016
fam92	1306984
fam110	1279589
fam111	1279375
fam113	1277325
fam114	1276657
fam115	1275932
fam116	1275305
fam117	1274241
fam118	1273211
fam121	1269452
fam122	1268086
fam126	1263436
fam134	1254166
fam139	1243278
fam140	1242595
fam147	1237263
fam149	1235438
fam150	1234503
fam151	1231737
fam154	1230350
fam155	1229667
fam157	1226540
fam158	1224626
fam163	1218288
fam164	1217573
fam167	1214580
fam173	1208425
fam176	1203143
fam178	1201979
fam180	1200671
fam181	1198957
fam183	1197872
fam184	1197269
fam185	1196191
fam186	1194856
fam187	1194488
fam188	1192526
fam189	1190761
fam194	1186292
fam197	1183329
fam198	1180766
fam199	1179304
fam200	1178555
fam201	1177011
fam203	1175467
fam205	1172541
fam206	1170528
fam207	1169924
fam209	1168693
fam214	1164289
fam215	1163210
fam216	1162657
fam217	1161155
fam219	1159808
fam220	1157921
fam222	1156320
fam224	1154868
fam227	1152733
fam228	1152043
fam229	1150860
fam230	1150336
fam231	1149236
fam232	1147378
fam233	1147018
fam234	1145868
fam235	1144742
fam238	1140717
fam239	1139322
fam241	1136873
fam242	1135481
fam243	1132341
fam244	1131031
fam245	1129980
fam246	1128944
fam248	1127959
fam253	1124617
fam258	1119611
fam261	1117654
fam263	1114912
fam276	1100774
fam277	1099848
fam278	1099184
fam280	1096682
fam281	1095735
fam284	1093091
fam286	1090401
fam294	1079982
fam301	1071601
fam307	1065800
fam313	1058935
fam314	1057975
fam321	1050460
fam323	1043729
fam325	1041527
fam326	1039843
fam331	1034494
fam345	1021170
fam357	1007659
fam358	1006544
fam359	1005201
fam363	1001191
fam372	993532
fam375	991909
fam376	991171
fam377	990387
fam378	987703
fam379	987187
fam407	950428
fam409	949177
fam411	946958
fam414	944107
fam415	943307
fam417	935756
fam419	934255
fam420	933733
fam421	933029
fam424	929021
fam427	927866
fam429	926065
fam430	923867
fam432	919314
fam434	917536
fam436	916289
fam437	915159
fam438	914670
fam441	909865
fam442	909094
fam444	907060
fam445	906043
fam446	905045
fam447	904062
fam448	902900
fam449	900166
fam450	899311
fam453	895785
fam455	893356
fam456	892563
fam457	891902
fam458	891511
fam460	890008
fam461	888503
fam463	885599
fam468	876525
fam469	875806
fam470	875173
fam472	872753
fam473	872277
fam482	862920
fam484	861290
fam487	858678
fam488	857755
fam489	856984
fam511	838598
fam512	837626
fam515	833643
fam517	830036
fam519	825141
fam520	824216
fam521	822302
fam522	821405
fam523	820857
fam524	819876
fam527	816646
fam528	815568
fam533	810519
fam534	809945
fam535	808797
fam536	807545
fam537	806222
fam538	805395
fam539	804473
fam540	803005
fam541	801884
fam542	800643
fam543	799327
fam545	796890
fam546	795406
fam549	792334
fam550	791874
fam551	790268
fam553	789597
fam554	787870
fam555	786608
fam557	784198
fam558	783107
fam559	781704
fam562	779628
fam564	776737
fam565	775151
fam566	774469
fam567	773591
fam568	772627
fam569	770588
fam570	769075
fam572	765785
fam573	762714
fam574	762043
fam578	756174
fam579	755356
fam581	754127
fam582	753570
fam583	751516
fam587	747926
fam588	746934
fam591	742988
fam592	741642
fam593	740015
fam594	739121
fam595	738525
fam596	738044
fam598	733396
fam599	732119
fam600	731038
fam602	729571
fam603	728989
fam604	726173
fam605	725189
fam606	724963
fam611	717975
fam616	712478
fam617	711763
fam618	711141
fam619	710073
fam620	708364
fam621	707518
fam623	705569
fam624	704636
fam625	702172
fam631	696880
fam632	696191
fam633	695705
fam634	694625
fam638	690970
fam639	689092
fam640	687553
fam641	686150
fam642	685133
fam645	682164
fam646	680861
fam647	679487
fam653	673672
fam656	670208
fam659	668231
fam665	663186
fam667	661799
fam669	658711
fam685	639324
fam686	639071
fam687	638104
fam696	627118
fam697	626864
fam703	621550
fam759	560079
fam760	558979
fam763	553769
fam776	544555
fam777	544081
fam780	540360
fam783	537494
fam785	533257
fam788	530669
fam790	528500
fam791	527326
fam795	522507
fam796	521667
fam800	516656
fam801	514926
fam803	512416
fam805	511266
fam806	510536
fam807	508403
fam809	506945
fam811	505102
fam813	502716
fam820	497872
fam828	493148
fam831	490001
fam832	489138
fam835	487457
fam838	483827
fam843	480715
fam844	478093
fam846	476126
fam848	474739
fam849	473477
fam850	472111
fam851	471726
fam852	470690
fam853	468850
fam854	467503
fam855	467023
fam856	465504
fam863	455832
fam865	452503
fam866	451776
fam871	448868
fam874	447693
fam875	446623
fam880	441750
fam881	441413
fam884	437616
fam885	436197
fam892	427194
fam894	423924
fam896	423308
fam920	394556
fam927	389272
fam932	385544
fam949	363809
fam950	363294
fam951	361648
fam953	358375
fam954	356875
fam960	349445
fam966	342689
fam967	341623
fam969	340044
fam975	335490
fam977	332418
fam978	331391
fam979	330881
fam982	325159
fam983	323604
fam984	321906
fam985	321001
fam987	318700
fam989	316064
fam990	315327
fam994	310458
fam1000	304851
fam1002	299226
fam1003	298202
fam1005	294605
fam1006	293020
fam1007	291389
fam1008	290191
fam1010	282255
fam1014	277596
fam1015	276899
fam1016	276614
fam1017	275837
fam1019	274049
fam1020	273236
fam1021	272665
fam1022	270537
fam1024	269154
fam1026	268198
fam1029	261683
fam1030	257578
fam1032	256329
fam1033	255212
fam1034	254780
fam1035	254076
fam1036	253691
fam1037	252277
fam1038	250409
fam1039	249415
fam1041	241845
fam1043	238587
fam1045	237538
fam1046	235807
fam1047	234907
fam1050	230220
fam1051	229383
fam1052	228371
fam1053	227066
fam1054	224063
fam1063	212727
fam1068	206296
fam1069	203515
fam1070	202352
fam1071	201758
fam1074	192902
fam1075	191721
fam1077	190047
fam1078	188706
fam1079	187713
fam1080	187135
fam1084	182858
fam1085	182015
fam1086	181582
fam1087	181256
fam1089	179904
fam1092	177123
fam1093	175841
fam1094	174758
fam1095	174109
fam1096	173261
fam1097	171891
fam1100	169099
fam1105	163012
fam1106	161946
fam1113	154529
fam1116	150370
fam1117	149738
fam1118	148812
fam1125	143971
fam1127	142509
fam1133	135707
fam1135	133810
fam1139	128594
fam1140	126812
fam1141	125444
fam1142	124023
fam1144	122238
fam1146	120326
fam1147	117158
fam1149	115862
fam1151	113610
fam1157	103508
fam1158	102855
fam1159	101524
fam1161	97972
fam1162	97079
fam1164	94885
fam1166	93288
fam1169	90778
fam1170	90176
fam1171	89407
fam1172	87885
fam1173	86983
fam1174	85906
fam1175	83606
fam1176	82535
fam1177	81748
fam1178	80872
fam1179	79842
fam1181	78429
fam1183	75534
fam1184	74902
fam1185	73963
fam1191	70330
fam1193	66887
fam1194	66087
fam1196	64487
fam1197	63666
fam1204	55084
fam1207	51903
fam1208	49744
fam1209	47673
fam1210	46742
fam1212	44311
fam1213	43064
fam1218	38046
fam1219	36919
fam1222	33203
fam1226	29533
fam1227	27465
fam1230	24757
fam1232	22176
fam1233	20323
fam1234	19329
fam1240	14929
fam1241	13971
fam1242	7478
fam1247	2131
fam1248	621
fam1250	1841
fam1251	3560
fam1252	5005
fam1253	6002
fam1254	6612
fam1255	7145
fam1256	9413
fam1259	11921
fam1261	12739
fam1262	13287
fam1263	14841
fam1265	17164
fam1266	17604
fam1269	21316
fam1275	28934
fam1276	29824
fam1277	30688
fam1278	31428
fam1288	41512
fam1290	43636
fam1293	46673
fam1294	48052
fam1297	51460
fam1298	53212
fam1300	53795
fam1304	57067
fam1305	58140
fam1306	60583
fam1307	61221
fam1308	62148
fam1316	70226
fam1327	82331
fam1330	84369
fam1333	87334
fam1336	89795
fam1338	92653
fam1339	94464
fam1342	97879
fam1343	98213
fam1344	99253
fam1348	103881
fam1349	106209
fam1352	110968
fam1355	114598
fam1357	117007
fam1358	117685
fam1360	120239
fam1362	122216
fam1364	123765
fam1365	124398
fam1366	124960
fam1368	127001
fam1371	128549
fam1372	129067
fam1373	130352
fam1376	133734
fam1383	140939
fam1384	141989
fam1385	142931
fam1387	145376
fam1390	148882
fam1394	151505
fam1395	152035
fam1397	153955
fam1398	154481
fam1399	155857
fam1408	167144
fam1409	169287
fam1419	182023
fam1420	183512
fam1441	203666
fam1443	207018
fam1445	209563
fam1446	211082
fam1447	212152
fam1448	213840
fam1452	217396
fam1454	218876
fam1455	220955
fam1458	222404
fam1459	223548
fam1460	224572
fam1462	227821
fam1464	228790
fam1473	241479
fam1476	243561
fam1477	244555
fam1481	247440
fam1490	252411
fam1498	266708
fam1500	269450
fam1501	270449
fam1503	274135
fam1504	275559
fam1507	279329
fam1508	281131
fam1512	288508
fam1519	293667
fam1530	303826
fam1531	306071
fam1532	306831
fam1533	308349
fam1534	309101
fam1536	311397
fam1541	319489
fam1546	325368
fam1548	326962
fam1549	327903
fam1550	329477
fam1555	333927
fam1557	336693
fam1558	337393
fam1560	338165
fam1561	338751
fam1563	341065
fam1564	342116
fam1565	343215
fam1570	347452
fam1571	348426
fam1572	349700
fam1574	351179
fam1576	353876
fam1577	354718
fam1579	356530
fam1581	358819
fam1589	364172
fam1591	366057
fam1592	367401
fam1593	368051
fam1594	369346
fam1596	373775
fam1597	375088
fam1598	376521
fam1599	378987
fam1604	384282
fam1606	385673
fam1611	393211
fam1612	396216
fam1613	398310
fam1614	399671
fam1615	400607
fam1617	402157
fam1620	405824
fam1624	410366
fam1625	411715
fam1628	414158
fam1630	417274
fam1634	421459
fam1635	424176
fam1636	425075
fam1640	427582
fam1641	428504
fam1642	429649
fam1645	432665
fam1647	434413
fam1662	449198
fam1663	450023
fam1665	453016
fam1666	454459
fam1667	455302
fam1672	460224
fam1674	461613
fam1675	462537
fam1677	463825
fam1686	471695
fam1689	472849
fam1690	473416
fam1691	475627
fam1693	477259
fam1694	477808
fam1696	478962
fam1697	479624
fam1698	480240
fam1699	480539
fam1700	481378
fam1701	481673
fam1702	482020
fam1703	482739
fam1704	483162
fam1705	483353
fam1707	484143
fam1708	484468
fam1709	485022
fam1712	486314
fam1713	486677
fam1714	487195
fam1715	487378
fam1716	487816
fam1717	489155
fam1718	489303
fam1720	490212
fam1721	490866
fam1722	491881
fam1723	492305
fam1725	493216
fam1728	495403
fam1731	498231
fam1734	500501
fam1735	501078
fam1739	509492
fam1740	510603
fam1742	512887
fam1750	521649
fam1752	524322
fam1754	526012
fam1759	531885
fam1761	533542
fam1762	534144
fam1763	535603
fam1764	539471
fam1765	541072
fam1766	542129
fam1769	545428
fam1772	546946
fam1773	548319
fam1774	549449
fam1775	550906
fam1778	553426
fam1779	553834
fam1781	554867
fam1782	555370
fam1784	557951
fam1785	558966
fam1786	560565
fam1787	561302
fam1788	562174
fam1791	565424
fam1792	569897
fam1793	571501
fam1794	573933
fam1795	574816
fam1799	577507
fam1800	578044
fam1801	578449
fam1802	579905
fam1803	580678
fam1804	581242
fam1805	581786
fam1807	583356
fam1809	585366
fam1810	586156
fam1812	587366
fam1814	588073
fam1815	589387
fam1817	590912
fam1818	591482
fam1819	591760
fam1823	596237
fam1824	596686
fam1825	597441
fam1826	599475
fam1827	600413
fam1828	601743
fam1829	602303
fam1832	606922
fam1833	608437
fam1836	612643
fam1837	613061
fam1838	615443
fam1839	616436
fam1840	616623
fam1845	622307
fam1846	623391
fam1847	624395
fam1848	625128
fam1849	625625
fam1852	626906
fam1855	629471
fam1856	630071
fam1857	630486
fam1865	640401
fam1867	641709
fam1868	642736
fam1874	647967
fam1875	649270
fam1876	650328
