fam	loc
fam1	9303
fam2	10623
fam3	11462
fam4	12384
fam5	13852
fam6	14976
fam7	16217
fam8	17533
fam9	18618
fam10	19970
fam11	21454
fam12	23207
fam13	23588
fam14	24526
fam15	24987
fam16	26582
fam17	27253
fam18	28979
fam19	30300
fam21	32678
fam22	33769
fam23	35172
fam24	35788
fam26	37427
fam28	39445
fam29	40597
fam30	42183
fam31	42865
fam33	44625
fam34	46672
fam35	48185
fam36	48967
fam37	51481
fam38	54515
fam39	55187
fam40	56034
fam42	59965
fam43	60951
fam44	61769
fam45	62150
fam46	63003
fam47	63522
fam49	66025
fam51	69654
fam52	73019
fam53	74186
fam54	75462
fam63	83547
fam64	83998
fam65	84615
fam66	87431
fam67	88403
fam70	88995
fam71	89953
fam72	91188
fam73	92514
fam74	94515
fam75	95378
fam76	96677
fam77	97387
fam78	98451
fam79	100147
fam80	100987
fam82	102842
fam83	103775
fam84	106239
fam86	107286
fam88	108638
fam89	109157
fam90	110241
fam91	110885
fam94	113799
fam95	115693
fam96	116721
fam97	117830
fam98	119146
fam99	120567
fam100	121611
fam103	124234
fam104	125584
fam105	126960
fam106	127857
fam107	129637
fam110	132298
fam111	132600
fam112	133325
fam113	135218
fam114	135988
fam115	136451
fam116	136833
fam117	137964
fam118	138701
fam119	140020
fam120	140904
fam121	142328
fam122	143115
fam123	143788
fam125	145688
fam126	146152
fam127	146649
fam128	147162
fam130	148568
fam131	149135
fam134	154193
fam135	154717
fam136	156263
fam137	157726
fam138	158580
fam139	158970
fam141	159928
fam143	162097
fam144	162959
fam145	164717
fam146	165244
fam147	165622
fam148	167995
fam150	169228
fam153	173137
fam154	174079
fam155	175630
fam158	178503
fam159	179576
fam160	180633
fam162	181969
fam163	182285
fam164	183024
fam165	184515
fam167	186354
fam168	188539
fam169	189617
fam170	189986
fam171	190391
fam172	191551
fam173	192288
fam175	193560
fam177	199539
fam178	199823
fam179	200041
fam185	207190
fam186	208324
fam187	209517
fam190	213092
fam211	227396
fam212	228185
fam213	228658
fam214	229827
fam217	231869
fam218	233484
fam219	234878
fam220	237072
fam221	237995
fam223	240580
fam224	241502
fam225	242627
fam226	244077
fam227	244637
fam229	245809
fam230	246283
fam232	248329
fam233	250799
fam234	253710
fam235	255044
fam236	256590
fam237	258297
fam243	266699
fam244	267269
fam245	269212
fam246	270368
fam247	271224
fam248	272339
fam249	273456
fam250	274140
fam251	274930
fam253	275617
fam254	275966
fam256	276995
fam257	278391
fam258	279038
fam259	280516
fam260	281694
fam262	284394
fam263	285403
fam264	286919
fam265	287979
fam266	288819
fam267	289321
fam268	293100
fam269	294830
fam270	295696
fam276	304540
fam278	305705
fam279	306439
fam280	308573
fam283	310892
fam284	311933
fam285	313662
fam287	316066
