fam	loc
fam1	2523
fam2	4382
fam3	5648
fam4	6115
fam5	8386
fam6	11105
fam7	11741
fam21	27421
fam23	29445
fam24	30159
fam25	31629
fam27	32542
fam28	33311
fam29	35395
fam38	45942
fam39	48108
fam41	51298
fam43	53171
fam44	54442
fam47	58145
fam49	59527
fam50	60654
fam52	62779
fam53	63474
fam54	65784
fam55	66731
fam56	68194
fam58	71441
fam60	72707
fam61	75336
fam62	76546
fam71	84697
fam72	87267
fam73	87671
fam81	94154
fam87	97797
fam88	100241
fam97	114065
fam98	115178
fam99	116456
fam101	119566
fam117	139986
fam120	144337
fam122	145818
fam123	147814
fam124	149008
fam125	151378
fam131	160147
fam132	160803
fam133	161914
fam134	162516
fam135	164145
fam137	166789
fam138	167646
fam139	168430
fam145	176330
fam148	179231
fam149	179830
fam150	180402
fam151	180785
fam152	181212
fam153	182391
fam154	183188
fam155	186295
fam157	186923
fam158	188053
fam161	191353
fam162	191975
fam163	193151
fam164	193939
fam165	195513
fam167	198127
fam169	202133
fam170	205339
fam171	206237
fam172	207385
fam173	208058
fam174	209802
fam175	211451
fam176	212195
fam177	212933
fam178	214426
fam179	215347
fam180	216343
fam181	217343
fam188	228226
fam196	242366
fam197	243793
fam198	245119
fam199	246376
fam200	247189
fam201	247868
fam202	248473
fam203	250750
fam204	253377
fam205	255018
fam206	256651
fam207	257740
fam208	258918
fam209	260582
fam213	265749
fam214	267412
fam215	267752
fam216	269687
fam217	271316
fam218	272901
fam219	274373
fam220	275228
fam221	275664
fam231	295835
fam232	296924
fam234	297983
fam236	299005
fam237	299471
fam240	302765
fam241	305557
fam242	305950
fam243	307417
fam244	308043
fam245	308985
fam246	309451
fam247	310996
fam248	312521
fam249	313821
fam250	314146
fam252	318005
fam253	320280
fam254	320977
fam255	323183
fam256	326252
fam257	327757
fam258	328565
fam259	329424
fam262	331710
fam263	334178
fam265	338055
fam267	339329
fam268	339660
fam269	340235
fam270	341106
fam271	342813
fam272	343740
fam273	345221
fam274	345514
fam276	347408
fam277	348568
fam278	349575
fam279	350798
fam280	351510
fam281	352428
fam282	353476
fam283	354571
fam284	355945
fam285	357364
fam286	358326
fam287	359177
fam288	360459
fam289	361806
fam290	362642
fam291	364195
fam292	365005
fam293	366598
fam294	367357
fam296	370177
fam297	371381
fam298	371979
fam300	375760
fam302	378319
fam303	379377
fam304	380332
fam305	381019
fam306	382744
fam319	400256
fam320	401617
fam321	402452
fam323	404937
fam325	407484
fam326	408482
fam327	409314
fam328	410187
fam329	412509
fam330	413438
fam331	414588
fam332	415333
fam333	415589
fam334	416071
fam335	417413
fam336	419238
fam338	420355
fam340	422970
fam341	425294
fam342	425766
fam343	426054
fam344	426764
fam345	428748
fam346	429637
fam347	429984
fam349	431682
fam350	432190
fam352	433809
fam354	435125
fam355	436689
fam356	437748
fam357	438550
fam358	440286
fam359	441670
fam360	443000
fam361	444084
fam362	446505
fam365	451339
fam366	452363
fam367	453320
fam368	454562
fam375	463153
fam376	464373
fam377	465021
fam378	467026
fam384	477392
fam389	482350
fam391	485349
fam392	486989
fam421	519435
fam427	523498
fam428	524386
fam429	525369
fam430	526671
fam431	527110
fam433	531085
fam434	532181
fam435	533324
fam436	534282
fam437	536701
fam438	538257
fam439	539576
fam441	540600
fam442	541855
fam443	543122
fam450	550404
fam451	551191
fam452	554991
fam453	559196
fam454	559987
fam457	563987
fam458	565207
fam459	566605
fam461	1736832
fam462	1732405
fam463	1728377
fam464	1726846
fam465	1725755
fam466	1724687
fam467	1722752
fam468	1720101
fam471	1716671
fam472	1715994
fam474	1713009
fam475	1711831
fam476	1710896
fam478	1708813
fam479	1707697
fam480	1706622
fam481	1705508
fam482	1704662
fam483	1702426
fam489	1695676
fam494	1687994
fam495	1687164
fam498	1683478
fam499	1682690
fam504	1677274
fam505	1675108
fam506	1674501
fam507	1673804
fam508	1672149
fam509	1670602
fam510	1669123
fam511	1666860
fam514	1664556
fam515	1663891
fam516	1662322
fam532	1644892
fam533	1642518
fam534	1641551
fam535	1640388
fam536	1639099
fam540	1633026
fam541	1632424
fam542	1631262
fam545	1629389
fam546	1627053
fam548	1623653
fam549	1622589
fam550	1620958
fam551	1619769
fam552	1618810
fam553	1617912
fam554	1617240
fam555	1615797
fam556	1614255
fam557	1612501
fam558	1612286
fam562	1607796
fam563	1606429
fam565	1601286
fam566	1600471
fam567	1598735
