fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.07529116423085658	0.06868720144951408	0.05712984218490069	0.04345905797101449	0.04405	0.026154085456561144	0.6744358695652174	0.6063000000000001	0.513709684531536	358707	0.11096014492753623
fam966	0.025843763181788274	0.026730310262529835	0.010698598171328379	0.005384420289855072	0.0056	0.0028929217761748385	0.19571521739130435	0.20255	0.06638209434471333	1059098	0.028683574879227052
fam393	0.02841449138684224	0.022969647251845773	0.019911505140435923	0.014294202898550728	0.0147	0.009480787346652987	0.5779652173913042	0.5949	0.2518354505475529	401439	0.08525181853517685
fam1571	0.1557495353583704	0.13528403525954946	0.09762734451461764	0.07978442028985507	0.08485000000000001	0.04223732478624467	0.6144268115942029	0.5956	0.33175692658799066	1700373	0.1487895792122509
fam3872	0.0346323416058446	0.030793594932254094	0.03387109765669548	0.02909891304347826	0.0293	0.020806646937686524	0.8657007246376812	0.94435	0.4627720722656458	629281	0.1105418110249028
fam158	0.021529699823556993	0.014757854346188207	0.028153115169409805	0.002215942028985507	0.0023	0.002908937910089403	0.09949202898550726	0.09255	0.058863942312581054	154634	0.015679418042916525
fam1037	0.028638972149893627	0.02709651898734177	0.012224806934678764	0.013105434782608696	0.0136	0.005279074718492612	0.4811485507246377	0.533	0.17665808424689672	1125273	0.07327575600994071
fam3479	0.02098674144400315	0.020698869002372562	0.014549375182290863	0.008729249011857707	0.0093	0.004622168423802089	0.39589288537549405	0.4358	0.16503328837992895	1088216	0.05592869268855237
fam1720	0.025370035594213854	0.019625767222294005	0.01816617139910456	0.012757608695652173	0.0086	0.011254086861814143	0.43828514492753623	0.46399999999999997	0.19859994060865577	1847838	0.07923837560386474
fam1499	0.09148819955930461	0.07684680218145762	0.08436866801133652	0.05155398550724637	0.047799999999999995	0.029473756787830693	0.7273862318840579	0.7415	0.47625657440660224	1628618	0.1421432141072321
fam2659	0.012074427095558319	0.01207764198418404	0.004816083111480006	0.007335869565217392	0.0055	0.006601645296489954	0.5728547101449276	0.5039499999999999	0.3581217002472197	2000878	0.05161317054306392
fam1031	0.0491907732206891	0.04366142748780812	0.03704353225900923	0.010931884057971014	0.013	0.005567022276768408	0.2419623188405797	0.2306	0.10624367548296805	1118875	0.04922970425356428
fam680	0.02794509482314228	0.027065527065527065	0.012305384309946646	0.010902898550724637	0.01185	0.005267901735971635	0.3866144927536232	0.3852	0.10972991979039476	732908	0.051750877748739474
fam875	0.025665213118589943	0.022540153866918614	0.017343947113458463	0.015006521739130434	0.0128	0.012363701585172969	0.6321213768115942	0.60855	0.40195106218401516	948444	0.07351717659688675
fam4190	0.04333878239331383	0.035188216039279865	0.03922585392261406	0.01418949275362319	0.0133	0.007406660616082767	0.3970086956521739	0.44205000000000005	0.17239822810812303	265085	0.057988206371310205
fam1483	0.01526283658067306	0.008379917327858848	0.019782339117923226	0.005993840579710145	0.0027	0.010130689406878642	0.31766449275362324	0.31515	0.16621035227386885	1608824	0.04891699030658962
fam1195	0.06744432405813133	0.07284447539673966	0.029186957450184847	0.06088695652173913	0.0771	0.04240205393248966	0.8284300724637681	0.831	0.5058349585500187	1284435	0.1252092012961578
fam3726	0.11238198403706169	0.1110501782286811	0.04957224180060478	0.05485760869565217	0.0527	0.03587847816910493	0.4886608695652175	0.4807	0.26646264235940637	795349	0.10722537282083597
fam4141	0.05028057414819048	0.04725085910652921	0.023795957562035057	0.014293478260869566	0.0138	0.007392938331750349	0.3067778985507246	0.32530000000000003	0.13414787448527554	330428	0.05208197327762546
fam3379	0.007585144332255729	0.0	0.017779083641576075	0.003650197628458498	0.0	0.008764758866315628	0.423300790513834	0.3912	0.30986177270065646	1206580	0.03805085245708218
fam1928	0.017073395455754092	0.0	0.054104218944612446	0.0007355072463768117	0.0	0.0016868116191066766	0.07290434782608696	0.0541	0.07211293012519554	2039895	0.017003874300473527
fam98	0.04611743422068481	0.040332725259273894	0.04977108388553503	0.030138043478260868	0.0233	0.021125476629858305	0.7650536231884059	0.7235	0.47900807270729434	87081	0.1026169695999146
fam657	0.02705409536773763	0.026441807203830936	0.01592729950023033	0.009827272727272728	0.0096	0.006767990756945087	0.3542189723320158	0.3517	0.1575191729208831	704619	0.042672502967149036
fam1496	0.022456420238152724	0.01956560761084186	0.01932212683327391	0.009582971014492753	0.0084	0.007170604739664094	0.4526456521739131	0.4494	0.2203158349251764	1625828	0.05805981813015062
fam1988	0.036636257030086314	0.03342273571281205	0.018327008615664594	0.019487318840579707	0.0142	0.02270234821666064	0.46547137681159423	0.4209	0.262291880809689	2105508	0.07110135408486233
fam265	0.02131250758594591	0.015035024293405348	0.021492127221255906	0.008079347826086956	0.0053	0.010709743004705721	0.34037789855072464	0.35814999999999997	0.1242774600802161	268873	0.06224528339396831
fam2943	0.11154997180281914	0.09267734553775743	0.10328317688849466	0.004827536231884058	0.0054	0.004459597501106536	0.056425362318840586	0.04935	0.053338474247147834	1690120	0.011869065467266368
fam1040	0.03326726965436148	0.030945315811784654	0.01851545332939945	0.012879710144927536	0.0129	0.008789063192402361	0.3962061594202898	0.4031	0.17341817369960946	1127315	0.06192283676755727
fam3456	0.05909226053062679	0.056892858235828174	0.026981497706330692	0.03724057971014493	0.030699999999999998	0.02315583983587112	0.6354047101449275	0.6134999999999999	0.33345507771606375	1109287	0.1068610735001588
fam3641	0.06881577937465906	0.056474258970358814	0.050471719392028956	0.023690942028985508	0.0218	0.012474345754833483	0.41885760869565214	0.422	0.2154093043119	898770	0.08365025525062528
fam3986	0.028332189348007644	0.023919043238270467	0.02179663683455213	0.01032717391304348	0.0086	0.008929860791320486	0.39019239130434785	0.3951	0.1849763284309344	507554	0.057914959538514846
fam443	0.04227772090803241	0.04057971014492753	0.010825188710878581	0.018219367588932806	0.017	0.008717393248821674	0.4304924901185771	0.4449	0.14418895863901662	458194	0.08026701423236238
fam3198	0.013748716144905469	0.00954896383583909	0.01772019918959575	0.0043673913043478264	0.0034	0.005112703176834847	0.34948043478260865	0.37525	0.1392447755420396	1412485	0.0436477667598949
fam3286	0.06641028672753425	0.05911740216486261	0.04546804589890947	0.016019565217391306	0.015050000000000001	0.009150963033945948	0.26566159420289853	0.2652	0.11770961403020433	1313539	0.059395863865819895
fam4262	0.030177606436772638	0.0	0.04334892515635171	0.009587351778656125	0.0	0.014631413431204412	0.15119644268774704	0.0753	0.14612229036764462	187804	0.03537161900333255
fam355	0.014721877782772544	0.010153756890049319	0.01701922867814893	0.0046423913043478265	0.00175	0.005844938979404991	0.2764481884057971	0.32055	0.13903443100169288	347554	0.04742084880424801
