fam	loc
fam1	2497
fam2	3493
fam4	6021
fam5	6434
fam6	6851
fam7	7143
fam8	7409
fam9	8238
fam10	8924
fam11	10321
fam12	11626
fam13	12537
fam14	12771
fam15	13434
fam16	14717
fam17	15065
fam18	16147
fam19	17450
fam20	18356
fam21	21648
fam22	22936
fam23	23359
fam24	24039
fam25	24652
fam26	26224
fam28	28430
fam29	29223
fam30	29954
fam31	30754
fam33	31507
fam34	31910
fam37	34500
fam38	36120
fam39	36835
fam40	37138
fam41	37578
fam42	37987
fam43	39836
fam44	40631
fam46	42693
fam49	45339
fam50	48113
fam51	49656
fam52	50641
fam53	51343
fam54	51771
fam55	52074
fam56	53056
fam57	54132
fam58	55195
fam59	55926
fam60	57385
fam61	58969
fam64	61128
fam65	62160
fam66	63131
fam67	63481
fam68	64346
fam69	64777
fam71	66448
fam72	67937
fam73	70535
fam74	71811
fam75	72695
fam76	73159
fam77	73898
fam78	76721
fam80	78621
fam81	80644
fam83	88453
fam84	90068
fam86	91424
fam87	92098
fam88	94023
fam89	94950
fam90	96088
fam91	96383
fam94	98817
fam95	100098
fam96	101262
fam97	102555
fam99	103763
fam100	104291
fam101	105308
fam102	106770
fam105	109193
fam106	109905
fam108	112750
fam109	113410
fam110	114308
fam112	116014
fam113	116325
fam115	118340
fam116	118811
fam117	119704
fam119	121206
fam120	126273
fam122	129526
fam125	133886
fam126	134236
fam127	136347
fam128	136975
fam129	137576
fam130	138269
fam131	141025
fam132	141593
fam133	142390
fam135	145214
fam137	147585
fam138	148485
fam139	150178
fam140	150710
fam141	151490
fam142	152258
fam144	153800
fam145	154807
fam146	156009
fam147	157391
fam148	159476
fam149	159830
fam150	161097
fam151	162833
fam152	166575
fam153	168637
fam154	170067
fam155	170989
fam156	171910
fam157	172250
fam158	172813
fam161	177931
fam162	178368
fam163	178598
fam164	179069
fam165	180159
fam168	181439
fam169	182255
fam170	183763
fam171	184755
fam172	186383
fam173	187384
fam174	188347
fam175	188765
fam176	188904
fam177	190730
fam178	191082
fam179	192073
fam180	192775
fam181	194208
fam182	195149
fam183	195312
fam184	196636
fam185	197141
fam186	197442
fam187	197777
fam188	198015
fam189	198817
fam190	199395
fam191	199684
fam193	201698
fam194	202183
fam195	203287
fam196	203479
fam198	205773
fam199	206211
fam200	207692
fam201	208767
fam203	211588
