fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam393	0.11357783818513485	0.11725293132328307	0.041326537203013596	0.011215454545454546	0.0118	0.007719887314392858	0.09324060606060607	0.1023	0.05567278035413682	665922	0.03190023807872778
fam875	0.14959172676805632	0.16129032258064518	0.056606928211056194	0.009126565656565656	0.0089	0.008724087826661614	0.07277353535353535	0.0533	0.09066557300268561	1174454	0.023640311913927552
fam1483	0.38451898448049876	0.36183465458663644	0.08531638677963184	0.04659233449477352	0.0515	0.032644201122218594	0.12474727061556329	0.1521	0.08605344763060105	444056	0.06503498484462196
fam1195	0.08147578281860035	0.05232558139534883	0.07965940927136063	0.002425264270613108	0.0018	0.003003916784910734	0.031990169133192387	0.0293	0.028418466485581394	746063	0.010197489848652638
fam657	0.03529514540938104	0.03171247357293869	0.024764946549512296	0.0015523232323232327	0.00125	0.0015172841422252253	0.04743969696969697	0.0444	0.036312468430892114	939898	0.01318155572053122
fam1988	0.032162245130886405	0.03137396321673278	0.012553584159080994	0.007408139534883721	0.0076	0.0048307865022169496	0.23162167019027485	0.2771	0.12468525865963542	72374	0.05621472275460539
fam443	0.24997360056221601	0.19379310344827588	0.18695804687444972	0.03152272727272727	0.04195	0.025428603528516235	0.17498777777777777	0.222	0.1599104346602921	708128	0.058024231384887125
fam2090	0.03820526026086819	0.035558780841799704	0.028021534765339414	0.007164848484848484	0.0079	0.004627390643652462	0.18893959595959597	0.2111	0.09411617078843122	169435	0.061927219211987426
fam2139	0.010705860832776143	0.010262257696693273	0.011372686802876031	0.0007927272727272726	0.0009	0.0008475321491257149	0.08740525252525252	0.0877	0.06891223354388493	230479	0.02392857142857143
fam519	0.06767864922218234	0.06060606060606061	0.07624868124945836	0.001833615221987315	0.002	0.00164648739952921	0.0540029598308668	0.0328	0.06575119490801187	789163	0.013376780391928675
fam1093	0.15670097902964578	0.11282051282051281	0.3081044173464829	0.010554545454545454	0.011	0.007287538453591881	0.09777575757575757	0.09745000000000001	0.06692860811358652	849202	0.06846502933459456
