fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.0	0.0	0.0	0.0	0.0	0.0	0.0007222222222222222	0.0	0.0020427529234278035	38083	0.00023293733985557888
fam966	0.3536487570168404	0.41860465116279066	0.13945190132660243	0.0009058823529411765	0.0018	0.0008999807764190718	0.002641830065359477	0.0043	0.0024642440243703738	1113439	0.0014165361962275404
fam1037	0.20161290322580647	0.0	0.25406425809715105	0.0015816993464052287	0.0022	0.00157041428731097	0.0012967320261437906	0.0	0.0025215520249371264	735323	0.0015132489777520202
fam1499	nan	nan	nan	0.0014588235294117646	0.0	0.0015473160153023273	0.0	0.0	0.0	258727	0.001038826126477081
fam2659	nan	nan	nan	0.0006542483660130718	0.0013	0.000649986116302663	0.0	0.0	0.0	530370	0.0004876627653645437
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.0007666666666666667	0.0	0.001487727573628093	738048	0.0002307603553709473
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	835782	0.0
fam875	0.5995891114535182	0.48148148148148145	0.37204339087999155	0.0012999999999999997	0.0013	0.0010922184655418475	0.0010960784313725491	0.0	0.001435264652006556	1023524	0.0012391787990916532
fam1781	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	32319	0.0
fam1195	nan	nan	nan	0.0021176470588235292	0.0	0.002246103893180798	0.0	0.0	0.0	574206	0.0016171417020416415
fam1928	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	89107	0.0
fam3111	0.0	0.0	0.0	0.0	0.0	0.0	0.0008156862745098038	0.0	0.0015861375640733538	39495	0.00021651172546313213
fam98	nan	nan	nan	0.00035294117647058826	0.0	0.0009665692191267637	0.0	0.0	0.0	238486	0.00024357569114602366
fam657	nan	nan	nan	0.0024000000000000002	0.0	0.002545584412271571	0.0	0.0	0.0	812268	0.0018169429934135816
fam1496	0.07894736842105263	0.0	0.14769700210949765	0.0006	0.0	0.0011641710001743983	0.004023529411764706	0.0076	0.0037934199084831252	261334	0.001491337275651001
fam2317	0.0	0.0	0.0	0.0	0.0	0.0	0.013487581699346406	0.0268	0.013399713782239515	506582	0.0032893331624588833
fam1988	0.024517906336088153	0.0	0.09653357977131743	0.0002	0.0	0.0005656854249492379	0.0009888888888888888	0.0	0.0019188625291966526	151929	0.0004224757076468103
fam2943	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	222510	0.0
fam1040	0.05936051899907321	0.0	0.12263812840383916	7.777777777777777e-05	0.0	0.00021998877636914812	0.0011594771241830064	0.002	0.0011247912171405124	731435	0.00035096781029196546
fam443	nan	nan	nan	0.0021098039215686273	0.0024	0.0017439255810215882	0.0	0.0	0.0	592787	0.0014560279557367503
fam1784	0.3727435355342331	0.16279069767441862	0.36674692237791956	0.0007058823529411765	0.0007	0.0007603950894380647	0.0017888888888888893	0.0022	0.0016736541976391766	37578	0.0009896360097006078
fam2761	nan	nan	nan	0.0004601307189542483	0.0	0.000894744266913174	0.0	0.0	0.0	420616	0.00031689443454149336
fam2375	0.27517730496453907	0.3404255319148936	0.2276319551970011	0.0013967320261437908	0.0016	0.0013871689465814706	0.0013823529411764706	0.0	0.0021415319679029244	836278	0.0013971772283792744
fam2090	0.49561952440550694	0.7058823529411764	0.32281629927716654	0.001796078431372549	0.0024	0.001571056942130726	0.0010901960784313724	0.0	0.001683396997665532	256411	0.0016108098085569926
