fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.09444482156724644	0.0886157826649418	0.05476825737444898	0.0059329670329670335	0.0046	0.004459538608792257	0.06362637362637363	0.0647	0.02553227578242163	111700	0.02160641291076074
fam1037	0.13642348839743537	0.13490725126475547	0.07275890674402834	0.008786813186813187	0.008	0.004245649584418415	0.0686879120879121	0.072	0.023586538511136526	23268	0.025621947496947503
fam1499	0.03133442725847606	0.03203883495145631	0.0292271607729473	0.002214285714285714	0.0033	0.0020834550461568298	0.07696153846153847	0.0806	0.033175960346098245	514869	0.02009265244559362
fam1031	0.0	0.0	0.0	0.0	0.0	0.0	0.0077142857142857135	0.0	0.008511383088089356	30443	0.002254156100309947
fam680	0.2317125695612636	0.23098330241187381	0.08193294111895007	0.014617582417582419	0.01	0.009780139029176451	0.06391868131868131	0.0519	0.03720908524318632	502070	0.027327842356744094
fam875	0.07901168427722333	0.07869742198100406	0.02338707496728826	0.0072	0.0075	0.002789383326231685	0.09226813186813186	0.093	0.028284026009026967	226029	0.02831765790046447
fam1483	0.1790595851842988	0.14285714285714285	0.14745386873921174	0.009954945054945055	0.0112	0.0042442272037934775	0.07055494505494506	0.069	0.03543816240534081	501196	0.025757311471597183
fam425	0.025057026889180132	0.025116279069767444	0.011927614537883262	0.002597435897435898	0.0027	0.001332529343398886	0.1053576923076923	0.1078	0.025644595168206944	824345	0.028967032967032964
fam1195	0.1760439697537496	0.1756258324510775	0.0409228670204339	0.011747252747252747	0.0123	0.0039664898718075395	0.0681010989010989	0.0693	0.020511896813321006	155103	0.02744665880259101
fam98	0.04103238728874367	0.031047190373937356	0.026059034216289204	0.003906593406593406	0.0032	0.002417645853313599	0.10077032967032967	0.0963	0.039203665153015724	884236	0.028910967267131653
fam1496	0.2712541232544504	0.24880382775119617	0.17500028802128145	0.012730769230769231	0.0129	0.004682741103611095	0.055487912087912095	0.0503	0.024403619958301155	511660	0.026971274339695397
fam2317	0.02331202129906687	0.019800099950024987	0.016858165030270128	0.0016626373626373624	0.0014	0.0012820526425947778	0.07323516483516485	0.0772	0.020168359365062987	127398	0.020551154272084506
