fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.023520269196476387	0.022893772893772892	0.004389945976112921	0.003526666666666667	0.0039	0.0019020924150933245	0.15524666666666667	0.2142	0.09891752703922373	1851721	0.012549784605380802
fam966	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	843160	0.0
fam1571	0.19258901161908668	0.1885245901639344	0.015596688689903443	0.010253333333333333	0.0109	0.007516813745789427	0.05425333333333334	0.064	0.040449043938708316	1592149	0.014455231930960084
fam1499	0.044039315390895374	0.05267740531127558	0.02006143580994398	0.005006666666666667	0.004	0.004375304433852447	0.12687333333333334	0.1754	0.09072135703472596	1515417	0.011774461028192372
fam1031	0.020083134698253503	0.02755105554981575	0.012298713023193042	0.04257333333333333	0.0793	0.039824321993252094	1.5557200000000002	2.8521	1.4275488620709278	916691	0.11204819277108433
fam875	0.06026459515446687	0.06481895395619133	0.010532453851179237	0.04897333333333333	0.0145	0.05966104778012386	0.7581266666666667	0.2237	0.9217335764501343	751642	0.08092868988391376
fam1483	0.0869230711269532	0.08534322820037105	0.012451674893961645	0.008293333333333333	0.0105	0.004821129420466628	0.09962666666666667	0.1362	0.06252411232654345	1493123	0.015511791879406756
fam1781	0.17003732268503474	0.22152395915161038	0.1056935777642081	0.01504	0.0282	0.01406863177427002	0.06883333333333333	0.1042	0.05720642932009964	1843751	0.020883534136546183
fam425	0.009431830995028125	0.0	0.011077989891006883	0.0104	0.0	0.014707821048680186	0.5906399999999999	0.1248	0.7693601460954422	251039	0.07428571428571429
fam1195	0.05231511566546071	0.04404224499097782	0.025111253438552528	0.007046666666666668	0.0048	0.0043152236970469505	0.14056666666666665	0.1233	0.06628560091670656	1116252	0.03735514655760054
fam1496	0.00041666666666666675	0.0	0.0004930107876829451	0.033	0.0	0.04666939039670434	33.03964666666667	0.1326	46.64104264398995	1512450	0.09481481481481482
fam1988	0.03541234646674111	0.03541234646674111	0.0	0.0074	0.0	0.010465180361560904	0.20896666666666666	0.0	0.2955234940838978	505291	0.020933977455716585
fam1786	0.11180335223172033	0.11419068736141906	0.051134678570529904	0.008133333333333334	0.0103	0.004526318101454598	0.08900666666666668	0.0902	0.06265117680902374	1852174	0.014397496087636933
fam443	0.03217859674407613	0.03137254901960785	0.008894623226029831	0.0034466666666666665	0.0048	0.0023610355543466277	0.11867999999999998	0.1036	0.09641036735400055	270333	0.009753645047762693
fam1784	0.021664184131238214	0.015330188679245283	0.007080504410379342	0.0009266666666666665	0.0013	0.0006697926710723418	0.04842666666666665	0.0749	0.03716755694001004	1847509	0.004738562091503268
fam2090	0.08074067291969633	0.06525994516579586	0.030348176324397683	0.009313333333333335	0.0084	0.005481102889828733	0.11489333333333333	0.1311	0.06176323034154076	393398	0.034542705971277406
fam2139	0.021982349237340486	0.020515613652868556	0.008728781838148679	0.006026666666666667	0.0113	0.005637430462739405	0.2716733333333334	0.3904	0.2327174666605171	338557	0.01970217640320733
fam519	0.10809563214891028	0.13	0.024298586154855063	0.005513333333333332	0.0013	0.006724171985374027	0.06515333333333334	0.01	0.0838026639725068	349971	0.011707680835197612
fam1093	0.03753612462556935	0.03747072599531616	0.006776962343308255	0.004926666666666667	0.0039	0.0034870171907934273	0.12383999999999999	0.1283	0.08433055436791578	987633	0.035143414090782504
fam2025	0.1025096963622186	0.10122699386503069	0.01573947550493995	0.00558	0.0066	0.004405178770492748	0.049060000000000006	0.0652	0.04258384357163328	470366	0.014095238095238098
fam814	0.12347775630888072	0.12396694214876032	0.02645545096942428	0.01198666666666667	0.0191	0.01036943371431418	0.09979999999999999	0.1558	0.08696554106847915	682140	0.05535889872173059
fam321	0.10254202002945234	0.11659288983386686	0.02531831280107728	0.0138	0.0196	0.00853119764941203	0.13523333333333334	0.1747	0.0753841244707546	130272	0.03170873223092544
