fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.11399493589900384	0.0	0.14353626583580006	0.0018666666666666666	0.0	0.002469367890326951	0.012122222222222222	0.01455	0.009228160738591626	61712	0.035297728667894414
fam393	0.0	0.0	0.0	0.0	0.0	0.0	0.01248611111111111	0.0077	0.00828365702847674	661422	0.002918679549114332
fam1571	0.0	0.0	0.0	0.0	0.0	0.0	0.006422222222222222	0.0072	0.004770692420691099	600307	0.0016103059581320453
fam158	0.12124247638777573	0.10948905109489052	0.10332063205069779	0.0023888888888888896	0.003	0.0017042068500197744	0.019816666666666666	0.0245	0.011022590439638045	837369	0.0069949862526281735
fam1037	0.19547997596461797	0.06462785184687032	0.28470168341693275	0.003275	0.0031	0.0028306237043371828	0.04148888888888888	0.04975	0.02727621855693036	23756	0.013333333333333334
fam1031	0.007727932274927721	0.0	0.013447968861502072	0.00015555555555555556	0.0	0.0002910177967490843	0.018269444444444446	0.0211	0.009721448778758478	17161	0.004543895747599452
fam680	0.03056690500510725	0.0	0.08291795945322894	0.0006000000000000001	0.0	0.0011224972160321827	0.005925	0.0	0.007871480695100085	373839	0.0018518518518518521
fam425	0.1832639754916695	0.14973690231068404	0.17104038428009466	0.0011666666666666665	0.0014	0.0009036961141150639	0.005205555555555556	0.0047	0.00426093002657378	626411	0.002064166076904931
fam657	0.13814339855455665	0.13709677419354838	0.11324016950840889	0.0010444444444444442	0.0017	0.0010171977969031841	0.005827777777777777	0.0061	0.004832736233871329	396288	0.002090800477897252
fam265	0.036026240401676575	0.02495201535508637	0.03950193565588509	0.0014166666666666668	0.0009499999999999999	0.0012911020271242875	0.039366666666666675	0.0408	0.017068912612635222	808220	0.010601180891035964
fam1040	0.058011755686174296	0.0	0.15071619996340446	0.0008888888888888889	0.0	0.0016629588385661963	0.021447222222222225	0.0086	0.02962580975087536	26886	0.007134183363691561
fam443	0.0	0.0	0.0	0.0	0.0	0.0	0.025425	0.02965	0.01830077981034324	603551	0.005675029868578255
fam355	0.25322314523289563	0.28258412311972875	0.1286997032088728	0.004830555555555556	0.003	0.0032711550325402764	0.020038888888888887	0.01845	0.0112548823424863	700821	0.008451404424558785
fam519	0.0	0.0	0.0	0.0	0.0	0.0	0.001911111111111111	0.0	0.003575361502917322	526729	0.0004905567819475104
fam814	0.10273083234564444	0.11612903225806451	0.06852047438787771	0.0018444444444444441	0.0009	0.0014894899284364363	0.016880555555555555	0.0181	0.00617188155375492	221973	0.005636070853462158
fam321	0.23664586588531605	0.2674897119341564	0.07554739489275457	0.005441666666666667	0.0054	0.003922256649203647	0.02333333333333333	0.02855	0.01583194730775578	737462	0.009070294784580499
fam594	0.10292693365348407	0.0	0.15970387077193754	0.0012361111111111114	0.0	0.0016076471382077768	0.015186111111111114	0.0137	0.00825022399621091	453603	0.004413291796469366
fam346	0.042471937999616766	0.0	0.08590005930733044	0.0003555555555555556	0.0	0.0006651835354264786	0.010694444444444444	0.0101	0.007427349775751646	710611	0.0028913672036348617
fam643	6.035498781930919	1.0408163265306123	19.05543782256188	0.010577777777777776	0.01175	0.004694684412012703	0.011041666666666665	0.0098	0.00769481697854688	418157	0.02883493729950423
fam62	0.11501540248097683	0.0	0.14053586339551927	0.0018	0.0	0.002227604592880483	0.010094444444444444	0.0161	0.009772550686160713	751346	0.0034160373966199216
fam922	0.2690656566522077	0.23188405797101447	0.16703972407712117	0.0029333333333333334	0.0024	0.0018856180831641263	0.013744444444444446	0.015349999999999999	0.00848251287599129	106923	0.006323396567299006
fam494	0.02363538194535125	0.029411764705882353	0.023273540042595225	0.00045	0.00045	0.00045000000000000004	0.016238888888888886	0.0175	0.009202906478625162	553505	0.004460144151858988
fam1358	0.04914125004240809	0.0	0.08716885266163057	0.0009166666666666669	0.0	0.0011873172373979173	0.032122222222222226	0.0358	0.017322658750112224	374752	0.009199905033238366
fam651	0.07927695625378597	0.056179775280898875	0.10235446297370235	0.0006583333333333335	0.001	0.0006061605031306111	0.012416666666666666	0.0101	0.006838189331492169	401814	0.003834061805076299
fam910	0.03711559412120976	0.03478260869565217	0.05987197183406445	0.0007333333333333333	0.0012	0.0007086763875156433	0.023108333333333335	0.0262	0.011315239846232946	119374	0.0060889694041867965
fam150	0.09876396151237228	0.10742496050552923	0.07622396936133807	0.003311111111111111	0.0017	0.0035987480676369925	0.03033055555555555	0.0228	0.02372334550424076	829779	0.008111417202326292
fam155	0.04792895757694118	0.0	0.08704914717356375	0.0006666666666666665	0.0	0.0012472191289246474	0.028952777777777786	0.0366	0.018119134853505182	834085	0.0062399355877616755
fam179	0.14858560242655472	0.07958477508650519	0.1749843984617139	0.0020444444444444442	0.0	0.002529870928245204	0.015916666666666666	0.0142	0.01258423837804877	858206	0.005345551737304315
fam885	0.08223226727738696	0.0925925925925926	0.0705467236489128	0.002525	0.003	0.0019647412891608228	0.02176111111111111	0.032049999999999995	0.01722574426351729	150623	0.005513146734520781
fam1001	0.2674425065407699	0.20575221238938052	0.17608220103310673	0.006724999999999999	0.007549999999999999	0.0030010530559196123	0.028638888888888894	0.02895	0.011046826537210126	17496	0.012423816221284573
fam43	0.02451142206724791	0.02392344497607656	0.025593307778341786	0.0006583333333333334	0.001	0.0006061605031306111	0.02620555555555555	0.0266	0.014009202222595699	732806	0.005818892286782195
fam1364	0.010212924660179756	0.0	0.019700256776011987	0.00019999999999999998	0.0	0.00037416573867739413	0.019847222222222217	0.020950000000000003	0.009710460742905363	379765	0.005347401665231123
fam174	0.2167882755248537	0.21285862050193263	0.1241368755939833	0.0013333333333333333	0.001	0.0011055415967851333	0.005855555555555555	0.0078	0.0046513107139842524	850043	0.0022486772486772486
fam1534	0.09282265124193441	0.08979591836734695	0.06709086390510895	0.003802777777777778	0.0044	0.0022573935450611953	0.0663861111111111	0.030449999999999998	0.07366649001780395	562611	0.018607979960636963
