fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4124	0.1184785902501386	0.08487552535648221	0.11235053104391965	0.01695333333333333	0.0066	0.025385800676473908	0.2095621505376344	0.0388	0.31292065239681843	1699972	0.053664632374309795
fam1785	0.12875170141438214	0.10093252879868349	0.14050315979811792	0.012216129032258065	0.0046	0.013884395900857112	0.13637548387096773	0.0229	0.20669023261676994	908800	0.037220308313324284
fam966	0.031798642316726335	0.03166838311019567	0.028426470390250053	0.007479569892473119	0.0015	0.009698277855547067	0.24338021505376345	0.0463	0.3244474630101416	63767	0.0503843466107617
fam393	0.01089415945012655	0.0	0.028784909621946044	0.001754838709677419	0.0	0.006682226725145106	0.027312473118279567	0.0157	0.07573451490335913	563958	0.007627240143369176
fam1571	0.0628319784670436	0.06079664570230608	0.054710206675027094	0.011178924731182796	0.0029	0.01810633070909241	0.15828344086021504	0.0405	0.21615472934015917	682800	0.04260050956514229
fam158	0.01198676110287719	0.00790230292883747	0.014389543501226535	0.00439448275862069	0.0011	0.009469465357545203	0.22106068965517242	0.0496	0.31679860667359155	821034	0.044055302699135136
fam1037	0.01495997113140852	0.0	0.05232407839630833	0.0003935483870967742	0.0	0.0014985876111538654	0.02228688172043011	0.0145	0.017516708458570895	136099	0.006745703519897067
fam3479	0.1134020941820645	0.07942210671151201	0.10299126740056314	0.019701075268817203	0.0065	0.027424017786093435	0.2536913978494624	0.0397	0.35862429565128373	2363506	0.063574253865516
fam3276	0.036728740145490525	0.030465949820788527	0.0361990463565678	0.011909462365591398	0.0033	0.020611660671205696	0.35926903225806445	0.0517	0.6319104952512982	2503584	0.05823566618298174
fam1720	0.030032443280834677	0.02885885522449441	0.03909190041372187	0.0059180645161290325	0.0013	0.010336583768143016	0.20360064516129034	0.0404	0.30365045230063376	845671	0.04294323811793207
fam1499	0.05690503537796696	0.053631284916201116	0.026698975338524982	0.016581720430107527	0.0184	0.011678679648421	0.2906410752688172	0.256	0.2197119395910104	611228	0.08206682543119
fam1031	0.10225272867291349	0.022827938671209542	0.14325156094605876	0.004185806451612904	0.0022	0.004128366680227181	0.17410301075268816	0.0163	0.24233407934593257	132355	0.03870967741935484
fam3345	0.03554393693715477	0.017365082666112093	0.05879729177312891	0.00704215053763441	0.0033	0.008141801582548944	0.21336258064516128	0.0479	0.25933570334587447	2577555	0.049497455949068854
fam680	0.04626072128692163	0.043401240035429584	0.024727332148532434	0.008864301075268817	0.0086	0.005519561965994263	0.23402236559139783	0.1671	0.18614714983650285	259407	0.05283384488214051
fam4190	0.041811990055225026	0.030237580993520516	0.05116575529220221	0.0048380645161290314	0.0028	0.005577677525322061	0.1526047311827957	0.0567	0.2062698219844262	1627345	0.03722242821241709
fam1483	0.06889375888614697	0.04672897196261683	0.15584279085142502	0.004669211822660099	0.002	0.006426972325317894	0.14377561576354683	0.02455	0.203530616356782	590550	0.03793507227650812
fam1781	0.035957134834471084	0.028961450169677397	0.026757005978447445	0.004556344086021505	0.0024	0.004717504303055456	0.16289569892473119	0.0456	0.17316767082241386	905254	0.037920173181574736
fam425	0.01227738595769467	0.0	0.015497488239611348	0.0037501075268817205	0.0	0.007974068522758145	0.1493316129032258	0.0417	0.2539543760789654	532740	0.030475851006950626
fam1195	0.02223659638991993	0.0	0.03295283357289367	0.005984086021505377	0.0	0.009328386811701655	0.1584711827956989	0.0277	0.1849946896875137	310120	0.039045975485640955
fam3726	0.032726393747563906	0.023281193161149513	0.04920157244409641	0.00426984126984127	0.0014	0.005301386508886489	0.18866031746031747	0.0593	0.24029640319459425	2106278	0.04519051425526246
fam4141	0.06491545188025973	0.06821766561514196	0.06062087875143516	0.013423655913978493	0.0	0.02275771025128857	0.12031483870967741	0.0122	0.15434236714506397	1684111	0.039126448278736355
fam1928	0.025688520004510097	0.0	0.03767951469206595	0.009451724137931033	0.0	0.019384195850008487	0.17280804597701144	0.0215	0.2843132937724194	1058170	0.038893505054701565
fam3111	0.045679903454369605	0.0	0.08540357193629163	0.0046245161290322575	0.0	0.0068836818911663916	0.1122458064516129	0.0316	0.13929888431206544	2323864	0.028328687110049114
fam98	0.047060397377407505	0.04001333777925976	0.07295766965319926	0.010473118279569893	0.002	0.018104874527987813	0.16361763440860216	0.0259	0.252366679869555	890404	0.04213718746825708
fam657	0.059148177302083195	0.04278611094917892	0.07694851969986004	0.008422365591397848	0.0054	0.00922294327077969	0.16031204301075266	0.1616	0.1200507037375005	290613	0.0463878932696137
fam4153	0.028356431680614486	0.023580515048091843	0.03137621712102563	0.004767311827956989	0.0013	0.006827160044931378	0.1969815053763441	0.0555	0.26712354493773	1668443	0.04191016051114228
