fam	loc
fam1	8141
fam2	6748
fam3	4095
fam24	18990
fam25	20757
fam26	21710
fam27	22682
fam28	23367
fam29	24125
fam30	25429
fam31	26215
fam33	27859
fam34	28559
fam35	29875
fam36	30795
fam37	32288
fam38	33551
fam39	34316
fam40	35879
fam41	36709
fam42	39633
fam43	41115
fam44	41773
fam45	42967
fam46	44098
fam49	46097
fam50	47492
fam51	49200
fam52	52196
fam53	52938
fam54	55183
fam55	56990
fam56	57099
fam57	58076
fam58	59136
fam59	59784
fam60	61151
fam61	62725
fam62	64517
fam63	65045
fam65	67376
fam66	68944
fam67	69282
fam68	70107
fam69	70914
fam70	73264
fam71	74109
fam72	75108
fam73	76289
fam74	76717
fam75	77892
fam78	80608
fam79	80934
fam80	81923
fam81	82540
fam82	83392
fam83	84422
fam84	85341
fam85	85606
fam86	88004
fam87	88477
fam88	89396
fam89	91099
fam90	92106
fam91	92931
fam92	94205
fam93	95177
fam94	96185
fam95	96659
fam96	97222
fam97	98020
fam99	99181
fam101	100409
fam102	101815
fam103	102529
fam104	103983
fam105	106167
fam106	106838
fam107	107664
fam108	108602
fam109	109529
fam110	110644
fam111	110991
fam112	111568
fam113	112107
fam114	113710
fam115	114650
fam116	116090
fam117	116606
fam118	119075
fam119	120806
fam120	121283
fam121	122317
fam123	123772
fam124	126308
fam125	126685
fam126	127061
fam127	127697
fam128	128958
fam129	131847
fam130	135992
fam131	137255
fam132	138683
fam133	139817
fam134	142233
fam135	143788
fam136	146875
fam137	147321
fam138	148495
fam139	150203
fam142	153917
fam143	154677
fam146	156668
fam147	157666
fam148	158784
fam149	160498
fam151	161639
fam153	162995
fam154	164805
fam155	166064
fam156	166762
fam157	167384
fam158	168082
fam160	170780
fam161	171319
fam162	172613
fam163	173097
fam164	173759
fam165	174148
fam166	175119
fam167	175772
fam168	176682
fam169	177581
fam170	178018
fam171	178865
fam172	179340
fam173	180623
fam174	181649
fam175	182154
fam176	182648
fam177	182979
fam178	183447
fam179	184279
fam180	184929
fam181	185456
fam182	187168
fam262	271218
fam263	272539
fam267	275792
fam272	279728
fam274	283157
fam282	289974
fam283	292352
fam284	293747
fam286	295896
fam288	297653
fam289	298177
fam290	299417
fam291	300859
fam292	301776
fam293	302589
fam294	303607
fam296	304562
fam297	305620
fam298	308940
fam299	311047
fam300	311869
fam301	313339
fam302	314068
fam303	314787
fam304	315883
fam305	316972
fam307	319816
fam308	321587
fam309	323077
fam310	323898
fam311	325394
fam314	330285
fam316	332947
fam320	337554
fam322	339943
fam323	342396
fam324	343281
fam325	343863
fam326	345323
fam327	346521
fam328	347245
fam329	347624
fam330	348118
fam331	348624
fam332	349489
fam334	351411
fam335	352060
fam337	354525
fam338	354980
fam339	355599
fam340	356509
fam341	357458
fam342	359390
fam344	361201
fam345	362708
fam346	363157
fam347	364776
fam348	365932
fam349	366640
fam350	367033
fam355	372068
fam356	374016
fam357	374604
fam358	378004
fam359	378687
fam360	380047
fam361	381259
fam362	381739
fam364	382759
fam365	383228
fam366	383973
fam367	385385
fam368	387738
fam369	388491
fam370	389636
fam371	390546
fam372	391847
fam373	392664
fam374	394019
fam375	395488
fam377	397281
fam378	398539
fam379	400342
fam380	401111
fam381	401674
fam382	403233
fam383	405144
fam384	405577
fam385	406430
fam386	407313
fam387	408407
fam388	409515
fam389	411161
fam390	412066
fam391	413043
fam393	421376
fam394	421973
fam395	422571
fam396	423269
fam397	424147
fam398	424585
fam399	429140
fam400	433484
fam401	435526
fam402	436251
fam403	441032
fam404	442764
fam405	443564
fam406	444440
fam407	445050
fam408	447077
fam409	447885
fam410	448543
fam411	450763
fam412	452035
fam413	452455
fam414	453401
fam415	454033
fam416	454344
fam417	455177
fam418	455475
fam419	455814
fam420	456618
fam421	457037
fam422	457244
fam423	457510
fam424	458144
fam425	458464
fam426	459033
fam427	459348
fam428	459771
fam429	460316
fam430	460685
fam431	461225
fam432	461429
fam433	461879
fam434	463258
fam435	463503
fam436	463650
fam437	464037
fam438	464464
fam439	465293
fam440	466516
fam441	467054
fam442	467551
fam443	469399
fam444	470400
fam445	471241
fam446	472181
fam447	474471
fam448	475666
fam450	476770
fam451	477639
fam452	478733
fam453	479402
fam454	480729
fam455	481023
fam456	481480
fam457	483956
fam458	485479
fam459	486121
fam460	486783
fam461	487325
fam462	489475
fam463	490190
fam464	491293
fam465	492481
fam466	493309
fam467	494297
fam468	499298
fam470	502086
fam471	503160
fam472	503924
fam473	504471
fam474	505284
fam475	506074
fam476	506454
fam477	507656
fam479	508735
fam480	510092
