fam	loc
fam1	271122
fam2	271432
fam3	272857
fam4	274067
fam5	275518
fam6	276313
fam7	277129
fam8	278021
fam9	278225
fam10	279401
fam11	280154
fam12	280856
fam13	281965
fam14	284059
fam15	285497
fam16	286632
fam17	287626
fam18	287946
fam19	288325
fam20	288512
fam21	288921
fam22	289214
fam23	290256
fam24	291626
fam25	293060
fam26	294282
fam27	294806
fam28	297472
fam29	299616
fam30	300268
fam31	301490
fam32	302656
fam33	302980
fam34	303480
fam35	304262
fam36	305038
fam37	305861
fam38	306489
fam39	307379
fam40	309212
fam41	310311
fam42	311290
fam43	312539
fam44	313535
fam45	314735
fam46	315664
fam47	316468
fam48	317163
fam49	318017
fam50	318887
fam51	321223
fam52	322275
fam53	323648
fam54	324577
fam55	325186
fam56	325637
fam57	326618
fam58	326931
fam59	327955
fam60	328955
fam61	329683
fam62	330964
fam63	331432
fam64	331953
fam65	333332
fam66	334309
fam67	335111
fam90	351140
fam91	351887
fam92	352837
fam93	353421
fam94	353915
fam96	355335
fam97	355820
fam98	356164
fam105	367449
fam106	368120
fam107	368709
fam108	369233
fam109	369987
fam110	371382
fam111	371882
fam114	373653
fam115	374610
fam116	375087
fam117	375605
fam118	378076
fam119	379095
fam120	379835
fam121	380455
fam122	381779
fam123	382707
fam124	383792
fam125	384571
fam126	384857
fam127	385302
fam128	386465
fam129	387730
fam130	389321
fam131	390070
fam132	391604
fam133	392690
fam134	394565
fam135	395018
fam136	395958
fam137	396959
fam138	398165
fam139	398901
fam142	401931
fam143	402365
fam144	403732
fam145	406194
fam146	407561
fam147	407932
fam148	409439
fam149	410887
fam150	412044
fam151	413651
fam152	414938
fam153	416338
fam154	416979
fam155	418358
fam156	418818
fam157	419607
fam158	422140
fam159	422855
fam160	423382
fam161	425403
fam162	427258
fam163	429041
fam164	430413
fam165	431421
fam166	432497
fam167	432735
fam168	434980
fam169	437059
fam170	440049
fam171	441447
fam172	442391
fam173	443120
fam174	444272
fam175	445599
fam176	446529
fam177	447178
fam178	448313
fam179	448627
fam180	449279
fam181	449862
fam182	450254
fam183	451060
fam184	452250
fam185	452792
fam186	453580
fam187	454696
fam188	454946
fam189	455912
fam190	456748
fam191	457071
fam192	459467
fam193	459961
fam194	461617
fam195	462148
fam196	462729
fam197	463234
fam198	464340
fam199	464705
fam200	465558
fam201	465782
fam202	466332
fam203	466753
fam204	467134
fam207	474420
fam208	475174
fam209	475637
fam210	476799
fam211	477928
fam212	478910
fam213	480225
fam214	481637
fam215	482469
fam216	484172
fam217	484752
fam218	485286
fam219	485623
fam220	486471
fam221	488261
fam222	489018
fam223	489229
fam224	490070
fam225	490947
fam226	493120
fam227	495832
fam228	497287
fam229	499511
fam230	500113
fam231	500720
fam232	502774
fam233	503928
fam234	504234
fam235	505083
fam236	506476
fam237	508093
fam238	508545
fam239	509428
fam240	509630
fam241	510366
fam242	511495
fam243	512715
fam244	514693
fam245	515547
fam246	516179
fam247	517064
fam248	518130
fam249	519780
fam250	521223
fam251	522753
fam252	524156
fam253	527102
fam254	527460
fam255	527891
fam256	528291
fam257	529945
fam258	530958
fam259	532767
fam260	534488
fam261	535118
fam262	537469
fam263	539587
fam264	540726
fam265	542068
fam266	542285
fam267	543192
fam268	544031
fam269	544479
fam270	546192
fam271	547570
fam272	548546
fam273	549649
fam274	550840
fam275	551124
fam276	551714
fam277	552207
fam278	553289
fam279	554015
fam280	554877
fam281	556228
fam282	556750
fam283	557250
fam284	557785
fam285	558648
fam286	559498
fam287	561365
fam288	562847
fam289	563756
fam290	565195
fam291	566547
fam292	568010
fam293	568599
fam294	571091
fam295	572237
fam296	573579
fam297	574356
fam298	576251
fam299	577210
fam300	577883
fam301	578521
fam302	578882
fam303	579171
fam304	579695
fam305	581400
fam306	581665
fam307	582168
fam308	582753
fam309	583713
fam310	584087
fam311	586270
fam312	587243
fam313	588644
fam314	589755
fam315	590506
fam316	591997
fam317	593332
fam318	593922
fam319	594190
fam320	594989
fam321	595706
fam322	598784
fam323	599238
fam324	599560
fam325	600319
fam326	601516
fam327	602873
fam328	603615
fam329	605130
fam330	606331
fam331	607221
fam332	608206
fam333	608957
fam334	609682
fam335	611484
fam336	612382
fam337	613016
fam338	613718
fam339	614817
fam340	615112
fam341	616892
fam342	618629
fam343	619804
fam344	620301
fam345	621147
fam346	621644
fam347	622615
fam348	625136
fam349	626606
fam350	627338
fam351	628048
fam352	628308
fam353	628809
fam354	629536
fam355	631557
fam356	632557
fam357	633908
fam358	635014
fam359	635791
fam360	636336
fam361	637164
fam362	637701
fam363	638323
fam364	641079
fam365	643118
fam366	644069
fam367	644991
fam368	645619
fam369	646509
fam370	648078
fam371	649082
fam372	650664
fam373	651959
fam374	652682
fam376	655615
fam377	656376
fam378	657450
fam380	658951
fam381	661132
fam382	661754
fam383	662210
fam384	664269
fam385	665034
fam386	666146
fam387	666876
fam388	667154
fam389	667819
fam390	670100
fam391	671704
fam392	672738
fam393	673322
fam394	674845
fam395	675374
fam396	676801
fam397	678507
fam398	679378
fam399	680728
fam400	682202
fam401	682762
fam402	683838
fam403	684861
fam404	685804
fam405	687134
fam406	687643
fam407	690332
fam408	690875
fam409	692533
fam410	694523
fam411	695427
fam412	696225
fam413	697486
fam414	699282
fam415	703649
fam416	704126
fam417	705224
fam418	706660
fam419	707900
fam420	708321
fam421	708976
fam422	711406
fam423	712427
fam424	713323
fam425	714315
fam426	716787
fam427	717755
fam428	720315
fam429	720887
fam430	722079
fam431	723445
fam432	724210
fam433	724486
fam434	725690
fam435	727003
fam436	727671
fam437	728372
fam438	731049
fam439	731531
fam440	732762
fam441	734210
fam442	736511
fam444	738324
fam445	740111
fam446	741546
fam447	743224
fam448	744884
fam449	746650
fam450	747604
fam451	749035
fam452	750703
fam453	752117
fam454	752436
fam455	752965
fam456	753967
fam457	754847
fam458	755234
fam459	755992
fam460	756584
fam461	757326
fam462	758164
fam463	758789
fam464	759485
fam465	760771
fam466	762188
fam467	762679
fam468	763104
fam469	764069
fam470	764418
fam471	765831
fam472	767123
fam473	767610
fam474	768470
fam475	769623
fam476	770165
fam478	773266
fam479	774245
fam480	775357
fam481	776563
fam482	777893
fam483	778732
fam484	779543
fam485	780094
fam486	780975
fam487	781201
fam488	784670
fam489	786187
fam490	787527
fam491	788575
fam492	789060
fam493	789520
fam494	790501
fam495	791354
fam496	792316
fam502	798348
fam503	799228
fam504	800511
fam505	802078
fam506	803426
fam507	804004
fam508	804350
fam509	805252
fam510	806658
fam511	808694
fam512	809635
fam513	811770
fam514	812402
fam515	812911
fam516	813794
fam517	814635
fam518	814952
fam519	815584
fam520	817031
fam521	817947
fam522	818894
fam524	822802
fam525	824140
fam526	824806
fam527	825543
fam528	826179
fam529	827239
fam530	829401
fam531	831175
fam532	832467
fam533	833146
fam534	834040
fam535	835376
fam536	835934
fam537	837033
fam538	839204
fam539	840577
fam540	841616
fam541	843011
fam542	843595
fam543	844787
fam544	845284
fam545	846567
fam546	847572
fam547	848269
fam548	849563
fam549	850326
fam550	851505
fam551	851928
fam552	852507
fam553	852718
fam554	853260
fam555	853779
fam556	854487
fam557	855544
fam558	855874
fam560	857895
fam561	859734
fam562	860128
fam563	861840
fam564	862220
fam565	863274
fam566	864184
fam567	865791
fam568	866678
fam569	867212
fam570	867956
fam571	868694
fam572	869615
fam573	871184
fam575	872812
fam576	874279
fam577	876020
fam578	877640
fam579	878451
fam580	879213
fam581	880441
fam582	881282
fam583	881859
fam584	883360
fam585	884705
fam626	925201
fam719	841275
fam720	840761
fam721	839603
fam732	825762
fam733	824689
fam734	824292
fam735	823700
fam737	820399
fam738	819444
fam739	818621
fam740	818211
fam741	817169
fam742	816269
fam743	814479
fam744	813861
fam745	813011
fam746	811945
fam747	811417
fam748	810867
fam749	809948
fam750	808136
fam751	806430
fam752	804977
fam753	803580
fam754	802577
fam757	798615
fam758	797934
fam759	796541
fam760	795801
fam761	795003
fam762	794156
fam763	793883
fam764	793285
fam765	792380
fam766	791025
fam767	790121
fam768	789474
fam769	788310
fam770	787511
fam771	785893
fam772	784713
fam773	784144
fam774	783338
fam775	782820
fam776	781831
fam777	781217
fam778	779019
fam781	774672
fam782	773255
fam783	772678
fam784	771402
fam785	770824
fam786	770337
fam787	769954
fam788	769146
fam789	768082
fam790	767116
fam791	766520
fam792	765143
fam793	764780
fam794	763543
fam795	761845
fam796	761256
fam797	760442
fam798	759564
fam799	758494
fam800	756552
fam801	755563
fam802	754438
fam803	752334
fam804	751386
fam805	750486
fam806	749761
fam807	748796
fam808	747896
fam809	747472
fam810	746711
fam811	746017
fam812	745773
fam813	744931
fam814	744254
fam815	743551
fam816	742590
fam817	739358
fam818	738277
fam819	736977
fam820	736079
fam821	735269
fam822	734869
fam823	732757
fam824	732283
fam825	730533
fam826	730034
fam827	728719
fam828	727584
fam829	727201
fam830	724601
fam831	723014
fam832	721869
fam833	720619
fam834	719197
fam835	718366
fam836	717020
fam837	716199
fam838	715273
fam839	714216
fam841	711594
fam842	710496
fam843	709725
fam844	708358
fam845	707712
fam846	707195
fam847	706099
fam848	705648
fam849	705320
fam850	704589
fam851	704030
fam859	697868
fam860	696164
fam861	695890
fam862	695181
fam863	694383
fam866	690070
fam867	688781
fam868	688050
fam869	687556
fam870	687307
fam871	686341
fam872	685334
fam873	682929
fam874	681761
fam875	680608
fam876	679559
fam877	678486
fam878	678147
fam879	675386
fam880	674533
fam881	674264
fam882	673621
fam883	672684
fam885	670081
fam886	669035
fam887	667961
fam888	667056
fam889	666554
fam890	665360
fam891	664912
fam892	662344
fam893	662023
fam894	661737
fam895	660590
fam896	660042
fam897	659436
fam898	659285
fam899	658242
fam900	655755
fam901	653568
fam902	652753
fam905	650822
fam906	648568
fam907	647116
fam908	646780
fam909	644271
fam910	643208
fam911	642625
fam912	641639
fam913	641260
fam914	640715
fam915	639826
fam916	638519
fam917	636545
fam918	635397
fam920	633568
fam921	632572
fam922	631106
fam923	630725
fam924	627927
fam925	627129
fam926	625630
fam927	625490
fam928	624832
fam929	624076
fam930	623734
fam931	623181
fam932	622954
fam933	621424
fam934	620298
fam935	619794
fam936	618831
fam937	617593
fam941	614027
fam942	613331
fam943	612527
fam944	611413
fam945	611041
fam946	610355
fam947	606607
fam948	603089
fam949	602437
fam950	602096
fam951	601293
fam952	600504
fam953	599629
fam954	598464
fam955	597760
fam956	596440
fam957	595757
fam958	594371
fam959	593826
fam960	593111
fam961	592333
fam962	591424
fam963	591156
fam964	590400
fam965	588590
fam966	587097
fam967	586049
fam968	584664
fam969	583352
fam970	582217
fam971	580791
fam972	579850
fam973	578980
fam974	578405
fam975	577573
fam976	576848
fam977	576281
fam978	574231
fam979	573251
fam980	572561
fam981	571538
fam982	570649
fam983	569022
fam984	567546
fam985	566110
fam986	564762
fam987	563164
fam988	561641
fam989	560569
fam990	559858
fam991	557899
fam992	557007
fam993	555913
fam994	555246
fam1004	543439
fam1005	542583
fam1007	540138
fam1008	539144
fam1009	538626
fam1011	528218
fam1012	526237
fam1013	525310
fam1014	524549
fam1015	523812
fam1016	523232
fam1017	521683
fam1018	521202
fam1019	520987
fam1020	520356
fam1021	519626
fam1022	518997
fam1023	517883
fam1024	517030
fam1025	515972
fam1026	515398
fam1027	514790
fam1028	513946
fam1029	513137
fam1030	511816
fam1031	511574
fam1032	510337
fam1033	508812
fam1034	508657
fam1035	507287
fam1036	506467
fam1037	505070
fam1038	504056
fam1039	502905
fam1040	502205
fam1041	500383
fam1042	499681
fam1043	498166
fam1044	496875
fam1045	495651
fam1046	494681
fam1047	493629
fam1048	492674
fam1049	492316
fam1050	491488
fam1051	490685
fam1052	489849
fam1053	488884
fam1054	487961
fam1055	486990
fam1056	485579
fam1057	484554
fam1058	483681
fam1059	482424
fam1060	481712
fam1061	480829
fam1062	479543
fam1063	478269
fam1064	476818
fam1065	475842
fam1066	475204
fam1067	474559
fam1068	473592
fam1069	472735
fam1070	471649
fam1071	469159
fam1072	468585
fam1073	467272
fam1074	465523
fam1075	465068
fam1077	463137
fam1080	449290
fam1081	448407
fam1082	448175
fam1083	446700
fam1084	446285
fam1086	441388
fam1087	440683
fam1088	439230
fam1089	438165
fam1090	437353
fam1091	435206
fam1092	434324
fam1093	433796
fam1094	433224
fam1095	431177
fam1096	428551
fam1097	426479
fam1098	424981
fam1099	424122
fam1100	423792
fam1101	422915
fam1102	422497
fam1106	417603
fam1107	417212
fam1108	415861
fam1109	414639
fam1110	414152
fam1111	412405
fam1112	411219
fam1113	410411
fam1114	409774
fam1115	409479
fam1116	408587
fam1117	408028
fam1118	406781
fam1119	406244
fam1120	405235
fam1121	404083
fam1122	402363
fam1123	398818
fam1124	397925
fam1125	396820
fam1126	396080
fam1127	393955
fam1128	391915
fam1129	390375
fam1130	388422
fam1131	386728
fam1132	385142
fam1133	384059
fam1134	382497
fam1135	381013
fam1136	380702
fam1137	380202
fam1138	379899
fam1139	378853
fam1140	376593
fam1141	374101
fam1142	373787
fam1143	373289
fam1144	371808
fam1145	370969
fam1146	370076
fam1147	369379
fam1148	368528
fam1149	368245
fam1150	367254
fam1151	366689
fam1152	365899
fam1153	365308
fam1154	364847
fam1155	364128
fam1156	363567
fam1157	362997
fam1158	362633
fam1159	360947
fam1160	359262
fam1161	358268
fam1162	357293
fam1163	356102
fam1164	354972
fam1165	354340
fam1166	353484
fam1167	352720
fam1168	352001
fam1169	351470
fam1170	350981
fam1171	348312
fam1172	346180
fam1173	345323
fam1174	344069
fam1175	343202
fam1176	341786
fam1177	340688
fam1178	339996
fam1179	339260
fam1180	338115
fam1181	337443
fam1182	335795
fam1183	334871
fam1184	333469
fam1185	332810
fam1186	332127
fam1188	326012
fam1189	324903
fam1190	323748
fam1191	322995
fam1192	321723
fam1193	321008
fam1194	320457
fam1195	319242
fam1196	318816
fam1197	316700
fam1198	316171
fam1199	315693
fam1200	314886
fam1201	314017
fam1202	313225
fam1203	308081
fam1204	307331
fam1206	305340
fam1207	302539
fam1208	300968
fam1209	299407
fam1210	299041
fam1211	296542
fam1212	294259
fam1213	293245
fam1214	291090
fam1215	290527
fam1216	289220
fam1217	288795
fam1218	288439
fam1219	284885
fam1220	284295
fam1221	283528
fam1222	281641
fam1223	280214
fam1224	279950
fam1225	278898
fam1226	277991
fam1227	277301
fam1228	276861
fam1229	276337
fam1230	274580
fam1231	274220
fam1232	273236
fam1233	272859
fam1234	271805
fam1235	270981
fam1236	269999
fam1237	268884
fam1242	260697
fam1243	260258
fam1244	259492
fam1245	258885
fam1246	258018
fam1247	256791
fam1248	256135
fam1249	254964
fam1250	254551
fam1251	254019
fam1252	253325
fam1253	252216
fam1254	251741
fam1255	249917
fam1256	249645
fam1257	248424
fam1258	247396
fam1259	246321
fam1260	245647
fam1261	244058
fam1262	243327
fam1263	241178
fam1264	240326
fam1265	238701
fam1266	237407
fam1267	236483
fam1268	235280
fam1269	234132
fam1270	233026
fam1271	232129
fam1272	231290
fam1273	230870
fam1274	229517
fam1275	228461
fam1276	227126
fam1277	226444
fam1278	225232
fam1279	224408
fam1280	223708
fam1281	222324
fam1282	221257
fam1283	220086
fam1284	219474
fam1285	218043
fam1286	217598
fam1287	216387
fam1288	215231
fam1289	214432
