fam	loc
fam1	822
fam2	1399
fam3	2158
fam4	2935
fam5	6033
fam6	6316
fam7	7237
fam8	7681
fam9	8914
fam10	9425
fam11	11968
fam12	13808
fam13	14749
fam14	14882
fam15	15525
fam16	16466
fam17	17773
fam18	18469
fam19	19309
fam20	25874
fam21	27815
fam22	28132
fam23	28455
fam24	29281
fam25	29754
fam26	29997
fam28	30921
fam29	31189
fam30	32133
fam31	32818
fam33	34669
fam34	35001
fam35	36180
fam36	36506
fam37	36603
fam38	37336
fam39	38624
fam40	39742
fam41	40123
fam42	40686
fam45	43278
fam46	43858
fam47	44592
fam49	47952
fam50	48440
fam51	49468
fam52	49707
fam53	55222
fam55	57105
fam56	58482
fam57	58940
fam58	59793
fam59	60105
fam60	60632
fam61	62370
fam62	64383
fam63	64664
fam64	65955
fam65	66242
fam66	67736
fam67	68494
fam68	68735
fam70	71776
fam71	72325
fam72	72899
fam73	73451
fam74	73654
fam75	73943
fam78	75666
fam79	77361
fam80	78886
fam81	79333
fam82	81205
fam83	81764
fam84	82528
fam85	83375
fam86	85276
fam87	85596
fam88	86456
fam90	88431
fam91	88567
fam92	89803
fam93	91647
fam94	92494
fam95	94878
fam96	96890
fam97	97741
fam98	98245
fam99	99180
fam100	100005
fam101	100882
fam102	102334
fam103	102442
fam105	104246
fam106	105489
fam107	105970
fam108	106626
fam109	113106
fam110	114767
fam111	115895
fam112	117023
fam114	119927
fam115	120580
fam116	121936
fam117	122451
fam118	123592
fam119	124352
fam120	124971
fam122	125449
fam123	125808
fam124	125956
fam126	127285
fam127	128221
fam128	129128
fam129	129378
fam130	130344
fam131	132097
fam132	132330
fam133	133322
fam134	134193
fam135	134493
fam136	137126
fam138	142176
fam139	145083
fam140	147922
fam141	151536
fam142	155555
fam143	155989
fam144	156395
fam145	157394
fam146	158824
fam147	159013
fam148	159808
fam149	160491
fam150	161503
fam151	162094
fam152	162788
fam153	164446
fam154	165402
fam155	166549
fam156	167502
fam157	169063
fam158	169953
fam159	170494
fam160	171016
fam161	172940
fam162	173743
fam163	174291
fam164	174800
fam165	176912
fam166	177530
fam167	178124
fam168	178831
fam169	179556
fam170	180176
fam172	185819
fam173	190195
fam174	190315
fam176	191783
fam177	193449
fam178	194468
fam180	196884
fam181	197023
fam182	199278
fam183	200371
fam184	201164
fam185	201921
fam186	202631
fam187	204340
fam188	205824
fam189	206129
fam190	207484
fam191	208513
fam192	208845
fam193	210388
fam194	210822
fam195	211382
fam196	212029
fam197	215033
fam198	216346
fam199	217098
fam200	217915
fam201	219027
fam202	220136
fam203	220636
fam204	220920
fam205	221667
fam206	221992
fam207	225273
fam208	226081
fam209	227030
fam212	229876
fam213	230212
fam216	231031
fam217	232526
fam218	233089
fam219	234389
fam220	235642
fam221	235995
fam222	236414
fam223	237772
fam224	237939
fam225	240722
fam226	242348
fam227	244051
fam228	244814
fam229	244984
fam230	246472
fam231	248526
fam232	250039
fam233	250985
fam235	252186
fam236	253168
fam237	253843
fam238	255243
fam239	255758
fam241	257635
fam242	258094
fam243	258936
fam244	259334
fam245	259510
fam246	263112
fam247	263696
fam248	263977
fam249	264647
fam251	265901
fam252	267053
fam253	267681
fam254	268632
fam255	269707
fam256	270058
fam257	271909
fam258	272400
fam259	273043
fam260	273187
fam261	275182
fam262	275561
fam263	281267
fam264	281976
fam265	282330
fam266	282592
fam268	283161
fam269	283468
fam270	284446
fam271	285354
fam272	286014
fam273	290362
fam274	291573
fam276	293480
fam277	293890
fam278	295945
fam279	296397
fam280	297919
fam281	298946
fam282	299390
fam283	299661
fam284	300502
fam285	301817
fam286	302681
fam287	304484
fam288	306488
fam289	307287
fam290	307592
fam291	307811
fam292	308115
fam293	309260
fam294	309940
fam295	312007
fam296	312407
fam298	314345
fam299	316543
fam300	318021
fam301	319729
fam302	320532
fam303	321207
fam304	322474
fam305	323035
fam306	323521
fam308	324958
fam311	325778
fam313	326660
fam315	328679
fam316	329653
fam317	330048
fam318	330777
fam319	331803
fam320	332864
fam321	333981
fam322	334220
fam323	335495
fam324	337173
fam325	338281
fam326	339490
fam327	340290
fam328	341653
fam329	342271
fam330	342782
fam331	343965
fam332	344840
fam333	346355
fam334	348854
fam335	350106
fam336	351030
fam337	353166
fam339	354320
fam340	355310
fam341	357277
fam343	358936
fam345	360999
fam346	362136
fam347	362776
fam348	363306
fam349	363861
fam350	365064
fam352	366296
fam353	367590
fam354	368025
fam355	368743
fam356	368954
fam357	369476
fam358	370499
fam359	372513
fam362	378495
fam363	379141
fam364	380688
fam365	383024
fam366	384748
fam367	385154
fam368	385432
fam369	387082
fam370	388530
fam371	388862
fam372	389693
fam373	390393
fam374	391037
fam375	391818
fam376	392278
fam377	393909
fam378	394910
fam379	396819
fam380	398233
fam381	398415
fam382	398758
fam383	399933
fam384	400528
fam385	400691
fam387	402046
fam390	403731
fam391	406433
fam392	407050
fam393	407776
fam394	408469
fam395	409462
fam396	410871
fam397	411891
fam398	412559
fam399	413637
fam400	414996
fam401	416523
fam402	417923
fam403	418602
fam405	419848
