fam	loc
fam2	5597
fam3	6230
fam4	7080
fam5	7691
fam6	8409
fam7	9001
fam8	9609
fam9	10444
fam10	11555
fam11	12124
fam12	12498
fam13	15069
fam14	15737
fam15	16065
fam16	17192
fam17	18127
fam18	19607
fam19	20188
fam20	21056
fam21	21800
fam22	23023
fam23	23866
fam24	24811
fam25	26191
fam26	27055
fam29	28015
fam30	31643
fam31	34830
fam32	35565
fam33	37090
fam34	39672
fam35	41276
fam36	41829
fam37	42240
fam38	42840
fam39	44627
fam40	45461
fam41	47393
fam42	47952
fam43	48565
fam44	49582
fam45	49902
fam46	50708
fam48	52018
fam49	52197
fam50	52900
fam51	53385
fam52	54016
fam53	54719
fam54	56145
fam55	57281
fam56	58742
fam57	60998
fam58	61758
fam59	62432
fam60	63022
fam61	64403
fam62	66896
fam63	67854
fam64	79398
fam65	79822
fam66	81229
fam67	82214
fam68	84082
fam69	84638
fam70	85613
fam71	87118
fam72	88294
fam73	90155
fam74	91162
fam75	92463
fam76	93335
fam77	94529
fam78	95681
fam82	99884
fam83	100981
fam84	102095
fam85	103069
fam86	105520
fam87	107261
fam88	108673
fam89	109063
fam90	110591
fam91	111929
fam92	112899
fam93	113631
fam94	115454
fam95	117236
fam96	118057
fam97	118770
fam99	121268
fam100	121994
fam101	122644
fam102	123607
fam103	125022
fam104	125394
fam105	126058
fam106	127215
fam107	129020
fam108	129885
fam109	131062
fam111	131856
fam112	132947
fam113	134001
fam114	135374
fam115	137757
fam116	140015
fam117	141101
fam118	141640
fam120	144221
fam121	145227
fam122	146494
fam124	148404
fam125	149035
fam126	150911
fam127	151987
fam128	152785
fam129	153170
fam130	155132
fam131	156355
fam134	158605
fam135	159082
fam136	159832
fam137	160315
fam138	161132
fam139	162410
fam140	163221
fam141	164330
fam142	166599
fam143	167218
fam144	168220
fam145	169231
fam146	169648
fam147	172563
fam148	173355
fam149	174956
fam150	175622
fam151	177487
fam152	177955
fam153	179231
fam155	180022
fam156	180697
fam157	181084
fam158	182977
fam159	183619
fam160	184575
fam161	185275
fam162	185608
fam163	186101
fam164	187027
fam165	187906
fam166	188626
fam167	189643
fam168	191054
fam169	191586
fam170	192771
fam171	193266
fam172	194087
fam173	195208
fam174	195975
fam175	196296
fam176	197780
fam177	199785
fam178	202458
fam180	204116
fam181	205893
fam182	208438
fam183	209019
fam184	212451
fam185	214964
fam186	216017
fam187	217188
fam188	218258
fam189	219421
fam190	220849
fam191	221367
fam192	221980
fam193	223116
fam194	223825
fam195	225304
fam196	226271
fam197	227242
fam198	228175
fam199	228910
fam200	229614
fam201	230428
fam202	231300
fam203	232403
fam204	233016
fam205	233492
fam206	234408
fam207	235083
fam209	237731
fam210	238880
fam211	239278
fam213	242534
fam214	243773
fam215	244921
fam216	246555
fam217	247523
fam218	248075
fam219	249548
fam221	250348
fam223	252006
fam224	253327
fam225	254927
fam226	256038
fam227	257020
fam228	257412
fam229	258209
fam230	259100
fam231	260409
fam232	260985
fam233	261743
fam234	262842
fam235	264059
fam236	264749
fam237	265384
fam238	265906
fam239	266471
fam240	267108
fam241	268034
fam242	269546
fam243	270301
fam244	271593
fam245	273094
fam246	274106
fam247	275107
fam248	275863
fam249	276740
fam250	278274
fam251	278861
fam252	279742
fam253	281126
fam254	282025
fam255	282975
fam256	284817
fam257	285915
fam258	286235
fam259	289683
fam261	291922
fam262	293259
fam263	294311
fam264	296058
fam266	297063
fam267	297901
fam268	298197
fam269	299061
fam270	299630
fam271	300155
fam274	302578
fam275	303354
fam276	304058
fam277	304598
fam278	305225
fam279	306384
fam280	306945
fam281	307934
fam282	308516
fam283	309673
fam284	310749
fam285	311726
fam286	312441
fam287	312956
