fam	loc
fam1	12277
fam6	74403
fam7	75916
fam8	77323
fam9	83152
fam10	96159
fam13	116213
fam14	116988
fam15	117567
fam16	123750
fam17	142251
fam18	143162
fam20	144145
fam21	145367
fam22	147771
fam23	148333
fam24	152773
fam25	155560
fam26	159881
fam27	160661
fam28	161584
fam29	163135
fam30	164711
fam31	164968
fam32	165350
fam33	166253
fam34	166458
fam35	166879
fam36	167441
fam37	167814
fam38	168455
fam39	168911
fam40	171510
fam41	172518
fam42	172701
fam43	173124
fam44	174518
fam45	176220
fam46	196478
fam47	197926
fam48	201310
fam49	203943
fam50	222320
fam51	230703
fam52	231419
fam53	231645
fam54	237869
fam55	240860
fam56	241153
fam57	242687
fam58	243570
fam60	262326
fam62	265756
fam63	268490
fam64	278827
fam65	279591
fam67	289738
fam68	296457
fam69	303824
fam70	318888
fam71	330578
fam72	336815
fam73	342261
fam74	342803
fam75	343188
fam76	351681
fam77	354379
fam78	356054
fam79	356340
fam80	358248
fam82	375776
fam83	413713
fam84	403696
fam85	394338
fam86	385940
fam87	383699
fam89	368764
fam90	368473
fam91	367227
fam92	361280
fam93	357662
fam94	350885
fam95	337881
fam96	334852
fam97	314810
fam98	303292
fam99	297553
fam100	279059
fam101	278743
fam102	278441
fam103	277885
fam105	260771
fam109	241678
fam110	240244
fam113	211838
fam114	210473
fam115	204781
fam116	197882
fam117	187369
fam118	140569
fam119	139152
fam120	134332
fam121	132941
fam122	132312
fam123	130596
fam124	123645
fam125	117407
fam126	82151
fam127	68954
fam128	68394
fam129	61469
fam130	50844
fam131	39009
fam132	16110
fam133	331
fam134	412
fam135	1618
fam136	4118
fam137	6748
