fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.013615345430129095	0.018970189701897018	0.009700622240745669	0.0003333333333333333	0.0	0.0003496029493900505	0.019157142857142855	0.0133	0.015353069227157075	1825390	0.0028028028028028026
fam393	0.0	0.0	0.0	0.0	0.0	0.0	0.006285714285714286	0.0047	0.005123176629349236	205750	0.001119507416736636
fam1571	0.10911479266439737	0.1070110701107011	0.0730480100239355	0.002380952380952381	0.0015	0.0021027462876232546	0.02605714285714285	0.0271	0.020953726147293766	1566623	0.005609261248358992
fam158	0.03211142538603304	0.0	0.04077723988894561	0.0009142857142857144	0.0	0.0014456126446484021	0.02086666666666667	0.0181	0.016529290980482506	89816	0.003855793329477541
fam1720	0.048892916747227205	0.02726063829787234	0.04603280969387176	0.002214285714285714	0.0041	0.0021312383420791533	0.0541	0.0366	0.061686642839126074	1748657	0.009818360333824251
fam1031	0.006681957471671607	0.0	0.007824823081293869	0.0005142857142857142	0.0	0.0008131571126147261	0.04361904761904762	0.0266	0.04842743829736766	939246	0.007227891156462586
fam1483	0.008781770017363242	0.0	0.010759201494050324	0.0011142857142857141	0.0	0.0017618404106652396	0.057657142857142865	0.0219	0.07636996150587064	1462287	0.009342582177227846
fam1781	0.035606927067087187	0.056976744186046514	0.032620000017923236	0.0014000000000000002	0.0	0.002213594362117866	0.02419047619047619	0.0112	0.0327513271961088	1820545	0.005194805194805194
fam425	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	230967	0.0
fam1195	0.0	0.0	0.0	0.0	0.0	0.0	0.0037142857142857142	0.0	0.005872801368884134	1143471	0.0004884004884004885
fam3726	0.3423122620004453	0.21428571428571427	0.31747293471951454	0.0016380952380952382	0.0024	0.0016418561477721865	0.00509047619047619	0.0044	0.0049952267465484595	337868	0.002174830395689292
fam98	0.024624620845027877	0.04506437768240343	0.02247911633763291	0.0006	0.0	0.0009486832980505138	0.015219047619047618	0.0081	0.020055699084291157	155779	0.0026884026884026885
fam3894	0.04465748323459326	0.05376344086021505	0.012914984763745705	0.0031285714285714285	0.0027	0.002293291013689581	0.05843809523809524	0.1022	0.050608887570601536	271143	0.011741682974559686
fam1496	0.030285466367821187	0.026627218934911243	0.04431620845555703	0.0007666666666666667	0.0009	0.0008357108940373447	0.020895238095238095	0.0055	0.030239511777843873	1479297	0.0034397506180801896
fam2317	0.0	0.0	0.0	0.0	0.0	0.0	0.009314285714285714	0.0163	0.008066408046677914	1404092	0.002506265664160401
fam265	0.031156953443516627	0.03028308097432521	0.0019540382447775883	0.0015428571428571427	0.0008	0.002049058187505253	0.04340476190476191	0.0	0.0686289573492711	52673	0.007921505085966334
fam2943	0.0	0.0	0.0	0.0	0.0	0.0	0.021190476190476187	0.0207	0.017334054145138	713836	0.00318455490869284
fam1040	0.04612425122996415	0.07110438729198185	0.04233942286021215	0.004028571428571428	0.0	0.0063697307154820205	0.05568095238095238	0.0326	0.07240815278384859	950082	0.010268368515791196
fam3456	0.19826656748602137	0.19463087248322147	0.18938989444527995	0.0008285714285714285	0.0	0.0013100864592126141	0.004209523809523811	0.0073	0.004310220938089762	359	0.0017636684303350973
fam1786	0.16478084154982373	0.1409921671018277	0.04168672542850087	0.0030714285714285713	0.0032	0.00208558381848958	0.015476190476190477	0.0155	0.017768830514934875	1826537	0.004586537164440847
fam3641	0.043330583725556794	0.0466786355475763	0.013734481535845293	0.001261904761904762	0.0	0.001323946549948366	0.02766190476190476	0.0249	0.027137138077522997	242639	0.0051489648805085044
fam443	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	242503	0.0
fam3198	0.02373694450055637	0.030150753768844216	0.007593758712862758	0.0003380952380952381	0.0006	0.000338731795119595	0.015561904761904761	0.0199	0.016228296163549708	358725	0.0030651340996168583
fam3216	0.1751862715092707	0.19999999999999998	0.060692324503124395	0.010809523809523809	0.0101	0.009073399360973747	0.06504285714285714	0.0445	0.06608293902310924	337405	0.01785209418797205
fam1784	nan	nan	nan	0.0017142857142857144	0.002	0.0014190156595953656	0.0	0.0	0.0	1823346	0.0014074595355383535
fam2375	0.09577464788732394	0.09577464788732394	0.0	0.0009714285714285713	0.0	0.0015359634349389269	0.010142857142857143	0.0	0.01603726527656821	1346039	0.002442002442002442
fam2090	0.0198577730057484	0.0	0.02879386740724786	0.0005714285714285715	0.0	0.0009035079029052512	0.019185714285714285	0.0188	0.012209648242438503	1653200	0.0038396073308791514
fam2305	0.10790976508367817	0.057142857142857134	0.0707317738624673	0.0017571428571428573	0.0024	0.0014601276619239999	0.024647619047619047	0.0138	0.023634309585201786	1420510	0.00509504213207917
fam519	0.0	0.0	0.0	0.0	0.0	0.0	0.0037142857142857142	0.0	0.005872801368884134	341176	0.0007054673721340387
fam1093	0.11626790666585021	0.15203761755485895	0.041684480565855345	0.005076190476190476	0.0048	0.004092839829321534	0.04471428571428571	0.0638	0.032025842031445935	1011182	0.01128322815069803
fam2025	0.3476578328584975	0.32398190045248865	0.04634975461105123	0.020395238095238095	0.0247	0.016034025611937355	0.05957619047619046	0.0782	0.04811719725006658	1725056	0.03200839564475928
fam814	0.0	0.0	0.0	0.0	0.0	0.0	0.005285714285714287	0.0	0.0055437039117565146	690345	0.0008769622029290537
fam321	0.0	0.0	0.0	0.0	0.0	0.0	0.009885714285714286	0.0	0.015630686720260842	118508	0.0014005602240896359
fam594	0.05713992372929035	0.034013605442176874	0.04791076108852133	0.0011952380952380951	0.0009	0.0009529284140785585	0.03216190476190476	0.0243	0.030198351834408763	433524	0.004747732426303854
fam346	0.0	0.0	0.0	0.0	0.0	0.0	0.009142857142857144	0.0	0.01445612644648402	150098	0.0011074197120708748
fam643	0.0	0.0	0.0	0.0	0.0	0.0	0.008933333333333333	0.0103	0.007464157741744931	493399	0.0014652014652014654
fam62	0.26259805295315	0.2878787878787879	0.09774033906880983	0.007857142857142858	0.0093	0.006534565342674835	0.035819047619047625	0.0485	0.031052008892112404	221358	0.012860382248137348
fam922	0.11701776014066849	0.12987012987012986	0.051459705716927207	0.001104761904761905	0.001	0.00088343280148477	0.010371428571428573	0.0077	0.008486187256339555	807486	0.002187902187902188
fam2091	0.13749211801863223	0.13733905579399142	0.05291186185688667	0.0030428571428571423	0.0032	0.0023564645488672277	0.020847619047619052	0.0159	0.013312171982907009	1652349	0.005975723622782446
fam2732	0.021821083880904764	0.0	0.02534867513286168	0.0011333333333333334	0.0	0.0017921344904180691	0.03146666666666667	0.0238	0.031494055876554794	965160	0.006920935830888436
fam1358	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1322986	0.0
fam651	0.0	0.0	0.0	0.0	0.0	0.0	0.003914285714285715	0.0	0.006189029134900971	501900	0.0008003201280512204
fam3550	0.06020774995525155	0.029173419773095625	0.07310191453065201	0.0006857142857142856	0.0009	0.0007298308442539885	0.02623333333333333	0.0301	0.02591222056488356	129237	0.004577334809892949
fam910	0.0	0.0	0.0	0.0	0.0	0.0	0.008266666666666667	0.01	0.005538465778047489	794682	0.0014411298457991063
fam508	0.10310638632275336	0.07006369426751594	0.08595514858812478	0.004138095238095238	0.0022	0.003958893086093659	0.025314285714285713	0.0314	0.02683695543221601	325483	0.009236839745314323
