fam	loc
fam1	11432
fam2	12765
fam3	13131
fam4	14260
fam5	14523
fam6	16497
fam7	19227
fam8	25589
fam9	27177
fam10	28663
fam11	31759
fam12	32890
fam13	33501
fam14	35093
fam15	36022
fam17	38518
fam18	39138
fam19	40519
fam20	41119
fam21	41675
fam22	44060
fam23	44409
fam24	45021
fam25	45264
fam26	45594
fam27	51248
fam28	51991
fam29	53074
fam30	54558
fam31	55193
fam32	55602
fam33	56055
fam34	57056
fam35	57886
fam36	58254
fam37	59053
fam38	59339
fam39	60195
fam40	60524
fam42	63050
fam43	63899
fam44	65346
fam45	66067
fam46	66938
fam48	68110
fam49	68581
fam50	68928
fam51	69945
fam52	70834
fam53	71250
fam54	71771
fam55	73340
fam56	74316
fam57	75081
fam58	75788
fam59	76074
fam60	79675
fam61	80351
fam62	82160
fam63	83634
fam64	83891
fam65	84274
fam66	84909
fam67	85302
fam68	85783
fam69	88819
fam70	89630
fam71	90624
fam72	92124
fam73	92679
fam74	94679
fam75	95620
fam76	96511
fam77	97466
fam78	98467
fam79	100010
fam80	100617
fam81	101462
fam82	102329
fam83	102684
fam84	103184
fam85	103369
fam86	104363
fam87	105953
fam88	118364
fam89	118936
fam90	120032
fam91	122464
fam92	123937
fam93	125019
fam94	126273
fam95	126976
fam96	127456
fam97	129002
fam98	129967
fam99	131364
fam100	131799
fam101	132532
fam102	133047
fam103	133767
fam104	133993
fam105	134204
fam106	134909
fam107	135506
fam108	136304
fam109	137061
fam110	137469
fam111	138171
fam112	142008
fam113	145669
fam114	146064
fam115	146597
fam116	147189
fam117	149322
fam118	150630
fam119	151698
fam120	152225
fam121	152892
fam122	153543
fam123	153830
fam124	154692
fam125	155028
fam126	155387
fam127	156047
fam128	156483
fam129	156673
fam130	156962
fam131	157370
fam132	157717
fam133	158282
fam134	158490
fam135	158920
fam136	159488
fam137	159883
fam138	160408
fam139	160604
fam140	161075
fam141	162369
fam142	163078
fam143	163821
fam144	164350
fam145	164495
fam146	164882
fam147	165298
fam148	166418
fam149	166856
fam150	167823
fam151	168668
fam152	169462
fam153	170217
fam154	170819
fam155	171232
fam156	171924
fam157	172768
fam158	173278
fam159	173879
fam160	174470
fam161	175242
fam162	176405
fam163	177022
fam164	177715
fam165	178472
fam166	185678
fam167	186705
fam168	187991
fam169	189922
fam170	191291
fam171	192683
fam172	193549
fam173	194473
fam174	196163
fam175	196912
fam176	197553
fam177	198578
fam178	199977
fam179	201349
fam180	203729
fam181	204590
fam182	204939
fam183	205871
fam184	206632
fam189	211246
fam191	215883
fam192	216429
fam193	217310
fam194	217899
fam202	224438
fam203	225360
fam204	226787
fam206	227776
fam207	229812
fam216	237106
fam220	238912
fam221	239521
fam222	239891
fam223	240505
fam224	241648
fam225	241913
fam226	242748
fam227	244721
fam228	246471
fam230	247808
fam231	248474
fam232	248826
fam233	249284
fam235	250854
fam236	251987
fam237	253155
fam238	255118
fam239	255353
fam240	256375
fam241	258471
fam242	259911
fam244	260961
fam245	262942
fam246	263823
fam247	266544
fam248	267691
fam249	268057
fam250	268512
fam251	271421
fam252	272012
fam254	275045
fam255	276030
fam256	277197
fam257	277612
fam258	278192
fam259	279786
fam260	280534
fam262	281449
fam263	283118
fam264	284775
fam265	285376
fam266	286479
fam267	287764
fam268	288223
fam269	289994
fam270	291444
fam271	291910
fam272	292884
fam273	294351
fam274	295365
fam275	297169
fam276	298112
fam277	299397
fam278	300486
fam280	301914
fam281	302915
fam282	303628
fam283	304529
fam284	305710
fam287	308390
fam288	309358
fam289	310253
fam290	311313
fam291	312519
fam292	313539
fam293	314141
fam294	314761
fam295	315681
fam296	316957
fam297	318272
fam298	319374
fam299	320186
fam300	321873
fam301	322982
fam302	324651
fam303	325507
fam304	326388
fam306	328111
fam307	329286
fam308	330870
fam309	332035
fam310	333701
fam311	334742
fam312	336177
fam313	337018
fam314	338061
fam315	339306
fam316	340061
fam319	341828
fam320	343172
fam321	343851
fam322	344868
fam332	356276
fam333	357627
fam334	358712
fam335	360209
fam337	362237
fam338	363218
fam339	364391
fam340	364776
fam341	365640
fam342	366719
fam343	368290
fam344	369648
fam345	371076
fam347	371981
fam348	372866
fam349	373377
fam350	374188
fam351	374723
fam352	375554
fam353	375942
fam354	377777
fam355	378332
fam356	380770
fam357	382745
fam358	383827
fam359	384927
fam360	385796
fam361	386592
fam362	397916
fam363	408630
fam364	412508
fam365	422713
fam366	430925
fam367	431672
fam368	432625
fam369	434094
fam370	434782
fam372	436248
fam376	442155
fam377	442860
fam378	443662
fam380	446363
fam381	447901
fam382	449949
fam383	451473
fam384	451994
fam385	452811
fam386	453510
fam387	454269
fam388	455460
fam389	456785
fam394	461123
fam395	462652
fam396	464260
fam397	465176
fam399	466091
fam402	469046
fam403	470471
fam404	471881
fam405	473250
fam406	473892
fam407	474637
fam408	476288
fam409	478237
fam410	478767
fam411	479890
fam412	481939
fam416	485002
fam417	485287
fam418	485612
fam419	486015
fam420	486467
fam421	487350
fam425	491193
fam426	492435
fam427	493231
fam428	493997
fam429	494998
fam430	495786
fam431	496456
fam432	497503
fam433	498673
fam434	500882
fam435	501510
fam436	502535
fam437	503251
fam438	504028
fam439	504260
fam440	506670
fam441	507024
fam442	507876
fam445	510886
fam448	515833
fam449	517113
fam450	517945
fam451	519650
fam452	520911
fam453	522997
fam454	525150
fam455	526942
fam460	530653
fam461	531322
