fam	loc
fam1	1362
fam2	2657
fam4	4116
fam5	4758
fam6	8262
fam7	8586
fam8	8947
fam9	10335
fam10	11609
fam11	12156
fam12	14130
fam14	21422
fam15	22939
fam63	57161
fam64	57791
fam66	59683
fam67	60253
fam68	61093
fam69	62207
fam74	68799
fam75	69321
fam76	70363
fam77	71681
fam78	72448
fam79	73437
fam80	73679
fam87	78027
fam88	79389
fam90	80372
fam91	84154
fam92	85689
fam93	86927
fam94	87469
fam99	94740
fam100	95420
fam101	96495
fam105	100747
fam107	105824
fam108	107931
fam109	108404
fam110	109336
fam111	110144
fam112	110552
fam113	111818
fam122	118599
fam123	120012
fam124	120691
fam126	122063
fam128	126159
fam129	127208
fam130	128014
fam139	143645
fam140	143843
fam141	145777
fam142	146179
fam144	147154
fam145	148601
fam147	150147
fam149	150827
fam150	151024
fam152	152130
fam155	154307
fam156	154555
fam157	156473
fam158	157392
fam159	158408
fam160	159218
fam161	160207
fam162	161516
fam163	162883
fam164	164877
fam165	167161
fam166	168072
fam167	169382
fam169	172973
fam170	173900
fam171	175099
fam172	175650
fam173	176311
fam174	177277
fam175	178315
fam176	178730
fam177	180782
fam178	181364
fam179	183949
fam180	185802
fam181	187570
fam183	189919
fam184	191507
fam185	191955
fam194	205314
fam195	206874
fam196	208215
fam197	208839
fam198	210195
fam201	212061
fam202	212945
fam203	214204
fam204	216122
fam205	217425
fam211	220961
fam212	221979
fam213	222943
fam214	223268
fam215	223665
fam216	223930
fam217	224354
fam218	224745
fam219	226379
fam220	227621
fam221	228142
fam222	228986
fam223	229944
fam225	232040
fam234	241886
fam235	242303
fam236	242790
fam237	243187
fam238	246110
fam239	247438
fam240	248385
fam241	250667
fam242	250872
fam243	251058
fam244	251649
fam245	252249
fam249	259675
fam250	259866
fam251	260764
fam252	261476
fam253	262573
fam254	263173
fam257	263901
fam258	264391
fam259	266758
fam260	271253
fam261	272674
fam263	273905
fam266	276515
fam267	277342
fam268	278357
fam270	279950
fam271	281673
fam273	283507
fam274	284831
fam275	285366
fam276	286222
fam277	286582
fam278	287830
fam280	288997
fam281	290454
fam282	291089
fam283	292924
fam284	293213
fam285	295315
fam287	297246
fam293	301858
fam294	302424
fam295	303362
fam296	304242
fam297	304909
fam298	305534
fam299	306792
fam300	307723
fam301	308656
fam302	309973
fam303	310893
fam304	311895
fam306	313025
fam307	313763
fam309	315470
fam310	315948
fam311	316969
fam313	318563
fam314	318744
fam316	321093
fam319	325057
fam320	325983
fam321	327059
fam322	327996
fam323	329520
fam324	330425
fam325	331241
fam328	337226
fam329	338220
fam330	339188
fam331	339685
fam332	340143
fam333	340874
fam334	341602
fam335	342188
fam336	342897
fam337	343133
fam338	344230
fam339	345590
fam341	347742
fam342	352890
fam343	354176
fam344	354839
fam345	355272
fam346	356655
fam352	373141
fam353	373692
fam355	376003
fam356	377525
fam357	378102
fam358	378522
fam359	379321
fam360	380367
fam361	380758
fam362	381791
fam363	383154
fam364	383599
fam366	385010
fam369	386423
fam371	388020
fam372	388652
fam373	389258
fam374	390438
fam375	390753
fam376	391045
fam377	393863
fam378	394380
fam384	399441
fam385	399939
fam386	401273
fam387	401537
fam388	402016
fam390	403423
fam391	404001
fam392	406645
fam399	416475
fam400	418472
fam401	419665
fam402	420055
fam403	420369
fam404	421011
fam405	421814
fam406	422286
fam408	424148
fam409	425786
fam410	426678
fam411	427434
fam412	428299
fam415	440253
fam416	441730
fam417	442318
fam418	443287
fam419	444800
fam421	446794
fam422	447817
fam425	450522
fam426	451865
fam428	454020
fam429	454494
fam430	455789
fam431	456370
fam432	457191
fam433	458030
fam434	458619
fam435	459251
fam436	461051
fam437	462783
fam438	463606
fam441	468043
fam442	468606
fam443	469621
fam444	470385
fam445	470971
fam446	472172
fam447	472941
fam448	473572
fam449	474097
fam455	481823
fam456	482261
fam457	483349
fam458	484094
fam459	485901
fam461	487528
fam462	489408
fam463	490061
fam464	490577
fam465	490814
fam466	491293
fam467	491951
fam468	492643
fam469	493439
fam470	494150
fam471	494520
fam472	495133
fam473	496303
fam474	497200
fam475	497910
fam476	499234
fam477	499653
fam479	502632
fam480	503744
fam481	504777
fam482	505184
fam483	506277
fam484	508311
fam487	510487
fam489	515862
fam490	517304
fam491	518327
fam492	519182
fam493	519760
fam494	520687
fam495	521778
fam496	522680
fam497	523064
fam498	523404
fam499	524317
fam500	526568
fam501	527175
fam502	528394
fam503	529852
fam505	531245
fam506	532838
fam507	534114
fam508	534790
fam509	535339
fam510	535602
fam511	536384
fam513	540306
fam515	542255
fam516	543075
fam517	545785
fam518	546486
fam519	547537
fam520	548417
fam523	551970
fam526	556583
fam527	557035
fam531	559067
fam532	560021
fam533	560534
fam535	562898
fam538	565542
fam539	566509
fam540	568458
fam546	574999
fam549	577956
fam550	578713
fam551	579743
fam552	580416
fam553	581209
fam554	583678
fam555	584456
fam556	585240
fam558	587481
fam559	588448
fam561	589236
fam562	589916
fam563	590385
fam564	591017
fam565	592287
fam566	593136
fam567	593899
fam568	594338
fam570	595667
fam571	596577
fam572	597920
fam573	599335
fam574	601230
fam575	602297
fam577	604457
fam578	605223
fam579	606658
fam580	607457
fam581	608782
fam582	609804
fam585	613635
fam586	614455
fam587	615242
fam590	624785
fam592	632897
fam593	633945
fam594	634486
fam595	634733
fam596	636799
fam597	637687
fam601	641439
fam602	642507
fam603	643288
fam604	643672
fam605	644083
fam609	677942
fam610	678684
fam611	679467
fam612	680074
fam613	680791
fam614	681069
fam615	681832
fam616	683137
fam618	684342
fam619	685259
fam620	686133
fam621	686947
fam622	687718
fam623	688383
fam624	689356
fam625	690648
fam626	691521
fam627	692283
fam628	693301
fam629	694618
fam630	695405
fam631	696175
fam632	697242
fam635	700253
fam636	702892
fam637	704434
fam638	705362
fam639	706977
fam641	708481
fam642	711131
fam643	712391
fam644	712956
fam645	713605
fam646	715566
fam647	717375
fam650	719271
fam652	719935
fam653	722324
fam654	722784
fam655	723658
fam656	724392
fam657	725403
fam658	726391
fam659	727886
fam660	729098
fam661	730501
fam663	733154
fam664	734128
fam666	735471
fam667	735831
fam668	736141
fam669	737394
fam670	737852
fam671	738729
fam672	740615
fam673	741825
fam674	743097
fam675	743898
fam676	744650
fam678	745894
fam679	746766
fam681	748287
fam682	749108
fam683	749674
fam684	750588
fam685	750812
fam686	751893
fam688	753802
fam689	754508
fam690	756741
fam694	759733
fam695	759966
fam696	760377
fam697	760816
fam698	761865
fam699	762814
fam700	764543
fam701	765145
fam702	765521
fam703	766437
fam704	767310
fam707	768257
fam708	768530
fam709	770986
fam710	771416
fam711	772291
fam724	787036
fam725	788857
fam726	789572
fam727	790577
fam728	791963
fam729	794684
fam730	796105
fam731	797047
fam732	797802
fam733	799759
fam734	800871
fam735	801215
fam736	802374
fam737	803715
fam738	803921
fam739	804114
fam740	805488
fam741	805653
fam742	806706
fam743	807345
fam744	808194
fam745	809746
fam746	810500
fam747	810982
fam748	811824
fam749	812718
fam750	814253
fam751	814808
fam752	815131
fam753	815840
fam754	816408
fam755	817105
fam757	821206
fam758	822429
fam759	823923
fam760	825913
fam761	826242
fam762	827817
fam764	829822
fam765	831477
fam766	831699
fam767	832620
fam768	833910
fam769	835147
fam770	835574
fam771	837044
fam772	838722
fam773	839954
fam779	845167
fam780	846198
fam781	846745
fam782	847127
fam783	847498
fam784	847839
fam810	884763
fam812	886484
fam813	887801
fam814	888250
fam815	888673
fam816	890256
fam824	902852
fam825	903734
fam826	904388
fam827	905289
fam828	906524
fam829	907180
fam830	908674
fam831	909523
fam832	910160
fam835	915897
fam836	916924
fam837	917810
fam838	918678
fam839	919379
fam840	920315
fam841	922625
fam842	923090
fam843	923816
fam844	924516
fam845	926381
fam846	927430
fam847	927696
fam848	929082
fam849	929685
fam850	930492
fam851	931683
fam852	932703
fam853	936233
fam854	937024
fam855	937842
fam856	939135
fam858	944360
fam859	945251
fam860	947416
fam861	948542
fam862	950607
fam863	951097
fam876	963344
fam877	963883
fam878	964623
fam879	965158
fam880	965859
fam881	967758
fam882	970232
fam883	970955
fam884	971641
fam885	972300
fam886	972634
fam887	972953
fam888	974073
fam889	975042
fam890	975723
fam891	976522
fam892	977324
fam893	978217
fam894	979236
fam897	991895
fam898	993143
fam899	993564
fam900	994079
fam901	994711
fam902	996302
fam903	997294
fam904	998714
fam905	999032
fam906	999739
fam907	1000821
fam908	1001657
fam909	1002243
fam910	1002676
fam911	1003994
fam913	1005590
fam914	1006638
fam923	1017298
fam924	1019205
fam925	1019636
fam927	1021292
fam928	1022194
fam929	1022326
fam930	1025052
fam931	1025488
fam932	1025819
fam933	1026950
fam934	1028940
fam935	1029678
fam955	1052540
fam958	1056940
fam959	1060590
fam960	1061786
fam1068	994931
fam1070	992598
fam1072	990697
fam1074	988844
fam1075	988234
fam1076	987122
fam1077	986469
fam1078	984977
fam1079	983841
fam1080	982709
fam1081	980791
fam1082	978198
fam1083	976121
fam1084	974850
fam1085	973907
fam1086	972003
fam1087	970131
fam1088	969673
fam1091	967408
fam1092	966057
fam1093	965357
fam1094	964126
fam1095	963474
fam1096	962527
fam1097	961537
fam1099	957006
fam1100	955479
fam1101	954506
fam1102	953966
fam1103	953126
fam1104	952584
fam1106	950395
fam1108	946294
fam1110	942032
fam1112	940301
fam1113	939613
fam1115	937766
fam1116	936473
fam1117	935929
fam1118	934654
fam1124	926241
fam1125	924931
fam1126	924454
fam1127	923791
fam1128	923037
fam1130	921605
fam1131	919739
fam1132	919470
fam1133	918901
fam1134	916661
fam1135	915509
fam1136	914600
fam1137	914237
fam1138	912788
fam1139	910757
fam1140	910440
fam1141	909568
fam1142	908354
fam1143	907423
fam1144	906897
fam1145	906441
fam1146	905260
fam1147	903686
fam1148	903334
fam1149	902798
fam1150	900733
fam1151	899926
fam1152	898257
fam1153	897819
fam1154	897011
fam1155	896143
fam1156	895934
fam1157	894616
fam1158	893850
fam1159	892861
fam1160	891577
fam1161	890202
fam1162	889260
fam1164	886941
fam1165	884473
fam1166	883293
fam1167	881508
fam1168	880442
fam1169	877232
fam1170	874596
fam1171	873603
fam1172	870673
fam1173	868632
fam1174	867724
fam1175	866987
fam1177	864146
fam1178	863270
fam1180	860507
fam1181	859842
fam1182	858585
fam1183	858209
fam1184	856131
fam1185	854848
fam1188	851862
fam1189	850584
fam1193	846088
fam1194	844720
fam1195	844056
fam1196	841402
fam1199	838831
fam1200	838602
fam1201	836918
fam1202	835744
fam1205	831048
fam1206	830585
fam1207	829168
fam1208	828098
fam1209	826577
fam1210	826026
fam1211	825532
fam1212	824805
fam1213	824572
fam1214	822970
fam1215	821164
fam1216	820219
fam1218	819080
fam1219	818136
fam1220	817414
fam1222	812103
fam1227	805345
fam1228	804568
fam1230	800710
fam1231	799649
fam1232	798121
fam1233	796925
fam1234	796446
fam1235	795797
fam1236	794500
fam1238	793303
fam1239	792182
fam1240	791878
fam1241	791313
fam1243	789411
fam1246	784911
fam1247	784354
fam1248	783141
fam1249	782434
fam1250	782088
fam1251	781064
fam1252	780762
fam1253	779953
fam1254	779153
fam1255	778639
fam1256	778115
fam1257	777621
fam1258	777040
fam1259	776396
fam1260	775104
fam1261	773005
fam1262	771622
fam1263	770919
fam1266	767367
fam1268	766679
fam1269	766311
fam1270	765580
fam1271	765072
fam1273	764082
fam1274	763790
fam1276	762168
fam1277	760572
fam1279	759003
fam1280	758452
fam1281	757690
fam1282	756479
fam1283	755510
fam1284	753935
fam1288	750959
fam1289	750384
fam1291	747010
fam1292	745284
fam1293	744285
fam1295	743156
fam1296	741868
fam1297	740979
fam1303	733103
fam1304	731682
fam1305	730837
fam1306	730364
fam1307	729088
fam1308	728658
fam1309	727544
fam1310	726368
fam1311	725291
fam1312	724418
fam1313	723751
fam1314	722582
fam1315	720324
fam1317	717909
fam1318	716953
fam1319	714721
fam1320	713609
fam1321	712924
fam1322	711917
fam1324	711047
fam1325	710033
fam1326	709269
fam1327	708313
fam1328	707440
fam1329	706163
fam1330	705810
fam1332	705141
fam1333	704338
fam1334	703782
fam1335	703206
fam1336	702236
fam1337	701004
fam1339	699652
fam1340	698064
fam1341	697078
fam1342	696568
fam1344	693312
fam1345	690857
fam1346	690476
fam1347	690070
fam1363	675510
fam1364	674775
fam1366	672103
fam1367	670749
fam1369	668520
fam1370	667633
fam1371	667217
fam1372	666996
fam1373	665976
fam1374	665167
fam1375	664217
fam1376	663579
fam1377	662348
fam1378	661471
fam1379	661180
fam1380	660290
fam1381	659233
fam1383	656431
fam1385	649274
fam1386	647489
fam1387	646755
fam1388	645359
fam1389	644786
fam1390	644062
fam1393	642079
fam1394	640809
fam1395	639352
fam1398	638478
fam1399	637040
fam1400	636455
fam1402	633953
fam1403	633495
fam1404	632151
fam1405	631523
fam1406	628377
fam1407	627121
fam1408	626019
fam1410	623919
fam1411	622092
fam1412	620541
fam1413	620304
fam1414	619552
fam1415	619056
fam1416	618034
fam1420	612532
fam1421	611793
fam1422	611378
fam1423	609976
fam1425	608980
fam1426	608478
fam1427	608176
fam1429	605486
fam1430	605058
fam1432	602681
fam1438	577977
fam1440	576073
fam1441	575651
fam1443	572036
fam1447	566849
fam1448	564941
fam1449	563745
fam1450	562981
fam1451	561977
fam1453	560175
fam1454	559386
fam1455	558542
fam1456	557435
fam1457	556490
fam1458	555516
fam1459	554629
fam1460	554197
fam1461	553594
fam1462	552359
fam1463	552152
fam1464	551646
fam1465	550980
fam1468	537487
fam1469	536712
fam1470	535759
fam1471	535064
fam1472	534188
fam1473	533665
fam1474	532826
fam1475	532353
fam1476	531314
fam1477	529877
fam1478	529434
fam1479	528847
fam1480	527393
fam1481	526774
fam1484	524790
fam1485	522953
fam1486	522213
fam1489	518767
fam1490	517037
fam1492	513709
fam1493	512904
fam1495	511545
fam1497	508981
fam1498	507999
fam1499	507609
fam1500	506273
fam1502	504671
fam1503	502442
fam1505	501014
fam1506	498665
fam1507	497583
fam1508	497195
fam1515	487059
fam1516	486129
fam1517	484093
fam1518	482260
fam1519	481314
fam1522	478611
fam1523	478073
fam1524	477313
fam1525	475323
fam1526	474586
fam1528	472330
fam1529	469921
fam1530	469541
fam1531	468890
fam1532	467139
fam1537	463878
fam1538	463284
fam1539	462655
fam1540	462292
fam1541	460973
fam1542	460380
fam1543	459520
fam1545	457545
fam1546	456525
fam1568	415539
fam1569	414462
fam1570	412996
fam1571	411554
fam1572	410862
fam1573	410451
fam1574	410033
fam1575	408959
fam1576	408096
fam1577	406692
fam1578	406258
fam1579	405776
fam1580	404538
fam1581	403785
fam1582	402822
fam1583	401855
fam1584	401400
fam1585	400367
fam1586	399933
fam1587	399056
fam1589	397482
fam1590	397108
fam1591	395621
fam1592	394697
fam1593	394037
fam1594	392582
fam1595	389903
fam1596	389137
fam1597	388838
fam1598	387870
fam1599	387252
fam1600	384767
fam1601	383436
fam1603	382054
fam1604	381045
fam1605	380350
fam1606	379263
fam1607	378272
fam1608	377332
fam1609	376472
fam1613	359492
fam1614	358056
fam1615	356589
fam1616	355419
fam1617	354592
fam1618	354007
fam1619	353341
fam1620	351180
fam1621	348819
fam1645	321507
fam1646	319870
fam1647	319293
fam1648	317127
fam1650	315694
fam1651	313440
fam1652	313119
fam1653	312159
fam1654	311798
fam1655	311240
fam1656	310298
fam1657	309825
fam1671	292762
fam1672	292297
fam1673	290882
fam1674	289992
fam1676	286194
fam1677	285463
fam1678	284785
fam1679	284232
fam1680	283383
fam1682	281440
fam1683	279773
fam1684	279059
fam1685	278195
fam1686	276658
fam1687	275215
fam1688	272617
fam1689	271318
fam1690	270287
fam1692	266632
fam1693	265892
fam1694	265587
fam1695	263514
fam1696	262378
fam1697	261835
fam1698	260142
fam1699	258274
fam1700	257906
fam1701	257562
fam1702	256782
fam1703	256331
fam1704	255702
fam1705	253858
fam1706	252099
fam1707	251654
fam1709	250025
fam1710	248558
fam1711	247277
fam1712	245966
fam1713	244864
fam1714	244338
fam1715	243905
fam1718	242032
fam1722	236988
fam1723	233228
fam1724	229557
fam1726	223601
fam1727	222452
fam1728	220409
fam1729	218839
fam1730	216887
fam1731	215615
fam1732	214790
fam1733	214023
fam1734	213220
fam1735	212241
fam1736	210765
fam1737	210058
fam1738	207446
fam1743	202343
fam1744	200761
fam1746	199834
fam1747	198887
fam1748	198461
fam1749	198078
fam1750	197944
fam1751	197701
fam1752	196946
fam1753	195485
fam1754	195032
fam1756	194197
fam1757	193823
fam1758	193203
fam1759	192617
fam1760	192147
fam1761	191587
fam1762	191258
fam1763	190812
fam1764	190526
fam1765	190295
fam1766	189872
fam1767	189215
fam1768	188858
fam1769	188565
fam1770	187628
fam1771	187314
fam1772	186691
fam1773	186040
fam1774	185649
fam1775	184805
fam1776	184306
fam1777	184122
fam1778	181897
fam1780	180050
fam1781	178443
fam1782	177839
fam1783	176504
fam1784	175845
fam1785	175410
fam1786	175140
fam1787	174484
fam1788	174020
fam1790	172827
fam1791	170003
fam1792	168926
fam1793	168237
fam1795	166678
fam1797	165661
fam1798	165058
fam1799	163093
fam1801	162447
fam1802	161992
fam1803	161491
fam1804	160880
fam1805	159533
fam1806	157839
fam1807	157259
fam1808	156555
fam1809	155834
fam1810	154771
fam1811	153405
fam1812	152454
fam1813	151470
fam1814	151043
fam1815	150358
fam1821	144295
fam1822	143868
fam1823	143188
fam1825	142355
fam1826	140674
fam1827	137179
fam1828	136687
fam1829	135452
fam1838	126767
fam1839	125856
fam1840	124978
fam1841	124321
fam1842	120921
fam1843	120005
fam1844	118684
fam1845	118219
fam1846	117639
fam1847	116735
fam1848	115640
fam1849	114555
fam1850	113447
fam1851	113013
fam1852	112263
fam1853	110546
fam1854	109518
fam1855	108575
fam1856	106487
fam1857	105612
fam1858	102895
fam1859	101516
fam1860	99249
fam1880	81568
fam1882	76057
fam1883	75360
fam1884	74920
fam1885	73498
fam1886	73266
fam1887	72009
fam1888	70462
fam1890	69378
fam1891	67482
fam1892	65932
fam1893	64346
fam1895	62342
fam1898	60510
fam1899	59664
fam1900	58883
fam1901	57815
fam1902	55235
fam1903	54775
fam1922	41504
fam1923	40497
fam1924	39697
fam1925	39447
fam1926	38077
fam1927	37722
fam1928	36367
fam1929	35871
fam1930	33901
fam1931	33217
fam1932	32475
fam1933	31180
fam1934	30488
fam1936	29006
fam1937	27845
fam1938	26987
fam1939	25584
fam1940	24996
fam1941	24178
fam1942	23325
fam1943	22493
fam1944	21681
fam1945	21139
fam1947	18961
fam1948	17714
fam1949	17187
fam1950	16087
fam1951	14559
fam1952	13382
fam1953	11554
fam1954	8949
fam1955	6280
fam1956	5610
fam1957	4615
fam1958	3293
fam1960	2397
fam1961	1032
fam1962	216
