fam	loc
fam1	1356
fam2	2646
fam5	4655
fam6	5295
fam7	8798
fam8	10266
fam9	10573
fam10	10931
fam11	12352
fam12	13635
fam13	14182
fam14	16189
fam15	17732
fam17	33884
fam18	35000
fam19	35989
fam20	37103
fam21	37338
fam22	38213
fam23	42147
fam24	43717
fam25	44898
fam29	48834
fam30	50380
fam31	51499
fam35	55368
fam37	57638
fam38	58204
fam39	58634
fam40	60406
fam42	64678
fam43	66354
fam44	67683
fam47	70091
fam48	70738
fam49	71034
fam50	71885
fam51	72302
fam52	72662
fam53	73328
fam54	73745
fam56	74249
fam57	74642
fam59	75597
fam60	75798
fam61	76404
fam62	77142
fam63	77603
fam64	78116
fam65	78313
fam66	78968
fam67	80289
fam68	81077
fam69	81413
fam70	81555
fam71	81938
fam72	82339
fam73	83323
fam74	83724
fam85	102485
fam86	103519
fam87	104742
fam88	106279
fam89	107299
fam91	110759
fam92	111804
fam93	112911
fam96	114951
fam97	116256
fam99	122493
fam100	126230
fam101	126798
fam102	127820
fam103	128787
fam104	129115
fam105	129518
fam106	129771
fam107	130192
fam108	130544
fam109	131560
fam110	132815
fam111	133329
fam112	134112
fam114	135482
fam118	137751
fam119	138395
fam120	138942
fam121	139843
fam122	140840
fam123	141699
fam133	158224
fam138	163997
fam139	165359
fam140	166336
fam141	167208
fam142	168204
fam143	168804
fam145	170454
fam146	173082
fam152	177829
fam157	182399
fam180	205172
fam181	205771
fam183	208231
fam185	210013
fam187	213642
fam197	227242
fam200	230297
fam201	231729
fam203	237213
fam204	237656
fam206	238628
fam208	240412
fam209	241769
fam211	244426
fam212	248940
fam213	249534
fam214	250171
fam215	250853
fam216	251818
fam218	253507
fam219	255920
fam220	256197
fam221	257603
fam222	258344
fam223	260768
fam224	261513
fam225	262106
fam226	262587
fam227	263958
fam228	264352
fam233	267489
fam234	268011
fam235	268970
fam239	271848
fam240	272261
fam294	327408
fam296	334671
fam297	336252
fam298	337147
fam299	337904
fam300	338364
fam301	338938
fam302	339846
fam303	343264
fam304	344755
fam305	345547
fam306	347435
fam307	349271
fam308	349996
fam309	351302
fam310	352388
fam311	353614
fam312	354346
fam314	356191
fam315	357855
fam316	358981
fam318	360117
fam319	361678
fam320	363802
fam322	365612
fam323	366788
fam324	367671
fam325	369030
fam327	370750
fam328	372161
fam329	373518
fam330	374900
fam332	378769
fam333	379695
fam334	380774
fam335	381690
fam337	389678
fam338	390796
fam339	391130
fam341	392421
fam343	393012
fam344	393803
fam345	394975
fam349	400798
fam350	401848
fam352	403880
fam354	406385
fam357	409957
fam358	410689
fam359	412075
fam361	413582
fam362	414522
fam363	415322
fam364	416279
