fam	loc
fam1	859094
fam2	858141
fam7	852614
fam9	851231
fam10	850168
fam11	849138
fam12	848530
fam13	847776
fam14	845082
fam15	844544
fam16	844031
fam17	843108
fam19	842105
fam20	841863
fam21	841366
fam22	840334
fam23	838384
fam24	836939
fam25	836375
fam26	834637
fam27	833743
fam28	832441
fam29	832060
fam30	831547
fam31	830956
fam32	830689
fam37	826740
fam38	825575
fam39	824057
fam40	823022
fam41	822154
fam42	820390
fam44	819358
fam45	817463
fam46	816744
fam47	815825
fam48	815203
fam49	814786
fam50	814539
fam51	813310
fam52	812494
fam53	812020
fam54	811242
fam55	809690
fam56	809206
fam57	807147
fam58	806534
fam59	806041
fam60	805103
fam61	802168
fam62	801633
fam63	800514
fam64	798888
fam65	797699
fam66	796386
fam67	795778
fam68	795288
fam69	794367
fam70	793051
fam71	792122
fam72	791061
fam73	790239
fam74	789514
fam75	788505
fam76	787235
fam77	785974
fam78	784906
fam79	782527
fam80	781486
fam82	778777
fam99	763353
fam100	761143
fam103	759147
fam104	757372
fam105	756794
fam106	755992
fam107	755169
fam108	754198
fam109	753460
fam110	753044
fam111	752338
fam112	751009
fam113	750291
fam114	749704
fam115	749417
fam116	748811
fam117	747682
fam118	746390
fam119	745834
fam120	744540
fam121	743773
fam122	743396
fam123	742677
fam124	741482
fam125	741179
fam126	740048
fam127	738604
fam128	736423
fam129	736042
fam130	735290
fam131	733173
fam132	732014
fam133	731102
fam134	730402
fam135	729977
fam136	729583
fam137	728206
fam138	726190
fam139	725411
fam140	724497
fam142	723208
fam143	722592
fam144	722026
fam145	721288
fam147	719850
fam148	719059
fam149	718109
fam150	716749
fam151	715777
fam152	713507
fam153	711971
fam154	711150
fam155	708700
fam156	707710
fam157	707225
fam158	706416
fam159	705070
fam160	704382
fam161	703986
fam162	702017
fam163	701411
fam164	700584
fam165	700137
fam166	699508
fam167	697851
fam168	697012
fam169	695846
fam170	695010
fam171	694053
fam172	693336
fam173	692686
fam174	692454
fam176	690802
fam177	687909
fam178	686587
fam179	685752
fam180	684449
fam181	683616
fam182	683034
fam183	682309
fam184	681901
fam185	681087
fam186	680775
fam187	680445
fam188	678749
fam189	678263
fam190	677587
fam191	676961
fam192	675201
fam193	674143
fam195	673690
fam196	671833
fam197	669772
fam198	669166
fam200	664701
fam201	663735
fam202	660488
fam203	659766
fam204	658921
fam205	658589
fam207	656474
fam208	655275
fam213	648868
fam214	648073
fam215	646436
fam216	646069
fam217	645185
fam220	642124
fam221	640640
fam222	639450
fam223	637814
fam225	635428
fam226	634166
fam227	633373
fam228	632727
fam229	632207
fam230	631144
fam231	629900
fam232	628385
fam233	627815
fam234	626198
fam235	624767
fam236	622985
fam237	622078
fam239	621074
fam240	620688
fam241	620170
fam242	619819
fam243	619418
fam244	619125
fam245	618382
fam246	617319
fam247	616824
fam248	615887
fam249	615081
fam250	614405
fam252	611993
fam253	611196
fam254	609060
fam268	596240
fam269	594074
fam270	593730
fam271	593114
fam272	592529
fam273	591367
fam274	590644
fam275	589979
fam276	589574
fam277	589234
fam278	588744
fam279	588226
fam280	587009
fam281	586125
fam282	584974
fam283	583685
fam284	581610
fam285	581537
fam286	580548
fam287	578304
fam288	578133
fam289	577792
fam290	576699
fam291	576298
fam292	573505
fam293	571993
fam294	571513
fam295	569577
fam296	568774
fam297	567869
fam298	567426
fam299	566856
fam300	565289
fam301	564448
fam302	562417
fam303	561688
fam304	561271
fam305	560642
fam306	558973
fam307	557742
fam308	556761
fam309	556410
fam310	556078
fam311	554846
fam312	554376
fam313	553062
fam314	552754
fam315	552327
fam316	551692
fam317	551122
fam318	550335
fam319	549515
fam321	548328
fam322	547327
fam323	546746
fam324	546174
fam325	545660
fam326	544928
fam327	543447
fam328	543137
fam329	542578
fam330	541678
fam331	541409
fam332	540621
fam333	539971
fam334	537398
fam335	536185
fam336	534871
fam337	533511
fam338	532523
fam339	527389
fam340	525961
fam343	523865
fam347	519814
fam348	519172
fam349	518970
fam350	518468
fam351	518024
fam352	516631
fam353	516042
fam354	514500
fam355	513354
fam356	512280
fam357	511395
fam358	510759
fam359	510395
fam361	508022
fam362	507084
fam363	506873
fam364	505812
fam365	504331
fam366	500445
fam367	498938
fam368	498354
fam369	497858
fam370	496866
fam371	495752
fam373	493506
fam374	491995
fam375	491396
fam376	490711
fam378	490221
fam379	488861
fam380	488508
fam381	487067
fam382	486174
fam383	484851
fam384	484530
fam385	483792
fam386	482277
fam389	472286
fam390	472053
fam391	471238
fam392	470662
fam394	469615
fam395	468519
fam396	467881
fam397	466919
fam398	465571
fam399	464181
fam400	463628
fam401	463414
fam402	462931
fam403	462560
fam404	462065
fam405	461035
fam406	460389
fam407	459966
fam408	459593
fam409	459330
fam410	457965
fam411	457523
fam412	457340
fam413	456833
fam414	456465
fam415	455922
fam416	455517
fam417	455178
fam418	454624
fam419	454295
fam420	453913
fam421	453493
fam422	453302
fam423	452892
fam424	452181
fam425	451831
fam426	451538
fam427	450700
fam428	450380
fam429	449778
fam430	449138
fam431	448794
fam432	447925
fam433	447465
fam434	447197
fam435	445832
fam436	443648
fam437	443081
fam438	442610
fam439	442198
fam440	441831
fam441	441445
fam442	440723
fam443	439724
fam444	439283
fam445	438632
fam446	438338
fam447	436521
fam448	435971
fam449	433893
fam450	432668
fam451	432453
fam452	431547
fam453	431087
fam455	430148
fam456	428018
fam457	426808
fam458	426155
fam459	425521
fam460	425364
fam461	424690
fam462	423226
fam463	421907
fam464	419125
fam465	418802
fam466	417275
fam467	416196
fam468	415442
fam469	414772
fam470	413927
fam471	412553
fam472	411374
fam473	410797
fam474	410538
fam475	409288
fam476	408972
fam477	408554
fam478	408031
fam479	407247
fam480	404570
fam481	403956
fam482	401506
fam483	400762
fam484	400364
fam485	399461
fam486	397479
fam487	396046
fam488	395330
fam489	394629
fam490	392198
fam491	391558
fam492	389211
fam493	388962
fam494	388605
fam495	387711
fam496	386997
fam497	386363
fam498	384710
fam499	382514
fam500	380113
fam501	376783
fam502	376009
fam503	375129
fam504	374749
fam505	373036
fam506	370499
fam507	369048
fam508	367753
fam509	365697
fam510	363514
fam511	362170
fam512	360367
fam513	359837
fam514	358661
fam515	357726
fam516	356567
fam517	355661
fam518	354945
fam519	353110
fam520	352666
fam521	351901
fam522	350834
fam523	349987
fam524	349103
fam525	347680
fam526	346695
fam527	345926
fam528	344652
fam529	343729
fam530	342558
fam532	341751
fam533	340323
fam534	338821
fam535	337408
fam536	335766
fam537	334866
fam538	333542
fam539	332881
fam540	331355
fam541	330576
fam542	330311
fam544	329170
fam545	326881
fam546	326445
fam547	325573
fam548	324942
fam549	323721
fam550	322538
fam551	322161
fam552	321823
fam553	320171
fam554	319269
fam555	317287
fam556	316307
fam557	315166
fam558	314266
fam559	313305
fam560	311599
fam561	310655
fam562	309825
fam563	309061
fam564	308273
fam565	307887
fam576	296969
fam577	295243
fam578	294849
fam579	294029
fam580	292301
fam581	291403
fam582	289353
fam583	287899
fam584	286863
fam585	285438
fam587	283486
fam588	281594
fam589	280994
fam590	280201
fam591	279182
fam592	278044
fam593	276450
fam594	274361
fam596	273237
fam597	271671
fam598	270165
fam599	267978
fam600	264279
fam601	263188
fam602	260839
fam603	258210
fam604	257482
fam605	257282
fam606	255559
fam607	255362
fam608	253689
fam609	252581
fam610	252093
fam612	245609
fam613	243501
fam614	242678
fam616	240623
fam617	239643
fam618	238730
fam619	237701
fam620	235959
fam624	231507
fam625	230059
fam626	229209
fam628	228031
fam629	225732
fam630	224903
fam631	223783
fam632	222922
fam633	221983
fam634	220598
fam635	219602
fam636	218783
fam638	216987
fam639	216452
fam640	215988
fam641	214270
fam642	213816
fam643	211421
fam644	210500
fam645	210073
fam646	208898
fam647	208498
fam648	206877
fam649	205462
fam650	203971
fam651	202366
fam652	201207
fam653	199795
fam654	198915
fam656	196568
fam657	195144
fam658	194616
fam659	193690
fam660	192038
fam661	190079
fam662	188163
fam663	186778
fam664	186064
fam667	182017
fam668	180766
fam669	180170
fam670	179957
fam671	179322
fam672	177383
fam673	176613
fam674	175429
fam675	174707
fam676	173783
fam677	172690
fam678	172223
fam679	171911
fam680	171375
fam681	169585
fam682	168304
fam683	167344
fam684	166550
fam685	165355
fam686	164149
fam687	163003
fam688	161936
fam689	160961
fam690	160053
fam691	158906
fam692	158082
fam693	156801
fam694	155613
fam695	154489
fam696	153392
fam697	152373
fam698	151007
fam699	150231
fam700	149755
fam701	148795
fam702	148492
fam703	148235
fam705	145966
fam706	145530
fam707	144809
fam708	144122
fam709	143340
fam710	142350
fam711	141042
fam712	140149
fam713	138467
fam714	137585
fam715	137255
fam716	135116
fam717	134265
fam718	132178
fam719	131119
fam720	130222
fam721	129793
fam722	129081
fam723	128204
fam724	126807
fam725	125978
fam726	124740
fam727	124342
fam728	123048
fam729	121515
fam730	120198
fam731	118522
fam732	116656
fam733	114845
fam734	113453
fam735	112114
fam738	107210
fam739	106090
fam740	105798
fam741	104594
fam742	103644
fam743	102843
fam744	102116
fam745	101272
fam746	100438
fam747	99406
fam748	98751
fam749	98260
fam750	97631
fam751	96621
fam752	95131
fam753	94403
fam758	91744
fam759	88637
fam760	87269
fam761	86060
fam762	84995
fam763	83540
fam764	82486
fam765	82089
fam766	81219
fam767	80131
fam768	79416
fam769	78679
fam770	77325
fam771	76066
fam772	74682
fam773	73527
fam774	72919
fam775	71585
fam776	71184
fam777	69660
fam778	68412
fam779	67549
fam780	66437
fam781	65418
fam782	64520
fam784	63275
fam785	62456
fam786	61266
fam789	59806
fam790	58278
fam791	56804
fam792	55290
fam793	54700
fam794	54291
fam795	52599
fam796	52399
fam798	51649
fam799	51112
fam800	50211
fam801	48851
fam802	47858
fam804	44948
fam805	44522
fam806	44085
fam807	43748
fam808	42325
fam809	40706
fam810	39661
fam811	38032
fam812	37458
fam813	36928
fam814	36282
fam815	35054
fam816	33837
fam817	32758
fam818	31795
fam819	29180
fam820	28078
fam821	26829
fam822	25421
fam823	24659
fam824	24284
fam825	24063
fam826	22414
fam827	20927
fam828	20389
fam829	19105
fam830	18177
fam831	17291
fam832	16688
fam833	15305
fam834	15107
fam835	14470
fam836	13129
fam837	11459
fam839	10260
fam840	9436
fam841	8498
fam842	7539
fam843	6370
fam844	4201
fam845	2644
fam846	1529
fam847	126
fam848	764
fam849	2356
fam850	2902
fam851	3387
fam852	3677
fam853	4541
fam854	4930
fam855	6170
fam856	8175
fam857	8997
fam858	9555
fam859	10699
fam860	12151
fam861	13647
fam862	15733
fam863	16338
fam864	17854
fam865	18825
fam866	19743
fam867	20775
fam868	21771
fam869	23165
fam870	23879
fam872	30626
fam873	30967
fam874	32029
fam875	32680
fam876	33628
fam877	36817
fam878	37812
fam879	38904
fam880	39090
fam881	40466
fam882	42132
fam883	43190
fam884	44788
fam885	46990
fam886	47725
fam887	48579
fam889	49999
fam890	50928
fam891	52182
fam892	52814
fam893	53713
fam895	57769
