fam	loc
fam1	8473
fam2	9796
fam3	10112
fam4	11245
fam5	13402
fam6	16039
fam7	22355
fam8	23938
fam9	25444
fam10	26522
fam11	27131
fam12	28731
fam13	29736
fam14	30371
fam15	31816
fam16	32415
fam17	32965
fam18	35151
fam19	35491
fam20	36103
fam21	36342
fam22	36728
fam23	48166
fam24	49749
fam25	50392
fam26	50785
fam27	51811
fam28	52643
fam29	53023
fam30	53848
fam31	54122
fam32	54972
fam33	55289
fam34	57843
fam35	58685
fam36	59472
fam37	60344
fam38	61294
fam39	61801
fam40	62166
fam41	63234
fam42	64112
fam43	64511
fam44	64957
fam45	66531
fam46	67503
fam47	68320
fam48	69017
fam49	69307
fam50	72907
fam52	73880
fam53	75723
fam54	77188
fam55	77475
fam56	77880
fam57	78500
fam58	78876
fam59	79432
fam60	82498
fam61	83310
fam62	84244
fam63	85717
fam64	86284
fam65	88288
fam66	89273
fam67	90164
fam68	91303
fam69	92816
fam70	93400
fam71	94268
fam72	94649
fam73	95195
fam74	96952
fam75	102821
fam76	103405
fam77	104482
fam78	106944
fam79	108444
fam80	109527
fam81	110772
fam82	111499
fam83	111975
fam84	113538
fam85	114530
fam86	115917
fam87	116350
fam88	117083
fam89	117595
fam90	118314
fam91	118545
fam92	118778
fam93	119507
fam94	120098
fam95	120904
fam96	121654
fam97	122061
fam98	122776
fam99	126585
fam100	130241
fam101	130621
fam102	131143
fam103	131664
fam104	133800
fam105	135107
fam108	136760
fam109	137431
fam110	138083
fam111	138370
fam112	139228
fam113	139564
fam114	139925
fam115	140585
fam116	141022
fam117	141212
fam118	141501
fam119	141921
fam120	142282
fam121	142853
fam122	143072
fam123	143501
fam124	144071
fam125	144466
fam126	144987
fam127	145184
fam128	145658
fam129	146950
fam130	147670
fam131	148413
fam132	148867
fam133	149018
fam134	149408
fam135	149821
fam136	150946
fam137	151353
fam138	152331
fam139	153176
fam140	153970
fam141	154729
fam142	155323
fam143	155738
fam144	156272
fam145	157050
fam146	158214
fam147	159161
fam149	160744
fam150	161553
fam151	161889
fam152	168917
fam153	169161
fam154	169889
fam155	170509
fam156	171523
fam157	173096
fam158	174471
fam159	176704
fam160	177459
fam161	178313
fam162	179792
fam163	181845
fam164	183996
fam165	185144
fam166	185719
fam167	186293
fam168	186969
fam169	189234
fam170	189972
fam171	191102
fam172	191892
fam173	192700
fam174	193770
fam175	195101
fam176	195924
fam177	197152
fam178	198056
fam179	198972
fam180	200872
fam181	202351
fam182	204059
fam183	205125
fam184	205736
fam185	206166
fam186	207283
fam187	208587
fam188	209069
fam189	209424
fam190	210418
fam191	210777
fam192	211182
fam193	212206
fam194	212598
fam195	213080
fam196	213840
fam197	214445
fam198	216704
fam199	217437
fam200	224488
fam201	225183
fam202	225647
fam203	226660
fam204	228849
fam205	229946
fam206	230185
fam207	230956
fam208	231211
fam209	231936
fam210	232520
fam211	234219
fam212	235328
fam214	238719
fam215	240513
fam216	242172
fam217	247803
fam218	248606
fam219	249744
fam220	251033
fam221	251815
fam222	252074
fam223	252757
fam224	254972
fam225	256363
fam226	257427
fam227	258002
fam228	259644
fam229	260932
fam230	261220
fam231	263071
fam232	263524
fam233	264944
fam234	266155
fam235	268433
fam236	270460
fam237	271667
fam238	272207
fam239	272863
fam240	274337
fam241	275782
fam242	276949
fam243	278418
fam244	279510
fam245	282444
fam246	282688
fam247	283844
fam248	285673
fam249	286447
fam250	287845
fam251	289085
fam252	289970
fam253	291258
fam255	292688
fam256	293891
fam257	294728
fam258	295441
fam259	296106
fam260	297685
fam261	299091
fam263	300377
fam264	301796
fam265	302492
fam266	303277
fam267	303849
fam268	305068
fam269	306461
fam270	306952
fam271	307782
fam272	308902
fam273	309680
fam274	311388
fam275	312476
fam276	313786
fam277	314296
fam278	315413
fam279	317154
fam280	317872
fam281	318672
fam282	319411
fam283	320799
fam284	322375
fam285	322945
fam286	323654
fam287	324108
fam288	324774
fam289	325107
fam290	326426
fam291	330917
fam292	334114
fam293	334589
fam294	335116
fam295	336557
fam296	338299
fam297	338864
fam298	340570
fam299	341630
fam300	343381
fam301	344575
fam302	345760
fam303	345940
fam304	346563
fam305	347961
fam306	349323
fam307	349979
fam309	353061
fam310	353656
fam311	354306
fam312	354684
fam313	355538
fam314	357688
fam315	358062
fam316	358588
fam317	359527
fam318	360727
fam319	361591
fam320	362181
fam322	364000
fam323	364977
fam324	366132
fam325	366522
fam326	368227
fam327	369131
fam328	370679
fam329	374162
fam331	377177
fam332	377839
fam333	379222
fam334	380186
fam335	381091
fam336	382035
fam337	382432
fam338	382666
fam339	383071
fam340	384115
fam341	385449
fam342	385708
fam343	386573
fam345	387414
fam346	388146
fam347	390067
fam348	391191
fam349	393123
fam350	394339
fam351	395123
fam352	395918
fam353	396403
fam354	396943
fam355	397632
fam356	398014
fam357	399103
fam358	406827
fam359	408093
fam360	409053
fam361	409591
fam362	411945
fam363	413448
fam364	414584
fam365	415625
fam366	416341
fam367	416845
fam368	418592
fam369	419192
fam370	420475
fam371	422254
fam372	423498
fam373	424263
fam374	425073
fam375	426793
fam376	427662
fam377	429907
fam378	431050
fam379	431866
fam380	433008
fam381	433940
fam382	434749
fam383	436103
fam384	436927
fam385	437776
fam386	439036
fam387	440170
fam388	441216
fam389	447308
fam390	448150
fam391	450172
fam393	452715
fam394	453070
fam395	453660
fam396	454973
fam398	456902
fam399	457568
fam400	457871
fam401	458311
fam402	459487
fam403	460831
fam404	462277
fam405	463361
fam406	464892
fam407	466939
fam408	467920
fam409	469006
fam410	469929
fam411	470403
fam412	471619
fam413	472412
fam414	473151
fam415	474038
fam418	477590
fam419	478580
fam420	479556
fam421	480920
fam422	482798
fam423	483395
fam424	484362
fam425	485496
fam428	487209
fam429	488387
fam430	488778
fam431	489557
fam432	490967
fam433	492639
fam434	493664
fam435	494872
fam436	497031
fam437	498237
fam438	498785
fam439	499985
fam440	500945
fam441	502607
fam442	503275
fam443	504281
fam444	505839
fam445	507706
fam446	509626
fam447	510269
fam448	510731
fam449	512462
fam450	512915
fam451	513413
fam452	514461
fam453	515589
fam454	516358
fam455	517093
fam456	517898
fam458	519028
fam459	519291
fam460	520300
fam461	521411
fam462	521611
fam463	522384
fam464	523400
fam465	524232
fam466	524989
fam467	525368
fam468	526027
fam469	527477
fam470	527761
fam471	528296
fam472	529430
fam473	530471
fam474	530710
fam475	531937
fam476	533283
fam477	534367
fam478	535710
fam479	536248
fam480	537306
fam481	539248
fam482	540977
fam483	541786
fam484	542171
fam485	542397
fam486	543438
fam487	544684
fam488	546119
fam489	546367
fam490	547333
fam491	547730
fam492	547862
fam493	548077
fam494	548898
fam495	550006
fam496	551086
fam497	552308
fam498	553116
fam499	553577
fam500	555761
fam501	556298
fam502	557732
fam503	558930
fam504	559686
fam505	561008
fam506	561898
fam507	563572
fam508	564162
fam509	566477
fam510	567717
fam511	568747
fam512	570306
fam513	571038
fam514	573262
fam515	574833
fam516	576803
fam517	578364
fam518	578535
fam519	579495
fam520	580500
fam521	582202
fam522	583014
fam523	591517
fam524	593193
fam525	593625
fam526	595781
fam527	596561
fam528	597882
fam529	601645
fam530	605375
fam531	606613
fam532	610002
fam533	610322
fam534	610587
fam535	611078
fam536	611267
fam537	611965
fam538	612336
fam539	612582
fam540	613953
fam541	614379
fam542	614981
fam543	617000
fam544	618848
fam545	620302
fam546	621209
fam549	624837
fam550	625929
fam551	627855
fam552	629084
fam553	630867
fam554	632309
fam556	634717
fam557	635349
fam558	636468
fam559	636634
fam560	637547
fam561	638643
fam563	640529
fam564	641073
fam566	643197
fam567	644478
fam568	645315
fam569	646435
fam570	647579
fam571	650682
fam572	651629
fam573	652377
fam574	652686
fam575	655404
fam576	655856
fam577	656778
fam578	658295
fam579	659849
fam580	660776
fam581	661168
fam582	662118
fam583	663184
fam584	663457
fam585	663686
fam586	664881
fam587	666162
fam588	667041
fam589	668290
fam590	669273
fam593	672976
fam594	674026
fam595	675040
fam597	677637
fam598	678670
fam599	679599
fam600	680684
fam601	681603
fam602	682462
fam603	684278
fam604	686207
fam605	687024
fam606	688122
fam607	688731
fam608	689489
fam609	690251
fam610	691292
fam611	693024
fam612	694325
fam613	696306
fam614	696517
fam615	697663
fam616	698100
fam617	699076
fam618	699671
fam619	700274
fam620	700937
fam621	701796
fam622	702719
fam623	703478
fam624	705032
fam625	707050
fam627	708365
fam628	709246
fam629	710119
fam630	710767
fam631	711252
fam632	711462
fam633	711853
fam635	715385
fam636	716015
fam637	716766
fam638	717290
fam639	717808
fam640	718616
fam642	719875
fam643	720480
fam644	721495
fam645	722545
fam646	724112
fam647	725917
fam648	727516
fam649	728282
fam650	728941
fam651	729563
fam652	730346
fam654	732794
fam655	733488
fam656	735168
fam657	735951
fam658	736955
fam659	737538
fam660	739748
fam661	740214
fam662	741586
fam663	741929
fam664	743254
fam665	745127
fam666	745869
fam667	746466
fam668	747180
fam669	747670
fam670	750353
fam671	752523
fam672	753754
fam681	765705
fam682	767401
fam683	767791
fam684	768859
fam685	769038
fam686	769491
fam687	771020
fam689	773394
fam690	775084
fam691	775956
fam692	776282
fam693	777969
fam694	778565
fam695	779543
fam696	780798
fam697	782054
fam698	783588
fam699	785118
fam700	785321
fam701	786206
fam702	788416
fam703	789645
fam704	790306
fam705	793539
fam706	794200
fam707	795600
fam708	796386
fam709	797120
fam710	798525
fam712	800687
fam713	801373
fam714	802566
fam715	803622
fam716	804824
fam718	805969
fam719	806865
fam720	808686
fam721	810439
fam722	811139
fam723	811893
fam724	813247
fam725	813767
fam726	814809
fam727	816422
fam728	817536
fam729	819303
fam730	820002
fam731	821082
fam732	821885
fam733	822496
fam734	823394
fam735	823793
fam737	824686
fam738	825017
fam739	827340
fam740	827599
fam741	828317
fam742	829826
fam743	830896
fam744	831864
fam746	833404
fam747	835037
fam748	836780
fam749	837479
fam750	838472
fam752	839690
fam753	840949
fam754	841788
fam755	842671
fam756	843869
fam757	844768
fam758	845952
fam759	847575
fam760	848977
fam761	850056
fam762	851735
fam763	852508
fam767	856793
fam768	857971
fam769	859212
fam770	860418
fam771	861707
fam772	862821
fam773	863843
fam775	866089
fam776	866571
fam778	868118
fam779	869569
fam780	870576
fam781	872290
fam782	872967
fam783	873724
fam784	874464
fam785	875471
fam786	875803
fam787	876484
fam788	877124
fam789	877758
fam790	878596
fam791	878936
fam792	879165
fam793	881151
fam794	881378
fam795	882039
fam796	884644
fam797	885594
fam798	886986
fam799	887531
fam800	888696
fam801	890816
fam802	892575
fam803	893187
fam804	894778
fam805	895136
fam806	895938
fam807	896910
fam808	897769
fam809	898652
fam810	899201
fam811	900192
fam812	901860
fam813	902409
fam814	902828
fam815	903416
fam816	904522
fam817	905393
fam818	905783
fam819	907279
fam820	908240
fam821	909172
fam823	911910
fam824	913539
fam825	914466
fam826	915341
fam827	916127
fam828	916673
fam829	918765
fam830	919815
fam831	921214
fam832	924459
fam833	924830
fam834	927693
fam835	928524
fam836	929367
fam837	929967
fam839	931647
fam840	932779
fam841	933402
fam842	935268
fam843	937198
fam845	938961
fam849	943815
fam850	945478
fam851	947179
fam852	947984
fam854	949063
fam855	950051
fam856	950818
fam857	952015
fam858	952708
fam859	953729
fam860	954250
fam861	955374
fam862	956577
fam863	957751
fam864	958893
fam865	959707
fam872	970001
fam873	970246
fam874	971302
fam875	972461
fam876	973616
fam877	974177
fam879	975314
fam880	975453
fam881	975685
fam882	977799
fam883	978187
fam884	978530
fam885	979163
fam887	981992
fam888	982458
fam889	983695
fam890	985287
fam891	985511
fam892	987197
fam893	987674
fam895	988887
fam896	989676
fam897	989888
fam898	990526
fam899	992167
fam900	993236
fam901	993556
fam902	994940
fam903	995261
fam904	996594
fam905	997741
fam906	998094
fam907	999179
fam908	1000077
fam909	1001027
fam914	1006321
fam915	1007072
fam916	1007698
fam917	1009766
fam918	1010897
fam919	1012141
fam920	1013142
fam921	1013528
fam922	1014498
fam923	1015397
fam924	1016256
fam925	1017659
fam926	1018540
fam927	1019719
fam928	1020131
fam929	1020726
fam935	1026558
fam936	1028756
fam937	1029093
fam938	1030234
fam939	1031082
fam940	1032202
fam942	1034055
fam943	1035941
fam945	1038354
fam946	1038870
fam947	1039666
fam948	1040738
fam950	1045296
fam951	1045725
fam952	1045978
fam953	1047862
fam955	1049470
fam956	1050294
fam957	1051123
fam958	1052684
fam959	1054074
fam960	1055548
fam962	1057561
fam963	1060922
fam964	1061190
fam965	1061559
fam966	1062198
fam970	1066945
fam971	1067647
fam980	1077729
fam981	1078709
fam982	1079414
fam985	1082901
fam986	1083920
fam1016	1115958
fam1026	1131549
fam1029	1134732
fam1030	1136553
fam1031	1138177
fam1032	1138828
fam1033	1140023
fam1034	1141459
fam1035	1142924
fam1036	1143543
fam1037	1144136
fam1038	1145294
fam1039	1148086
fam1040	1148431
fam1041	1149273
fam1042	1150134
fam1043	1150676
fam1044	1152108
fam1045	1153386
fam1046	1154108
fam1047	1155645
fam1048	1157030
fam1049	1157776
fam1050	1158658
fam1051	1159106
fam1052	1160627
fam1054	1164822
fam1056	1165694
fam1057	1167168
fam1058	1167909
fam1059	1168785
fam1060	1169972
fam1061	1172177
fam1062	1173060
fam1065	1175747
fam1066	1176120
fam1067	1178331
fam1068	1179569
fam1069	1180708
fam1070	1181415
fam1071	1182823
fam1072	1183248
fam1073	1183676
fam1074	1184222
fam1075	1185094
fam1076	1186114
fam1077	1186701
fam1078	1187289
fam1079	1187815
fam1082	1190177
fam1084	1191383
fam1085	1192585
fam1086	1193060
fam1087	1195143
fam1088	1195959
fam1089	1196514
fam1090	1197074
fam1091	1198518
fam1092	1198887
fam1093	1200220
fam1094	1201390
fam1095	1202106
fam1096	1203019
fam1099	1205590
fam1100	1206221
fam1101	1207337
fam1102	1208487
fam1103	1209585
fam1104	1211120
fam1105	1212978
fam1106	1214424
fam1107	1217607
fam1108	1218691
fam1109	1219772
fam1110	1220020
fam1111	1220676
fam1112	1221285
fam1113	1222277
fam1114	1223102
fam1115	1224267
fam1117	1226170
fam1118	1228592
fam1119	1229505
fam1120	1231164
