fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.012457224734987487	0.0	0.0678867282431778	5.6e-05	0.0	0.00027578237650712774	0.007272141414141415	0.0031	0.006758095307260933	1121108	0.0024663780663780666
fam393	0.1280669490384832	0.14496314496314497	0.034843105318597814	0.0029154545454545457	0.002	0.002501299368480744	0.01835983838383838	0.0	0.020339223368816408	441111	0.00751881963264077
fam1571	0.23271881267643194	0.2504378283712785	0.09170021221699451	0.007456727272727273	0.0047	0.007251743795607715	0.026924929292929296	0.0	0.03025712245634794	534336	0.012917958462512919
fam158	0.11422820675113655	0.1122994652406417	0.05747353650927562	0.001092181818181818	0.0	0.0012260775459816279	0.008974646464646463	0.0	0.010506646747897912	179614	0.0034766468099801436
fam1037	0.08430728886621106	0.07563025210084033	0.02068325790541952	0.0010187070707070706	0.0009	0.001019658065607332	0.010456868686868688	0.0	0.01166810537851673	1164845	0.009071782248252835
fam1499	0.15134273247849167	0.10321100917431192	0.21823193455202466	0.0025036506159014553	0.0018	0.0027323441361136623	0.018353930571108623	0.0	0.021267671966832585	626666	0.007851635824599
fam1031	0.19016954199766392	0.2887323943661972	0.13585696369457737	0.002574273345701917	0.0	0.003332452861870838	0.012801113172541746	0.0	0.014525402041630714	1171299	0.005556459691798038
fam680	0.0	0.0	0.0	0.0	0.0	0.0	0.013271232323232324	0.0052	0.013171578857239954	774965	0.004030877884536422
fam875	0.385067494304588	0.26595744680851063	1.2272451450551813	0.002909606266749124	0.002	0.0027231984128118576	0.009136858379715524	0.0023	0.009363511042764403	1007916	0.004739579724760519
fam1928	0.0	0.0	0.0	0.0	0.0	0.0	0.016124242424242423	0.0	0.01831648256399105	103929	0.005209744503862151
fam98	0.200706487928465	0.18811881188118812	0.16348330137962577	0.0009342626262626264	0.0	0.0010986795617978404	0.005031050505050505	0.005	0.0054934417747713295	110550	0.0020548500216550007
fam1496	0.21549371991635388	0.20560747663551404	0.06866972882925254	0.001122902494331066	0.0	0.0013024472733242204	0.005139641311069883	0.0	0.0057321241583468885	629748	0.0022800381604368316
fam1040	0.3500189609404626	0.48148148148148145	0.23560324746231437	0.0012253333333333333	0.0	0.0013583280869948879	0.0003218181818181818	0.0	0.0012875616008692782	1159980	0.0009224186307519643
fam1786	0.01478239487961014	0.0	0.08165715959715178	9.400000000000001e-05	0.0	0.000658	0.00976909090909091	0.0	0.011607523256201156	300766	0.003154623154623154
fam355	0.13406622310884622	0.08695652173913045	0.10132586937196955	0.0016559139784946238	0.001	0.001386792178794095	0.017707069320521622	0.0048	0.01850344821573372	401300	0.0064008615737507725
fam519	0.029992708847338994	0.033742331288343565	0.010953274230773335	0.0004480000000000001	0.0	0.0005404590641297452	0.014506848484848484	0.0	0.01610304129525976	581869	0.004520360841115558
fam1093	0.23236187237019684	0.3194444444444445	0.17995713418879158	0.0021843232323232324	0.0015	0.0022997726494058514	0.007300505050505051	0.0036	0.006460880396857671	1096839	0.003684986176998957
fam814	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	932973	0.0
fam321	0.21032429925937152	0.2191011235955056	0.09261000474865116	0.002553494949494949	0.0031	0.002018666153145012	0.009351313131313132	0.0	0.010589072569004604	372275	0.004753577441077441
fam594	0.06739623530829902	0.043193717277486915	0.0662428324764146	0.002013838383838384	0.0017	0.0017618230956440726	0.03169034343434344	0.0	0.03731866172320955	679241	0.010104071013161922
fam346	0.02307839023459852	0.0	0.0649036014803884	0.0008780045351473923	0.0	0.0017585016323305297	0.0004305297876726448	0.0	0.0029982963807908703	389904	0.000796190237184026
fam1679	0.060685488934854495	0.04957160342717258	0.07095697424172152	0.0007368282828282828	0.0008	0.000696278158169216	0.011506727272727273	0.0019	0.012652721398347696	415130	0.003979821280859343
fam922	0.25617963407549876	0.37109375	0.2079152193374973	0.004529035087719299	0.0012	0.0049462092465897105	0.01173467105263158	0.005	0.01119347876121443	1061369	0.006737973740440845
fam494	0.04889014418670651	0.03475935828877005	0.058807725261054385	0.0010757205975173575	0.0	0.001252901379859064	0.0167131495897328	0.003	0.01802380505130315	553346	0.005702963711114854
fam651	0.0056891144706002995	0.0	0.015193274608626506	7.151515151515151e-05	0.0	0.0002861248001931729	0.013893616161616164	0.0	0.015464404473217	738602	0.00464694450442669
fam870	0.05814068004358961	0.05327868852459016	0.026888146599665316	0.0006457225314368171	0.0	0.0007713776294610872	0.011302267573696147	0.0	0.012955142268815672	1000893	0.0037105751391465678
