fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.16245267316804965	0.15345911949685534	0.07808155074290717	0.04102380952380952	0.0448	0.02383878202309571	0.2879952380952381	0.3322	0.16828623709730953	1069573	0.09336364361489988
fam966	0.021042644066993278	0.02125487396483995	0.009318442397401745	0.01715714285714286	0.017	0.011291360853855162	0.791304761904762	1.0401	0.5294361614254766	144350	0.1025074764205199
fam393	0.00868605974117616	0.0	0.01279397172748666	0.0012380952380952382	0.0	0.001957762617663383	0.10027619047619049	0.1196	0.07567527686334996	489165	0.02645502645502645
fam1037	0.012085082079229698	0.014755079240181986	0.008456939819360399	0.002852380952380953	0.0037	0.0023010596001509205	0.17697619047619048	0.2009	0.11543980045177084	228364	0.04664224664224664
fam3479	0.14538128841358136	0.14119742663886486	0.027877811375713227	0.04282380952380953	0.0384	0.02529095273510733	0.32462380952380954	0.2344	0.2364681734444494	1155600	0.10249255952380952
fam3276	0.009020029075698975	0.009990733819034708	0.0060463002251881	0.0024238095238095234	0.0021	0.0017741274882801408	0.2467333333333333	0.3007	0.16816503609573355	1377409	0.05886818495514149
fam1720	0.031011523359508873	0.0282538181126172	0.015469323347189427	0.013247619047619048	0.017	0.008486887311366145	0.4532952380952381	0.5109	0.29332686217351855	989951	0.09376316898440791
fam1499	0.05567456472002137	0.033721228766755235	0.058108076987995846	0.01275714285714286	0.0141	0.007131657887033497	0.4030190476190476	0.4173	0.2607410768578624	741286	0.09873663751214772
fam2659	0.1958616930630253	0.18944697725036896	0.06668465175003398	0.05487619047619048	0.0451	0.04176502187422143	0.31780476190476187	0.3481	0.22299366310917465	2029886	0.10159799048687936
fam1031	0.11153760273090851	0.10465711361310133	0.032777892160878765	0.037904761904761906	0.0392	0.028648501601147135	0.3211857142857143	0.4223	0.19345045455451101	219839	0.10212341007042992
fam3345	0.01530201760231541	0.008858855631075229	0.016461754435937576	0.0038190476190476195	0.0031	0.002681438677032314	0.44386666666666663	0.528	0.31540767169661454	1306508	0.0803080308030803
fam680	0.010850471949307402	0.00967858731657569	0.011302981439673886	0.0033619047619047617	0.0036	0.002350577677827545	0.3048761904761905	0.3441	0.21328770398502067	172472	0.05745341614906831
fam1781	0.1307754171953181	0.12864267643238245	0.05771596010054675	0.06296190476190475	0.047	0.05411956319281787	0.4333809523809523	0.3776	0.3075074193747552	1065161	0.15850815850815853
fam425	0.03737992071723184	0.02508461803621337	0.03451654525391398	0.006604761904761904	0.0098	0.005471090793170972	0.17139999999999997	0.1722	0.12349848659184529	458529	0.04647357224676812
fam1195	0.05104199167272292	0.04935523976130378	0.02879733253167081	0.012742857142857143	0.0093	0.009651576304939416	0.2504333333333333	0.2364	0.17709867395737416	406065	0.05569644031182493
fam3379	0.030132140718198315	0.03081740065822331	0.02268062555275907	0.010504761904761902	0.0094	0.007893425606189846	0.30893333333333334	0.2983	0.23509404872525325	1271405	0.06532771838894288
fam3111	0.024086096596990743	0.027419246157205437	0.016823719666086194	0.009342857142857144	0.0093	0.006502349130713228	0.320047619047619	0.4091	0.2110151328787935	1561009	0.0700589970501475
fam98	0.033579962149389846	0.031067220435948117	0.021318440778650877	0.013171428571428572	0.0111	0.008665703766498568	0.3893	0.3702	0.22332115887214984	836812	0.08253968253968254
fam1496	0.022007814537849075	0.01930319496924783	0.018957547151544914	0.010295238095238095	0.0133	0.00824005756975244	0.4006380952380953	0.3378	0.32386340665132335	739205	0.07909451659451659
fam1988	0.04579913916006098	0.04674843786160611	0.01128057435872236	0.015776190476190475	0.0097	0.015212961414903341	0.3638761904761905	0.2815	0.3286808423072042	1313738	0.08511436070491189
fam265	0.034822546488920136	0.032520325203252036	0.012679787040866015	0.02127142857142857	0.0207	0.016762604152075648	0.6272714285714287	0.6186	0.4840894871453271	635888	0.0927702058444108
fam2943	0.045004269595298296	0.03259577550831756	0.02852983347867082	0.021785714285714287	0.0269	0.014414122893034812	0.6968571428571428	0.8941	0.5159510816341563	1727644	0.11727891156462585
fam1040	0.05278532661381648	0.059837993206166715	0.03387580452294111	0.011738095238095238	0.0126	0.008704595184399045	0.18824761904761905	0.1778	0.14509302637912985	231999	0.044265593561368215
fam3456	0.018062722041359648	0.01658184493414732	0.00850238995239822	0.005342857142857142	0.0034	0.005362885810614194	0.23016190476190473	0.1902	0.17362796152965487	1182060	0.05642500445871231
fam1786	0.0759215197339763	0.04216468462037681	0.09447449548766979	0.01706190476190476	0.0194	0.008479806612264568	0.4199142857142857	0.5393	0.2501907201767984	1071085	0.091557395905222
fam3641	0.09745928486536451	0.07745207140464702	0.057049447454357624	0.042109523809523805	0.0354	0.035244153919303106	0.5539238095238094	0.5645	0.438537323062497	964417	0.11155476683426992
fam3198	0.05454909484481474	0.03726229127132678	0.050565850112389926	0.014719047619047618	0.0162	0.008576747027233635	0.41012857142857145	0.5191	0.27970302132092606	1465885	0.09657368880669852
fam1784	0.15872200691297322	0.15602662065565687	0.030779180090947024	0.03858095238095239	0.035	0.021280566118669533	0.24890476190476196	0.2716	0.13546491542335823	1068380	0.08787432498772703
fam3247	0.03339934690382211	0.028553707760540725	0.021600306769174956	0.011547619047619048	0.0077	0.010339228075064823	0.3822238095238095	0.381	0.28965500152646606	1411421	0.0780578898225957
fam2761	0.3054718021732251	0.1498922665519616	0.33815308865361376	0.03762380952380952	0.0232	0.028843599682258546	0.26120000000000004	0.2263	0.20505141979977792	1925701	0.08138070042831946
