fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1571	nan	nan	nan	0.004051190126359094	0.0081	0.004049999825135706	0.0	0.0	0.0	45960	0.004688673392758025
fam1037	0.0	0.0	0.0	0.0	0.0	0.0	0.002505574229691877	0.0031	0.006370443812022598	532667	0.0006547362221172088
fam1720	0.18083367825577457	0.19170984455958548	0.047462128059740705	0.001893417366946779	0.0037	0.0018660474644366155	0.01342014005602241	0.0193	0.025581044945126582	180433	0.004903990581739942
fam1499	0.3308823529411765	0.33088235294117646	5.551115123125783e-17	0.00010588235294117647	0.0	0.0006820993443560361	0.00031999999999999997	0.0	0.00206145579627602	28680	0.00062123859444768
fam1031	0.0024609329289024167	0.0	0.011202452491738535	0.00061515406162465	0.0	0.003962860147733542	0.024192549019607844	0.026	0.0734572725552862	536469	0.005556008811291508
fam680	0.0	0.0	0.0	0.0	0.0	0.0	0.0009005602240896359	0.0	0.004293805024789886	906143	0.00024210274080133524
fam875	0.06117190032529415	0.061224489795918366	5.7529971524755614e-05	0.0026311531841652323	0.0047	0.0025619236692442167	0.003736546184738957	0.0	0.023925580282570687	704513	0.0028109414225306367
fam1195	0.07477300132952686	0.06137724550898204	0.015306112502827833	0.0011385829030407344	0.0021	0.0012114959718580065	0.0015946069994262765	0.0	0.010210512545435797	376544	0.001228193196064682
fam1928	0.0	0.0	0.0	0.0	0.0	0.0	0.004098823529411765	0.0	0.02640482350818255	400187	0.0005347593582887701
fam657	0.2916893327135275	0.02507374631268437	0.30462831301309623	0.0027151260504201685	0.0049	0.002689770183412233	0.010023669467787114	0.0	0.06256555578182382	926383	0.004171561097557303
fam1496	0.020301017264325042	0.0	0.07977087901890195	0.00041809523809523813	0.0	0.002157447595049179	0.006500980392156863	0.0	0.039597685352976635	32534	0.0019547688356388302
fam1988	0.01670953625395257	0.033218785796105384	0.016609779273971045	6.823529411764705e-05	0.0	0.00043957513302944547	0.002226078431372549	0.0	0.013252453735042833	468406	0.000640675557434714
fam1040	0.03233849483849484	0.029720279720279724	0.002950892531251097	0.0010457142857142855	0.0017	0.0015309212023782142	0.006729411764705881	0.0	0.04335120277462807	530659	0.002079586698492626
fam355	0.15029009086263706	0.15789473684210525	0.008778924914246661	0.0007960504201680673	0.0	0.004315764026764288	0.005514481792717087	0.0	0.030354817527707603	1475859	0.001955532212885154
fam2375	0.14718123009027315	0.14788732394366194	0.0059893985381519665	0.004308935574229691	0.0072	0.004224892386052036	0.029308599439775918	0.0568	0.02912491000213166	873330	0.010695672208277253
fam2305	nan	nan	nan	0.0028254733218588636	0.0	0.002849894461565088	0.0	0.0	0.0	792151	0.0020654044750430295
fam1093	0.40096624362470035	0.4166666666666667	0.07146841414694403	0.0008939495798319327	0.0015	0.0012012236187870084	0.003910840336134454	0.0036	0.013744633487801822	479332	0.0017447149800090976
fam2025	0.0016580504953494963	0.0	0.007523073507677166	0.00013176470588235296	0.0	0.000848834739643067	0.006978151260504202	0.0068	0.023489786658342202	512331	0.002007469654528478
fam814	0.40717470138337114	0.41379310344827586	0.09747433152634064	0.0008719607843137255	0.0012	0.0017047686679861535	0.005913473389355743	0.0029	0.028813322188782985	773821	0.0020834934139907003
fam321	0.5958188153310104	0.7714285714285715	0.19850721901830057	0.0006828680575962385	0.0013	0.0006873978342078615	8.433734939759037e-05	0.0	0.0005367196049970179	1423439	0.0005282656071912066
fam346	0.3220446660595851	0.3428571428571428	0.07833920012310983	0.0006285714285714285	0.0012	0.000630158424410832	0.0027603641456582636	0.0035	0.006834196874997198	1463484	0.0011557105111548163
fam62	0.251749765621247	0.25	0.018288172840509716	0.009283165266106444	0.0167	0.009149804581227288	0.037104369747899164	0.0736	0.0368533413033205	1189009	0.01769343702393238
fam1358	0.2699868938401049	0.2699868938401048	5.551115123125783e-17	0.0004847058823529413	0.0	0.003122499220829854	0.0017952941176470594	0.0	0.011565373327636791	194357	0.0007931262392597487
