fam	loc
fam1	1550
fam2	2841
fam4	4411
fam5	5053
fam6	8552
fam7	9013
fam8	9368
fam10	10788
fam11	12053
fam12	12677
fam13	14660
fam14	25092
fam15	25618
fam16	27184
fam17	28363
fam18	30645
fam19	31405
fam20	32626
fam21	32871
fam22	33864
fam23	37645
fam24	39253
fam25	40303
fam26	40857
fam27	42473
fam28	44708
fam29	46279
fam30	47113
fam31	48191
fam34	50952
fam35	53507
fam42	61111
fam43	61470
fam44	64021
fam47	67422
fam49	68515
fam51	70443
fam52	71633
fam53	72208
fam54	83006
fam55	84411
fam59	89309
fam60	90460
fam61	91040
fam62	91739
fam63	94190
fam65	96973
fam66	99401
fam67	100180
fam68	100873
fam69	102598
fam70	102992
fam71	103694
fam73	104798
fam74	105316
fam75	106185
fam77	106986
fam79	108745
fam80	109165
fam91	124616
fam93	126478
fam94	127750
fam95	128357
fam96	130309
fam97	131870
fam98	132722
fam105	145605
fam106	146329
fam108	147580
fam109	148522
fam110	149946
fam111	150679
fam112	152534
fam113	153099
fam115	154514
fam116	155258
fam120	160857
fam121	161313
fam122	162038
fam125	164841
fam126	165616
fam127	166355
fam128	167625
fam129	168043
fam130	168854
fam132	170614
fam133	172164
fam134	173221
fam135	174620
fam136	175781
fam137	176711
fam138	178010
fam139	179296
fam140	179717
fam141	181215
fam142	182731
fam144	187195
fam145	188165
fam146	189662
fam149	191725
fam150	192825
fam155	197533
fam156	198437
fam157	198901
fam158	199779
fam159	200586
fam160	201865
fam161	203798
fam162	206355
fam163	207158
fam165	209284
fam170	215596
fam172	215982
fam173	216718
fam176	221704
fam177	221984
fam180	225383
fam181	226216
fam182	226672
fam183	228111
fam185	231987
fam186	232583
fam189	235319
fam190	237184
fam192	241262
fam193	242617
fam195	245246
fam196	245813
fam197	247680
fam198	248045
fam199	248885
fam201	250204
fam203	251324
fam204	252764
fam205	253332
fam206	253818
fam207	254699
fam208	255666
fam209	256169
fam210	256648
fam211	257363
fam212	258076
fam213	258650
fam214	259468
fam215	259716
fam216	261178
fam217	262534
fam218	263332
fam219	264201
fam220	264854
fam221	265948
fam228	270945
fam229	271272
fam230	271595
fam231	273329
fam232	273922
fam233	274625
fam234	275269
fam235	276110
fam237	277867
fam238	278582
fam244	288170
fam246	291357
fam247	292688
fam250	295986
fam252	298995
fam253	299308
fam254	299915
fam255	301319
fam256	302102
fam257	302935
fam258	303780
fam259	305294
fam260	305895
fam261	307067
fam262	307973
fam263	309389
fam265	314043
fam266	314626
fam267	315616
fam269	317518
fam270	318625
fam271	319482
fam273	321827
fam274	322341
fam275	323576
fam276	324190
fam277	325443
fam278	325760
fam279	326055
fam280	328905
fam281	329352
fam284	333020
fam285	334746
fam287	336779
fam288	337953
fam290	339270
fam291	339998
fam292	340534
fam294	342140
fam295	343068
fam296	344022
fam297	344789
fam298	345499
fam299	347388
fam300	348116
fam301	349490
fam302	350133
fam303	350760
fam304	357610
fam305	358323
fam306	358886
fam307	359733
fam308	361132
fam309	362223
fam310	363733
fam311	364503
fam312	365507
fam313	366045
fam314	367007
fam315	367295
fam316	368366
fam317	369309
fam318	370056
fam319	371350
fam320	371842
fam321	372264
fam322	373754
fam323	374626
fam324	375393
fam325	375906
fam338	391766
fam339	393938
fam340	394846
fam342	398319
fam343	399676
fam344	400249
fam345	401503
fam346	402781
fam347	404398
fam348	405710
fam349	406794
fam350	407121
fam354	411326
fam355	413284
fam356	413869
fam357	414698
fam359	417564
fam360	418233
fam361	418867
fam363	422453
fam365	425140
fam366	425712
fam367	426660
fam368	426884
fam371	430433
fam375	435342
fam376	436516
fam379	440589
fam381	442682
fam382	445636
fam383	446019
fam387	449473
fam389	451814
fam390	453036
fam391	453801
fam392	454935
fam393	455854
fam394	457314
fam396	459135
fam397	459865
fam398	460203
fam401	464469
fam403	465585
fam404	466103
fam405	466639
fam406	468160
fam407	469057
fam408	470540
fam410	472533
fam411	473967
fam412	474974
fam416	477835
fam417	478704
fam421	482026
fam422	484560
fam423	487106
fam424	489426
fam425	489696
fam426	491258
fam427	491964
fam430	494969
fam431	497280
fam432	498589
fam433	499610
fam434	500080
fam435	500954
fam436	501701
fam437	503326
fam438	504277
fam439	505518
fam440	509042
fam446	512853
fam447	513296
fam449	517609
fam451	520550
fam452	521401
fam453	522862
fam454	523572
fam456	525883
fam457	526607
fam460	528665
fam461	529514
fam463	531090
fam464	532471
fam465	533041
fam467	535327
fam468	536159
fam471	539214
fam473	542203
fam474	542827
fam476	543851
fam479	546709
fam480	548032
fam481	550689
fam482	552565
fam483	552759
fam485	553747
fam486	555632
