fam	loc
fam1	11368
fam2	12811
fam3	13478
fam4	14590
fam5	16532
fam6	19250
fam7	20476
fam8	22589
fam9	24124
fam12	26764
fam13	27939
fam14	29935
fam15	30378
fam16	31949
fam17	33511
fam19	35264
fam20	37109
fam21	38439
fam22	39231
fam24	42175
fam83	99893
fam84	101201
fam92	108064
fam97	111912
fam100	114766
fam101	116449
fam102	117862
fam107	126039
fam108	126471
fam113	134497
fam114	135749
fam115	137070
fam116	140171
fam117	141576
fam118	142518
fam119	143335
fam121	144823
fam122	145635
fam123	146920
fam124	148569
fam125	149517
fam126	150392
fam127	151194
fam128	151936
fam129	153138
fam132	158032
fam133	158809
fam134	160165
fam135	161877
fam136	162883
fam137	163914
fam139	165364
fam140	166686
fam141	167318
fam142	168296
fam143	168946
fam144	169754
fam145	171589
fam146	172686
fam147	173710
fam148	174420
fam151	177186
fam152	178594
fam153	179572
fam154	180202
fam155	180580
fam157	182688
fam158	184667
fam160	186430
fam161	193791
fam162	194424
fam163	196981
fam165	198600
fam166	200458
fam168	202087
fam169	203106
fam170	204842
fam171	206519
fam172	207514
fam173	208625
fam174	209916
fam175	211111
fam176	212868
fam178	214281
fam179	215437
fam180	216697
fam181	217472
fam182	217924
fam183	220189
fam188	223751
fam189	224390
fam190	225627
fam191	226321
fam192	226896
fam193	227593
fam194	228348
fam195	228980
fam196	229874
fam197	230224
fam198	232356
fam200	235525
fam201	236143
fam202	236727
fam203	237724
fam204	240191
fam205	242055
fam206	243167
fam207	245031
fam208	246045
fam209	247429
fam210	247820
fam211	248577
fam212	249101
fam214	250013
fam215	250258
fam216	250817
fam217	251571
fam218	252479
fam219	252692
fam220	253254
fam221	253660
fam222	254460
fam223	258227
fam224	261982
fam225	262570
fam227	263615
fam228	265816
fam229	267219
fam230	268514
fam231	269597
fam234	272311
fam235	273844
fam236	274830
fam237	275854
fam238	278628
fam239	280021
fam240	280841
fam241	281852
fam242	282462
fam243	283035
fam244	284081
fam245	284652
fam247	290137
fam250	292759
fam251	293438
fam252	293822
fam253	294832
fam254	295573
fam255	296123
fam256	296892
fam257	298371
fam258	299522
fam259	299850
fam260	300114
fam263	302223
fam264	303307
fam265	304124
fam266	304493
fam267	304886
fam268	306492
fam269	307615
fam270	308392
fam271	309642
fam272	310802
fam273	311641
fam274	313268
fam275	314256
fam276	315345
fam277	315900
fam278	317593
fam279	317984
fam280	319078
fam281	320171
fam282	321561
fam283	322124
fam284	323396
fam285	324169
fam286	325020
fam287	326299
fam288	327613
fam292	328991
fam293	330649
fam294	331541
fam295	332348
fam298	333684
fam299	334907
fam300	335694
fam301	336469
fam302	337181
fam303	338145
fam304	339130
fam305	339677
fam307	342298
fam308	342365
fam310	342876
fam311	343098
fam312	346225
fam313	346637
fam314	346978
fam315	348470
fam316	348949
fam317	349248
fam318	349687
fam319	352175
fam320	353839
fam321	354672
fam323	356183
fam325	358027
fam326	358899
fam327	360043
fam328	361457
fam329	362521
fam333	365765
fam334	367280
fam335	368650
fam336	369806
fam337	370626
fam338	371918
fam339	373246
fam340	374313
fam341	375345
fam342	376038
fam343	377071
fam344	377978
fam345	379857
fam346	380996
fam347	382021
fam348	383014
fam351	386995
fam352	387964
fam355	389366
fam356	390683
fam357	390888
fam358	391770
fam359	392705
fam360	393971
fam361	394466
fam362	395211
fam364	396500
fam365	397174
fam366	398039
fam367	398499
fam368	399182
fam370	400998
fam371	402843
fam372	404534
fam373	405218
fam375	406366
fam376	406681
fam377	407751
fam378	409441
fam379	411011
fam380	411309
fam381	411950
