fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.09407273167147243	0.0788583440076198	0.12031534988077666	0.009725378787878788	0.007	0.007532995591648283	0.11898181818181817	0.1049	0.07437282802347485	1080333	0.03786008230452675
fam393	0.05536686045264641	0.05526770293609672	0.037884394872202604	0.004740689655172413	0.0032	0.003911559583459065	0.0829032183908046	0.0579	0.05527490452367811	472360	0.023156358328772123
fam1571	0.022068064712569554	0.015002586652871184	0.04815223659024578	0.0016034274193548385	0.0014	0.0014720406160759324	0.10242741935483872	0.066	0.07497426127023653	1731561	0.026612485807787346
fam158	0.13270728701397394	0.12438631324373849	0.0999622351056953	0.014782007575757575	0.0075	0.012533358448554107	0.11228939393939392	0.06545000000000001	0.08513544623535661	160873	0.03935268034677484
fam1037	0.1909431942082704	0.1988950276243094	0.08113403151162968	0.022032007575757573	0.0168	0.016424853504257084	0.10396515151515151	0.1047	0.06238786210965565	1145241	0.04171176046176046
fam3479	0.0977506383531896	0.08816705336426914	0.048047485930335546	0.008307862903225808	0.0077	0.0052173522775116575	0.0933304435483871	0.058249999999999996	0.06509071663254867	34713	0.02857816726909
fam3276	0.4710538400755607	0.5379876796714579	0.2629684015071786	0.011473295454545455	0.0	0.01260167838944037	0.022201893939393938	0.0239	0.022790140167125696	252609	0.01400800457404231
fam1720	0.19932549879888034	0.13321862348178137	0.1663198443899288	0.01604393939393939	0.0174	0.010093187077938577	0.13144242424242425	0.076	0.10954948852017585	1770631	0.04372130394857668
fam1499	0.04113184326878284	0.05357142857142857	0.042027871734687486	0.004706060606060606	0.0012	0.0048084325798657904	0.08853787878787878	0.06665	0.061850542647607296	1598750	0.027379300430043007
fam2659	0.04642091900692922	0.05243161094224924	0.024205281340005068	0.00390814393939394	0.0023	0.0031157636172654993	0.07363541666666665	0.0593	0.0483848227774493	869176	0.022349102269640167
fam1031	0.23806860363257215	0.24183006535947713	0.1227183619118452	0.01761350806451613	0.0111	0.014518935043254981	0.06748145161290323	0.0561	0.04775015304305061	1140834	0.03043094758064516
fam680	0.08639050527684722	0.07809110629067245	0.05041688256318693	0.00807116935483871	0.0053	0.006060401236612828	0.09971451612903225	0.0559	0.07337503194871908	788707	0.032583903551645484
fam875	0.012879688432944104	0.0	0.07084093043478243	0.00048106060606060606	0.0	0.0018939749996653092	0.0646659090909091	0.032549999999999996	0.05560925783992164	985105	0.01972101972101972
fam1483	0.01484523318836593	0.017740913933345013	0.015465930875497831	0.0015026515151515154	0.0	0.0016704746013363465	0.063375	0.0357	0.04684259809417195	1583837	0.017561675738619435
fam1781	0.29075092549149645	0.20231213872832368	0.29145626250191997	0.01638295454545454	0.0144	0.010283977920859309	0.08370189393939394	0.0441	0.06849616000774739	1715133	0.03437391152908394
fam425	0.09198882978242208	0.11387329591018444	0.0867806563753169	0.007029924242424243	0.0023	0.006910916813736221	0.07226950757575756	0.078	0.04508896002819521	505178	0.02355844880970509
fam1195	0.232963632685314	0.19507453013609852	0.19098926756909987	0.017668181818181812	0.013850000000000001	0.011467522110764884	0.09546401515151515	0.0676	0.06782581937044696	1297047	0.03731392876129718
fam3379	0.13807170882712494	0.13745173745173744	0.07625396181533793	0.009742803030303032	0.007	0.007088548790916441	0.07147291666666668	0.04555	0.05139417567203707	138779	0.02619949494949495
fam1928	0.2546898173038662	0.2127659574468085	0.11252450740710707	0.025104435483870965	0.01985	0.01654812448209373	0.11661612903225807	0.0672	0.09061952843290846	1589542	0.044822214076246335
fam3111	0.11446758286134552	0.10669456066945607	0.054765023499948114	0.007289393939393941	0.0064	0.004807613242268558	0.06757973484848484	0.047700000000000006	0.04680820985444946	412373	0.025094696969696968
fam98	0.03275393766446789	0.04538087520259319	0.042423183213221596	0.0038284090909090907	0.0	0.004176048648841762	0.08676041666666667	0.0632	0.05989930569974278	117166	0.0259024064171123
fam657	0.07904454628296612	0.05685920577617329	0.11468934959180513	0.003689962121212121	0.0035	0.0024881525332801097	0.06515492424242424	0.0457	0.0454662234604089	766222	0.018373659071333488
fam1496	0.11987345872828788	0.10666666666666666	0.07601126705103778	0.009699621212121212	0.0079	0.007181246610918105	0.08790397727272728	0.061799999999999994	0.06352727047520448	1595681	0.029580006142506145
fam2317	0.13256666433820677	0.1443661971830986	0.07772332075817269	0.014310984848484849	0.00415	0.013160559785911779	0.09655662878787878	0.0549	0.072606381679606	1232133	0.0342431669637552
fam1988	0.07431103744626603	0.05104241552839684	0.10789935304887363	0.004242992424242424	0.0047	0.0027940799401706138	0.08612537878787878	0.0634	0.056237215380883804	1538506	0.029205607476635514
fam265	0.10953624476354613	0.09594945438318933	0.06449682407348038	0.012085795454545453	0.0116	0.008058771273774287	0.1320871212121212	0.07455	0.10025269070318128	318114	0.040856068235222316
fam2943	0.046650880538086276	0.04504504504504504	0.05498929973777301	0.0033681818181818183	0.003	0.0028359119686998174	0.08713579545454546	0.048	0.07139080867578405	587920	0.025407864130261606
fam1040	0.111289459134626	0.08711943793911006	0.07192870300669241	0.011036742424242426	0.011349999999999999	0.006552270482749417	0.12559128787878787	0.0832	0.0898803423826713	1147546	0.03650278293135436
