fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	245187	0.0
fam966	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	840790	0.0
fam393	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	273836	0.0
fam1571	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	443856	0.0
fam158	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	20872	0.0
fam1037	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	912943	0.0
fam1720	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	309497	0.0
fam1499	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	506913	0.0
fam1031	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	907730	0.0
fam680	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	567422	0.0
fam875	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	760343	0.0
fam1483	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	521131	0.0
fam1781	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	248174	0.0
fam425	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	306957	0.0041928721174004195
fam1195	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1074854	0.0
fam98	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	40253	0.0
fam657	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	546973	0.0
fam1496	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	508797	0.0054901960784313735
fam265	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	133768	0.0
fam1040	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	915659	0.0
fam1786	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	242998	0.0
fam443	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	326400	0.0
fam355	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	230380	0.0
fam1784	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	245676	0.0
fam519	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	406918	0.0
fam1093	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	968725	0.0
fam814	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	702895	0.0
fam321	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	199445	0.0
fam594	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	488985	0.0
fam346	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	222754	0.0
fam643	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	537037	0.0
fam62	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	81685	0.0
fam1679	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	347578	0.0
fam922	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	800965	0.0
fam494	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	384347	0.0
fam1358	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1235414	0.0
fam651	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	541488	0.0
fam870	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	754372	0.0
fam910	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	789868	0.0
fam150	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	13779	0.0
fam508	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	397356	0.0
fam155	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	16954	0.0
fam885	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	769469	0.0
fam119	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	17990	0.0
fam1001	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	877222	0.0
fam1364	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1239921	0.0
fam1587	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	426642	0.0
fam174	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	44879	0.0
