fam	loc
fam1	461394
fam2	462453
fam3	463577
fam4	464380
fam5	465114
fam6	465863
fam7	467305
fam14	476668
fam15	478602
fam17	481575
fam19	483765
fam20	484804
fam23	487768
fam24	488942
fam25	489666
fam26	490477
fam27	491168
fam29	493791
fam31	497273
fam32	498449
fam33	499938
fam34	500250
fam35	502208
fam36	503334
fam37	503581
fam38	504333
fam40	505398
fam41	505548
fam43	508959
fam44	510656
fam46	512033
fam60	530601
fam61	532664
fam62	534714
fam63	535233
fam64	536463
fam65	537036
fam66	537467
fam67	537967
fam69	542158
fam70	543426
fam71	545480
fam72	546093
fam73	546974
fam74	547354
fam75	548360
fam76	549346
fam77	550662
fam78	553450
fam79	554600
fam80	555268
fam82	557175
fam83	559657
fam84	560297
fam85	561718
fam86	562793
fam87	564198
fam88	565037
fam89	565906
fam90	566721
fam91	568272
fam93	571246
fam94	572305
fam95	573135
fam96	574006
fam97	574647
fam98	575267
fam100	577054
fam101	577458
fam102	578304
fam104	579782
fam105	580958
fam106	581455
fam107	582606
fam108	584032
fam109	585445
fam110	592255
fam111	592994
fam114	595681
fam115	596224
fam116	596775
fam117	597470
fam118	598168
fam119	598618
fam120	602912
fam121	607176
fam122	607759
fam123	608336
fam124	610514
fam125	611735
fam126	612188
fam127	612904
fam128	613519
fam129	613815
fam130	614654
fam131	614946
fam132	615290
fam133	615990
fam134	616416
fam135	616607
fam136	616876
fam137	617268
fam138	617594
fam139	618154
fam140	618473
fam141	619075
fam142	619621
fam143	619982
fam144	620486
fam145	620665
fam146	621103
fam147	622435
fam148	622580
fam149	623068
fam150	623476
fam151	624112
fam152	625136
fam153	625565
fam154	627176
fam155	627804
fam156	630755
fam157	632279
fam158	632831
fam169	646714
fam170	648228
fam171	649216
fam174	652226
fam175	653151
fam177	655700
fam178	656304
fam179	657720
fam180	658430
fam183	660427
fam184	661142
fam185	661595
fam186	662166
fam187	663299
fam188	664007
fam189	665117
fam190	665686
fam191	666183
fam192	667170
fam193	667670
fam196	669311
fam199	672570
fam200	673635
fam201	673874
fam202	674732
fam211	684056
fam212	684965
fam213	685622
fam215	687257
fam216	688660
fam217	690155
fam218	691901
fam219	694145
fam220	695561
fam221	696187
fam223	697225
fam224	698986
fam232	708451
fam233	708933
fam234	709489
fam235	711441
fam238	716436
fam239	716975
fam240	717645
fam241	719710
fam244	723117
fam245	728266
fam246	728721
fam247	731153
fam252	735312
fam254	736738
fam255	737040
fam257	739424
fam258	740820
fam259	741639
fam260	743710
fam261	744289
fam262	746685
fam265	748842
fam268	751170
fam269	751943
fam270	752897
fam271	753569
fam272	754577
fam273	756042
fam274	757609
fam275	764081
fam276	764691
fam277	766984
fam278	767430
fam279	769219
fam280	770288
fam281	773116
fam282	773624
fam283	774054
fam284	775016
fam290	778607
fam291	778930
fam292	780044
fam293	781154
fam294	781891
fam295	784708
fam296	787079
fam298	788100
fam301	789717
fam302	790337
fam321	811700
fam322	812518
fam323	813521
fam334	824798
fam335	828825
fam337	831433
fam338	833089
fam339	833709
fam341	836227
fam342	836790
fam343	839482
fam344	839982
fam346	840663
fam348	841830
fam349	842203
fam350	842629
fam351	843764
fam352	844323
fam353	844619
fam354	846035
fam355	847239
fam356	847697
fam357	850671
fam358	851375
fam359	852654
fam360	853725
fam361	854177
fam367	859946
fam368	861533
fam371	865903
fam374	869555
fam375	871068
fam402	901494
fam403	902102
fam404	902775
fam405	903838
fam406	904841
fam407	905462
fam408	907188
fam416	917549
fam417	918628
fam418	919458
fam419	920207
fam420	920997
fam423	923878
fam425	925726
fam426	926813
fam427	927906
fam428	928933
fam429	930331
fam430	930972
fam431	931691
fam433	932780
fam434	933139
fam435	934827
fam437	936391
fam439	938132
fam440	938699
fam441	939335
fam442	940330
fam443	940951
fam444	942217
fam445	943236
fam451	953662
fam452	954351
fam456	956633
fam457	958877
fam459	959695
fam460	960323
fam461	961645
fam462	963139
fam467	967942
fam468	969233
fam470	971583
fam472	974755
fam474	976486
fam475	977484
fam476	980621
fam477	981569
fam478	983305
fam479	983648
fam482	987373
