fam	loc
fam2	8531
fam3	9288
fam4	10413
fam5	12356
fam6	15082
fam7	16004
fam10	19111
fam11	19576
fam12	21016
fam13	22461
fam15	24537
fam16	26613
fam22	38729
fam23	41467
fam24	42304
fam25	42702
fam26	43018
fam48	58783
fam49	60671
fam51	64016
fam52	65389
fam53	66423
fam58	71194
fam60	74625
fam61	76506
fam65	79939
fam67	81497
fam70	84202
fam71	86798
fam75	91351
fam77	93171
fam78	93936
fam79	96216
fam82	97800
fam85	100226
fam86	100716
fam87	102221
fam89	104465
fam92	107743
fam93	109161
fam97	111246
fam99	113036
fam100	113716
fam101	115243
fam102	115985
fam104	117277
fam105	117998
fam106	118853
fam107	120030
fam108	121177
fam109	122027
fam110	122670
fam111	123869
fam112	124691
fam113	126527
fam114	127113
fam115	128710
fam116	129541
fam117	130348
fam120	140096
fam121	141376
fam122	142044
fam124	143198
fam127	145643
fam129	147291
fam131	149332
fam132	149908
fam133	151922
fam137	156958
fam139	159225
fam141	160549
fam142	161023
fam145	163498
fam146	164461
fam150	170337
fam151	171086
fam153	173232
fam155	174192
fam156	174914
fam158	177070
fam160	180269
fam161	181668
fam162	182557
fam163	183415
fam166	188276
fam171	197353
fam173	200075
fam174	201772
fam175	202843
fam176	204464
fam177	206683
fam179	211807
fam180	212940
fam181	214789
fam182	216656
fam185	219516
fam186	220523
fam187	221773
fam188	222496
fam189	222849
fam191	225071
fam192	225381
fam194	226253
fam197	230259
fam198	230858
fam199	231684
fam200	232565
fam201	233538
fam205	238765
fam207	241341
fam208	242500
fam211	245589
fam216	249608
fam217	250456
fam218	251138
fam219	252288
fam221	254612
fam225	259071
fam226	260739
fam237	281098
fam239	282230
fam242	284858
fam244	286123
fam247	288696
fam251	292738
fam252	293567
fam254	298603
fam256	303369
fam257	304259
fam260	307693
fam262	309399
fam263	310112
fam264	312481
fam265	313260
fam266	314645
fam268	315711
fam269	317102
fam274	320745
fam275	321557
fam276	322390
fam277	323499
fam278	324112
fam282	326402
fam287	331685
fam288	333295
fam289	334367
fam291	336684
fam292	336995
fam293	337687
fam294	338696
fam295	339031
fam302	346857
fam303	347961
fam304	348612
fam306	350823
fam309	354325
fam310	355118
fam311	355980
fam312	357643
fam313	358275
fam314	358896
fam316	360703
fam319	362912
fam320	363960
fam322	366906
fam323	367878
fam324	369287
fam325	371268
fam326	373112
fam351	397050
fam354	400575
fam356	403062
fam362	411108
fam364	412737
fam370	419220
fam371	420580
fam372	421900
fam375	424420
fam377	427779
fam379	430095
fam380	430645
fam381	431532
fam382	431888
fam383	432887
fam384	434141
fam385	435106
fam386	435896
fam387	437088
fam388	438539
fam390	440924
fam391	442234
fam392	443303
fam398	449841
fam399	451579
fam400	453206
fam401	454231
fam403	456028
fam404	456804
fam405	458625
fam406	459947
fam407	460319
fam414	465947
fam415	466850
fam416	467519
fam417	468430
fam418	469279
fam419	470889
fam421	474205
fam422	475332
fam423	476133
fam428	485181
fam429	486241
fam430	487535
fam431	488774
fam434	491717
fam435	492332
fam436	493248
fam437	494797
fam438	495978
fam439	496867
fam440	500414
fam441	502193
fam442	502477
fam443	502996
fam444	503660
fam445	505290
fam446	505852
fam448	509205
fam450	511815
fam451	519835
fam452	520732
fam453	521752
fam454	522456
fam456	523699
fam457	524964
fam458	525978
fam459	527130
fam461	529070
fam462	529977
fam463	531612
fam464	532439
fam465	535549
fam466	536038
fam467	538503
fam468	538949
fam469	540301
fam471	542411
fam476	549139
fam477	549629
fam478	550144
fam479	551279
fam481	553016
fam482	553816
fam484	555843
fam486	558573
fam487	559400
fam489	562033
fam494	566276
fam495	567467
fam496	569283
