fam	loc
fam1	39615
fam2	38520
fam3	37392
fam4	36457
fam5	34792
fam6	33579
fam7	32427
fam8	30641
fam9	29521
fam10	29069
fam11	27959
fam12	27440
fam13	25953
fam14	24770
fam15	23954
fam16	23448
fam17	22275
fam18	21360
fam20	20586
fam21	19594
fam22	19254
fam23	18433
fam24	17138
fam25	16812
fam26	13349
fam27	6812
fam28	5288
fam30	2343
fam31	1245
fam32	91
fam33	1746
fam34	2714
fam35	3789
fam36	4350
fam37	4948
fam38	5871
fam40	8595
fam41	9624
fam42	9924
fam43	11495
fam44	12914
fam45	13881
fam46	14384
fam47	15498
fam48	15828
fam49	16322
fam50	16784
fam51	17112
fam52	18025
fam53	18896
fam54	19501
fam55	19994
fam56	21181
fam58	23564
fam59	24051
fam60	24390
fam61	25092
fam62	25380
fam63	26359
fam64	27089
fam65	28342
fam66	28784
fam68	30588
fam69	30948
fam70	32140
fam71	33734
fam72	34829
fam73	36155
fam74	36581
fam76	37817
fam77	38689
fam79	40362
fam80	41600
fam81	43160
fam82	43951
fam83	45063
fam85	47641
fam86	48987
fam87	50125
fam88	50735
fam89	51817
fam90	52422
fam91	52846
fam92	53188
fam93	54686
fam94	55892
fam95	57082
fam97	57983
fam98	59277
fam99	60475
fam100	60975
fam101	61702
fam102	62720
fam103	64364
fam104	65014
fam111	71822
fam112	72641
fam113	73331
fam115	75185
fam116	75877
fam117	76541
fam118	77249
fam119	77647
fam120	77977
fam121	78889
fam122	80236
fam123	80938
fam124	82511
fam125	83565
fam126	84689
fam127	85565
fam128	86299
fam129	87160
fam130	88459
fam131	89372
fam132	90947
fam134	92826
fam135	93347
fam136	94411
fam137	98219
fam138	100583
fam139	101501
fam140	103036
fam141	104170
fam142	104806
fam143	105379
fam144	106817
fam145	107710
fam146	109931
fam147	111017
fam148	111602
fam149	111750
fam150	113472
fam151	115085
fam152	116640
fam153	117260
fam154	117915
fam155	118300
fam156	118900
fam157	119072
fam158	120445
fam160	122006
fam161	123104
fam162	123586
fam163	124438
fam164	125830
fam165	126799
fam166	127259
fam167	128499
fam168	129378
fam169	130128
fam171	131699
fam172	133072
fam174	136070
fam175	136542
fam176	137487
fam177	140466
fam178	141111
fam180	142236
fam181	143150
fam182	143654
fam183	144524
fam184	145159
fam185	146509
fam186	147528
fam200	161125
fam201	161401
fam203	163331
fam204	164006
fam205	165158
fam209	168914
fam210	170640
fam211	171533
fam212	172096
fam213	172622
fam217	177217
fam218	178833
fam219	180509
fam220	180827
fam221	181115
fam222	182408
fam223	183460
fam224	184177
fam225	186621
fam226	187973
fam227	188738
fam228	189465
fam229	189915
fam230	190970
fam231	191361
fam232	192635
fam233	193528
fam240	198371
fam241	198758
fam242	199767
fam243	200146
fam244	200455
fam245	200957
fam246	201097
fam247	201442
fam248	202176
fam249	203054
fam250	205694
fam251	207360
fam252	208280
fam253	208927
fam254	209484
fam255	209915
fam256	211010
fam257	211665
fam258	212134
fam259	212748
fam260	213668
fam261	214827
fam262	215900
fam263	216379
fam264	217060
fam265	217796
fam266	218598
fam267	220058
fam268	220741
fam269	221441
fam270	222258
fam272	224248
fam275	229509
fam276	230046
fam277	231036
fam278	231446
fam279	233399
fam280	233877
fam281	234485
fam282	236441
fam283	238036
fam284	238276
fam285	239076
fam286	239852
fam287	240958
fam288	241586
fam289	243002
fam290	243184
fam291	244122
fam292	245129
fam293	246158
fam294	247284
fam295	247758
fam296	248569
fam298	250514
fam299	250894
fam300	251452
fam301	251604
fam302	252428
fam303	253335
fam304	255053
fam305	255815
fam306	256184
fam307	256538
fam308	257247
fam309	257685
fam310	258146
fam312	260169
fam313	260761
fam314	262596
fam315	264115
fam316	265859
fam317	266623
fam318	267494
fam319	268172
fam320	269633
fam321	270671
fam322	271102
fam323	272191
fam324	274389
fam325	276042
fam326	276958
fam327	277263
fam328	277910
fam329	278304
fam331	281394
fam332	282259
fam333	282743
fam334	283198
fam335	283661
fam336	284742
fam337	285376
fam338	287588
fam339	289139
fam340	289866
fam341	290538
fam342	291472
fam344	293588
fam346	294812
fam347	295679
fam368	319152
