fam	loc
fam3	874211
fam21	855581
fam23	853773
fam25	851100
fam26	849239
fam27	848430
fam28	846082
fam29	845133
fam30	844260
fam31	843784
fam32	843061
fam33	842029
fam34	841439
fam35	840664
fam36	840315
fam38	838077
fam39	837154
fam41	834551
fam43	833716
fam44	833368
fam45	833035
fam46	832643
fam50	831256
fam53	828939
fam54	827983
fam55	827427
fam60	818306
fam61	817864
fam84	792914
fam86	790537
fam87	789755
fam88	788798
fam89	788158
fam90	786845
fam91	786512
fam92	784955
fam93	784046
fam94	783137
fam95	782502
fam97	781145
fam111	762107
fam112	760778
fam113	759859
fam114	758625
fam115	756824
fam116	755107
fam117	754091
fam118	752672
fam119	751379
fam121	749648
fam122	748389
fam123	747458
fam124	746670
fam127	743877
fam128	741004
fam129	739965
fam130	739154
fam131	738894
fam132	738414
fam133	737136
fam134	735713
fam135	734720
fam136	733588
fam137	732211
fam138	731214
fam139	729047
fam140	728694
fam141	727729
fam142	727287
fam143	726705
fam144	725495
fam145	725163
fam146	724183
fam147	723311
fam148	722655
fam149	722001
fam150	720792
fam151	720119
fam152	719589
fam153	718723
fam154	717601
fam155	717220
fam156	716529
fam157	715174
fam158	712419
fam159	710896
fam160	709731
fam161	707884
fam162	707251
fam163	706430
fam165	704506
fam166	703916
fam167	703296
fam168	702698
fam169	701411
fam170	700214
fam173	694680
fam174	691790
fam175	691196
fam176	688841
fam177	688021
fam178	687071
fam179	686259
fam180	684298
fam181	682969
fam182	681073
fam183	679978
fam184	679760
fam185	678381
fam186	677695
fam187	677338
fam188	674906
fam189	674395
fam190	674137
fam191	673750
fam192	673307
fam193	673035
fam195	668596
fam196	667599
fam198	665783
fam199	664867
fam200	663357
fam201	662550
fam202	660790
fam203	660163
fam204	659542
fam205	659143
fam206	658610
fam207	657398
fam208	656339
fam209	655323
fam210	654679
fam211	652683
fam212	650043
fam213	648311
fam214	646991
fam215	646211
fam216	645233
fam217	644426
fam218	643119
fam220	639423
fam221	638874
fam222	637782
fam223	637267
fam224	636065
fam225	634584
fam226	633953
fam227	632914
fam228	632422
fam229	630939
fam230	628956
fam231	628040
fam232	627005
fam233	626323
fam234	625799
fam235	624818
fam236	624086
fam237	623072
fam239	622000
fam240	619575
fam241	619266
fam242	617668
fam243	616310
fam245	614046
fam246	612918
fam247	611429
fam248	610560
fam249	609305
fam251	607095
fam252	605900
fam253	604903
fam254	603867
fam255	602983
fam256	602164
fam257	601670
fam259	596741
fam260	594866
fam261	593987
fam262	593040
fam263	592614
fam265	590174
fam266	589031
fam267	585304
fam268	583323
fam269	582457
fam270	581123
fam271	579952
fam272	577972
fam274	573568
fam275	573254
fam276	572429
fam277	571686
fam278	569563
fam280	567938
fam282	566070
fam284	564373
fam285	564029
fam286	563022
fam287	562361
fam288	562002
fam290	561048
fam291	559291
fam292	558585
fam294	557527
fam295	557147
fam296	554995
fam297	553997
fam298	551350
fam299	550821
fam300	550340
fam301	549765
fam302	548828
fam303	548300
fam304	547617
fam305	547335
fam306	547163
fam308	545820
fam309	545413
fam310	544008
fam311	542369
fam312	541126
fam313	539727
fam314	539173
fam315	538739
fam316	537316
fam317	536754
fam318	535913
fam319	534947
fam320	533908
fam321	533248
fam323	530187
fam324	528701
fam325	527815
fam326	527044
fam327	526234
fam328	524374
fam329	517753
fam330	517292
fam331	516303
fam332	515342
fam333	514730
fam334	514320
fam335	511371
fam338	508639
fam339	507318
fam340	505962
fam342	503260
fam343	500986
fam344	499979
fam345	498620
fam346	497469
fam347	495305
fam348	494632
fam349	493319
fam350	492290
fam351	491692
fam352	489760
fam353	487356
fam354	485897
fam355	483592
fam356	481541
fam357	479573
fam358	476999
fam359	475439
fam360	474778
fam361	474446
fam362	472485
fam363	471580
fam364	470784
fam365	470119
fam366	467943
fam367	467332
fam368	465954
fam369	465373
fam370	464508
fam371	463876
fam373	461081
fam374	460058
fam375	459558
fam377	458211
fam380	450647
fam381	450025
fam384	441858
fam385	440329
fam386	438851
fam387	437449
fam388	436861
fam390	434918
fam391	434010
