fam	loc
fam1	50752
fam2	51873
fam3	53152
fam4	55586
fam5	56834
fam6	58991
fam7	59907
fam8	60621
fam9	63933
fam10	64607
fam11	64897
fam12	66291
fam13	68464
fam15	70919
fam17	72981
fam18	73339
fam19	74096
fam21	77008
fam22	78313
fam23	79272
fam24	79794
fam25	81044
fam26	82145
fam27	82621
fam28	83304
fam29	84018
fam30	84952
fam31	85424
fam32	86426
fam33	86707
fam34	87389
fam35	93715
fam36	94193
fam37	94922
fam39	97303
fam40	98858
fam41	99559
fam42	100303
fam43	101324
fam44	102929
fam46	105132
fam47	105832
fam48	106564
fam49	107611
fam50	108772
fam52	110901
fam53	111725
fam55	113265
fam56	114082
fam58	116191
fam59	117097
fam61	120399
fam62	122999
fam63	123535
fam64	124207
fam65	124470
fam66	124968
fam67	125487
fam70	127697
fam77	133497
fam78	134821
fam79	135763
fam80	137572
fam81	139166
fam82	140539
fam86	145129
fam88	149077
fam89	149783
fam90	150456
fam91	152372
fam92	155516
fam95	157922
fam97	159884
fam98	161054
fam99	163455
fam100	164455
fam107	174677
fam109	176102
fam118	185197
fam120	186401
fam121	186974
fam122	187765
fam123	189441
fam126	193975
fam127	194512
fam130	196425
fam131	197251
fam132	198517
fam133	199395
fam134	202691
fam135	203885
fam136	206608
fam140	211117
fam141	212159
fam142	214164
fam143	215451
fam144	216940
fam282	351939
fam283	352990
fam284	353339
fam285	353988
fam287	356370
fam288	357332
fam289	358437
fam306	381186
fam308	383723
fam309	384874
fam310	385762
fam311	386304
fam312	386995
fam313	387933
fam314	388643
fam316	390596
fam317	391224
fam318	392121
fam319	393610
fam320	393949
fam321	396183
fam322	397257
fam323	398579
fam325	401789
fam327	403158
fam329	406623
fam330	407272
fam331	410154
fam332	410372
fam334	411785
fam335	412431
fam336	415307
fam337	415523
fam338	416360
fam339	418047
fam341	419340
fam342	420542
fam343	421510
fam345	428373
fam356	440527
fam357	441191
fam358	441457
fam359	442013
fam360	442550
fam362	443872
fam364	446142
fam368	451155
fam373	455808
fam377	458940
fam378	459679
fam379	460285
fam381	464849
fam383	466841
fam384	468606
fam385	469430
fam386	469823
fam387	471807
fam388	473802
fam390	475726
fam391	476001
fam392	476464
fam394	478013
fam395	479097
fam396	479835
fam397	480554
fam398	481860
fam399	482583
fam403	486129
fam406	488887
fam407	490013
fam412	494838
fam413	497684
fam416	502676
fam417	503416
fam419	504891
fam423	508137
fam424	508840
fam425	510191
fam426	510718
fam430	513894
fam431	515185
fam432	515911
fam433	516557
fam434	517761
fam435	518572
