fam	loc
fam2	1621
fam3	2936
fam4	3693
fam5	4818
fam6	6761
fam7	9543
fam10	11011
fam11	11641
fam12	11916
fam13	14105
fam14	14571
fam15	16017
fam16	17471
fam17	18289
fam18	19551
fam19	22649
fam20	25016
fam21	26145
fam22	27314
fam24	31168
fam25	33002
fam26	34107
fam27	35778
fam28	38516
fam29	39343
fam30	39743
fam31	40053
fam51	55451
fam52	57339
fam53	58645
fam54	59508
fam55	60703
fam56	62076
fam57	63111
fam74	77562
fam76	78824
fam78	79646
fam79	80071
fam80	80528
fam81	81743
fam82	82621
fam83	83300
fam85	85239
fam86	86238
fam87	87353
fam94	95902
fam95	96851
fam96	98375
fam98	99713
fam103	108198
fam105	110438
fam106	111181
fam107	112225
fam108	112729
fam109	114158
fam110	115589
fam111	116461
fam114	117917
fam115	118460
fam116	120518
fam119	127761
fam120	128133
fam121	128877
fam122	129706
fam123	130667
fam124	131347
fam125	132872
fam126	133635
fam129	135759
fam130	136613
fam131	137876
fam132	139016
fam133	139858
fam134	140504
fam135	141700
fam136	142511
fam139	146280
fam140	146792
fam141	148756
fam142	149577
fam143	151179
fam144	152131
fam145	152938
fam151	163414
fam152	164060
fam153	164727
fam154	165310
fam155	165877
fam156	167437
fam157	167972
fam158	169223
fam159	170412
fam160	171369
fam161	171967
fam162	173413
fam163	175650
fam165	178530
fam166	180015
fam168	181757
fam169	182085
fam171	184968
fam172	185533
fam173	186856
fam174	187330
fam175	188157
fam176	188989
fam177	189952
fam178	191395
fam179	193017
fam180	193749
fam181	195560
fam182	196324
fam183	197075
fam184	199218
fam185	199815
fam186	200180
fam187	201402
fam195	211307
fam196	213604
fam197	216954
fam198	217722
fam199	219008
fam200	221097
fam201	222855
fam202	223816
fam203	225512
fam204	226820
fam205	228416
fam206	230639
fam207	231717
fam208	233735
fam209	235750
fam210	239261
fam211	240368
fam212	241509
fam214	246475
fam215	247727
fam216	248409
fam217	248762
fam218	249630
fam219	251013
fam220	251322
fam221	252706
fam222	253089
fam223	254959
fam224	255672
fam225	257075
fam226	257674
fam227	258498
fam228	259372
fam230	261405
fam231	261904
fam232	262114
fam233	263206
fam235	265725
fam236	266219
fam237	266718
fam242	274404
fam243	276609
fam244	278722
fam245	279186
fam246	280345
fam247	281202
fam248	281715
fam249	282263
fam250	283281
fam251	284888
fam252	285087
fam253	285583
fam254	287150
fam255	287914
fam257	289944
fam258	291032
fam259	291872
fam260	293022
fam261	293945
fam262	296142
fam263	297293
fam265	300512
fam266	302178
fam267	304192
fam268	306644
fam269	307484
fam270	308190
fam271	309423
fam272	314575
fam273	318188
fam274	319313
fam275	320155
fam276	320568
fam278	321702
fam279	322576
fam280	324871
fam281	325273
fam282	325574
fam283	327214
fam284	327905
fam285	328410
fam287	330840
fam289	331754
fam290	332237
fam292	335912
fam293	336364
fam294	337101
fam295	337932
fam297	342928
fam298	345209
fam299	347277
fam300	347948
fam301	348753
fam302	349685
fam303	351965
fam304	352747
fam305	353675
fam306	354388
fam307	356756
fam308	358189
fam309	359572
fam310	360174
fam311	360671
fam312	362073
fam313	362777
fam314	363791
fam315	364766
fam316	365175
fam317	366396
fam318	367208
fam319	368041
fam320	369148
fam321	369757
fam323	370867
fam324	371536
fam325	372066
fam326	372346
fam327	373914
fam328	374804
fam329	375829
fam330	377328
fam331	378628
fam334	380907
fam335	382013
fam336	382226
fam337	383392
fam339	384113
fam340	385787
fam341	386097
fam350	395545
fam351	396549
fam352	397724
fam353	399182
fam354	400117
fam355	401384
fam356	402488
fam357	403092
fam358	404605
fam359	406221
fam360	406593
fam362	408579
fam363	410430
fam364	411091
fam365	411804
fam366	413031
fam367	413612
fam368	414828
fam369	416062
fam370	417110
fam372	420250
fam373	421221
fam374	422649
fam376	425157
fam377	427001
fam378	427738
fam383	430931
fam384	432080
fam385	432875
fam386	433817
fam387	434792
fam388	436653
fam389	437880
fam403	454702
fam404	456245
fam405	457470
fam406	458559
fam407	459947
fam409	461014
fam410	463580
fam411	464582
fam412	466012
fam413	467964
fam414	469397
fam415	469592
fam416	470004
fam422	477478
fam424	480248
fam425	481549
fam426	482501
fam427	483224
fam428	484066
fam429	486514
fam432	489427
fam433	489974
fam434	490864
fam435	491218
fam436	492219
fam437	493666
fam438	494603
fam439	495393
fam441	497650
fam442	499101
fam443	500144
fam444	501396
fam446	503466
fam447	504532
fam448	505647
fam449	507018
fam450	508049
fam451	508768
fam452	509421
fam453	511209
fam459	519034
fam460	520667
fam462	521690
fam463	522608
fam464	523481
fam465	524154
fam466	527030
fam467	528352
fam468	528715
fam471	533829
fam472	534962
fam473	535630
fam474	536541
fam475	537390
fam476	539225
fam477	541059
fam478	542212
fam479	543339
fam480	544166
fam481	546726
fam482	548271
fam484	550093
fam485	554170
fam486	555233
fam487	556527
fam488	557857
fam489	558622
fam490	559776
fam491	560803
fam492	561419
fam495	566240
fam496	567789
fam497	569987
fam498	570859
fam499	574405
fam500	576223
fam501	576507
fam502	577026
fam503	577693
fam504	580236
fam505	580798
fam506	583116
fam507	584184
fam508	585191
fam509	586793
fam511	595508
fam512	596402
fam531	612881
fam532	613261
fam533	614121
fam534	615355
fam535	616447
fam536	617600
fam537	618817
fam538	619542
fam539	620418
fam540	622054
fam541	622881
fam542	627099
fam543	627589
fam544	630190
fam545	630641
fam546	631980
fam547	632864
fam548	634324
fam549	634857
fam550	635203
fam551	635963
fam552	636656
fam556	638648
fam566	643438
fam567	643903
fam569	644820
fam570	645494
fam597	673037
fam601	676540
fam603	678474
fam604	679741
fam605	680586
fam606	681537
fam607	682057
fam609	685698
fam610	686228
fam611	687442
fam612	687934
fam613	689259
fam614	690059
fam615	690825
fam616	693154
fam617	694424
fam618	695771
fam619	696653
fam620	698711
