fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.18458755373174068	0.09469233798263248	0.18299676705477722	0.0063	0.0072	0.0018830825791770257	0.05602	0.06715	0.029074380474912963	396531	0.02079207920792079
fam4124	0.02876075769695985	0.025259446145723737	0.021491996310715772	0.0042699999999999995	0.0058	0.002868815086407627	0.16605999999999999	0.22965	0.10639426864262944	132422	0.04307270233196159
fam1785	0.07220218812363174	0.07278873337494002	0.012746361369819619	0.012690000000000002	0.0138	0.0026670020622414224	0.17961	0.19030000000000002	0.0423783541445394	57612	0.05279642058165549
fam966	0.01609679891766208	0.0	0.019767088008699047	0.00524	0.0	0.0064176631260919265	0.15033000000000002	0.039650000000000005	0.1445155842807273	870902	0.03333333333333334
fam393	0.43353008710592833	0.4279262780548629	0.07881529385923468	0.02778	0.0286	0.0069212426629905125	0.06623	0.07195	0.019474396011173234	1506657	0.03818770226537217
fam1571	0.11954758181923046	0.07435535866826351	0.13390861975358023	0.06939999999999999	0.048799999999999996	0.04526228010164755	0.88864	0.8027	0.48857608046239837	172569	0.15525525525525524
fam3872	0.07058200530749628	0.05247225986534215	0.06740599968852726	0.0027199999999999998	0.0034	0.00204	0.0435	0.035449999999999995	0.024768326548234944	153741	0.014553990610328638
fam4609	0.027665425531191952	0.03191448511553341	0.0202682540812702	0.00473	0.0033	0.0040902444914699175	0.14594000000000001	0.10735	0.09725134652024105	688020	0.04217687074829932
fam3479	0.11848822252324157	0.0	0.15316460933479115	0.002	0.0	0.0024494897427831783	0.015279999999999998	0.01085	0.008835473954463336	625135	0.041121495327102804
fam4712	0.1631541561754784	0.10435950089563624	0.21424872984595658	0.011099999999999999	0.01385	0.005958355477814327	0.10256000000000001	0.12505	0.05212445107624636	838181	0.03495145631067961
fam1720	0.0	0.0	0.0	0.0	0.0	0.0	0.051469999999999995	0.02355	0.04440988741260216	19743	0.013592233009708738
fam1499	0.013285735973736482	0.011700961588036428	0.008174170591881535	0.0013999999999999998	0.001	0.0008	0.11283000000000001	0.1171	0.032277609886731076	255600	0.033125864453665284
fam2659	0.12349449379546064	0.12147505422993492	0.1285648302242483	0.004489999999999999	0.0056	0.0033800739636877766	0.02128	0.02255	0.01706257893754634	1070551	0.00894308943089431
fam3994	0.03500431491334226	0.033326801867999085	0.017959088487123343	0.0020299999999999997	0.00165	0.0007655716818169283	0.06533	0.0701	0.021795001720578046	9656	0.01826241134751773
fam1031	0.055315619892556976	0.052282076804744435	0.02833494397154378	0.00504	0.0056	0.002065526567246231	0.09072	0.10235	0.021335922759515232	806200	0.028215223097112864
fam3345	0.18316676602709428	0.1384969766772243	0.07775859647419554	0.13066000000000003	0.19245	0.08025267845997416	0.9599399999999999	1.3862	0.6981178556662192	767113	0.21202614379084972
fam875	0.0	0.0	0.0	0.0	0.0	0.0	0.09478	0.09255	0.034253753079042305	971836	0.025943775100401606
fam4190	0.06158214678641444	0.0640376025068338	0.03313546036153213	0.009949999999999999	0.00995	0.005468317840067455	0.16715	0.1701	0.03649441738129272	205775	0.050347222222222224
fam1483	0.02863601235472251	0.025843369593369594	0.008858041583101061	0.00389	0.003	0.0020539961051569693	0.13038	0.1256	0.03992447369721985	274522	0.038072916666666665
fam3726	0.05784009312900897	0.058309533523731805	0.03044679525319775	0.004750000000000001	0.004	0.0026762847382145274	0.08594000000000002	0.0785	0.032056394057972275	339455	0.027913279132791326
fam4141	0.2705975737167102	0.16685932388222463	0.2890752312442687	0.02395	0.012400000000000001	0.018458019937143855	0.19066	0.0524	0.1958230742277324	149685	0.0546875
fam1928	0.08169232225943678	0.07656771550887184	0.03085251619651816	0.00812	0.0083	0.0026483202223296183	0.10363	0.10485	0.023820917278727954	226027	0.03510773130544994
fam3111	0.349185860800285	0.3191307323750856	0.1298758717245567	0.028390000000000006	0.031	0.0067282167028121205	0.09029000000000001	0.09915	0.030652453409148184	925236	0.04531531531531531
fam98	0.04103658949726003	0.02698007153806847	0.03425861937689466	0.0034000000000000002	0.0024	0.0024907830094169185	0.08006	0.0825	0.02542649012349129	1647665	0.024615384615384615
fam4153	0.1784632197333666	0.1695207975304326	0.03811572961891721	0.02102	0.015850000000000003	0.011332943130537627	0.13202000000000003	0.08075	0.08746898650378887	169322	0.05584795321637427
fam1496	0.06921855429828722	0.05564667176917462	0.050481574053577165	0.006050000000000001	0.0059	0.0033284380721293285	0.09924	0.09905	0.021019809704181432	260774	0.034509803921568626
fam2317	0.1415352992646624	0.13081441663607207	0.07201393252266779	0.00476	0.00485	0.0015447977213862015	0.039529999999999996	0.04665	0.014142916955140477	693280	0.015762834417932033
fam4239	0.07567511854403361	0.0751088534107402	0.02485838883289869	0.00793	0.00825	0.0026465260248106385	0.10638	0.10794999999999999	0.020590279259883777	256107	0.03192182410423453
fam4592	0.044853207831143646	0.052371078254597914	0.03079491917009209	0.0021999999999999997	0.0018	0.0013899640283115244	0.049030000000000004	0.066	0.02298612842563967	667796	0.01577608142493639
fam1988	0.005981080408264875	0.0	0.008271585135515052	0.00028	0.0	0.0003429285639896449	0.07540999999999999	0.0664	0.032725172268454145	308077	0.01799787007454739
fam1040	0.07133328579921153	0.0687279391800163	0.03971175317659649	0.00247	0.0025	0.0012601983970788092	0.03783	0.038	0.011231389050335671	796947	0.012257495590828924
fam3456	0.022143336371785546	0.018292619189480178	0.020566429957525473	0.00129	0.0016	0.0009802550688468793	0.06158999999999999	0.05695	0.02392218426481997	646868	0.019916142557651992
fam1786	0.021070148462377102	0.020504247318737536	0.012344725696884683	0.00563	0.0078	0.0034327976928447156	0.25772999999999996	0.36705	0.14849360962681188	58643	0.06602768903088393
fam3641	0.0	0.0	0.0	0.0	0.0	0.0	0.011940000000000001	0.0199	0.00974896917627705	444007	0.0028985507246376808
fam443	0.4780244725807532	0.3078984034833091	0.47074769259195437	0.012480000000000002	0.01335	0.0034850538015933127	0.04437	0.0382	0.02688293324769453	1460695	0.020346320346320345
fam3198	0.24152571182338578	0.20799742993744919	0.09158618700416843	0.01978	0.0203	0.004601478023418128	0.09245999999999999	0.09355	0.037546829426730564	927894	0.03747126436781609
fam4262	0.13533143452902419	0.09642373110294597	0.08362057999647088	0.01124	0.01475	0.006040066224802506	0.10054	0.09965	0.05513946318200785	283422	0.03601462522851919
fam3216	0.017152774627580126	0.024752331002331002	0.014226603600876344	0.00126	0.0021	0.0010287856919689346	0.057519999999999995	0.0658	0.023089686009125372	908293	0.0162826420890937
fam355	0.1562902982894961	0.05919841581374094	0.281530406754	0.00876	0.0059	0.006391118837887464	0.15225000000000002	0.08895	0.12381584914702963	1551211	0.0474676089517079
fam4434	0.29775028832537187	0.2658359293873313	0.17907705159491977	0.016980000000000002	0.0169	0.009348454417709914	0.05123	0.031	0.04636459964239959	487968	0.06315789473684211
fam2761	0.19048510677327277	0.12326883284505541	0.17003057468027039	0.00902	0.0089	0.0017139428228502842	0.07813	0.0633	0.04467158045111008	1182203	0.02673434856175973
fam3314	0.08653927329259248	0.07027677022551648	0.040155996893407715	0.00916	0.0089	0.00445874421782636	0.11747999999999999	0.10525	0.060592355953535924	799136	0.037145390070921984
fam2375	0.020271772159101815	0.0	0.029300861613788635	0.00189	0.0	0.002314929804551317	0.09269	0.1264	0.05361700196765948	757596	0.028205128205128206
fam4546	0.3648034531291551	0.3283189718124726	0.23144304732463306	0.028379999999999996	0.0165	0.02102773406717899	0.15137	0.037599999999999995	0.15527914251437636	612372	0.05538847117794486
fam2090	0.037224299783450036	0.03885355436836858	0.01720339743086058	0.00567	0.00575	0.0025984803251131224	0.16234	0.16565	0.03919505581065041	418119	0.04574275362318841
fam2139	0.021635733033638034	0.020990722575229617	0.013254753136608231	0.0019199999999999998	0.0019	0.0012335315156087419	0.08526	0.09259999999999999	0.017299317905628532	471191	0.028963795255930087
fam2305	0.0	0.0	0.0	0.0	0.0	0.0	0.06711999999999999	0.0677	0.020501697490695737	680294	0.016596931659693163
fam519	0.017609066660564564	0.020407003444316875	0.013038908223841926	0.00304	0.0038	0.00228	0.16595999999999997	0.1681	0.04267573549454069	1407299	0.03983050847457627
fam2823	0.035011117206314106	0.02792810650629386	0.03275501034776398	0.0028799999999999997	0.0021	0.002106561178793533	0.11973999999999999	0.0683	0.07253749651042556	1247037	0.030180180180180177
fam2025	0.0	0.0	0.0	0.0	0.0	0.0	0.061109999999999984	0.06520000000000001	0.013677532672232956	344249	0.01898989898989899
fam4230	0.040302133878386215	0.03720312936574462	0.01671193032929437	0.00364	0.0024	0.0016548111674750084	0.09175	0.09085	0.0188854044171683	246826	0.030057330057330058
fam814	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1040980	0.0
fam321	0.00649100985144766	0.0	0.008314035548093675	0.00052	0.0	0.0006368673331236263	0.07666000000000002	0.08499999999999999	0.024627594279588088	1606488	0.021735159817351597
fam594	0.035268653280722484	0.029268001139078965	0.01396275091588686	0.0027	0.0027	0.0	0.08707999999999999	0.0925	0.027783189161793505	1320197	0.022891566265060243
fam346	0.16192263327202674	0.13251354248138814	0.07147001855540079	0.012979999999999997	0.0092	0.00684978831789713	0.09824999999999999	0.0605	0.0703844620637254	1563596	0.041113490364025694
fam643	0.024638349223735936	0.019826519870521864	0.00992042738884608	0.00482	0.0048	0.0020478281177872325	0.20799000000000004	0.21125	0.0872343791174099	1263127	0.06072607260726073
fam1679	0.16534797469579585	0.0734297108673978	0.2762687462632747	0.00432	0.0054	0.00216	0.05231	0.06	0.025562881292999818	50423	0.0190990990990991
