fam	loc
fam1	1575
fam3	3476
fam4	4769
fam5	5302
fam6	7489
fam7	8798
fam8	9400
fam10	11178
fam11	11524
fam13	14402
fam14	14750
fam19	21850
fam20	22817
fam21	23280
fam23	25103
fam24	25682
fam25	26677
fam38	45120
fam41	49524
fam42	50372
fam43	51061
fam44	52087
fam45	53109
fam46	53867
fam48	55332
fam49	56101
fam52	59852
fam53	61896
fam54	63302
fam56	66052
fam57	67404
fam58	67868
fam59	68751
fam65	74890
fam66	75713
fam67	76016
fam68	76610
fam69	76993
fam70	78311
fam72	80032
fam74	82897
fam75	83429
fam76	84850
fam78	87375
fam79	88022
fam80	89574
fam81	91548
fam82	92204
fam83	93115
fam84	93662
fam85	94881
fam86	95132
fam87	95425
fam88	102982
fam89	104349
fam91	106132
fam92	107419
fam93	108331
fam94	109335
fam95	109860
fam96	110362
fam98	112578
fam99	113076
fam101	114390
fam103	116400
fam104	119512
fam105	121365
fam106	122842
fam122	144807
fam123	145400
fam134	159820
fam137	162856
fam138	164620
fam139	166015
fam161	189072
fam162	189392
fam164	190972
fam166	192308
fam167	193845
fam168	195227
fam169	196355
fam170	197739
fam171	198575
fam172	199384
fam176	203813
fam177	204370
fam178	205520
fam179	206864
fam181	209160
fam186	213506
fam187	214419
fam188	215264
fam190	216003
fam191	217806
fam192	218953
fam194	220396
fam195	220841
fam196	223640
fam197	224857
fam198	225567
fam200	227190
fam201	228044
fam203	229391
fam204	230296
fam208	234424
fam209	236420
fam210	237266
fam212	239404
fam213	240803
fam214	241728
fam215	243256
fam216	244167
fam217	246087
fam218	247084
fam219	248130
fam221	250470
fam222	251523
fam225	253491
fam227	255889
fam228	256450
fam234	263863
fam235	264875
fam236	265463
fam237	267314
fam241	274881
fam242	276401
fam243	277942
fam244	281741
fam245	283800
fam246	284731
fam247	286218
fam248	286522
fam249	287049
fam251	288423
fam252	288873
fam253	289288
fam254	289925
fam255	290854
fam257	292839
fam258	293755
fam259	295064
fam260	296041
fam261	296565
fam262	297120
fam263	298604
fam265	300157
fam266	301222
fam267	301677
fam268	302128
fam269	302595
fam270	303794
fam271	304649
fam272	305436
fam273	305853
fam274	306764
fam275	307189
fam276	308204
fam278	312397
fam279	313781
fam280	314313
fam281	314792
fam282	315097
fam283	315719
fam284	318216
fam285	319484
fam286	320215
fam290	324728
fam291	327247
fam292	327881
fam293	330185
fam294	330605
fam295	331365
fam299	339994
fam300	341265
fam301	342377
fam302	344503
fam305	352624
fam306	354136
fam310	359378
fam311	359751
fam312	360267
fam313	361088
fam314	361411
fam315	361781
fam318	363786
fam319	364170
fam320	364443
fam321	364905
fam322	366437
fam323	366821
fam324	369712
fam336	381817
fam339	382998
fam340	384080
fam341	384572
fam342	386966
fam344	388317
fam346	390215
fam347	391792
fam348	392555
fam349	393633
fam350	394608
fam351	395797
fam352	396292
fam353	397234
fam354	397993
fam356	399268
fam357	399836
fam358	400572
fam359	401859
fam360	403422
fam361	403988
fam362	404995
fam363	406537
fam364	407667
fam367	409224
fam368	409548
fam370	412222
fam371	412742
fam372	416420
fam373	417137
fam374	418672
fam375	420062
fam378	422670
fam381	426922
fam382	427623
fam383	428942
fam384	429899
fam386	432336
fam387	433043
fam388	434145
fam389	435221
fam390	437422
fam392	440004
fam393	441360
