fam	loc
fam1	788261
fam2	787778
fam3	786361
fam4	785729
fam5	784174
fam6	782973
fam7	781821
fam8	781422
fam9	780466
fam10	779091
fam11	778106
fam12	777284
fam13	776751
fam14	775053
fam15	773887
fam16	772227
fam21	768627
fam22	767628
fam23	767307
fam24	766253
fam25	765141
fam26	763607
fam27	763132
fam28	762274
fam29	761501
fam30	760304
fam31	759343
fam32	758240
fam33	756948
fam34	756490
fam35	755506
fam36	755006
fam37	754821
fam38	753022
fam39	752009
fam40	750885
fam41	749569
fam42	747998
fam43	746604
fam44	745948
fam45	744798
fam46	741864
fam47	741361
fam48	740045
fam49	739518
fam50	737107
fam51	736796
fam52	736061
fam53	734331
fam54	733813
fam55	732827
fam56	732259
fam57	731528
fam58	729112
fam59	728225
fam60	725812
fam61	724390
fam62	723576
fam63	723116
fam64	722383
fam65	719860
fam66	718357
fam67	717761
fam68	716548
fam69	715645
fam70	714728
fam72	711853
fam73	710197
fam74	708745
fam75	707659
fam76	707126
fam77	706344
fam78	705425
fam79	704463
fam80	703592
fam81	702942
fam82	701296
fam83	699751
fam84	699564
fam85	698680
fam86	697809
fam87	696890
fam88	695951
fam89	694392
fam90	693810
fam91	693260
fam92	691856
fam93	690728
fam94	689997
fam95	689284
fam96	688676
fam97	686922
fam99	685174
fam100	683822
fam101	683250
fam102	681736
fam103	680778
fam104	679771
fam105	678849
fam106	677823
fam107	677040
fam108	675687
fam109	674227
fam110	673584
fam111	672903
fam112	672416
fam113	671641
fam114	670315
fam115	669355
fam116	667870
fam119	662629
fam120	661619
fam121	660289
fam122	659512
fam123	658655
fam124	657714
fam125	656277
fam126	654833
fam127	653889
fam128	653108
fam129	652395
fam130	651404
fam131	650491
fam132	649704
fam133	648741
fam134	647618
fam135	645592
fam136	643918
fam137	640721
fam138	639398
fam139	638316
fam140	637507
fam141	636915
fam142	635279
fam143	633855
fam144	633189
fam145	631480
fam146	630234
fam147	629061
fam148	628061
fam149	626728
fam150	625479
fam151	624877
fam152	623940
fam153	622753
fam154	621031
fam155	619580
fam156	619023
fam157	618232
fam158	617753
fam159	616479
fam160	615919
