fam	loc
fam1	3925
fam2	5270
fam3	5639
fam4	6785
fam5	7073
fam6	9206
fam7	11700
fam8	12858
fam9	19912
fam10	21564
fam11	22231
fam12	22662
fam13	23118
fam14	24136
fam15	24956
fam16	25355
fam17	26181
fam18	26458
fam19	27305
fam20	27735
fam21	30158
fam22	31085
fam23	31706
fam24	32548
fam25	33537
fam27	34070
fam28	34456
fam29	35591
fam30	36591
fam31	36970
fam32	37388
fam39	42303
fam40	43279
fam41	44100
fam42	45169
fam44	49219
fam45	50056
fam46	51862
fam47	52916
fam48	53201
fam49	53770
fam50	54396
fam51	54841
fam53	58279
fam54	59124
fam55	60079
fam56	61973
fam57	62505
fam58	64684
fam59	65605
fam60	66502
fam61	67763
fam62	68827
fam63	69173
fam64	69684
fam65	71502
fam66	78284
fam67	79864
fam68	81430
fam69	82455
fam70	83039
fam71	84633
fam72	86198
fam73	86823
fam75	90279
fam76	92478
fam77	92821
fam78	93432
fam79	93665
fam80	94008
fam89	107416
fam90	107981
fam91	109048
fam92	111515
fam93	113118
fam94	114550
fam95	115297
fam96	115776
fam97	117789
fam98	118860
fam99	120238
fam100	120648
fam101	121391
fam102	121902
fam103	122619
fam104	123075
fam105	123296
fam106	123979
fam107	124764
fam108	125573
fam109	126302
fam110	126716
fam111	127407
fam112	131204
fam113	134934
fam114	135341
fam115	135857
fam116	136364
fam117	138492
fam118	139804
fam119	140432
fam120	141099
fam121	141747
fam122	142031
fam123	142897
fam124	143236
fam125	143595
fam126	144255
fam127	144692
fam128	144885
fam129	145169
fam130	145585
fam131	145974
fam132	146519
fam133	146733
fam134	147161
fam135	147727
fam136	148121
fam137	148645
fam138	148838
fam139	149309
fam140	150601
fam141	151301
fam142	152087
fam143	152303
fam144	152690
fam145	153101
fam146	154228
fam147	154693
fam148	156073
fam149	156918
fam150	157724
fam151	158458
fam152	159096
fam153	159510
fam156	165742
fam157	166381
fam158	168062
fam159	168624
fam160	169430
fam161	170578
fam162	171164
fam163	172057
fam164	174223
fam165	174589
fam166	176313
fam167	177323
fam169	179400
fam170	181099
fam172	189830
fam173	190107
fam175	191473
fam176	192447
fam177	193690
fam178	195079
fam179	197343
fam180	198974
fam181	199588
fam185	206064
fam189	211381
fam190	212707
fam192	216511
fam195	218316
fam197	220411
fam208	229294
fam209	230286
fam215	236500
fam225	248864
fam228	254927
fam257	289758
fam260	292943
fam261	293518
fam262	294106
fam263	295246
fam265	297527
fam266	299049
fam267	300064
fam268	301513
fam269	303318
fam270	304078
fam271	305500
fam272	307458
fam273	308301
fam274	309270
fam276	310498
fam277	311580
fam279	312576
fam280	314726
fam281	314969
fam282	318537
fam283	319004
fam284	319992
fam285	320929
fam286	322011
fam292	326169
fam294	327570
fam295	327911
fam296	328787
fam297	329952
fam298	330998
fam299	332117
fam301	333260
fam302	334329
fam305	336748
fam307	337866
fam308	339084
fam309	340515
fam310	341266
fam311	343598
fam314	345830
fam315	347632
fam319	352058
fam320	353217
fam321	353964
fam323	354877
fam324	355540
fam326	360077
fam327	361765
fam328	362281
fam329	363333
fam330	364448
fam331	366107
fam332	368239
fam334	370925
fam336	372248
fam338	373694
fam339	374486
fam343	379107
fam344	379872
fam346	380564
fam347	381935
fam353	387771
fam354	389020
fam355	390045
fam356	390701
fam357	392298
fam359	394777
fam360	396616
fam363	398163
fam364	399290
fam365	400078
fam366	400891
fam367	401961
fam373	405507
fam375	408177
fam376	408957
fam377	410384
fam378	411127
fam388	424198
fam389	425934
fam390	427458
fam391	429220
fam392	429897
fam393	431516
fam394	432798
fam395	435640
fam401	441129
fam402	442346
fam403	443849
fam404	446225
fam405	447764
fam406	448750
fam407	450381
fam408	451270
fam410	453268
fam411	453885
fam413	456109
fam414	457999
fam415	461002
fam416	462003
fam417	462363
fam421	465842
fam422	466911
fam423	468291
fam424	469010
fam425	469743
fam426	470319
fam427	471392
fam428	471759
fam431	474290
fam432	474921
fam433	476726
fam435	479464
fam436	483188
fam437	484100
fam439	485066
fam440	485949
fam441	486769
fam442	487797
fam444	489372
fam445	490578
fam468	525695
fam470	527086
fam513	570249
fam514	570608
fam516	575160
fam517	575388
fam520	582650
fam522	586438
fam523	587145
fam524	588200
fam530	594402
fam532	596141
fam533	598162
fam534	598619
fam535	598966
fam536	600085
fam537	601381
fam538	602856
fam543	609465
fam544	610661
fam545	611986
fam546	614178
fam548	615121
fam549	617819
fam550	618488
fam551	619645
fam552	620375
fam553	620950
fam559	626422
fam560	627145
fam561	628264
fam562	629604
fam565	635052
fam566	635971
fam567	637549
fam569	640741
fam572	644761
fam573	645609
fam574	647170
fam575	648381
fam576	649512
fam577	650985
fam581	655389
fam582	656698
fam584	659858
fam585	661428
fam589	668063
fam592	671727
fam596	678097
fam603	681971
fam610	688179
fam611	690141
fam612	691068
fam613	692664
fam614	693319
fam615	694999
fam617	696716
fam620	698837
fam621	699119
fam622	699363
fam623	701720
fam624	702273
fam625	703147
fam626	703604
fam627	704306
fam628	705683
fam629	707281
fam630	709494
fam631	710607
fam632	711599
fam634	715249
fam635	716421
fam636	718956
fam637	720004
fam638	721231
fam639	722661
fam640	723523
fam641	724571
fam642	725062
fam643	726065
fam644	727103
fam645	729022
fam648	734523
fam649	735403
fam650	736356
fam651	736815
fam652	737423
fam653	739369
fam654	740320
fam655	741326
fam656	742289
fam662	747716
fam663	750666
fam664	752637
fam665	754208
fam667	755291
fam668	757615
fam669	758024
fam670	759289
fam671	762322
fam672	765622
fam673	766461
fam674	767502
fam675	768348
fam676	769279
fam677	769956
fam678	771356
fam679	772966
fam680	773908
fam681	774547
fam682	776158
fam683	776769
fam684	777517
fam685	778512
fam686	779258
fam687	780209
fam688	781270
fam689	782570
fam690	783466
fam691	784200
fam693	786742
fam694	787422
fam695	788873
fam696	790447
fam697	793472
fam698	795147
fam699	796007
fam700	796667
fam701	797656
fam702	798459
fam706	804060
fam707	805334
fam708	806769
fam709	807701
fam711	809101
fam712	810403
fam716	817497
fam718	818980
fam719	819474
fam720	820281
fam724	825420
fam725	826772
fam726	827618
fam727	829227
fam728	832745
fam730	835481
fam733	838767
fam734	840094
fam735	841223
fam736	843635
fam737	844357
fam738	846119
fam744	850433
fam757	867717
fam758	869224
fam761	871616
fam762	872608
fam763	874098
fam765	875451
fam766	876457
fam767	877094
fam768	877581
fam769	878545
fam770	878940
fam771	880213
fam772	881210
fam773	882869
fam774	884213
fam775	885006
fam776	885709
fam777	889126
fam778	891250
fam780	892845
fam781	893823
