fam	loc
fam1	945669
fam2	947022
fam3	947574
fam4	948792
fam5	949507
fam6	950648
fam7	952099
fam8	953233
fam9	954475
fam10	955482
fam11	957001
fam12	958165
fam14	961312
fam16	962650
fam18	965381
fam19	968422
fam21	969935
fam22	972092
fam23	973778
fam24	974949
fam27	977772
fam28	978157
fam37	989260
fam38	990279
fam39	991273
fam40	992917
fam41	1001108
fam42	1002546
fam43	1003387
fam44	1006260
fam45	1009157
fam46	1010764
fam47	1011633
fam48	1012373
fam49	1013647
fam50	1014542
fam51	1015552
fam53	1017507
fam54	1018419
fam55	1019392
fam58	1021858
fam59	1022992
fam60	1023721
fam62	1025811
fam63	1028072
fam64	1028806
fam65	1029358
fam66	1031871
fam69	1038205
fam70	1039358
fam71	1039813
fam72	1043286
fam73	1044901
fam74	1046626
fam75	1047166
fam76	1047793
fam77	1048541
fam78	1050264
fam79	1051523
fam80	1053216
fam81	1054130
fam82	1055470
fam85	1060269
fam86	1062190
fam87	1063618
fam88	1063912
fam89	1066887
fam90	1067626
fam92	1068237
fam93	1068631
fam94	1070449
fam96	1071869
fam97	1072291
fam98	1073625
fam99	1074817
fam100	1076627
fam101	1077523
fam102	1079010
fam103	1079684
fam104	1080078
fam105	1081147
fam106	1081518
fam110	1084125
fam111	1085566
fam112	1087163
fam113	1087850
fam114	1088983
fam116	1091051
fam117	1092523
fam118	1093843
fam119	1095540
fam120	1096632
fam121	1097939
fam122	1098221
fam123	1101956
fam124	1103963
fam126	1107645
fam127	1109592
fam128	1111056
fam129	1112149
fam130	1113059
fam132	1114742
fam136	1117803
fam137	1118645
fam141	1121859
fam144	1123799
fam145	1125080
fam146	1125334
fam148	1126331
fam149	1127590
fam150	1128116
fam151	1128727
fam152	1132071
fam155	1135085
fam163	1142788
fam164	1144361
fam165	1145892
fam166	1146861
fam167	1147418
fam168	1149042
fam169	1151336
fam171	1153054
fam172	1153871
fam179	1167538
fam180	1168687
fam181	1170049
fam182	1173462
fam183	1174764
fam184	1175396
fam195	1190108
fam197	1201012
fam199	1204709
fam200	1205563
fam201	1206851
fam202	1207452
fam206	1216247
fam207	1216832
fam208	1218518
fam210	1220504
fam211	1221611
fam212	1222429
fam214	1223890
fam217	1226640
fam218	1227481
fam219	1228533
fam220	1230062
fam221	1230733
fam222	1233407
fam223	1234747
fam224	1235601
fam225	1236314
fam226	1237351
fam230	1241215
fam231	1242164
fam234	1247086
fam235	1248703
fam236	1249829
