fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.04043762315470368	0.041237113402061855	0.0286845624329724	0.0016863600628930816	0.0018	0.001533864674248733	0.045936006289308176	0.0485	0.036540326767513856	2009618	0.010511633428300094
fam158	0.08760221307786392	0.056249999999999994	0.10226430618050068	0.0008481481481481481	0.0	0.000970623561023926	0.013514630779848172	0.0105	0.012596985301318534	184099	0.004102596486796543
fam3276	0.007738150248179786	0.007057163020465773	0.013646061786260651	0.0007729545280269919	0.0	0.0016376370173330416	0.07705778697952612	0.0716	0.08406741176587472	411709	0.020421820776745352
fam1499	0.0582666338116589	0.04683777475933292	0.026710985557419957	0.0023266597867217065	0.0022	0.002031379550468837	0.042063063295493634	0.0544	0.03353622869107179	1660415	0.012920954499413264
fam3345	0.1281649529111686	0.11483253588516747	0.11502175621769355	0.003036638294609309	0.0024	0.0032814729755725643	0.02779727014799479	0.0347	0.02121298998637505	333784	0.009547731134306266
fam680	0.027768280025308407	0.0	0.057470062512756416	0.0006323288091404034	0.0	0.0024297363233238413	0.03666922015182885	0.0122	0.14222616651087086	748590	0.006969655858544747
fam875	0.004558559149480072	0.0	0.018520855070348452	0.00014162257495590832	0.0	0.0005594430766065787	0.03484643815658308	0.0385	0.029325351948977507	984609	0.025007668123610154
fam1483	0.01120837121791464	0.0	0.02462180116632511	0.00019895713518901923	0.0	0.0004573393192124139	0.02044223602484472	0.0224	0.015983917364772143	1643906	0.004487207233494071
fam1781	0.07141827622113345	0.06017369727047146	0.09165315452593674	0.006772426025961461	0.0077	0.005541441577439778	0.12735204386035637	0.1199	0.12847933169406692	2014052	0.027232010053185127
fam425	0.1857916419846892	0.09782608695652174	0.19876951177386945	0.0024138121118012423	0.0	0.003328231312057709	0.003067422360248447	0.0	0.009548420857466499	457424	0.0025306058151048695
fam1195	0.13248504141149972	0.12658227848101267	0.10494797344122521	0.004882731338149295	0.0047	0.003968422316730763	0.043072282421740625	0.0457	0.032990293285057364	1354922	0.013652807885120693
fam3379	0.010462270608259898	0.0	0.03787907529893405	0.0002059351276742581	0.0	0.0006832658947189807	0.023227275515681312	0.0254	0.015471625366477936	298552	0.006953522327746748
fam1928	0.23449375218425317	0.22291021671826622	0.09601611115265059	0.0037237201508169247	0.0045	0.002824561239200307	0.017195953079178886	0.0195	0.013503395636608857	1854642	0.019076415806763444
fam98	0.015907894551158992	0.012658227848101266	0.011219801432510355	0.0011231032561101824	0.0011	0.0010290167745267951	0.07708491362152695	0.0834	0.054834175907683934	114133	0.018371115915981926
fam1496	0.1979084606825469	0.12738853503184716	0.23194663678398644	0.00293083620533285	0.002	0.002846233691426194	0.022638536187193907	0.0238	0.01996081117958486	1655901	0.012775691989317415
fam1988	0.015100001194861878	0.013539651837524177	0.012122888536391657	0.0004433928571428571	0.0006	0.00048092477977321077	0.027711195652173913	0.0378	0.020974190597999803	1795729	0.0063041836332589
fam1040	0.016035492766509084	0.0	0.030630415542274626	0.00046974925235794795	0.0	0.0010202254960952736	0.029121815811670886	0.0281	0.03735729435341897	1196200	0.007270816152924806
fam3456	0.08732797785160144	0.08166189111747851	0.0519200138443404	0.004759526397515528	0.0056	0.0036759452993786056	0.05452246118012422	0.0627	0.03788691918512388	218207	0.01638558201058201
fam1786	0.03324719783047675	0.03420195439739413	0.02077045043979843	0.001310351966873706	0.002	0.0012746862256602196	0.04138188789203282	0.0476	0.03076079125781467	2008975	0.01031992635721288
fam3641	0.12253256490488253	0.10267229254571027	0.08036596486730065	0.004378270440251573	0.0052	0.0024658821942754	0.04453202044025158	0.0484	0.028602021726815353	7456	0.014808515998992189
