fam	loc
fam1	8360
fam2	10109
fam3	11287
fam4	11847
fam5	14135
fam6	16694
fam7	17680
fam8	19026
fam9	19815
fam10	20354
fam11	21067
fam13	21940
fam14	22812
fam15	23536
fam16	25394
fam17	26749
fam18	28221
fam19	29627
fam20	31183
fam21	31647
fam22	33421
fam31	41001
fam32	41907
fam33	42927
fam34	43721
fam35	44938
fam36	45578
fam37	46305
fam38	47366
fam39	48809
fam40	49118
fam41	50083
fam42	50613
fam43	51548
fam44	52372
fam45	52749
fam46	54077
fam47	54437
fam48	54739
fam49	56073
fam50	56481
fam51	56854
fam52	57655
fam53	58950
fam54	59715
fam55	60709
fam56	61100
fam57	62318
fam58	65447
fam59	66142
fam60	66686
fam61	67492
fam62	69258
fam63	70104
fam64	71012
fam65	71958
fam66	73167
fam67	73771
fam68	74796
fam69	75343
fam70	77873
fam71	79510
fam72	80148
fam73	80562
fam74	81181
fam75	81481
fam76	81982
fam77	83898
fam78	84922
fam85	95712
fam86	97569
fam91	105020
fam92	105454
fam93	106590
fam96	122224
fam99	137405
fam100	138854
fam102	140462
fam103	141736
fam104	142483
fam105	143683
fam106	145283
fam107	146294
fam108	147525
fam110	149641
fam111	149941
fam112	151033
fam113	152307
fam114	153828
fam116	157587
fam117	161103
fam118	162091
fam119	162659
fam120	163449
fam121	164628
fam122	164793
fam123	165785
fam124	166111
fam125	167199
fam126	168737
fam127	169556
fam128	170622
fam129	171389
fam130	172118
fam131	173461
fam132	173779
fam134	177393
fam135	178267
fam136	179157
fam137	180377
fam138	180806
fam139	181318
fam140	181840
fam141	183137
fam142	183929
fam143	185165
fam144	186445
fam145	187094
fam146	188389
fam147	189095
fam148	189654
fam149	190753
fam150	191842
fam151	193084
fam152	194331
fam153	196682
fam154	197937
fam155	198943
fam156	199713
fam157	201176
fam158	202350
fam159	203330
fam160	204424
fam161	205773
fam162	207278
fam163	208018
fam164	208521
fam165	209261
fam166	210210
fam167	210983
fam168	211280
fam169	212929
fam170	213784
fam172	216145
fam173	217237
fam174	218276
fam175	219385
fam176	220509
fam177	221744
fam179	227268
fam180	227648
fam181	228811
fam183	229542
fam186	231750
fam187	232865
fam188	233186
fam189	233577
fam190	233956
fam191	236029
fam192	236634
fam193	237028
fam196	241434
fam197	243097
fam198	244600
fam199	245874
fam200	246275
fam201	247449
fam202	250352
fam203	252292
fam204	254062
fam205	254605
fam207	256940
fam208	257783
fam209	259295
fam210	259741
fam211	261049
fam212	262143
fam213	262799
fam215	264359
fam216	265100
fam217	266064
fam218	267026
fam219	267581
fam220	268432
fam222	272074
fam223	272975
fam224	273184
fam225	273859
fam226	274446
fam227	275495
fam228	276154
fam229	276934
fam230	278836
fam232	281550
fam234	284274
fam235	284989
fam236	285847
fam237	286923
fam238	287562
fam239	288492
fam240	289167
fam241	289988
fam242	290854
fam243	291697
fam244	292602
fam245	295596
fam246	299870
fam247	300106
fam248	301730
fam249	302289
fam250	303155
fam251	304767
fam252	305904
fam253	306699
fam254	309011
fam255	309690
fam256	310469
fam257	312610
fam258	312845
fam259	315111
fam274	333866
fam275	335537
fam276	336983
fam277	337591
fam278	338730
fam279	339014
fam280	339326
fam281	339491
fam282	339727
fam283	341053
fam284	341322
fam285	342391
fam286	343980
fam287	348815
fam288	349493
fam290	352558
fam291	353054
fam292	353824
fam293	355436
fam294	356225
fam295	357860
fam296	358872
fam297	360268
fam298	361464
fam299	363323
fam300	364258
fam301	365471
fam302	367721
fam303	368390
fam304	369180
fam305	371036
fam306	371843
fam307	373191
fam308	374938
fam309	375224
fam310	376839
fam311	377312
fam312	379484
fam313	380065
fam314	380627
fam315	381813
fam316	383719
fam317	385160
fam318	385955
fam319	387075
fam320	387925
fam321	388417
fam322	389793
fam323	390560
fam324	392627
fam325	393426
fam327	395763
fam328	396557
fam329	397615
fam330	398729
fam331	399325
fam332	400595
fam333	401524
fam334	402631
fam335	402850
fam336	403501
fam337	404956
fam338	405508
fam339	406174
fam340	407193
fam341	407683
fam342	408071
fam343	409055
fam344	410582
fam345	411666
fam346	412301
fam347	413378
fam348	414333
fam349	415268
fam350	416902
fam351	417835
fam352	418808
fam360	439585
fam361	441644
fam362	443562
fam363	445314
fam364	446269
fam365	447494
fam366	448515
fam367	449051
fam368	450383
fam369	450737
fam370	452158
fam371	452326
fam372	453117
fam373	454612
fam375	457981
fam376	459017
fam377	460205
fam378	460965
fam379	462326
fam380	462878
fam381	463752
fam382	464649
fam383	465632
fam384	466567
fam385	467267
fam387	469704
fam388	470395
fam389	471137
fam390	472342
fam391	473312
fam392	474070
fam393	474801
fam394	476303
fam395	477241
fam396	478388
fam397	478864
fam398	479377
fam399	480094
fam400	481903
fam401	482922
fam402	483793
fam403	485102
fam404	486139
fam405	487701
fam407	490528
fam408	492075
fam410	493834
fam411	494388
fam412	495176
fam413	496371
fam414	497808
fam415	498583
fam416	500210
fam417	501358
fam418	502145
fam419	502941
fam420	503462
fam421	505594
fam422	505786
fam424	509549
fam425	511240
fam426	511670
fam427	513044
fam428	514189
fam429	514983
fam430	517207
fam431	519258
fam432	519948
fam433	520634
fam434	521160
fam435	524174
fam436	525038
fam437	526257
fam438	527609
fam440	531395
fam441	532341
fam442	533543
fam443	535093
fam444	537125
fam445	538658
fam446	539629
fam447	540065
fam448	541303
fam449	542411
fam450	544948
fam451	545968
fam452	547311
fam453	547831
fam454	549165
fam455	550649
fam456	551428
fam457	553014
fam458	553307
fam461	561086
fam462	562212
fam463	563743
fam464	564555
fam465	565774
fam466	567583
fam467	568859
fam468	570220
fam470	572386
fam478	580724
fam479	582772
fam480	583542
fam481	585040
fam482	586661
fam484	590831
fam485	591744
fam486	592441
fam487	596623
fam488	596885
fam489	597211
fam490	598508
fam491	599221
fam492	600653
fam494	602899
fam495	604394
fam496	606527
fam497	607557
fam498	607990
fam499	609247
fam501	610240
fam502	612168
fam503	613036
fam504	613411
fam505	614297
fam507	617622
fam508	618004
fam509	618596
fam511	620556
fam512	622038
fam513	622813
fam514	623709
fam515	624396
fam516	625501
fam517	627152
fam518	628424
fam519	630156
fam520	631961
fam521	634374
fam522	635399
fam523	636523
fam524	637133
fam525	637805
fam526	638360
fam527	638952
fam528	639997
fam530	642733
fam531	645037
fam533	650633
fam534	650944
fam535	652500
fam536	652830
fam537	653149
fam538	654054
fam539	655544
fam540	656965
fam541	657968
fam542	659175
fam543	660123
fam544	661538
fam545	662255
fam546	662700
fam547	663166
fam548	663891
fam549	664653
fam550	665168
fam551	666457
fam552	668490
fam554	670602
fam555	671369
fam556	672452
fam558	674301
fam559	675832
fam560	677222
fam561	678675
fam563	681846
fam564	683061
fam565	683920
fam566	686544
fam567	687838
fam568	689573
fam570	691010
fam572	693124
fam573	693906
fam575	695198
fam576	696482
fam581	703702
fam582	705249
fam583	705752
fam584	706444
fam585	707315
fam586	707933
fam587	711390
fam588	712801
fam589	713618
fam590	714028
fam591	714924
fam592	716394
fam595	722966
fam596	725954
fam597	728537
fam602	734510
fam603	735988
fam605	738223
fam607	739763
fam608	740331
fam609	741211
fam610	743538
fam611	744246
fam612	744639
fam613	746230
fam625	760921
fam626	761571
fam627	762819
fam628	763206
fam629	770445
fam633	783424
fam634	784680
fam635	787553
fam636	788380
fam637	789593
fam638	790411
fam639	790937
fam640	791841
fam641	792482
fam642	792806
fam643	793789
