fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.012886839220499052	0.0	0.029436888632387394	0.0008285714285714285	0.0	0.0013100864592126141	0.24304761904761904	0.3462	0.15218621619283715	87162	0.05231107117899571
fam966	0.15353306831079827	0.14024390243902438	0.06536391973416826	0.007852380952380953	0.0092	0.003873551225035048	0.05375714285714286	0.0601	0.02401823853476614	1040684	0.01984126984126984
fam393	0.020948656695820342	0.020545053385730986	0.016382714243753666	0.006295238095238096	0.0059	0.005859829039475646	0.2992809523809524	0.3371	0.18328212865636206	411397	0.06017468715881414
fam1571	0.02982370501772873	0.02586959618040289	0.029422226573853058	0.0024000000000000002	0.0018	0.0016035674514745463	0.08600952380952381	0.0892	0.05542968866489805	342491	0.020905923344947737
fam1037	0.24718883065568178	0.20258327668252887	0.15408719577528796	0.012266666666666669	0.008	0.010611195046622238	0.057023809523809525	0.036	0.054029135920766594	920468	0.021681619507706466
fam1720	0.15549230284412083	0.14255091103965703	0.04310370070852079	0.01110952380952381	0.0132	0.005547621091354621	0.07392380952380952	0.0933	0.03799473528394496	171929	0.025498142519419113
fam1499	0.062433620055508884	0.0	0.07661096546884373	0.011985714285714287	0.0	0.018951097108944725	0.08377619047619048	0.0159	0.1177539359559016	416201	0.028314028314028315
fam1483	0.21402646980213175	0.24100719424460434	0.08894321136497979	0.007290476190476191	0.0067	0.005211334237519926	0.03264761904761906	0.0379	0.018818749997646576	432650	0.013671648708145058
fam1781	0.17901714205720623	0.13451843990448395	0.07853923714488474	0.02808095238095238	0.0283	0.018390774577737638	0.1954714285714286	0.2041	0.15180099799802793	89618	0.06610320896035181
fam425	0.04004899965894612	0.038737446197991396	0.014771019831555663	0.005976190476190476	0.004	0.005648169089090456	0.1475761904761905	0.0806	0.140553890375803	451201	0.03729699972474539
fam1195	0.008308341614733568	0.008337965536409116	0.00730440975983533	0.0007142857142857143	0.0	0.000749149177264394	0.0940952380952381	0.0981	0.06305860823521527	747214	0.021322751322751323
fam98	0.1743391044845577	0.19682959048877147	0.07501562967392138	0.010799999999999999	0.0148	0.006999795915392309	0.06526190476190477	0.0738	0.0343401400029106	99031	0.023336486912645855
fam657	0.05293257375446906	0.044360902255639094	0.028888257049749556	0.008233333333333334	0.0097	0.00502321594326766	0.1696238095238095	0.1921	0.10551714329124284	704798	0.03929453262786596
fam1496	0.007024674319074295	0.007012195121951219	0.004303501541338434	0.0015142857142857143	0.0015	0.0009009443269548395	0.23281428571428572	0.2645	0.13831667353168506	417722	0.051917449959864324
fam265	0.07969573788993012	0.07680372381691235	0.013982284581888186	0.007833333333333335	0.0089	0.004169085012478139	0.1044761904761905	0.0888	0.06549779280004789	266369	0.031611514662362124
fam1040	0.14298180523516604	0.16052060737527116	0.06386381052574445	0.0078047619047619055	0.0074	0.005420286074902951	0.056533333333333345	0.07	0.03021036298600253	918482	0.019047619047619046
fam443	0.10663894217785769	0.06960837521955382	0.08594415718385254	0.0114	0.0119	0.006947421584060281	0.17332857142857144	0.1347	0.14164797459717876	472446	0.050163906142167
fam355	0.05675484883610274	0.042311191992720654	0.020705886037273333	0.013842857142857141	0.0093	0.011331984713677494	0.314152380952381	0.191	0.32550273295472915	371331	0.06428703924530302
fam1784	0.3713075618874761	0.3464163822525597	0.08050219130716883	0.05501904761904762	0.078	0.03598167018871082	0.15789523809523812	0.2138	0.11065415653411599	87688	0.0792031098153547
fam519	0.2500184012828053	0.1043024771838331	0.2860056745295707	0.003561904761904761	0.0027	0.0025036119033025614	0.03174285714285715	0.0274	0.028582421694670537	553271	0.01222307104660046
fam1093	0.10024172554770967	0.06777777777777778	0.09922720945431458	0.004633333333333333	0.0061	0.0031543368985955307	0.10353333333333332	0.09	0.09695989516207858	862463	0.02472386804184039
fam814	0.005581978100699241	0.005062305295950156	0.0033476098331046934	0.001114285714285714	0.0013	0.0008305395344999219	0.19897142857142858	0.2568	0.10311374737618251	881090	0.03694255479969766
fam321	0.017358912826967	0.01810284283667689	0.01610623131110684	0.0013428571428571426	0.0023	0.0011635624396741278	0.08667142857142858	0.073	0.038022213342768375	329684	0.019969278033794162
fam594	0.020782036314916173	0.018406024727155572	0.012495898557169543	0.0029285714285714284	0.0029	0.0017531313093305653	0.13323333333333334	0.1525	0.07699383607569371	628161	0.03483106931382793
fam643	0.05442127126936836	0.056266607266657845	0.01731487193177358	0.005228571428571428	0.0063	0.002773023595995097	0.0927142857142857	0.116	0.05294748778351088	686204	0.02777336370217349
fam62	0.1918280875733808	0.1867057252518358	0.06706336956975861	0.049033333333333325	0.0277	0.047212895063927826	0.23460952380952382	0.1833	0.18148682204491798	61587	0.07965107965107966
fam1679	0.06852690952313104	0.06429420972770013	0.024210656499162223	0.009185714285714283	0.0107	0.003472790248322455	0.15727619047619049	0.1569	0.08753280149674453	223157	0.044875246813857475
fam922	0.09531604591482777	0.10053609441668421	0.028133671341219725	0.013433333333333334	0.0147	0.0061111399710718235	0.1411714285714286	0.1602	0.07151575346171835	995264	0.044622610949141564
fam494	0.1322683376043949	0.12993262752646775	0.06393248941783386	0.010719047619047618	0.0107	0.006179892050807779	0.09804761904761905	0.1039	0.05710472934336249	531787	0.03606649760495915
fam1358	0.18195946496246782	0.1518324607329843	0.045620409825335516	0.009290476190476191	0.0106	0.0060079237172496	0.05470952380952381	0.0433	0.04282991727821753	562322	0.019991670137442734
fam651	0.13773312954591094	0.14402173913043478	0.06644722663428318	0.010204761904761904	0.0119	0.005732486885784529	0.08515714285714285	0.1104	0.05012119190074214	697756	0.027587162958341998
fam508	0.07720930891054696	0.08143322475570032	0.005917876583277786	0.014666666666666666	0.0125	0.014077754600900478	0.19733809523809523	0.1496	0.1950121399791024	542362	0.04477474997706212
fam179	0.020120715389863087	0.016030013642564803	0.020645669980101415	0.0036	0.0047	0.0038346788528848034	0.14218571428571428	0.0954	0.09471120658645008	183537	0.034985422740524776
fam43	0.0921496567749245	0.05594405594405594	0.08337363636431111	0.005052380952380953	0.0048	0.002155970458234538	0.0815857142857143	0.0987	0.04573020556131661	40847	0.022086046214732542
fam1587	0.08621548457391347	0.11911357340720222	0.05306701670471517	0.006552380952380953	0.0043	0.004897192494793906	0.14356666666666668	0.1043	0.14305114081645376	323758	0.03444144953578916
fam1446	0.1474128443972802	0.1349978383052313	0.018188942570708022	0.07124285714285714	0.119	0.06030543347097713	0.5135857142857143	0.792	0.4390921427171276	473046	0.12288786482334867
fam1143	0.1182153792358439	0.09828393135725429	0.08559094533253882	0.005628571428571429	0.0062	0.0036855112531749123	0.05787619047619048	0.0668	0.03067818993794257	809803	0.01655328798185941
fam839	0.041442547677877715	0.0389363722697056	0.045209815467660036	0.0019523809523809524	0.0	0.00204767441785601	0.06076666666666668	0.0564	0.038290982816837765	907123	0.01720747295968535
fam1534	0.07456926527819209	0.07777149321266968	0.012589375355333856	0.014876190476190473	0.0062	0.013524788696946512	0.18874285714285716	0.1082	0.16115556687466268	385939	0.054050355774493714
fam1447	0.26792270832178017	0.28943056124539124	0.11548684729750772	0.0809	0.1334	0.06826724795139424	0.26454285714285714	0.3833	0.22240202673671533	472591	0.13588850174216027
fam1584	0.0	0.0	0.0	0.0	0.0	0.0	0.06527619047619046	0.067	0.041415029532789346	331725	0.012676743052169672
fam317	0.06630864058479963	0.04894401609118337	0.02783907211715138	0.013352380952380952	0.0146	0.006651216791479304	0.2194904761904762	0.2792	0.12291580899043558	323155	0.05834215167548501
fam568	0.02647012877357327	0.028753993610223644	0.007222257669567104	0.0026666666666666666	0.0027	0.0014146624478192107	0.11059523809523808	0.1237	0.0688565069456245	600076	0.029707862392687294
fam645	0.16752322962222072	0.135258358662614	0.06625362730814946	0.012004761904761903	0.0147	0.007910359463897489	0.07138095238095236	0.0772	0.04131852598495209	687404	0.026556776556776556
fam1765	0.02029088295837734	0.014027859525210908	0.012778352379513429	0.008809523809523809	0.0105	0.004730841540149546	0.5567523809523811	0.681	0.39066355226173793	111447	0.09203980099502487
fam989	0.20925988961495068	0.21532964508522584	0.09989711652479807	0.041595238095238095	0.0495	0.02500621782087838	0.19433809523809528	0.1982	0.09681044058310907	1062979	0.1016783762685402
fam1715	0.041235298377330636	0.0404040404040404	0.004932401024833183	0.005004761904761904	0.0056	0.0025235040246368292	0.12255238095238093	0.1386	0.06276406022745681	175443	0.03387256018834966
fam1699	0.23677634261666392	0.1440894568690096	0.22292759591895078	0.02926666666666667	0.038	0.019391022304967472	0.18544285714285713	0.1878	0.12885256828539157	200564	0.06568144499178982
