fam	loc
fam8	2308826
fam9	2307132
fam10	2305681
fam14	2299075
fam15	2298545
fam18	2296287
fam20	2294678
fam21	2294394
fam22	2293513
fam23	2292636
fam24	2288464
fam27	2280011
fam28	2279316
fam29	2278639
fam36	2273123
fam37	2271938
fam39	2269296
fam41	2268751
fam43	2268204
fam45	2262754
fam47	2261007
fam48	2259993
fam49	2258830
fam50	2257179
fam52	2254572
fam53	2253678
fam54	2252783
fam55	2251794
fam56	2250690
fam57	2250159
fam58	2249886
fam59	2248093
fam61	2246525
fam62	2245385
fam63	2244515
fam64	2243324
fam65	2242474
fam66	2241984
fam70	2236000
fam71	2235194
fam73	2231790
fam74	2231244
fam75	2231051
fam76	2228415
fam77	2227219
fam78	2226686
fam79	2226423
fam80	2222625
fam81	2220683
fam82	2219104
fam83	2217628
fam85	2216167
fam86	2214086
fam87	2212841
fam88	2211894
fam89	2210792
fam90	2210496
fam91	2209222
fam92	2207560
fam93	2206649
fam94	2205709
fam95	2205084
fam96	2203501
fam97	2202292
fam98	2200898
fam101	2199799
fam102	2199575
fam103	2198853
fam104	2197709
fam105	2196326
fam106	2195008
fam107	2193519
fam108	2192812
fam109	2192022
fam110	2190391
fam111	2188701
fam112	2188323
fam113	2186348
fam114	2185386
fam115	2184349
fam118	2180904
fam119	2180343
fam120	2179739
fam121	2178348
fam122	2177280
fam123	2176288
fam124	2175480
fam125	2174253
fam126	2172871
fam127	2168798
fam128	2168083
fam129	2166771
fam130	2165500
fam131	2163498
fam132	2161277
fam137	2156976
fam138	2156490
fam139	2156039
fam140	2155302
fam141	2153942
fam142	2153627
fam143	2152714
fam144	2151954
fam145	2149216
fam146	2147982
fam147	2145174
fam149	2144542
fam150	2143458
fam151	2142481
fam152	2141894
fam153	2141531
fam154	2140499
fam155	2139454
fam156	2138733
fam157	2137855
fam160	2134424
fam162	2131857
fam163	2131051
fam164	2130347
fam165	2129660
fam166	2128889
fam167	2128319
fam168	2127816
fam169	2125661
fam171	2123579
fam173	2121748
fam174	2121384
fam179	2116893
fam180	2115883
fam181	2114963
fam182	2114028
fam183	2112311
fam184	2110928
fam185	2107778
fam186	2106834
fam187	2105820
fam188	2104771
fam189	2103556
fam190	2102559
fam191	2101988
fam192	2101096
fam198	2094284
fam199	2093280
fam200	2092340
fam201	2091630
fam202	2090095
fam203	2086355
fam204	2084572
fam205	2082437
fam206	2081794
fam207	2081139
fam208	2080278
fam209	2078664
fam217	2066264
fam218	2065419
fam219	2065023
fam220	2064193
fam221	2063111
fam222	2061812
fam223	2060975
fam224	2060124
fam226	2059026
fam227	2057222
fam228	2056885
fam229	2056023
fam230	2054815
fam240	2043973
fam241	2043218
fam242	2041544
fam243	2039243
fam244	2038308
fam245	2037695
fam246	2036681
fam247	2034850
fam248	2033721
fam249	2030551
fam250	2029681
fam251	2027917
fam252	2027241
fam256	2022909
fam260	2019288
fam261	2018923
fam262	2018106
fam263	2017270
fam264	2017000
fam267	2011584
fam269	2010899
fam271	2007569
fam276	2001688
fam278	2000392
fam279	1999232
fam280	1998555
fam281	1997181
fam282	1996342
fam283	1994882
fam284	1993685
fam285	1992331
fam287	1990945
fam288	1990104
fam289	1989313
fam290	1988270
fam297	1983466
fam298	1982539
fam299	1981267
fam300	1980566
fam301	1979374
fam302	1975605
fam303	1974392
fam305	1973180
fam306	1972581
fam307	1971050
fam308	1970100
fam309	1969052
fam310	1968217
fam311	1967595
fam312	1967204
fam313	1966842
fam314	1965128
fam315	1964036
fam316	1963021
fam317	1962383
fam318	1961371
fam319	1960559
fam320	1959198
fam321	1958873
fam322	1957928
fam323	1956986
fam324	1956017
fam325	1954878
fam326	1954624
fam327	1954051
fam328	1953269
fam329	1952241
fam330	1951803
fam331	1948459
fam332	1947308
fam333	1945653
fam334	1944646
fam335	1943549
fam336	1942839
fam337	1942002
fam339	1939868
fam340	1939148
fam341	1938732
fam342	1938312
fam343	1937498
fam345	1936708
fam346	1935130
fam347	1934097
fam349	1932853
fam350	1931409
fam351	1930674
fam352	1929522
fam353	1929203
fam354	1928660
fam355	1927427
fam356	1927266
fam357	1926001
fam358	1924856
fam360	1922995
fam361	1922767
fam362	1920076
fam363	1918548
fam366	1915559
fam368	1914626
fam369	1914174
fam370	1913659
fam371	1913163
fam372	1911757
fam373	1911363
fam374	1910923
fam375	1910063
fam376	1909526
fam377	1908870
fam378	1908109
fam379	1907099
fam382	1902108
fam383	1900975
fam384	1900087
fam385	1898359
fam389	1892023
fam390	1891775
fam391	1890315
fam393	1887719
fam394	1887421
fam396	1886469
fam398	1882754
fam399	1881932
fam401	1878104
fam402	1876959
fam403	1876737
fam406	1876131
fam407	1875633
fam409	1874152
fam410	1873409
fam411	1871313
fam412	1870128
fam413	1869694
fam414	1867494
fam415	1866028
fam416	1865859
fam417	1864710
