fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.2054263565891473	0.2054263565891473	0.0	0.003533333333333333	0.0	0.004996887920384936	0.0172	0.0	0.024324473272817233	844790	0.007374631268436579
fam966	0.3116458305327777	0.2254335260115607	0.26355178261777745	0.0016800000000000005	0.0019	0.0012039933554633929	0.006613333333333333	0.0043	0.0072060961846357715	985117	0.0032128514056224897
fam1031	0.10164001269854757	0.10795454545454544	0.013547212165963867	0.00144	0.0019	0.001225724275683565	0.014586666666666668	0.0176	0.012996402921150485	1048479	0.005586825099020222
fam875	0.3701604670012894	0.36178861788617883	0.07131141390006838	0.01038	0.0178	0.009446142069649386	0.02689333333333334	0.0483	0.02358659129439625	897224	0.020169082125603862
fam1781	0.4612440191387559	0.40789473684210525	0.08688555495247371	0.002553333333333333	0.0021	0.0025770439568535797	0.0061666666666666675	0.0038	0.006751559490632927	848927	0.0035623409669211198
fam425	0.0	0.0	0.0	0.0	0.0	0.0	0.017986666666666665	0.0205	0.016815701657148362	419649	0.0047358834244080154
fam1195	0.1937361162200651	0.1564625850340136	0.04892198085306418	0.007659999999999998	0.0115	0.006554977752314141	0.04010666666666666	0.0618	0.0330715883434037	1210931	0.015069146399618502
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.00416	0.0078	0.0038913236822448985	97501	0.00126984126984127
fam2317	0.04130732119535044	0.047752808988764044	0.013879200105656377	0.0008333333333333334	0.0008	0.0008145891943523163	0.01958	0.0289	0.01619490454844774	262827	0.005917874396135264
fam1988	0.21535567148538046	0.2375886524822695	0.03602374875207442	0.002606666666666666	0.0011	0.0031079396533537926	0.011066666666666669	0.0062	0.012394120469893062	622288	0.0048048048048048055
fam265	0.16366438174185666	0.044715447154471545	0.1436077749774117	0.0005866666666666667	0.0011	0.0005487764167268448	0.009333333333333332	0.0034	0.011384824206909049	279332	0.0027141645462256153
fam1040	0.13734115347018572	0.125	0.02370982804638351	0.0011666666666666668	0.001	0.0011785113019775792	0.009233333333333333	0.0062	0.009881677770275427	1055999	0.0036673215455140804
fam1786	0.03229699930426269	0.040483988355167394	0.02057620676317542	0.0007799999999999999	0.0009	0.0007249827584156742	0.020733333333333333	0.0164	0.017683727611061597	843088	0.0050916012372115155
fam1784	0.4320527441053497	0.5900537634408602	0.25523596407709626	0.06770000000000001	0.1192	0.06199294583525883	0.11449333333333334	0.1953	0.1029802276599197	845474	0.08193041526374857
fam2375	0.22350988704365765	0.22452229299363058	0.06160219661338778	0.007720000000000001	0.0113	0.006396165517975074	0.035800000000000005	0.0623	0.029905941438672905	187370	0.016126984126984125
fam2090	0.0	0.0	0.0	0.0	0.0	0.0	0.016866666666666665	0.0	0.023853068752026207	505705	0.004232804232804232
fam2139	0.2691582217326356	0.2709030100334448	0.027839933096438292	0.00626	0.0075	0.0052306532415496	0.023053333333333332	0.0299	0.02073855882703092	452617	0.011416122004357295
fam2305	0.0	0.0	0.0	0.0	0.0	0.0	0.014259999999999998	0.0233	0.012205889288918416	277204	0.0038677918424753865
fam1093	0.038021347399532925	0.06084656084656084	0.034124820041625384	0.0007666666666666667	0.0	0.0010842303978193728	0.012573333333333334	0.005	0.015132017563945516	1110859	0.004372427983539094
fam814	0.11609137705337545	0.1643192488262911	0.10515987407325736	0.0011666666666666668	0.0	0.001649915822768611	0.0070466666666666655	0.0052	0.007430824688791652	834734	0.0026350461133069825
fam594	0.03744812465742699	0.06342494714587738	0.03401646948015701	0.001	0.0	0.001414213562373095	0.01784	0.0106	0.019867252787774493	603884	0.005870020964360586
fam643	0.20634920634920634	0.20634920634920634	0.0	0.0026	0.0	0.0036769552621700465	0.0126	0.0	0.017819090885900998	650786	0.004273504273504273
fam62	0.0	0.0	0.0	0.0	0.0	0.0	0.0073133333333333305	0.0078	0.006700931941818904	62103	0.001994301994301994
fam1679	0.12025607257828505	0.1366666666666667	0.0336834971805666	0.002126666666666667	0.0021	0.0016093338856668484	0.016146666666666667	0.0272	0.013731223138849972	964246	0.005925925925925926
fam494	0.08183325653919366	0.08782435129740519	0.023880667846767026	0.002566666666666667	0.003	0.001815366507225347	0.02749333333333333	0.0458	0.022995810246409863	483104	0.008989572096368213
fam2091	0.014342272774566896	0.02552204176334107	0.01283560575141669	0.0007266666666666668	0.0	0.0010279213112987893	0.034813333333333335	0.0249	0.036583345330294156	504989	0.0074829931972789105
fam1358	0.38578862975847905	0.3869346733668342	0.21969129226397666	0.0033199999999999996	0.0038	0.0030986448650982897	0.009833333333333335	0.016	0.008842448127576936	1257996	0.005384615384615385
fam870	0.21990735893071667	0.20675944333996024	0.030494491947677848	0.00544	0.0089	0.00465428834517158	0.024826666666666667	0.0357	0.021259396876570972	894348	0.010939112487100102
fam150	0.04124857685009487	0.024193548387096777	0.025410688960882673	0.0009599999999999998	0.0009	0.0006118823416311343	0.02105333333333333	0.0372	0.017889880441809055	147095	0.00572597137014315
