fam	loc
fam3	731869
fam4	732860
fam5	733696
fam6	735387
fam7	736570
fam8	737614
fam9	738405
fam10	739961
fam11	740606
fam12	741468
fam13	742907
fam14	744040
fam15	744345
fam16	745131
fam17	746437
fam18	746885
fam19	747227
fam20	747586
fam21	749443
fam22	749929
fam23	750618
fam27	755326
fam28	756643
fam29	757496
fam30	758023
fam31	759155
fam32	760105
fam35	762515
fam36	763090
fam37	763961
fam38	765520
fam39	768750
fam40	769269
fam41	769762
fam42	770896
fam43	771655
fam44	772884
fam45	774206
fam46	774520
fam47	775597
fam48	776348
fam49	777042
fam50	777865
fam51	779016
fam53	782251
fam54	782505
fam55	783872
fam56	784737
fam57	785287
fam59	786467
fam60	787326
fam61	788268
fam62	789732
fam63	790623
fam64	790990
fam65	793760
fam66	795402
fam67	797828
fam68	798474
fam69	799074
fam70	799925
fam71	802014
fam72	803301
fam73	804281
fam74	804540
fam75	807499
fam76	809530
fam77	810488
fam78	811429
fam79	812463
fam80	813698
fam81	815042
fam82	815819
fam83	816172
fam84	817316
fam85	818854
fam86	820040
fam87	822130
fam88	823159
fam89	824047
fam90	824898
fam91	825446
fam92	826198
fam94	1508868
fam95	1507704
fam96	1504417
fam97	1503886
fam98	1503140
fam99	1502450
fam100	1502179
fam101	1501613
fam102	1500855
fam103	1499380
fam104	1496716
fam105	1495808
fam106	1495446
fam107	1494510
fam108	1493600
fam109	1492488
fam110	1491640
fam111	1491369
fam112	1490338
fam113	1489585
fam114	1488691
fam115	1487261
fam116	1486344
fam117	1484195
fam118	1482980
fam119	1481739
fam120	1481453
fam121	1480850
fam122	1480464
fam124	1476630
fam125	1476046
fam126	1475489
fam127	1473524
fam128	1472903
fam129	1471314
fam130	1470136
fam131	1469521
fam132	1468790
fam133	1467633
fam134	1467173
fam135	1464503
fam136	1464078
fam137	1463390
fam138	1461932
fam139	1459329
fam140	1458228
fam141	1457455
fam142	1455661
fam143	1454102
fam144	1452164
fam145	1451541
fam146	1449970
fam147	1448237
fam148	1446919
fam149	1446095
fam150	1444573
fam151	1443505
fam152	1441353
fam153	1440639
fam154	1439542
fam155	1437689
fam156	1437267
fam157	1436088
fam158	1435492
fam159	1434797
fam160	1434035
fam161	1433437
fam162	1432853
fam163	1431732
fam164	1430779
fam165	1430156
fam166	1428120
fam167	1426618
fam168	1425945
fam169	1424773
fam170	1423295
fam171	1423110
fam172	1419628
fam173	1417118
fam174	1415392
fam175	1414727
fam176	1413522
fam177	1411635
fam178	1408016
fam179	1405004
fam180	1403721
fam181	1401913
fam182	1401205
fam183	1400546
fam184	1399941
fam186	1399002
fam187	1398685
fam188	1397503
fam189	1396431
fam190	1395826
fam191	1393314
fam192	1392334
fam193	1391306
fam194	1389103
fam195	1388850
fam197	1386739
fam198	1386160
fam199	1384996
fam201	1383445
fam204	1379930
fam205	1378550
fam206	1377226
fam207	1376747
fam208	1374956
fam209	1374555
fam210	1373687
fam211	1371905
fam212	1371664
fam213	1370425
fam214	1369085
fam215	1368317
fam216	1367885
fam217	1366375
fam218	1366061
fam219	1364541
fam220	1362850
fam221	1362245
fam222	1360972
fam223	1360206
fam224	1358678
fam225	1358069
fam226	1355064
fam227	1353730
fam228	1353515
fam229	1352544
fam230	1351749
fam231	1350555
fam232	1349814
fam233	1349017
fam234	1348576
fam238	1343774
fam239	1340796
fam240	1338867
