fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.048248150206888024	0.03285924472780775	0.04044157884268031	0.00292	0.0006	0.0032214282546721416	0.0849	0.00665	0.09911401515426564	1204168	0.015581854043392504
fam4124	0.026368183087669996	0.045828437132784956	0.022839261476203254	0.00936	0.0	0.011463611996225274	0.20530000000000004	0.0081	0.24652842026833338	938035	0.038652482269503546
fam1785	0.01390819536724582	0.0	0.017037992481486457	0.00552	0.0	0.006760591690081571	0.16287999999999997	0.01025	0.1912192134697766	1706796	0.026843657817109144
fam966	0.08644665885822717	0.073856416772554	0.03850797784763335	0.018869999999999998	0.0013	0.022058152687838572	0.25979	0.01605	0.30519917906180544	2648927	0.05694444444444445
fam5072	0.018794556059624108	0.018794556059624108	0.0	0.00464	0.0	0.005682816203256972	0.24688	0.0	0.3023650138491555	1982386	0.03911111111111111
fam1571	0.02099328362651865	0.020987339104496967	0.0016696332938007737	0.0049099999999999994	0.0023	0.004243689432557477	0.19053	0.0	0.23335071051959536	1946538	0.03828828828828829
fam3872	0.006029135363109079	0.005999077065066912	0.006029285217109473	0.00208	0.0	0.002547469332494505	0.17358	0.0027	0.21039337822279483	667053	0.02609375
fam4609	0.015264587032724899	0.0	0.017069440506970145	0.0016400000000000002	0.0	0.0020085815890822064	0.04955	0.00445	0.057057676959371556	1494344	0.01522748375116063
fam3479	0.10190430529023164	0.0523109391487865	0.14532892889802387	0.00864	0.0009499999999999999	0.009833025983897327	0.34963	0.00745	0.4216703856094236	242667	0.04609929078014185
fam4712	0.03034625606226046	0.0	0.033950983593056365	0.01268	0.0	0.01552976496924535	0.19272	0.0191	0.22223266996551158	1600608	0.04670433145009416
fam3276	0.007116093377790997	0.0	0.007956724690425486	0.00212	0.0	0.002596459127350169	0.13735	0.0137	0.158211429738815	2252	0.029527559055118113
fam1720	0.023977630394116545	0.041527623285131626	0.020766097842673692	0.00448	0.0	0.0054868570238343186	0.10764	0.0029	0.13006445479069215	1790263	0.026132145508537492
fam5537	0.024320992975724355	0.0	0.029795964624044227	0.01961	0.0	0.02401726254176358	0.32895	0.0122	0.3900898979722495	2511516	0.06069078947368421
fam1499	0.010342824102791427	0.010114159823753254	0.010347878291045918	0.00404	0.0	0.00494796928042202	0.20496000000000003	0.0239	0.23177454217407054	2041105	0.026904761904761904
fam2659	0.015044753380308513	0.015044753380308513	0.0	0.0031600000000000005	0.0	0.003870193793597422	0.21004	0.0	0.25724541278708934	727820	0.026143790849673203
fam3994	0.1182403279146323	0.06089206880803775	0.11373592159326452	0.01656	0.0031	0.01781921434856206	0.26152	0.0105	0.31410954713284345	795277	0.05371702637889688
fam5170	0.09664092520055642	0.09195402298850576	0.0367545489582217	0.01524	0.0032	0.016576199805745585	0.23392	0.0237	0.27039621964813043	2110391	0.04666666666666667
fam4952	0.018069785204482967	0.030938758211485486	0.01565173483285421	0.00584	0.0	0.00715251004892688	0.19754999999999998	0.0428	0.2164062811010808	1862716	0.0425206124852768
fam3345	0.030859271082734768	0.030859271082734768	0.0	0.00464	0.0	0.005682816203256972	0.15036	0.0	0.18415263886243932	74670	0.03190883190883191
fam4095	0.016900134792576692	0.0	0.02070347157229437	0.008430000000000002	0.0	0.010324635586789492	0.20564	0.0152	0.2396030099977878	909149	0.03950617283950618
fam680	0.07539027845927555	0.04184285573802734	0.06260861002109536	0.040530000000000004	0.0164	0.03677744009579786	1.0168599999999999	0.22105	1.096733429051928	3013716	0.10817610062893082
fam4775	0.01282670014014732	0.022442748091603053	0.011108248303708667	0.00591	0.0	0.007238293997897571	0.2641	0.0027	0.3218055686280149	1683063	0.041666666666666664
fam4190	0.20637247873069786	0.0	0.2308556668939801	0.06272	0.0	0.07681683148893867	0.14506999999999998	0.025	0.15772005611208742	1009249	0.07316017316017315
fam1483	0.006736068585425597	0.006736068585425597	0.0	0.00088	0.0	0.0010777754868245984	0.13064	0.0	0.16000066999859722	2064543	0.02733333333333333
fam1781	0.026740453438963186	0.016608527487984262	0.04451971755645653	0.0037700000000000003	0.0006	0.004260528136276065	0.22599000000000005	0.0331	0.2500537840145596	1719415	0.04091337099811677
fam425	0.011757998114661241	0.02033716885202034	0.010187545351818972	0.00304	0.0	0.0037232244090304304	0.14989999999999998	0.007	0.17938215630323992	3302662	0.025411061285500747
fam1195	0.029458063760340075	0.006985386932459473	0.04783817884169852	0.0021000000000000003	0.0003	0.0023315231073270538	0.29598	0.01855	0.3502630320202233	2378169	0.026968716289104643
fam3726	0.05123393209440035	0.051248067152639715	2.4482639038525103e-05	0.009729999999999999	0.0015	0.011013541664696237	0.18112999999999999	0.0	0.22183808081571565	493250	0.03966101694915254
fam5807	0.07252051094564804	0.0642737896494157	0.07818016900099102	0.012790000000000001	0.0012	0.014941582914805246	0.19448000000000001	0.0091	0.2316794803170967	2799663	0.03752380952380953
fam4141	0.02132559190710652	0.01496039624873268	0.021516070400345817	0.00252	0.0017	0.002198544973385807	0.15248	0.0556	0.13534324364370762	957199	0.021269379844961238
fam3379	0.12055283837354136	0.1087024636957303	0.051074981235397436	0.03955	0.0493	0.019631161453159105	0.31919000000000003	0.30825	0.08378803554207485	119533	0.08207282913165267
fam1928	0.026148449366910118	0.0	0.02923853702453388	0.014680000000000002	0.0	0.017979254712028526	0.2556	0.0165	0.30076491816699635	1562421	0.04188790560471976
fam3111	0.012376237623762377	0.012376237623762377	0.0	0.0016	0.0	0.0019595917942265427	0.12928	0.0	0.15833501697350463	175091	0.022429906542056073
fam98	0.08413794988073167	0.029027962716378163	0.07662482756547323	0.008819999999999998	0.00125	0.009818635343060664	0.30306	0.0069	0.3669559379544089	3027742	0.04192021636240703
fam5535	0.1389493636095066	0.08153768335862419	0.1089181198399798	0.033339999999999995	0.0025499999999999997	0.038761403483362156	0.41029	0.0129	0.4931404920506934	2508623	0.099288256227758
fam657	0.030962116665573088	0.028469750889679717	0.013611989220306585	0.0051199999999999996	0.002	0.004694848240358787	0.24500000000000002	0.04695	0.2648818415822421	3035746	0.03333333333333333
fam4153	0.16363775192951813	0.08860759493670885	0.19260488896645483	0.005619999999999999	0.0014	0.0058977622875121035	0.16496000000000002	0.0079	0.19664996414950095	972902	0.02863317125877904
fam5833	0.11555752163013644	0.08111961414881663	0.07549301213162425	0.015340000000000001	0.0025	0.01648612750162997	0.23088000000000003	0.026549999999999997	0.26230352571019705	2835879	0.04594330400782014
fam1496	0.012314054861437758	0.0	0.013772578244683467	0.007639999999999999	0.0	0.009357050817431739	0.28221	0.0182	0.33282787578566797	2046300	0.03744292237442922
fam2317	0.013538108746804167	0.01460077700560825	0.011178270087099684	0.0025599999999999998	0.0016	0.002285257097133712	0.1867	0.09555	0.14158931456857893	1146411	0.030490956072351416
fam5895	0.09099981026236005	0.03985300624571411	0.09351651117833104	0.0064399999999999995	0.0029	0.0056996842017782	0.16048999999999997	0.0228	0.17832142580183682	2916363	0.030092592592592598
fam4239	0.011957319670850109	0.0	0.013371599015995616	0.0032	0.0	0.003919183588453085	0.12159	0.0073	0.14361421552200185	1064711	0.021602787456445997
fam4592	0.007591338836969277	0.013221459445715738	0.0065748160503170845	0.00208	0.0	0.002547469332494505	0.15985	0.0109	0.18915858029706184	1479879	0.028778467908902695
fam1988	0.020668537892319466	0.020668537892319466	0.0	0.00324	0.0	0.003968173383308749	0.15676	0.0	0.19199100603934552	1498263	0.02403292181069959
fam265	0.006353258806398669	0.0	0.007103762367469757	0.00494	0.0	0.0060503223054643954	0.36075999999999997	0.0369	0.41108085141490114	3230840	0.04683544303797468
fam5264	0.33113238692637836	0.33113238692637836	0.0	0.04012	0.0	0.04913676424023056	0.12116	0.0	0.14839008861780492	2207813	0.052941176470588235
fam2943	0.03939091325572608	0.06579339089014588	0.034141058866961914	0.00884	0.0	0.010826744663101648	0.13247000000000003	0.0138	0.1539824798475463	396438	0.027419354838709675
fam3456	0.055956515565935144	0.04960885327227628	0.06643389208344755	0.01075	0.0008	0.012681975398178313	0.2142	0.01055	0.2552174249537049	216566	0.03522727272727273
fam1786	0.04872291792656519	0.020205664802453543	0.08705001056666532	0.0046	0.0006	0.005274087598817448	0.22115999999999997	0.0023	0.269460012617828	1704606	0.03402874362540566
fam3986	0.05843664574533255	0.02297423160509159	0.07866251488800725	0.00369	0.0018	0.0035260317638954987	0.15785	0.07135	0.1492114355537135	789707	0.034074074074074076
fam443	0.09809708196284925	0.07359579519540158	0.06165866261573064	0.01555	0.0019	0.01773309053718499	0.22083999999999998	0.0119	0.2583827246547261	3282171	0.04292237442922374
fam3198	0.03041719688416065	0.0	0.03400895121932079	0.01323	0.0	0.016203397791821318	0.19659000000000001	0.0091	0.23412110306420478	82769	0.04754098360655738
fam5211	0.02314713491482246	0.027324124264148746	0.01586850719552641	0.009760000000000001	0.0008	0.011468321586003768	0.26230999999999993	0.030899999999999997	0.2987558181860229	2160953	0.042582417582417584
fam3286	0.0	0.0	0.0	0.0	0.0	0.0	0.10874999999999999	0.0063	0.12808769066541872	11546	0.025057471264367814
fam3216	0.018737976863876984	0.0	0.020956063921817033	0.00864	0.0	0.01058179568882333	0.20848	0.0087	0.24831497256508717	63123	0.03820224719101124
fam355	0.04046497705789858	0.0	0.045248716070334816	0.02651	0.0	0.032468028889971134	0.29771000000000003	0.0186	0.3514941377889537	3383684	0.06309263311451495
fam3280	0.06812001302436499	0.06329113924050633	0.046059740394431115	0.00852	0.0008	0.009952165593477634	0.13295	0.0078	0.15754257995856233	5294	0.030714285714285715
fam4434	0.026322964683317587	0.0310880829015544	0.017183708386189375	0.01032	0.0006	0.012152925573704464	0.25272	0.0436	0.27672388693425076	1276349	0.04432334241598547
fam1784	0.041638830981948635	0.038939408887006075	0.009175629092580599	0.014860000000000003	0.0035499999999999998	0.014699197256993321	0.42366000000000004	0.0692	0.4445370697703398	1708610	0.14868041031769744
fam2761	0.07260896601635128	0.042999339094174645	0.09847344706462628	0.00469	0.0008	0.005269051147977214	0.10568999999999999	0.01035	0.12103118151947455	604587	0.02912858013406459
fam2375	0.034161993189438425	0.028766942367061232	0.019223798824253294	0.01045	0.00075	0.012190098440947882	0.19719000000000003	0.0334	0.21179267905194457	1085528	0.05010964912280702
fam5036	0.06890299184043518	0.06890299184043518	0.0	0.01824	0.0	0.022339346454182583	0.26472	0.0	0.32421446235478146	1946845	0.05291005291005291
fam2090	0.005523119275531894	0.0	0.00676772897270924	0.00296	0.0	0.0036252448193191036	0.22094999999999998	0.015099999999999999	0.2575972563906689	1387826	0.03578847969782814
fam5827	0.007976750654115725	0.013879250520471894	0.006908864016459486	0.0016	0.0	0.0019595917942265427	0.11610000000000001	0.0049	0.13921657228936504	2829118	0.020689655172413796
fam2139	0.004220644482570339	0.0	0.005170236562302099	0.0018	0.0	0.00220454076850486	0.18105000000000002	0.0235	0.20057030313583316	1342598	0.030073729142413658
fam2305	0.23200256220209803	0.14427750773309767	0.21885877956638194	0.01364	0.0021	0.015010476341542263	0.13768	0.0073	0.16199620242462476	1155455	0.06460093896713616
fam519	0.04818552644747003	0.021413276231263382	0.08294030909530402	0.0059299999999999995	0.0008	0.006784401226342676	0.26166999999999996	0.0032	0.3185287994828725	3202105	0.03727454909819639
fam1093	0.021801935770869845	0.0	0.02437917711359954	0.03539	0.0	0.043343729650319664	0.72619	0.0132	0.8801007356547317	2499043	0.08420348058902276
fam4968	0.07471497045200512	0.09318004665388938	0.050914259924770784	0.021300000000000003	0.0058	0.022654535969646342	0.22696999999999998	0.04825	0.24595784211933552	1881755	0.059212376933895916
fam2823	0.03835321758411339	0.01106118216384376	0.06435343014610047	0.00276	0.0005	0.0030832450437809833	0.23287	0.005	0.28164827728924596	524905	0.027239263803680986
fam4230	0.3713041069747357	0.07951482479784368	0.34178473508610907	0.016999999999999998	0.0036	0.018676295135813207	0.21286000000000005	0.0047	0.25784947236711575	1055067	0.0518954248366013
fam594	0.012023838167037119	0.020925341745531022	0.010413073170214034	0.00796	0.0	0.00974896917627705	0.38025	0.0065	0.4617396587905353	3118189	0.04059701492537314
