fam	loc
fam1	534649
fam2	538057
fam21	559405
fam22	560298
fam23	560591
fam24	561619
fam25	562952
fam26	564415
fam29	566893
fam30	567730
fam31	568110
fam32	568321
fam34	569562
fam35	570338
fam36	571456
fam37	571719
fam44	578230
fam45	579748
fam46	581031
fam47	582243
fam48	582939
fam49	583586
fam50	584085
fam51	585294
fam52	585974
fam53	586791
fam62	593303
fam63	593668
fam64	594789
fam68	599009
fam69	600035
fam70	601167
fam71	601770
fam72	602909
fam73	603862
fam74	604862
fam75	605178
fam76	605784
fam79	607637
fam80	608614
fam81	610086
fam82	611180
fam83	614621
fam84	615450
fam85	616376
fam88	618572
fam89	619179
fam92	621035
fam95	628585
fam102	635962
fam103	636704
fam104	637905
fam105	638693
fam171	710743
fam172	712530
fam174	714712
fam175	715446
fam178	718290
fam179	719193
fam180	720174
fam181	720791
fam182	722872
fam183	723350
fam184	723764
fam185	725058
fam186	726569
fam187	726992
fam188	727684
fam189	728306
fam190	730071
fam191	730719
fam192	732320
fam193	733584
fam194	734732
fam195	735851
fam196	736348
fam197	736658
fam198	737073
fam199	737437
fam200	738119
fam202	739205
fam203	740286
fam204	741940
fam205	742919
fam206	743728
fam207	744812
fam212	747799
fam213	749057
fam218	761552
fam219	762260
fam220	763185
fam221	764622
fam222	765387
fam223	767124
fam225	768265
fam226	769394
fam227	770855
fam228	771450
fam230	775259
fam231	776329
fam232	777753
fam233	778782
fam234	779522
fam235	780183
fam236	782957
fam237	784113
fam238	786869
fam239	789126
fam240	790206
fam241	791327
fam243	793446
fam244	794556
fam245	795306
fam246	795948
fam247	797117
fam248	797717
fam249	798085
fam250	798612
fam251	799906
fam252	801228
fam254	802375
fam255	803384
fam256	804409
fam257	805004
fam258	806013
fam259	807160
fam260	807701
fam274	824071
fam279	829211
fam280	830554
fam281	831443
fam282	833169
fam283	834256
fam284	835125
fam285	835600
fam286	836588
fam287	837589
fam289	840412
fam290	842236
fam291	847089
fam292	849607
fam293	850780
fam294	851450
fam296	852681
fam297	853996
fam305	863647
fam306	864491
fam307	864939
fam308	865730
fam309	866533
fam310	867613
fam311	869361
fam312	870276
fam313	870780
fam314	871661
fam319	878746
fam320	881957
fam321	882420
fam322	885993
fam323	888009
fam326	891763
fam327	893491
fam330	896482
fam331	897637
fam332	898680
fam333	899596
fam338	905912
fam339	906784
fam341	908240
fam346	914431
fam355	922808
fam356	923694
fam369	935054
fam371	936548
fam372	937601
fam377	944572
fam378	945761
fam379	947043
fam380	947445
fam381	947840
fam382	948524
fam383	949365
fam384	950082
fam385	951079
fam386	951879
fam387	952854
fam388	953459
fam389	954646
fam390	956235
fam398	966768
fam399	967474
fam400	968413
fam401	969258
fam414	984225
fam418	989336
fam419	989626
fam426	1000563
fam427	1001454
fam428	1002094
fam429	1002784
fam430	1004411
fam431	1004702
fam432	1006587
fam433	1008146
fam434	1008471
fam435	1009992
fam437	1011251
fam441	1014004
fam442	1016738
fam444	1020175
fam445	1022790
fam446	1023223
fam447	1024484
fam448	1025437
fam449	1027011
fam459	1046740
fam460	1047658
fam461	1048632
fam462	1049281
fam463	1050744
fam464	1051487
fam465	1052718
fam466	1053271
fam467	1053798
fam469	1055912
fam471	1057469
fam473	1058893
fam474	1059456
fam481	1069783
fam482	1070501
fam488	1075555
fam489	1076105
fam490	1077308
fam492	1079598
fam493	1081305
fam495	1083417
fam502	1091188
fam504	1093007
fam505	1094055
fam506	1094740
fam507	1097224
fam508	1099314
fam509	1099819
fam510	1100356
fam511	1101648
fam513	1103800
fam514	1104826
fam515	1105797
fam516	1107287
fam517	1108758
fam518	1109066
fam519	1109779
