fam	loc
fam1	1088406
fam2	1087191
fam4	1083544
fam5	1081323
fam6	1079497
fam8	1073107
fam11	1068570
fam12	1067788
fam13	1066256
fam14	1065302
fam15	1064661
fam16	1063382
fam18	1061555
fam19	1060806
fam20	1059736
fam21	1059250
fam22	1058224
fam23	1056644
fam24	1055447
fam25	1054224
fam28	1052095
fam29	1051030
fam30	1049778
fam31	1048633
fam33	1046212
fam34	1044890
fam35	1043960
fam36	1042625
fam38	1041783
fam40	1040820
fam42	1037437
fam43	1036863
fam44	1036552
fam45	1035862
fam46	1034760
fam47	1032881
fam48	1031500
fam49	1030601
fam51	1026126
fam52	1023903
fam54	1021067
fam55	1020103
fam56	1019461
fam57	1018559
fam58	1017687
fam59	1016926
fam60	1016098
fam61	1014707
fam62	1013154
fam63	1011939
fam65	1009891
fam66	1009268
fam67	1007850
fam69	1004743
fam71	1003529
fam72	1002488
fam73	1001589
fam74	997974
fam75	997211
fam76	995968
fam77	994652
fam78	992982
fam79	992129
fam81	990927
fam82	988221
fam83	986803
fam84	985959
fam85	984493
fam86	982783
fam87	982150
fam89	978327
fam90	978026
fam91	977641
fam92	976430
fam93	975228
fam94	974443
fam95	972960
fam96	972465
fam97	968150
fam98	966477
fam100	963859
fam101	963386
fam102	960569
fam104	958879
fam106	957536
fam107	956487
fam108	955372
fam109	955087
fam110	954352
fam111	953672
fam112	952274
fam113	951598
fam114	951113
fam115	950604
fam116	950212
fam118	947055
fam121	943531
fam122	943037
fam123	941964
fam124	940946
fam125	940185
fam127	938642
fam130	934189
fam131	933889
fam132	932778
fam133	931645
fam135	930688
fam136	928937
fam138	927440
fam139	926161
fam140	925193
fam142	922338
fam143	920869
fam146	918409
fam147	917066
fam148	915868
fam149	914774
fam150	913301
fam151	912384
fam152	911476
fam153	910541
fam154	909147
fam155	907557
fam156	906409
fam157	905441
fam158	903674
fam159	901626
fam160	900206
fam163	898407
fam164	897110
fam165	896402
fam166	895459
fam167	894442
fam168	893746
fam169	891730
fam170	891149
fam175	888252
fam176	886522
fam177	884072
fam178	882811
fam179	882188
fam180	880761
fam181	880347
fam182	879618
fam183	879079
fam184	878703
fam185	877235
fam187	874834
fam189	872002
fam205	845382
fam212	839521
fam213	839187
fam214	838405
fam215	837571
fam217	835585
fam218	834580
fam219	832693
fam222	828458
fam223	827041
fam226	825246
fam227	824822
fam228	824473
fam229	823571
fam230	821584
fam231	820815
fam232	819511
fam233	818201
fam234	817674
fam235	817106
fam236	816526
fam237	814235
fam238	811770
fam240	810244
fam241	810027
fam242	807290
fam245	805668
fam246	803673
fam247	801856
fam248	801329
fam250	800003
fam252	797714
fam254	794753
fam255	793722
fam256	792777
fam258	791238
fam259	790342
fam260	789334
fam262	787238
fam263	786162
fam264	785641
fam267	782565
fam269	780891
fam270	779402
fam272	777821
fam273	776811
fam275	775096
fam276	773909
fam277	771585
fam278	770208
fam279	769388
fam280	768161
fam281	767430
fam282	767129
fam283	766641
fam285	763924
fam286	761911
fam287	760341
fam288	760015
fam289	758597
fam290	757541
fam291	756532
fam294	753536
fam298	750734
fam299	749083
fam300	745825
fam302	744529
fam303	743303
fam304	743011
fam305	742291
fam306	741878
fam308	739887
fam310	737025
fam312	735317
fam313	733605
fam315	731836
fam316	730653
fam317	729721
fam318	726989
fam319	724260
fam320	723101
fam321	722481
fam323	721332
fam324	719707
fam325	716467
fam326	713192
fam327	711648
fam328	711414
fam330	709711
fam331	708949
fam332	707902
fam333	707377
fam334	706942
fam335	706144
fam336	704774
fam337	704188
fam338	703998
fam339	703430
fam340	703055
fam341	702519
fam342	702110
fam343	701792
fam344	701096
fam345	700764
fam346	700396
fam347	700111
fam348	699864
fam349	699448
fam350	698713
fam351	698281
fam352	698000
fam353	697153
fam354	696795
fam355	696184
fam356	695489
fam357	695170
fam358	693860
fam359	693268
fam360	692884
fam361	688189
fam362	683936
fam363	683318
fam364	682725
fam365	681725
fam366	681286
fam367	679516
fam368	678224
fam370	673369
fam371	672717
fam372	671447
fam373	671155
fam374	669833
fam375	669153
