fam	loc
fam2	296072
fam3	294393
fam4	293948
fam5	291876
fam7	291033
fam9	289973
fam10	289311
fam13	288323
fam14	287960
fam15	285625
fam16	284970
fam17	283802
fam19	281082
fam20	280973
fam22	278087
fam23	277449
fam24	276479
fam25	274813
fam26	273627
fam28	272586
fam29	271880
fam33	269269
fam34	268117
fam35	266830
fam36	266191
fam37	265057
fam38	263604
fam39	262335
fam40	262262
fam41	261318
fam42	259593
fam43	258335
fam44	257281
fam45	256715
fam46	255479
fam48	254025
fam49	252889
fam50	252481
fam51	252000
fam52	251071
fam53	250407
fam54	250131
fam57	248162
fam58	247827
fam59	247121
fam60	245110
fam61	243723
fam62	243296
fam64	242166
fam65	241000
fam69	233499
fam70	231698
fam71	231339
fam72	230776
fam73	228512
fam74	228311
fam77	227283
fam78	226349
fam79	225794
fam80	225118
fam81	224303
fam82	222960
fam83	221941
fam84	221652
fam85	220770
fam86	219504
fam87	218940
fam88	218215
fam89	217799
fam90	217629
fam91	216279
fam92	215728
fam93	215246
fam95	212480
fam96	211616
fam100	208130
fam102	207356
fam103	206109
fam106	204540
fam107	203907
fam110	202080
fam111	200701
fam112	199538
fam113	198878
fam114	197940
fam117	196616
fam118	195713
fam119	194929
fam121	193340
fam122	191268
fam123	189979
fam124	189552
fam125	188892
fam126	188527
fam127	188321
fam128	186617
fam129	186371
fam130	184765
fam131	182569
fam132	181147
fam133	180284
fam134	177464
fam136	175863
fam137	175477
fam138	175326
fam140	174198
fam141	171754
fam152	164235
fam153	163440
fam154	163120
fam155	162521
fam156	161964
fam157	160409
fam158	159441
fam159	157954
fam160	157402
fam161	156016
fam163	155368
fam164	153549
fam166	151707
fam168	150070
fam169	148822
fam170	148724
fam171	148140
fam172	146773
fam174	146099
fam175	145331
fam179	140911
fam180	139823
fam181	138585
fam182	137279
fam183	136948
fam185	135540
fam186	135392
fam188	134800
fam189	134695
fam190	133988
fam191	133349
fam192	132246
fam193	129652
fam194	128681
fam195	127758
fam196	126830
fam198	126283
fam199	125740
fam200	124997
fam201	123992
fam202	123104
fam204	120930
fam205	120655
fam206	120197
fam207	119397
fam208	118914
fam209	118384
fam210	117427
fam211	116313
fam212	115837
fam213	113537
fam215	112829
fam216	112266
fam218	110550
fam219	109265
fam220	108531
fam221	107295
fam222	105371
fam223	104040
fam224	103729
fam225	102924
fam226	101502
fam227	100451
fam229	97469
fam230	96637
fam231	96023
