fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam4365	0.051220829489669495	0.04756871035940803	0.027524901048233654	0.00408	0.0045	0.002791224343067632	0.12097999999999999	0.0946	0.11305136413742796	1419022	0.02115725949591764
fam1785	0.011254285963121778	0.014903076342337765	0.006500971631940681	0.0018199999999999998	0.003	0.0014864723340849639	0.13499333333333335	0.1982	0.08740756997473896	2110503	0.01907216494845361
fam966	0.07906713218437703	0.08738738738738738	0.03229880184140894	0.008506666666666668	0.0097	0.0032772888524239393	0.12964666666666666	0.111	0.07418201818650004	1166889	0.027228809837505488
fam393	0.054553707423678904	0.0495118549511855	0.025066439299826417	0.00444	0.0042	0.0020280696897953645	0.09244666666666669	0.0937	0.052206779466102124	454634	0.016904761904761905
fam5072	0.08970031120415113	0.06469253958679425	0.05919603790238896	0.021586666666666664	0.0248	0.010179644176274314	0.33728	0.3037	0.2090027534108901	503316	0.05484126984126984
fam158	0.0	0.0	0.0	0.0	0.0	0.0	0.01718666666666667	0.0164	0.016956881264614147	191277	0.002666666666666667
fam4609	0.13586440867977936	0.09340659340659341	0.09490346024558603	0.007393333333333333	0.0089	0.0032408777960436725	0.07472	0.0707	0.05859814786606598	1126375	0.017973856209150325
fam1037	0.010510708246603476	0.010465116279069767	0.008177442082035562	0.0015533333333333334	0.0018	0.0011062649873435487	0.14842666666666668	0.172	0.0523173708139934	1250324	0.022123456790123456
fam3276	0.12010739268516593	0.12242090784044016	0.03686153677747138	0.00818	0.0089	0.003045477521396823	0.07058	0.0743	0.022378239430303717	2615186	0.01781693587860989
fam1720	0.09876345644186026	0.1234567901234568	0.05028538597324778	0.004113333333333333	0.0039	0.002503029275808726	0.05258	0.029	0.048958583857515045	2035278	0.012535612535612533
fam3994	0.2653464250283295	0.2332885120834569	0.07280590143518843	0.028553333333333337	0.0285	0.016250409909359897	0.10629333333333334	0.0995	0.05757443259719447	1838673	0.039434810533076424
fam1031	0.013381099134717366	0.016545416271220307	0.010655309681441422	0.0027999999999999995	0.0038	0.002382715537644671	0.16012	0.1427	0.11035266618135393	1244607	0.022577209797657087
fam5256	0.10758940874247179	0.12167476289613693	0.051038289716109	0.015473333333333334	0.0112	0.01238243199949922	0.12799999999999997	0.1242	0.08549725141780874	254166	0.031080031080031083
fam4952	0.08261362299547823	0.0905563988513091	0.0223278423428264	0.0071200000000000005	0.0071	0.002794566155953371	0.08736000000000001	0.0897	0.02830401149425054	688150	0.020618556701030927
fam875	0.06091250303028122	0.05537927811492112	0.01431686858368209	0.02608	0.0388	0.019292907159540955	0.39142000000000005	0.5847	0.26201339202414825	1055828	0.06286799620132953
fam4775	0.03400665527198867	0.008728179551122196	0.06314195654760803	0.0007466666666666666	0.0014	0.0006984427121978023	0.09356666666666666	0.1147	0.061056756837843555	911875	0.014319248826291079
fam4190	0.3195120988530199	0.3272281491359671	0.1142038995550607	0.01726	0.0145	0.010437739218815538	0.055406666666666674	0.0523	0.02975337441180225	1625148	0.024906785980611485
fam1781	0.1017026442241396	0.10240963855421686	0.0009400075151488669	0.003613333333333334	0.0017	0.0037300342566195764	0.035726666666666664	0.0166	0.03704171462314106	2104905	0.008908045977011496
fam425	0.0	0.0	0.0	0.0	0.0	0.0	0.04884666666666668	0.0052	0.06184971966163002	485559	0.007945736434108527
fam1195	0.005945083924687261	0.0	0.009156297520432899	0.0006	0.0	0.000848528137423857	0.09647333333333334	0.1005	0.045292846626763875	1424216	0.017337164750957854
fam5082	0.21296833480935584	0.07518796992481204	0.26617316892571996	0.0037666666666666673	0.002	0.0027620443314488796	0.06952666666666668	0.0212	0.08232851645828572	489722	0.012995780590717302
fam3726	0.11286175453300516	0.08755760368663594	0.04558188394997225	0.006986666666666667	0.0071	0.003986789295772839	0.06575333333333334	0.0671	0.033446033480153604	2140439	0.01693486590038314
fam4141	0.07860273378438966	0.07609314956489793	0.017388684693682474	0.016280000000000003	0.0165	0.005630890989295863	0.21274	0.2373	0.07574293190346762	1670764	0.04961496149614962
fam1928	0.13762825978041718	0.1111111111111111	0.05058887087273033	0.00894	0.0104	0.004231910522053445	0.07404666666666666	0.0816	0.04226478229237934	2275044	0.017816650469711696
fam3111	0.016715503841886522	0.0	0.022741087221276966	0.0009000000000000001	0.0	0.0012727922061357858	0.03321333333333333	0.0293	0.020029740110368104	2816361	0.00790454884414616
fam98	0.09938429326390638	0.09091824788663869	0.049269148486694295	0.009686666666666668	0.0094	0.004691391643804166	0.12435999999999998	0.0682	0.08859916327671122	118780	0.025581395348837202
fam657	0.10932635456808694	0.09838046893884458	0.049493184898075825	0.0042	0.005	0.001869046102516825	0.045540000000000004	0.0407	0.027907031372039558	760735	0.012222222222222223
fam4239	0.07485207735097953	0.075	0.06910126820630999	0.002533333333333333	0.0029	0.0014590712418826196	0.07053333333333332	0.0349	0.06037346731433897	1565060	0.01623643845866068
fam4592	0.07247448380441	0.053914605480042496	0.07978842456602564	0.005246666666666665	0.0047	0.002148136143006045	0.10347333333333332	0.1219	0.04365653012118831	1145186	0.020421810699588476
fam1988	0.16405516026408523	0.09536608195237453	0.23870451437797563	0.02212666666666667	0.0295	0.013902012644058253	0.23218	0.3317	0.15074810424457527	2349584	0.04735336194563663
fam265	0.14311740006484275	0.10731848409520664	0.08569370165627323	0.010286666666666666	0.0109	0.0046644566195383945	0.09325333333333331	0.1122	0.05059073520802884	293992	0.02576079263977353
