fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam966	0.07371794871794872	0.0	0.16483834449517684	0.0006571428571428571	0.0	0.001039034088341039	0.0014857142857142857	0.0	0.002349120547553653	306563	0.0009246417013407305
fam393	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.00158113883008419	357063	0.000320666987333654
fam1571	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	1080981	0.0
fam158	0.28920312947722326	0.3046594982078853	0.05466316098423645	0.004880952380952382	0.0018	0.004128024899290338	0.015847619047619048	0.0071	0.013776778911930345	639526	0.00747663551401869
fam1037	0.2847086554403627	0.3675675675675676	0.2648580417512372	0.0019428571428571427	0.0	0.0030719268698778538	0.005261904761904763	0.0061	0.005787134844222607	396379	0.0028288543140028285
fam3276	0.0	0.0	0.0	0.0	0.0	0.0	0.024914285714285715	0.0386	0.020340208495309313	899764	0.013036393264530146
fam1499	0.022401433691756276	0.0	0.050091128528221104	0.0007142857142857144	0.0	0.001129384878631564	0.005290476190476191	0.0	0.008365001053818552	984320	0.002026342451874367
fam2659	nan	nan	nan	0.0015238095238095239	0.0	0.0015981849114973738	0.0	0.0	0.0	2426925	0.0010725010725010726
fam1031	0.6650918635170603	0.62	0.16188256704831824	0.006528571428571429	0.0062	0.005159931972340689	0.010057142857142858	0.01	0.008125244109362788	387087	0.007485963817841549
fam680	0.22797855841667594	0.17299578059071732	0.15120979093401885	0.0031142857142857144	0.0027	0.0022314389366261305	0.01579523809523809	0.0197	0.010610483413899858	26965	0.0168391994478951
fam875	0.3113758161631471	0.3737024221453288	0.19600828896914638	0.0036571428571428566	0.0024	0.004617623737334154	0.009747619047619047	0.0047	0.012243156263131117	204743	0.005604647357224677
fam1483	0.033972217337787936	0.05454545454545454	0.031117355934621355	0.00025714285714285715	0.0	0.000406578556307363	0.00469047619047619	0.0023	0.0062895911565140515	964979	0.001511715797430083
fam1781	0.14711125407856473	0.08606359647944606	0.19641628703627145	0.0038190476190476173	0.0017	0.00388018397300941	0.04046190476190476	0.0294	0.0378719204461121	1367885	0.01356523696949229
fam425	0.28146093964063384	0.2039918809201624	0.11196653538840594	0.017133333333333334	0.0149	0.020361689829147597	0.08421904761904761	0.0369	0.11490867023132353	315016	0.03228715728715729
fam1195	0.036370940987767796	0.05976095617529881	0.030492150396544796	0.0007142857142857143	0.0	0.000749149177264394	0.012295238095238097	0.0038	0.01149734860493108	598568	0.00386168158680007
fam1928	0.06377844096701499	0.06276747503566335	0.015769573024022134	0.002304761904761905	0.0022	0.0018563856820320273	0.03752380952380953	0.0457	0.03014485512072388	1549101	0.011829889188379754
fam3111	0.0	0.0	0.0	0.0	0.0	0.0	0.0014761904761904758	0.0	0.0015482416330130809	1094374	0.011484352569623888
fam98	0.0	0.0	0.0	0.0	0.0	0.0	0.02485714285714286	0.0266	0.0170521768315332	711495	0.05352055352055352
fam657	nan	nan	nan	0.0019428571428571427	0.0	0.0030719268698778538	0.0	0.0	0.0	49024	0.001380262249827467
fam1496	0.23448275862068965	0.23448275862068962	2.7755575615628914e-17	0.0009714285714285713	0.0	0.0015359634349389269	0.0041428571428571434	0.0	0.006550432296063072	980993	0.001783484929552345
