fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam98	0.07092198581560284	0.0	0.10029883421085779	0.0008	0.0	0.0009797958971132714	0.00564	0.0094	0.004605040716432375	135192	0.0016666666666666666
fam119	0.0	0.0	0.0	0.0	0.0	0.0	0.0074399999999999996	0.0053	0.00543639586490903	91664	0.0011754827875734674
fam43	0.2534658967685969	0.1875	0.19218651295247716	0.00266	0.0033	0.0016906803364326447	0.014079999999999999	0.0176	0.009013634117269237	376334	0.0044444444444444444
fam124	0.16724821505455334	0.1433710625603229	0.05296989637832367	0.00108	0.0011	0.0006645299090334459	0.006959999999999999	0.0087	0.0044558276447816065	75913	0.002199661590524535
fam116	0.0	0.0	0.0	0.0	0.0	0.0	0.01439	0.0178	0.010985121756266519	100543	0.0026402640264026403
fam69	2.11146331738437	2.390251196172249	0.6267611677761517	0.02924	0.0336	0.014856190628825414	0.015459999999999998	0.0152	0.009964256118747652	317951	0.05757575757575757
fam74	nan	nan	nan	0.0004	0.0	0.0004898979485566357	0.0	0.0	0.0	256180	0.00035460992907801415
fam93	0.0	0.0	0.0	0.0	0.0	0.0	0.0178	0.0176	0.011450065501996048	160024	0.0470948012232416
fam44	0.0748663101604278	0.0748663101604278	0.0748663101604278	0.0016799999999999999	0.0028	0.0013717142559585796	0.0074800000000000005	0.0	0.009161091638009088	382649	0.0024330900243309003
fam15	0.052	0.052	0.052	0.00156	0.0026	0.0012737346662472526	0.01002	0.0	0.01227198435461845	43151	0.0029723991507431
fam17	0.12358931405395873	0.14812202433433255	0.08220412671386386	0.0012599999999999998	0.0021	0.0010287856919689348	0.010620000000000001	0.0106	0.006767687936067974	48703	0.002821869488536155
fam90	0.0	0.0	0.0	0.0	0.0	0.0	0.036359999999999996	0.0	0.044531723523798174	168452	0.0036036036036036037
fam77	0.13164545082246948	0.09339294246126545	0.06839511794390239	0.0032199999999999998	0.0044	0.0017116074316267736	0.029100000000000004	0.0299	0.018824027199300368	234062	0.010955710955710954
fam78	0.19922781124966915	0.19753086419753085	0.003422588480804707	0.0028799999999999997	0.0024	0.0017959955456514918	0.014499999999999999	0.0122	0.009115481336715027	226777	0.0047619047619047615
fam36	0.3073034442193321	0.2663551401869159	0.11254356504474639	0.00398	0.0057	0.002762173057576227	0.012819999999999998	0.0143	0.008338441101309045	315608	0.00541813898704358
fam16	0.1292517006802721	0.09523809523809525	0.048102502121533844	0.0014199999999999998	0.0014	0.0009173875952943771	0.00882	0.0147	0.007201499843782543	48134	0.002619047619047619
fam126	0.3007172565996096	0.36117477293947886	0.19909561092726916	0.0022200000000000006	0.0037	0.0018126224096595518	0.007680000000000001	0.0077	0.004838346825104625	68948	0.0032448377581120944
fam112	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	105642	0.0
fam115	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	100866	0.0
fam35	0.0	0.0	0.0	0.0	0.0	0.0	0.014440000000000003	0.0181	0.00923333092659415	308384	0.004802259887005649
fam26	0.11212376327178103	0.11248092435142795	0.012129182651564792	0.00248	0.0028	0.0015917286200857232	0.02162	0.0282	0.012878881939050455	126054	0.006772486772486772
fam48	0.0	0.0	0.0	0.0	0.0	0.0	0.00492	0.0	0.006025744767246618	395504	0.0009070294784580499
fam65	nan	nan	nan	0.00148	0.0	0.0018126224096595518	0.0	0.0	0.0	337086	0.012232415902140673
fam2	nan	nan	nan	0.00132	0.0	0.0016166632302368976	0.0	0.0	0.0	35211	0.0011396011396011397
fam60	0.2733333333333334	0.2733333333333334	0.0	0.0016400000000000002	0.0	0.0020085815890822064	0.006	0.0	0.007348469228349534	437039	0.002564102564102564
fam88	0.5537974683544303	0.5537974683544303	0.18670886075949367	0.0058200000000000005	0.0058	0.003699945945551097	0.006320000000000001	0.0	0.007740387587194844	173775	0.02032520325203252
fam25	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	124457	0.0
fam5	0.09659090909090907	0.09659090909090907	0.0	0.0020399999999999997	0.0017	0.00127216351150314	0.00704	0.0	0.008622203894596787	2225	0.0028735632183908046
fam84	nan	nan	nan	0.002	0.0	0.0024494897427831783	0.0	0.0	0.0	198121	0.0015873015873015873
fam18	nan	nan	nan	0.00264	0.0033	0.00132	0.0	0.0	0.0	49436	0.0021592442645074227
fam102	0.05256537982565379	0.0669489414694894	0.031307039230365874	0.0012599999999999998	0.0021	0.0010287856919689348	0.02006	0.0275	0.013492012451817557	112550	0.004690117252931322
fam40	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	368729	0.0
fam71	0.0	0.0	0.0	0.0	0.0	0.0	0.02196	0.0	0.026895397375759293	275938	0.0029304029304029304
fam31	0.18879114145658263	0.18487394957983194	0.01172240183150541	0.00246	0.0022	0.0014987995196156154	0.012920000000000001	0.0119	0.0075337639994892324	285937	0.004981884057971014
fam129	0.31858937166534906	0.32380544858080157	0.13039992959519622	0.00546	0.0068	0.0037648904366528384	0.017400000000000002	0.0205	0.011274573162652323	60875	0.007246376811594203
fam6	0.4314437850979528	0.48427672955974843	0.0931927868808979	0.00512	0.0064	0.0029294368059406915	0.01266	0.0159	0.008084206825657048	3135	0.006120218579234973
fam73	0.10457344021457526	0.08471760797342193	0.03497621078001122	0.0018	0.0018	0.0011384199576606165	0.017159999999999998	0.0215	0.008583845292175296	265687	0.003975535168195718
fam117	0.36892551892551895	0.3711843711843712	0.18665737435093063	0.0015	0.0017	0.0009777525249264254	0.00452	0.0045	0.0028777769197767923	95144	0.0019566736547868627
fam30	0.793233082706767	0.793233082706767	0.0	0.025320000000000002	0.0422	0.020673693429090024	0.031920000000000004	0.0532	0.026062570863213015	268302	0.025688073394495407
fam86	0.02470680727722981	0.0206043956043956	0.025378847272896157	0.0018	0.0	0.0022045407685048605	0.0475	0.0251	0.04000754928760321	180498	0.008333333333333333
fam53	nan	nan	nan	0.0034799999999999996	0.0043	0.0017405746177627662	0.0	0.0	0.0	411773	0.002763385146804836
