fam	loc
fam1	1020317
fam2	1021080
fam3	1022339
fam4	1022640
fam5	1023543
fam6	1023884
fam7	1024460
fam8	1025169
fam9	1026006
fam10	1027757
fam11	1028044
fam12	1028399
fam13	1029763
fam15	1031713
fam16	1032399
fam17	1035424
fam18	1037042
fam19	1037655
fam20	1038511
fam21	1039422
fam22	1041395
fam23	1042127
fam24	1042769
fam25	1043434
fam26	1044141
fam27	1045251
fam28	1045938
fam29	1047015
fam30	1047736
fam31	1048909
fam32	1049314
fam33	1050437
fam34	1052124
fam35	1052658
fam36	1053391
fam37	1054559
fam38	1054890
fam39	1055975
fam40	1056738
fam41	1057146
fam42	1057399
fam43	1057673
fam44	1058366
fam46	1060411
fam47	1061245
fam48	1061880
fam49	1062514
fam50	1062934
fam51	1063905
fam52	1064611
fam53	1065208
fam54	1066723
fam55	1068488
fam57	1071043
fam58	1071427
fam59	1071995
fam60	1072663
fam61	1075178
fam62	1077769
fam63	1078911
fam64	1080416
fam65	1081057
fam66	1082820
fam67	1083261
fam68	1084877
fam69	1085683
fam70	1086342
fam71	1087593
fam72	1088320
fam73	1088958
fam74	1089894
fam75	1090309
fam76	1090707
fam77	1091101
fam78	1091844
fam79	1092405
fam80	1092942
fam81	1093806
fam82	1095015
fam83	1095940
fam84	1096653
fam85	1097389
fam86	1098988
fam87	1099240
fam88	1100542
fam89	1101015
fam90	1102408
fam91	1103311
fam92	1103741
fam93	1105119
fam94	1106315
fam95	1108141
fam96	1108555
fam97	1109489
fam98	1110553
fam99	1112126
fam100	1113782
fam101	1115551
fam102	1115911
fam103	1116577
fam104	1117320
fam105	1118296
fam106	1119087
fam107	1119762
fam108	1120358
fam109	1121408
fam110	1122157
fam111	1123152
fam112	1124974
fam113	1126006
fam115	1128088
fam117	1130331
fam118	1131856
fam120	1133033
fam122	1134251
fam123	1135258
fam124	1135866
fam125	1137319
fam126	1138093
fam130	1140938
fam131	1141117
fam132	1141969
fam135	1146548
fam136	1147538
fam137	1147950
fam138	1148659
fam139	1148918
fam140	1150672
fam141	1151837
fam142	1152470
fam143	1153367
fam144	1154113
fam145	1154975
fam146	1155898
fam147	1156407
fam148	1157402
fam149	1157922
fam150	1158810
fam151	1159350
fam152	1159583
fam153	1160060
fam154	1161461
fam155	1163048
fam156	1163369
fam157	1164150
fam158	1165898
fam159	1166850
fam160	1167728
fam161	1168094
fam162	1169540
fam163	1170685
fam164	1171568
fam165	1171846
fam166	1173512
fam167	1174686
fam168	1175800
fam169	1176111
fam170	1176629
fam171	1177774
fam172	1178347
fam173	1178875
fam174	1179636
fam175	1179965
fam176	1181206
fam177	1182507
fam178	1182972
fam179	1183265
fam180	1183984
fam182	1185668
fam183	1187568
fam185	1190586
fam186	1191101
fam187	1191666
fam188	1193018
fam189	1193710
fam190	1194203
fam191	1196449
fam192	1197246
