fam	loc
fam7	815590
fam8	814295
fam9	813052
fam10	812613
fam12	811404
fam13	811010
fam14	810907
fam15	809759
fam16	807415
fam17	806348
fam18	805719
fam19	805083
fam20	804617
fam21	803865
fam22	803385
fam25	799841
fam26	799106
fam27	798309
fam28	791838
fam29	791272
fam30	790532
fam31	788828
fam32	788198
fam33	786717
fam36	784785
fam37	783794
fam38	783235
fam39	782957
fam41	780958
fam42	779740
fam45	775229
fam46	774236
fam47	773241
fam48	772428
fam49	772026
fam50	771750
fam51	770969
fam52	769036
fam53	768568
fam54	764923
fam55	763854
fam56	763331
fam57	762237
fam70	748756
fam71	747487
fam72	745956
fam73	744458
fam74	743688
fam75	742569
fam76	741629
fam77	741059
fam78	740104
fam79	739351
fam80	738978
fam81	737133
fam82	736129
fam83	732890
fam84	732316
fam85	731372
fam86	729609
fam87	728552
fam91	725865
fam92	725400
fam93	724025
fam94	722823
fam95	722237
fam96	720533
fam99	717845
fam100	717121
fam101	716267
fam102	713916
fam103	713034
fam104	710577
fam105	709627
fam106	708967
fam107	708613
fam108	707565
fam110	705356
fam111	703806
fam112	703025
fam113	702335
fam114	701667
fam115	699707
fam116	698674
fam117	697987
fam118	697082
fam119	695623
fam120	693864
fam121	693601
fam122	693278
fam123	693131
fam124	691353
fam125	690242
fam126	689162
fam127	688360
fam128	687597
fam133	682685
fam134	681639
fam135	681112
fam136	679209
fam138	677656
fam139	676982
fam140	676320
fam141	674714
fam142	673857
fam144	672158
fam146	671063
fam147	669076
fam148	668558
fam149	668355
fam150	667600
fam151	666924
fam152	666284
fam153	664214
fam155	661733
fam156	660945
fam157	659743
fam158	658712
fam159	658129
fam160	657443
fam162	655542
fam163	654803
fam164	653235
fam165	652267
fam166	650975
fam167	649554
fam168	647857
fam169	647055
fam170	646690
fam171	645328
fam172	644759
fam173	643361
fam174	641904
fam175	640720
fam176	639286
fam178	637514
fam179	636399
fam180	635100
fam181	634475
fam182	633970
fam183	633260
fam184	631888
fam185	631138
fam186	629192
fam187	626750
fam188	624918
fam189	624095
fam190	622844
fam191	622458
fam194	618924
fam195	618625
fam200	611461
fam201	610910
fam203	608736
fam204	607254
fam205	606476
fam206	605267
fam210	599960
fam211	598946
fam212	595967
fam213	594938
fam214	594364
fam217	590358
fam218	589885
fam219	588115
fam220	586860
fam222	585946
fam223	584903
fam224	583775
fam226	581765
fam227	581496
fam228	580084
fam229	577557
fam231	576447
fam232	575347
fam233	575037
fam234	574636
fam235	573739
fam236	572860
fam237	572244
fam238	570803
fam239	570350
fam240	569777
fam241	569149
fam243	567972
fam244	567178
fam245	566372
fam246	565770
fam247	565131
fam248	563612
fam253	558544
fam254	557285
fam255	555796
fam256	554146
fam257	552204
fam258	547601
fam259	545615
fam261	536992
fam263	535917
fam264	535102
fam267	532585
fam268	531475
fam269	530772
fam270	530427
fam271	529164
fam272	528276
fam273	527106
fam274	525158
fam275	524678
fam276	522986
fam277	521424
fam279	519594
fam280	518592
fam281	517629
fam282	516572
fam283	515310
fam284	514769
fam287	512648
fam290	509118
fam293	506657
fam294	506191
fam295	505666
fam296	504236
fam297	503621
fam298	502807
fam299	501820
fam300	501191
fam301	500146
fam302	499669
fam303	498835
fam304	497737
fam305	496490
fam306	495861
fam309	492276
fam311	488712
fam312	485906
fam314	482734
fam315	482335
fam316	481658
fam317	481373
fam319	480076
fam321	477491
fam322	475822
fam328	472160
fam329	471595
fam330	471024
fam331	470330
fam332	469477
fam333	469054
fam334	464755
fam335	460384
fam336	459363
fam337	459172
fam338	458762
fam339	458041
fam340	457692
fam341	457406
fam342	456559
fam343	456236
fam344	455637
fam345	454995
fam346	454667
fam348	452594
fam349	451917
fam350	450571
fam352	448807
fam353	447187
fam354	446138
fam355	445124
fam356	443490
fam357	442504
fam358	441471
fam359	440841
fam360	440049
fam361	438851
fam362	438427
fam363	437961
fam364	437726
fam365	436186
fam366	435657
fam368	434644
fam369	433830
fam370	433345
fam371	432855
fam372	431369
fam373	429990
fam374	429034
fam375	428456
fam376	420931
fam377	420264
fam378	419387
fam379	418784
fam380	418189
fam381	417218
fam382	416471
fam403	389799
fam404	388543
fam405	386676
fam406	385114
fam407	384353
fam408	382671
fam409	381274
fam410	380726
fam411	379804
fam413	379105
fam414	377582
fam415	376893
fam416	376044
fam417	374720
fam418	373629
fam419	372093
fam420	371421
fam421	370169
fam423	368504
fam424	367219
fam425	365677
fam426	364832
fam427	358968
fam429	357229
fam430	356426
fam435	350619
fam436	349822
fam437	349058
fam438	348018
fam439	347195
fam440	346496
fam441	345888
fam442	345286
fam443	344777
fam444	342247
fam445	342007
fam446	341340
fam447	338322
fam450	333663
fam451	332366
fam452	331303
fam453	328570
fam454	328107
fam455	327188
fam456	326373
fam457	323815
fam458	323497
fam459	321518
fam460	320478
fam462	319115
fam463	315942
fam464	313776
fam465	313191
fam466	312664
fam467	312134
fam468	311317
fam469	310403
fam470	309608
fam471	309053
fam472	308500
fam473	306743
fam474	306071
fam475	305733
fam476	305356
fam477	304489
fam478	303672
fam480	298231
fam481	296416
fam482	295546
fam483	294767
fam484	293455
fam485	292714
fam486	291830
fam487	290487
fam488	288057
fam489	287379
fam490	286363
fam491	285811
fam492	285002
fam493	283733
fam494	283141
fam498	279772
fam500	271537
fam501	269407
fam502	268946
fam503	268411
fam504	267271
fam507	261470
