fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.029389395440575238	0.033873343151693665	0.02046057321771338	0.0013846153846153845	0.0023	0.0012011828489811157	0.0468923076923077	0.0514	0.024282939476505127	1840678	0.011508099743393863
fam1571	0.06448461374943115	0.06482564942663234	0.013194276579648672	0.020463736263736265	0.0237	0.008352988758831684	0.32670329670329673	0.3726	0.14231880591335874	1981933	0.07509157509157509
fam1037	0.1968269594464747	0.1769146189643605	0.06658888063529843	0.017824175824175822	0.0209	0.009320806698325386	0.0971120879120879	0.0952	0.05728558462240508	1413396	0.03453022561302816
fam3479	0.03726508524827689	0.024232633279483034	0.026851929545335152	0.0065615384615384615	0.0046	0.005077785474539446	0.21493956043956047	0.2044	0.14583732686626938	58550	0.04413047270190127
fam3276	0.0032164516731086595	0.0	0.00817349125883679	0.00015714285714285713	0.0	0.00038491981672307085	0.0659043956043956	0.0692	0.025656230792555242	294945	0.014304077628615889
fam1720	0.08667627955999642	0.08	0.05492287330506696	0.0057560439560439556	0.0061	0.0036185787019551875	0.07748461538461539	0.0775	0.04356600883660302	1913323	0.022735456633761718
fam1031	0.006318146873152153	0.0	0.010285629705346086	0.00048571428571428566	0.0	0.0008082774287853338	0.060998901098901104	0.0717	0.031113773828793885	1407012	0.029971132620139247
fam3345	0.0	0.0	0.0	0.0	0.0	0.0	0.01701098901098901	0.0176	0.008310835645814888	218790	0.004389903222588047
fam680	0.03131940492434436	0.010028061284899002	0.07247843476075057	0.0009043956043956044	0.0013	0.0010424940601630227	0.060443956043956054	0.0653	0.038696083252378284	1025969	0.011585858231225642
fam1781	0.0	0.0	0.0	0.0	0.0	0.0	0.012768131868131867	0.0129	0.006473001904289884	1843625	0.0029527623782560943
fam425	0.015013636786264195	0.011743301989773445	0.013498044976850409	0.0009263736263736261	0.0006	0.0006289421023398263	0.0737021978021978	0.0752	0.03870729544213068	747445	0.023445247202153276
fam3726	0.11312791174733589	0.10110450297366186	0.06425857350736856	0.0059648351648351645	0.0048	0.003258779304470763	0.05965714285714285	0.049	0.03239582506970034	212722	0.0189862493527415
fam1928	0.08319185013318747	0.07554417413572342	0.04860207098176521	0.005233333333333334	0.005	0.002655264082992001	0.07325897435897435	0.0775	0.03846724692680186	1718031	0.018594712780759293
fam3111	0.040571333051562034	0.019455252918287938	0.10450391005261717	0.001747252747252747	0.0015	0.001544884551278239	0.06562527472527473	0.0822	0.033047649892028096	475209	0.017158920813405865
fam98	0.0054034123976806235	0.00494874513962531	0.006972225130473032	0.0007626373626373626	0.0	0.0008305497122617642	0.18629780219780218	0.2198	0.09828258537796132	406165	0.03465943339361061
fam657	0.1289320672765801	0.12852112676056338	0.02627620860301169	0.02555	0.02855	0.010815584079205293	0.20270897435897434	0.225	0.08733067746876344	996542	0.06433386201427437
fam2317	0.012636783522750139	0.011257035647279548	0.006977795537472056	0.0022879120879120874	0.0024	0.0014096866743159603	0.1872032967032967	0.204	0.07150572627580709	1323806	0.0400740563784042
fam1988	0.08758300994069781	0.08450283666766199	0.021968969523939005	0.020453846153846156	0.0217	0.010213956275093318	0.23347032967032966	0.2483	0.10075359508161155	1653704	0.06205559146735617
fam1040	0.06555831966895154	0.054417609293793946	0.06794309909101924	0.009856043956043956	0.0175	0.00871275695748858	0.18878791208791212	0.1916	0.10851323394772856	1417554	0.04245623143260938
fam3456	0.0449939785473055	0.04214087972931406	0.01903437903679715	0.013165934065934068	0.0137	0.0037795348216652495	0.3254747252747253	0.3556	0.1164823012480669	84113	0.0707618404986826
fam1786	0.03121400266281473	0.02546916890080429	0.023651518881157216	0.001973626373626374	0.0018	0.001621072441442187	0.06974835164835164	0.0755	0.044100936579318205	1839968	0.016645801455928037
fam3641	0.01761626174549836	0.0	0.04562966996416656	0.00039999999999999996	0.0	0.0009797958971132714	0.041439560439560444	0.0412	0.02132534414970811	123082	0.010735595641256018
fam443	0.005696701010790704	0.0	0.014236970500418366	0.0002285714285714286	0.0	0.0005598833697790122	0.055832967032967036	0.0454	0.03244056968560179	767239	0.014266435319066899
fam3198	0.03083893397060839	0.03125	0.013835449775763342	0.0024054945054945054	0.0026	0.0011725207781717712	0.08367802197802199	0.0767	0.031110483029506104	375064	0.023057533787147526
fam3286	0.11012895897457518	0.09090909090909091	0.13258764161872916	0.005805494505494505	0.0063	0.005338402498780024	0.056817582417582405	0.0459	0.042139544721320026	282889	0.016171482838149506
fam3216	0.19861358213372268	0.18884892086330937	0.0647801350339185	0.030428571428571426	0.0321	0.010502551084277811	0.16212197802197803	0.1725	0.06163491732330032	358719	0.0581480534968907
fam355	0.0294768096523977	0.02323780015491867	0.048872747837191824	0.0016835164835164835	0.0	0.0023598874873656576	0.07263516483516483	0.082	0.046508773539856114	669471	0.016545812464179813
fam3280	0.03843780438171446	0.0402542372881356	0.016947789370061302	0.0052483516483516485	0.0048	0.003844744168666789	0.1379142857142857	0.1207	0.07469340493626805	289929	0.03458810692853245
fam1784	0.0318317450805997	0.0	0.05399903780536155	0.002230769230769231	0.0	0.004575824967539596	0.04771208791208791	0.0368	0.05074031891674007	1841808	0.012370862670263869
fam2761	0.11813605943116942	0.100029163021289	0.09684754971363757	0.04443406593406593	0.0444	0.03029045553726443	0.47672857142857145	0.3429	0.39616513908398315	850163	0.10849467992325133
fam3314	0.018392544350521255	0.019224503095470837	0.006530474209535895	0.003965934065934067	0.0049	0.002154230174332434	0.20585714285714282	0.2119	0.07441206351279568	254504	0.049011463698288744
fam2090	0.03624150800259511	0.03626220362622036	0.012121549529860597	0.010143956043956043	0.0113	0.005531552030506422	0.2820637362637363	0.3133	0.12814674839613321	1547783	0.059337956016922815
fam2139	0.1986894905789958	0.1597491039426523	0.14443064788976734	0.009079487179487178	0.009	0.005580055118153449	0.05210641025641026	0.065	0.028534272419291795	1496778	0.021470746108427263
fam2305	0.014514608436194877	0.016535605048334425	0.007320482477093809	0.00661098901098901	0.0071	0.00491781803106748	0.4412780219780219	0.3811	0.27993457548136774	1335871	0.07508583370652337
