fam	avg_dnds	med_dnds	SDdnds	dn	med_dn	SDdn	ds	med_ds	SDds	loc	Pi
fam1785	0.1299107564526276	0.0	0.16951843059322394	0.0013882910740053598	0.0	0.002542471026873449	0.011628756957328384	0.0052	0.030273450913655204	1205705	0.00426158647182906
fam966	0.013609596984792369	0.0	0.07336672449309413	0.0001565038136466708	0.0	0.0006228888987826347	0.002720098948670377	0.0	0.00547422344406062	1081962	0.0009083886634907044
fam1571	0.011964733107551452	0.0	0.0558889066736811	7.27891156462585e-05	0.0	0.00028992857445581924	0.010302597402597402	0.0092	0.009059512884870651	1423559	0.002986000354421407
fam158	0.05669928927179219	0.0	0.12741923686934883	0.0008539194139194138	0.0	0.0033098304975765474	0.009770256410256408	0.0	0.052333050318244485	177070	0.0027556471306471302
fam1031	0.13018594385447113	0.10491803278688526	0.14928946975262117	0.0019160832761381833	0.0016	0.002966804806279808	0.024392610386639212	0.0151	0.07341690467676035	1175418	0.009291390698583818
fam680	0.00250859017965006	0.0	0.022391847660715183	6.868686868686868e-05	0.0	0.00047834868830733335	0.006671655328798185	0.0	0.00971955752683008	767255	0.0019711203384672775
fam1483	0.10005344056438638	0.0	0.145842819179172	0.0011434252051335998	0.0	0.0017901662934567213	0.011912812960235641	0.0126	0.009548319207193366	1518636	0.00452304142079021
fam1781	0.0640020908395094	0.0	0.14180883645366008	0.001161987219130076	0.0	0.0022169987774702986	0.007073469387755102	0.0	0.007732334659118343	1209200	0.0027686480334955456
fam1195	0.14429837580457366	0.098159509202454	0.18624621595806995	0.0013397237682951971	0.0011	0.0009662832956818693	0.013173222016079159	0.015	0.006846387240865351	1362731	0.004914597260956917
fam1928	0.01840829503924463	0.0	0.044968141527350014	0.00025821480107194396	0.0	0.0006548016737512908	0.013280622552051124	0.0031	0.0349868775309409	1053168	0.0038480038480038477
fam657	0.016865542802450104	0.0	0.05988995007455974	0.000616017316017316	0.0	0.0018295680373146442	0.02525520511234797	0.0203	0.02732333684522519	741810	0.007556971633830447
fam1988	0.037909399050816216	0.0	0.1099811583388907	0.0003844980416408988	0.0	0.0009823503522366946	0.011832982890125748	0.0118	0.0096160608146008	998419	0.005902415272614966
fam265	0.5054787339121022	0.42402826855123676	0.5251284683353581	0.005304576376004947	0.0	0.006245146182099927	0.012599113584827872	0.0094	0.013458676963536422	313260	0.007398245493483589
fam443	0.02135738016136687	0.0	0.10981930820089413	0.00036221397649969074	0.0	0.0013191940329989908	0.00017373737373737374	0.0	0.001209940799836196	502996	0.0003050500885998722
fam1784	0.19902799478270894	0.07764127764127765	0.23893185478981233	0.001509853638425067	0.0014	0.00295978923197037	0.011515873015873016	0.0033	0.039209425541364584	1206359	0.004093064775744928
fam2375	0.2342101629815352	0.1271676300578035	0.2067446003911007	0.0026092353951890036	0.0022	0.0028313727377948556	0.009692096219931272	0.0057	0.011113165441102994	568485	0.005887576472038586
fam2090	0.11661913541868806	0.08333333333333333	0.19080865667238897	0.0007769944341372913	0.0006	0.0006826157414188769	0.008860276231704801	0.0101	0.005776086715303229	884808	0.0031365312366037528
fam2139	0.30608805367627656	0.20714285714285713	0.2830415273778144	0.005623001119820828	0.0058	0.0033449930085610604	0.031118656215005595	0.0218	0.03211668164445973	827078	0.013323569108708003
fam2305	0.019138825411796203	0.0	0.0697183763643796	0.0001839620696763554	0.0	0.0009013231814569214	0.008969882498453928	0.0	0.01104703750739354	650731	0.0030272140363883484
fam1093	0.03306545307697741	0.0	0.05588148841027849	0.0008525458668315811	0.0	0.0011331437924505107	0.022241785198928058	0.0173	0.015668383043522784	1249554	0.007136386189848067
