fam	loc
fam1	68593
fam2	67488
fam3	66257
fam4	63831
fam5	62830
fam6	61467
fam7	61124
fam8	60425
fam9	59324
fam10	57854
fam11	56885
fam13	54411
fam14	53059
fam15	52072
fam16	51313
fam17	50150
fam18	49098
fam19	48275
fam20	47599
fam21	46783
fam22	46074
fam23	45334
fam24	43985
fam25	43022
fam26	42417
fam27	41067
fam28	39672
fam29	39359
fam30	37795
fam31	35985
fam32	35163
fam33	34289
fam34	32800
fam35	32277
fam36	31754
fam40	27382
fam42	23794
fam43	22700
fam44	21289
fam45	20530
fam46	18968
fam47	17694
fam48	16181
fam49	15162
fam50	13485
fam51	12022
fam52	10494
fam53	9648
fam55	7922
fam56	6963
fam57	5833
fam58	5273
fam59	3400
fam60	1886
fam61	1305
fam62	117
fam63	1014
fam64	2608
fam65	3156
fam66	3641
fam67	3984
fam68	4851
fam69	5240
fam70	6555
fam71	8492
fam73	9982
fam74	12174
fam75	13760
fam76	15253
fam77	17392
fam78	18764
fam79	19423
fam80	19985
fam81	20587
fam82	22103
fam83	23071
fam84	23973
fam85	24964
fam86	25961
fam87	27358
fam88	33768
fam89	34358
fam90	34668
fam91	35700
fam93	39522
fam95	40553
fam97	41624
fam98	43232
fam99	44682
fam100	45739
fam101	47342
fam102	49598
fam103	50419
fam104	51292
fam106	52733
fam107	54445
fam108	55936
fam109	58099
fam110	58797
fam111	60909
fam112	61205
fam113	61883
fam114	64426
fam115	65545
fam116	67205
fam117	67998
fam120	71431
fam121	72023
fam122	73243
fam123	74113
fam124	74803
fam125	75428
fam126	76007
fam127	77205
fam128	78042
fam129	78517
fam130	78705
fam131	79584
fam132	80060
fam133	80836
fam134	82110
fam135	83337
fam136	84406
fam137	85469
fam138	86667
fam144	93604
fam145	94650
fam146	95600
fam147	97025
fam148	98069
fam149	99067
fam150	100369
fam151	101053
fam154	102847
fam155	103735
fam156	104205
fam157	105620
fam158	106315
fam159	106973
fam160	107975
fam161	109112
fam162	110281
fam163	111417
fam164	112299
fam165	113098
fam166	113809
fam168	115078
fam169	116543
fam170	117543
fam171	119149
fam172	120028
fam173	120685
fam174	121224
fam175	122723
fam176	123264
fam178	125488
fam179	127848
fam180	128289
fam181	128679
fam182	130111
fam183	132549
fam184	133653
fam185	135381
fam186	138392
fam187	139891
fam188	141064
fam189	141855
fam190	143097
fam191	144559
fam192	145834
fam193	147217
fam194	148058
fam195	148426
fam196	149562
fam197	151790
fam200	159681
fam201	160141
fam202	161685
fam203	162115
fam204	163912
fam205	164166
fam206	165114
fam207	167024
fam208	168573
fam209	169455
fam210	171092
fam218	179635
fam219	180926
fam220	181870
fam221	182744
fam222	183632
fam223	184361
fam224	185818
fam225	186540
fam226	188262
fam227	189127
fam228	190005
fam230	191295
fam231	192289
fam232	193673
fam233	195063
fam234	196104
fam236	198221
fam238	199013
fam239	199648
fam240	200954
fam241	202783
fam243	204672
fam244	204872
fam245	206554
fam246	208602
fam247	209182
fam249	212429
fam250	213423
fam252	216130
fam253	216499
fam254	217605
fam255	218791
fam256	219737
fam257	220878
fam258	221746
fam259	222612
fam260	223709
fam261	224775
fam263	227617
fam264	228653
fam266	230376
fam267	232790
fam268	233547
fam269	234038
fam270	234798
fam271	236337
fam272	237764
fam273	239036
fam275	241039
fam277	242952
fam278	244572
fam279	245153
fam280	246038
fam281	246868
fam282	247691
fam283	248505
fam284	249288
fam285	249769
fam286	251034
fam287	252669
fam288	253482
fam289	255113
fam290	256726
fam291	257558
fam292	258602
fam293	260247
fam294	262438
fam295	263314
fam296	264711
fam297	265847
fam298	266883
fam300	271317
fam301	271978
fam302	272761
fam303	273218
fam304	275530
fam305	276248
fam306	276757
fam307	277055
fam308	277644
fam310	280315
fam311	281288
fam312	282376
fam313	282808
fam315	284335
fam316	285399
fam317	286667
fam318	287431
fam319	288140
fam320	289730
fam321	290673
fam322	291515
fam323	292591
fam324	293331
fam325	293615
fam326	295570
fam329	297157
fam330	298252
fam331	298930
fam332	300274
fam333	300912
fam334	302241
fam335	305315
fam336	307291
fam337	308597
fam338	310094
fam339	312560
fam340	313996
fam341	315727
fam342	316280
fam343	317128
fam344	317926
fam345	320485
fam347	323180
fam348	323919
fam349	324730
fam350	325169
fam351	326855
fam352	329462
fam353	330038
fam354	330450
fam355	331705
fam356	333066
fam357	334724
fam358	335871
fam359	336318
fam360	336983
fam361	339172
fam362	340121
fam363	342729
fam364	343649
fam365	344191
fam366	344672
fam367	345051
fam369	347140
fam370	348267
fam371	349391
fam372	350300
fam373	351050
fam374	351711
fam375	352733
fam376	354292
fam377	355507
fam378	356340
fam379	356589
fam380	357178
fam381	357924
fam382	359233
fam383	361310
fam384	362001
fam385	362709
fam388	364909
fam389	365566
fam390	366549
fam391	367760
fam392	368538
fam393	369365
fam394	370201
fam395	372171
fam396	372834
fam397	374640
fam398	374858
fam399	375621
fam400	375924
fam402	377913
fam403	378299
fam404	378658
fam405	378955
fam406	379458
fam407	380025
fam408	382233
fam409	383486
fam410	383862
fam411	384442
fam412	385202
fam413	385914
fam414	386576
fam415	387192
fam416	387491
fam417	388330
fam418	388625
fam419	388971
fam420	389687
fam421	390109
fam422	390300
fam423	390554
fam424	391094
fam425	391419
fam426	391973
fam427	392293
fam428	392718
fam429	393265
fam430	393628
fam431	394143
fam432	394328
fam433	394766
fam434	396105
fam435	396254
fam436	396755
fam437	397161
fam439	398830
fam440	399257
fam442	400065
fam443	400450
fam444	401934
fam445	403253
fam447	404778
fam448	406020
fam449	406465
fam450	407033
fam451	407615
fam452	408437
fam453	408691
fam454	409212
fam455	416346
fam456	417454
fam457	418648
fam458	419744
fam459	420585
fam460	421574
fam461	422870
fam462	424331
fam463	424563
fam464	425985
fam465	426461
fam466	426939
fam467	427763
fam468	428768
fam469	431003
fam470	432356
fam472	434011
fam473	434601
fam474	436072
fam476	441546
fam477	442496
fam478	442930
fam479	443870
fam480	445832
fam481	447397
fam484	449337
fam485	449703
fam486	450041
fam487	451006
fam489	455874
fam490	456782
fam492	458572
fam493	460483
fam494	462002
fam495	462475
fam496	464148
fam497	466036
fam498	466979
fam499	467398
fam500	468754
fam501	470153
fam502	471161
fam503	471417
fam504	472882
fam505	473547
fam508	478520
fam509	478820
fam510	480809
fam511	481715
fam512	482384
fam513	482708
fam514	482940
fam515	483428
fam516	485098
fam517	486056
fam518	488033
fam519	489071
fam520	489669
fam521	490185
fam522	491537
fam523	493766
fam524	497530
fam525	497889
fam527	500394
fam528	500944
fam529	501415
fam530	503154
fam531	504196
fam532	505719
fam533	506350
fam534	507804
fam535	508286
fam536	509120
fam537	510051
fam538	511113
fam539	512012
fam540	513267
fam541	514149
fam542	516241
fam543	517149
fam544	518590
fam546	520711
fam547	521095
fam548	521395
fam549	522205
fam550	522863
fam551	524051
fam552	525150
fam553	525892
fam554	527929
fam555	528856
fam556	529690
fam557	530462
fam558	531064
fam559	531474
fam560	533465
fam561	534388
fam562	536912
fam563	538633
fam564	539972
fam565	541036
fam566	542214
fam567	542940
fam570	544669
fam571	545067
fam572	545372
fam573	545782
fam574	546317
fam575	546988
fam576	548077
fam577	549469
fam579	552735
fam580	554228
fam582	556495
fam583	558319
fam584	558819
fam585	560020
fam586	562042
fam587	562912
fam588	563830
fam589	565035
fam591	568193
fam592	569309
fam593	569764
fam595	573501
fam596	575305
fam597	575967
fam599	579247
fam600	580292
fam602	581213
fam603	581632
fam604	581979
fam605	582303
fam606	584546
fam608	587178
fam609	589112
fam611	591296
fam612	592726
fam614	594378
fam616	595455
fam617	595682
fam618	597742
fam619	598174
fam620	599071
fam621	599301
fam622	599794
fam623	600225
fam624	600782
fam625	601459
fam626	601806
fam627	602718
fam628	603319
fam637	609582
fam638	610107
fam639	610458
fam640	610613
fam642	613362
fam644	614816
fam688	647072
fam689	648989
fam690	651298
fam691	651630
fam692	652922
fam693	653557
fam694	654025
fam695	655038
fam696	656290
fam697	657067
fam698	658644
fam699	661526
fam700	663021
fam701	663390
fam702	664477
fam703	665443
fam704	666642
fam705	667322
fam706	668934
fam707	669781
fam708	670203
fam710	671658
fam713	674584
fam715	676698
fam716	677637
fam717	678738
fam718	679064
fam720	681138
fam721	683804
fam723	686162
fam724	687154
fam725	688486
fam726	689587
fam727	690262
fam728	691670
fam729	692554
fam730	693430
fam731	694094
fam732	695307
fam733	696651
fam734	697790
fam735	698732
fam736	699413
fam737	700150
fam738	702271
fam739	703932
fam740	704729
fam741	705852
fam742	707421
fam743	708562
fam744	708990
fam745	710632
fam747	714041
fam748	714746
fam749	715291
fam750	715882
fam753	720627
fam754	721870
fam755	722244
fam756	723460
fam758	726031
fam759	726981
fam760	727504
fam761	728440
fam762	729218
fam763	730127
fam765	731113
fam766	733155
fam767	734297
fam768	735314
fam769	737059
fam771	739205
fam772	740736
fam773	743110
fam774	743666
fam775	744680
fam776	746612
fam777	747482
fam778	747743
fam779	749032
fam780	749802
fam781	750811
fam782	752199
fam783	753517
fam784	754264
fam785	756365
fam786	757072
fam787	757473
fam788	758032
fam789	759278
fam805	779706
fam806	781124
fam807	782198
fam811	785480
fam813	787627
fam815	790124
fam816	791842
fam818	794039
fam820	796500
fam821	797579
fam823	799334
fam824	800288
fam825	801064
fam826	802065
fam827	802571
fam828	804301
fam829	805124
fam831	806282
fam832	806595
fam833	807690
fam835	810373
fam837	811548
fam838	812646
fam839	813009
fam840	814033
fam841	814647
fam842	814955
fam843	816536
fam844	819299
fam846	821286
fam847	821612
fam848	822697
fam849	824344
fam850	825784
fam851	826982
fam852	827900
fam853	828226
fam855	830490
fam856	830804
fam857	831291
fam858	832491
fam859	833683
fam860	834269
fam861	834845
fam862	835565
fam863	836576
fam864	836989
fam865	837552
fam866	838582
fam867	839429
fam868	840210
fam869	840798
fam870	842838
fam871	844475
fam872	846065
fam873	848849
fam874	849929
fam875	850728
fam876	852993
fam877	854320
fam878	855535
fam879	856724
fam881	858334
fam883	859954
fam884	861153
fam885	861994
fam886	863512
fam887	864151
fam888	864781
fam889	865531
fam890	866887
fam891	868062
fam892	869278
fam893	870808
fam894	871219
fam895	874174
fam896	874979
fam897	876441
fam901	879604
fam902	879992
fam903	880649
fam904	881645
fam905	882381
fam906	884124
fam909	886953
fam910	887580
fam911	888203
fam913	890651
fam914	892002
fam915	893112
fam917	894300
fam918	895078
fam919	896292
fam920	898551
fam921	899542
fam922	900333
fam923	900996
fam924	901520
fam925	901921
fam926	902207
fam927	905697
fam928	908690
fam929	912226
fam930	914070
fam931	915433
fam933	918370
fam934	920271
fam935	921121
fam937	922778
fam938	923211
fam939	924465
fam941	926004
fam942	926805
fam943	928203
fam944	929218
fam945	929828
fam946	930737
fam948	931975
fam949	933654
fam950	935509
fam952	938207
fam953	939024
fam954	939927
fam955	941141
fam956	943927
fam957	945333
fam958	947597
fam959	948478
fam960	950345
fam961	951717
fam962	953072
fam965	955131
fam966	955763
fam967	956299
fam968	957256
fam969	959332
fam970	961053
fam971	961781
fam972	963148
fam973	963895
fam974	964536
fam975	965270
fam976	966160
fam977	966676
fam978	967791
fam979	968143
fam980	969163
fam981	970832
fam983	973191
fam984	973796
fam985	974172
fam986	974658
fam987	975378
fam988	975860
fam989	976897
