fam	loc
fam1	1673
fam3	3369
fam4	4498
fam5	4758
fam6	6731
fam7	9390
fam8	15784
fam9	17372
fam12	20535
fam13	22140
fam14	23300
fam17	27241
fam18	27861
fam19	29267
fam20	29847
fam21	30418
fam22	32604
fam24	33564
fam26	34140
fam27	39849
fam28	40659
fam29	41868
fam30	43451
fam31	44086
fam32	44491
fam33	44943
fam34	45944
fam35	46774
fam36	47151
fam37	47959
fam39	49089
fam40	49428
fam41	51924
fam42	52776
fam43	54218
fam45	55817
fam46	56858
fam47	57343
fam48	57685
fam49	58852
fam50	59742
fam51	60137
fam54	63256
fam57	64933
fam58	68531
fam60	71011
fam61	72470
fam62	72740
fam65	74142
fam66	74620
fam67	77625
fam68	78439
fam69	79442
fam71	81498
fam73	84493
fam75	86317
fam76	87316
fam79	89527
fam80	90384
fam81	91254
fam82	91609
fam84	92267
fam85	93285
fam86	94869
fam87	106526
fam88	107095
fam89	108186
fam90	110615
fam92	113154
fam93	114374
fam94	115086
fam95	115555
fam96	117094
fam97	118046
fam98	119446
fam99	119865
fam101	121129
fam102	121864
fam103	122096
fam104	122311
fam105	123022
fam106	123617
fam108	125179
fam109	125595
fam112	133831
fam113	134199
fam115	135356
fam117	138794
fam118	139424
fam119	140092
fam120	140743
fam121	141030
fam122	141895
fam125	143253
fam127	143879
fam128	144167
fam129	144576
fam130	144923
fam131	145488
fam132	145696
fam133	146126
fam135	147086
fam136	147611
fam137	147804
fam138	148275
fam139	149572
fam140	150279
fam141	151022
fam143	151558
fam144	151705
fam145	152093
fam147	153628
fam148	154068
fam150	155900
fam151	156694
fam152	157448
fam153	158046
fam154	158459
fam156	159523
fam157	160329
fam158	161476
fam159	162111
fam160	162825
fam161	163598
fam162	170585
fam164	172070
fam167	176670
fam168	178032
fam169	179467
fam170	180342
fam171	181275
fam172	181926
fam173	183726
fam174	184515
fam175	185149
fam176	186136
fam177	187445
fam180	191570
fam183	193560
fam184	194043
fam185	195360
fam194	204104
fam195	205786
fam203	213717
fam204	214104
fam208	220055
fam210	222788
fam211	223199
fam214	225439
fam217	227706
fam220	230181
fam221	233149
fam222	233955
fam224	236086
fam225	236503
fam226	237984
fam227	238931
fam228	239881
fam229	241268
fam230	242166
fam234	244548
fam235	246123
fam236	247131
fam237	248849
fam238	249791
fam239	250370
fam240	252265
fam243	256095
fam244	256329
fam245	257134
fam249	262566
fam250	263374
fam251	264989
fam256	270387
fam258	273051
fam259	273504
fam261	276636
fam268	281189
fam271	283878
fam272	284720
fam273	285475
fam274	286247
fam276	288292
fam278	289754
fam279	290498
fam281	293757
fam284	297737
fam285	299336
fam289	304844
fam290	306253
fam291	306679
fam292	307008
fam293	308311
fam294	309632
fam295	310522
fam296	311261
fam299	316612
fam303	321076
fam304	321560
fam306	324266
fam307	325130
fam308	326752
fam311	329821
fam312	330740
fam313	331350
fam315	332843
fam316	334118
fam317	334484
fam318	336094
fam319	337205
fam320	338057
fam324	342301
fam325	343973
fam328	347040
fam330	348758
fam331	350025
fam332	351599
fam333	353178
fam334	354583
fam335	355466
fam337	357504
fam339	358351
fam342	360888
fam343	361623
fam345	363951
fam347	364852
fam348	366130
fam349	368690
fam350	371148
fam351	373145
fam352	374230
fam354	376211
fam355	377016
fam357	399297
fam358	403203
fam360	406389
fam361	407081
fam363	409541
fam364	410327
fam366	412163
fam367	412578
fam369	416273
fam371	417775
fam372	418568
fam377	424997
fam378	425689
fam385	429896
fam387	431140
fam388	431507
fam389	433145
fam392	435332
fam393	437088
fam395	439490
fam396	441063
fam398	443564
fam399	444497
fam401	448237
